Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
01:53:03:198771,0.511208,-0.00917749,0.039,1.011,-0.546,0.004,-0.018,-0.008
01:53:03:218920,0.511192,-0.00823169,0.146,1.183,-1.049,0.002,-0.019,-0.003
01:53:03:238934,0.511203,-0.00729257,-0.006,0.886,-0.661,0.008,-0.019,-0.006
01:53:03:259028,0.511211,-0.00636626,0.065,1.301,-0.978,0.003,-0.019,-0.007
01:53:03:279016,0.511186,-0.00545886,0.316,1.073,-0.728,0.006,-0.017,-0.002
01:53:03:299175,0.511188,-0.00457682,-1.749,1.83,-3.469,0.064,-0.049,-0.051
01:53:03:319161,0.511187,-0.0037257,-9.164,5.768,-2.555,-0.12,-0.276,-0.053
01:53:03:339264,0.511184,-0.00291165,-17.784,3.457,-2.371,-0.061,-0.547,-0.059
01:53:03:359297,0.511208,-0.00213999,-23.157,10.967,-3.599,-0.245,-0.67,-0.066
01:53:03:379412,0.511201,-0.00141598,-22.934,8.296,-4.992,-0.109,-0.622,-0.105
01:53:03:399407,0.511193,-0.00074462,-27.201,11.095,-5.603,-0.189,-0.728,-0.103
01:53:03:419518,0.511185,-0.000130374,-33.312,7.674,-3.042,-0.221,-0.884,-0.075
01:53:03:439654,0.511206,0.000423102,-38.86,14.379,-5.711,-0.284,-1.04,-0.119
01:53:03:459642,0.511197,0.000910871,-41.251,13.841,-5.83,-0.275,-1.091,-0.145
01:53:03:479605,0.511188,0.00133033,-44.025,14.654,-5.923,-0.302,-1.16,-0.148
01:53:03:499774,0.511211,0.0016799,-49.449,12.766,-4.926,-0.31,-1.307,-0.144
01:53:03:519908,0.511205,0.00195467,-54.389,17.081,-7.931,-0.309,-1.445,-0.174
01:53:03:539934,0.5112,0.00215434,-54.855,16.564,-7.075,-0.33,-1.475,-0.111
01:53:03:560038,0.511198,0.00227732,-54.653,17.465,-7.181,-0.353,-1.482,-0.079
01:53:03:579972,0.511197,0.00232249,-56.039,15.875,-6.81,-0.324,-1.53,-0.085
01:53:03:600164,0.511197,0.00228986,-56.688,15.841,-6.428,-0.337,-1.556,-0.096
01:53:03:620107,0.511199,0.00218018,-55.498,16.703,-7.531,-0.324,-1.526,-0.079
01:53:03:640265,0.511204,0.00199304,-56.41,18.106,-7.641,-0.349,-1.556,-0.107
01:53:03:660405,0.51121,0.00173078,-56.697,16.918,-7.424,-0.328,-1.581,-0.11
01:53:03:680373,0.511187,0.00139369,-54.989,15.713,-7.074,-0.31,-1.569,-0.076
