Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
13:12:50:925561,0.511208,-0.00917749,0.768,-0.045,0.378,-0.015,0,0.022
13:12:50:945697,0.511192,-0.00823095,0.787,-0.123,0.29,-0.016,0,0.025
13:12:50:965819,0.511203,-0.00730444,0.788,-0.166,0.536,-0.016,0,0.023
13:12:50:985826,0.511211,-0.00641838,0.976,-0.178,0.382,-0.018,0.002,0.031
13:12:51:5809,0.511186,-0.00559073,1.378,-0.263,0.823,-0.022,0.005,0.045
13:12:51:25941,0.511188,-0.00483958,-2.859,2.461,-3.691,0.093,0.077,-0.077
13:12:51:45965,0.511188,-0.00418103,-19.192,5.484,-2.362,-0.111,-0.228,-0.244
13:12:51:66058,0.511187,-0.00362886,-33.582,6.656,-5.25,-0.031,-0.493,-0.359
13:12:51:86010,0.511185,-0.00319512,-38.992,10.731,-6.875,-0.108,-0.491,-0.412
13:12:51:106187,0.511183,-0.00288872,-40.4,12.93,-8.823,-0.069,-0.374,-0.362
13:12:51:126188,0.511182,-0.00271637,-48.01,10.463,-7.935,-0.078,-0.496,-0.513
13:12:51:146320,0.511182,-0.00268172,-53.63,11.246,-8.659,-0.096,-0.655,-0.446
13:12:51:166308,0.511183,-0.00278537,-53.594,14.52,-10.959,-0.084,-0.615,-0.425
13:12:51:186376,0.511184,-0.00302535,-55.212,16.292,-11.314,-0.108,-0.646,-0.506
13:12:51:206428,0.511186,-0.00339654,-55.311,13.405,-10.491,-0.069,-0.658,-0.499
13:12:51:226571,0.511187,-0.00389081,-54.01,12.183,-9.659,-0.067,-0.657,-0.459
13:12:51:246541,0.511188,-0.004446,-51.436,11.742,-8.66,-0.105,-0.664,-0.421
13:12:51:266662,0.511187,-0.00520467,-46.93,12.172,-7.871,-0.118,-0.618,-0.408
13:12:51:286662,0.511184,-0.00599589,-37.527,10.664,-6.618,-0.131,-0.419,-0.331
13:12:51:306785,0.511207,-0.00685526,-31.401,4.801,-2.43,-0.141,-0.435,-0.29
13:12:51:326902,0.511198,-0.00776387,-23.05,3.079,-0.913,-0.13,-0.307,-0.173
13:12:51:346918,0.511186,-0.00870276,-15.231,2.001,1.842,-0.21,-0.228,-0.115
13:12:51:366945,0.5112,-0.00965175,-6.697,1.982,3.057,-0.231,-0.121,-0.043
13:12:51:387054,0.51121,-0.010591,0.484,-1.393,4.568,-0.191,-0.054,0.025
13:12:51:407048,0.51119,-0.0114991,8.44,-5.473,7.488,-0.186,-0.043,0.146
13:12:51:427177,0.511196,-0.0123583,14.554,-4.948,8.443,-0.214,0.025,0.212
13:12:51:447252,0.511204,-0.01315,21.875,-6.521,9.793,-0.205,0.179,0.225
13:12:51:467399,0.51121,-0.013857,31.442,-6.758,9.536,-0.169,0.369,0.342
13:12:51:487450,0.511189,-0.014463,37.071,-10.345,12.016,-0.137,0.46,0.438
13:12:51:507544,0.511201,-0.0149581,44.148,-10.172,12.077,-0.102,0.582,0.504
13:12:51:527684,0.511187,-0.0153289,49.059,-9.442,11.761,-0.065,0.668,0.536
13:12:51:547674,0.511208,-0.0155697,52.348,-7.676,11.016,-0.025,0.743,0.462
13:12:51:567660,0.511203,-0.0156734,55.726,-9.399,11.76,0.003,0.836,0.443
13:12:51:587737,0.511205,-0.0156386,57.631,-9.293,11.876,0.018,0.897,0.416
13:12:51:607744,0.511212,-0.0154664,58.084,-9.222,12.022,0.034,0.919,0.389
13:12:51:627924,0.511194,-0.0151592,57.202,-7.615,10.728,0.04,0.904,0.335
13:12:51:647915,0.51121,-0.0147264,57.246,-6.381,10.219,0.035,0.925,0.328
13:12:51:668047,0.511199,-0.0141733,53.848,-5.979,8.555,0.075,0.914,0.228
13:12:51:687983,0.511192,-0.0135148,46.405,-3.638,5.137,0.141,0.822,0.081
13:12:51:708143,0.511184,-0.0127631,39.111,-3.642,3.832,0.177,0.698,-0.011
13:12:51:728269,0.511208,-0.0119364,32.103,0.641,0.43,0.211,0.609,-0.071
13:12:51:748265,0.5112,-0.0110501,24.226,0.851,-0.785,0.226,0.48,-0.135
13:12:51:768420,0.511191,-0.0101237,16.458,1.591,-2.503,0.245,0.36,-0.169
13:12:51:788448,0.511208,-0.00917749,10.287,1.79,-3.026,0.239,0.25,-0.139
13:12:51:808513,0.511192,-0.00823095,2.987,3.293,-4.624,0.234,0.17,-0.185
13:12:51:828522,0.511203,-0.00730444,-4.336,4.575,-5.102,0.17,0.136,-0.245
13:12:51:848651,0.511211,-0.00641838,-10.891,3.804,-4.221,0.07,0.028,-0.253
13:12:51:868638,0.511186,-0.00559073,-17.536,2.914,-4.641,0.079,-0.06,-0.282
13:12:51:888765,0.511188,-0.00483958,-24.937,4.537,-5.5,0.048,-0.147,-0.328
13:12:51:908793,0.511188,-0.00418103,-32.526,6.098,-6.472,0.024,-0.266,-0.356
13:12:51:928920,0.511187,-0.00362886,-38.793,7.592,-7.992,0.028,-0.346,-0.378
13:12:51:948838,0.511185,-0.00319512,-46.395,8.444,-8.167,-0.001,-0.434,-0.494
13:12:51:969031,0.511183,-0.00288872,-49.877,9.491,-8.198,-0.045,-0.507,-0.397
13:12:51:988987,0.511182,-0.00271637,-53.995,10.699,-9.531,-0.041,-0.572,-0.44
13:12:52:9152,0.511182,-0.00268172,-57.847,11.992,-10.453,-0.047,-0.646,-0.521
13:12:52:29140,0.511183,-0.00278537,-58.675,13.005,-11.234,-0.049,-0.65,-0.488
13:12:52:49282,0.511184,-0.00302535,-59.131,11.965,-10.803,-0.034,-0.663,-0.514
13:12:52:69260,0.511186,-0.00339654,-59.33,11.719,-10.931,-0.022,-0.688,-0.526
13:12:52:89370,0.511187,-0.00389081,-58.766,12.551,-10.829,-0.054,-0.726,-0.5
13:12:52:109512,0.511188,-0.004446,-54.462,11.21,-9.7,-0.06,-0.71,-0.446
13:12:52:129498,0.511187,-0.00520467,-48.112,9.507,-7.878,-0.062,-0.628,-0.347
13:12:52:149518,0.511184,-0.00599589,-41.966,6.739,-5.922,-0.073,-0.524,-0.399
13:12:52:169627,0.511207,-0.00685526,-32.113,2.818,-1.72,-0.12,-0.444,-0.278
13:12:52:189774,0.511198,-0.00776387,-23.937,3.643,-1.869,-0.112,-0.306,-0.146
13:12:52:209747,0.511186,-0.00870276,-15.965,-0.541,2.787,-0.201,-0.249,-0.139
13:12:52:229768,0.5112,-0.00965175,-7.017,-1.155,3.732,-0.18,-0.108,0.002
13:12:52:249845,0.51121,-0.010591,0.077,-4.983,6.452,-0.18,-0.048,0.023
13:12:52:269980,0.51119,-0.0114991,7.899,-5.208,7.694,-0.207,-0.022,0.147
13:12:52:290118,0.511196,-0.0123583,13.961,-6.372,9.362,-0.228,0.032,0.192
13:12:52:310167,0.511204,-0.01315,21.063,-7.645,10.422,-0.206,0.176,0.204
13:12:52:330232,0.51121,-0.013857,30.213,-9.3,10.935,-0.155,0.385,0.286
13:12:52:350234,0.511189,-0.014463,35.361,-11.094,12.345,-0.116,0.467,0.296
13:12:52:370210,0.511201,-0.0149581,41.198,-9.765,11.815,-0.088,0.586,0.297
13:12:52:390352,0.511187,-0.0153289,47.062,-9.28,11.965,-0.064,0.705,0.298
13:12:52:410498,0.511208,-0.0155697,51.712,-9.17,12.152,-0.032,0.795,0.304
13:12:52:430444,0.511203,-0.0156734,55.04,-10.197,12.546,-0.005,0.868,0.323
13:12:52:450635,0.511205,-0.0156386,57.249,-9.219,12.455,-0.01,0.919,0.319
13:12:52:470770,0.511212,-0.0154664,58.106,-8.903,12.669,-0.005,0.937,0.312
13:12:52:490681,0.511194,-0.0151592,57.13,-8.155,11.815,0.003,0.917,0.273
13:12:52:510890,0.51121,-0.0147264,57.42,-7.954,11.343,0.006,0.93,0.283
13:12:52:530850,0.511199,-0.0141733,54.606,-7.54,10.463,0.015,0.91,0.209
13:12:52:551001,0.511192,-0.0135148,46.827,-3.8,6.366,0.052,0.81,0.058
13:12:52:571021,0.511184,-0.0127631,39.842,-3.528,5.363,0.091,0.695,-0.037
13:12:52:591137,0.511208,-0.0119364,32.971,-0.942,2.54,0.132,0.605,-0.091
13:12:52:611282,0.5112,-0.0110501,25.226,-1.222,1.31,0.154,0.482,-0.151
13:12:52:631233,0.511191,-0.0101237,17.721,0.17,-0.659,0.166,0.375,-0.18
13:12:52:651241,0.511208,-0.00917749,11.01,1.07,-1.53,0.154,0.248,-0.158
13:12:52:671372,0.511192,-0.00823095,3.584,2.21,-2.843,0.149,0.165,-0.192
13:12:52:691319,0.511203,-0.00730444,-3.206,2.3,-2.935,0.092,0.13,-0.232
13:12:52:711497,0.511211,-0.00641838,-10.101,2.461,-2.732,0.021,0.024,-0.234
13:12:52:731477,0.511186,-0.00559073,-16.949,2.523,-3.374,0.028,-0.063,-0.282
13:12:52:751622,0.511188,-0.00483958,-25.024,4.915,-4.897,-0.002,-0.155,-0.313
13:12:52:771643,0.511188,-0.00418103,-32.687,5.748,-5.582,-0.011,-0.281,-0.356
13:12:52:791734,0.511187,-0.00362886,-38.701,7.117,-7.659,0.008,-0.354,-0.365
13:12:52:811694,0.511185,-0.00319512,-45.967,8.195,-7.421,-0.039,-0.42,-0.504
