Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:54:11:518471,-1,0,-1,0,-2,-1,1,3
17:54:11:526241,-1,0,-1,0,-2,-1,1,3
17:54:11:527044,0,-4,-2,-2,-1,-4,-1,-1
17:54:11:541213,1,1,1,-2,2,-3,-4,-1
17:54:11:541982,1,1,1,-2,2,-3,-4,-1
17:54:11:547981,-4,2,-2,-6,-2,1,-1,-1
17:54:11:555502,-2,-2,-3,-3,-2,-5,-5,5
17:54:11:563077,-2,-2,-3,-3,-2,-5,-5,5
17:54:11:570499,1,-2,-1,3,0,1,-4,-4
17:54:11:578738,0,-1,-1,-3,1,-3,2,-2
17:54:11:579551,0,-1,-1,-3,1,-3,2,-2
17:54:11:585515,1,4,-1,2,-2,-7,-1,0
17:54:11:609375,0,4,-2,-3,-4,1,2,-2
17:54:11:610180,0,4,-2,-3,-4,1,2,-2
17:54:11:610980,-6,-4,-2,0,1,-3,-1,-2
17:54:11:615452,-1,-6,8,-1,-2,-1,0,-4
17:54:11:623062,-1,-6,8,-1,-2,-1,0,-4
17:54:11:630564,-2,0,-4,2,-1,1,2,-4
17:54:11:638719,3,2,0,4,-1,0,-1,-2
17:54:11:639589,3,2,0,4,-1,0,-1,-2
17:54:11:645478,1,3,-1,5,1,-1,-5,-6
17:54:11:661204,-5,-4,3,-5,-3,-3,-2,-2
17:54:11:662019,-5,-4,3,-5,-3,-3,-2,-2
17:54:11:667998,3,-1,-5,-3,3,0,3,2
17:54:11:691812,-3,-3,2,-1,-2,-1,0,1
17:54:11:692706,-3,-3,2,-1,-2,-1,0,1
17:54:11:693453,2,-5,-2,-3,0,2,-2,-3
17:54:11:698682,1,0,0,-6,2,1,2,0
17:54:11:699497,1,0,0,-6,2,1,2,0
17:54:11:705524,4,-1,6,-2,1,-4,2,0
17:54:11:721183,-1,-2,-5,7,-3,-4,-3,1
17:54:11:721964,-1,-2,-5,7,-3,-4,-3,1
17:54:11:728011,2,-1,-6,0,-1,2,-3,2
17:54:11:735508,0,0,-1,-3,0,1,3,-3
17:54:11:743108,0,0,-1,-3,0,1,3,-3
17:54:11:750493,-4,2,2,2,-5,-2,-2,-1
17:54:11:758706,-3,-2,-6,-2,-2,2,-4,0
17:54:11:759496,-3,-2,-6,-2,-2,2,-4,0
17:54:11:765483,-4,-4,-1,1,1,-3,-6,1
17:54:11:781179,1,2,0,1,0,0,1,0
17:54:11:781995,1,2,0,1,0,0,1,0
17:54:11:787976,-2,0,0,-2,0,3,2,-2
17:54:11:803759,1,-7,-3,3,-1,-1,0,1
17:54:11:804527,1,-7,-3,3,-1,-1,0,1
17:54:11:810537,0,-3,-2,-4,-8,-3,0,-6
17:54:11:818675,-1,2,-10,0,-1,-5,-3,-3
17:54:11:819503,-1,2,-10,0,-1,-5,-3,-3
17:54:11:825479,-5,0,-1,-3,-2,0,-5,-7
17:54:11:841168,2,-4,0,-2,-3,-1,2,1
17:54:11:841974,2,-4,0,-2,-3,-1,2,1
17:54:11:847987,2,-1,-5,-5,0,2,0,6
17:54:11:855531,1,-3,4,2,-1,-3,0,0
17:54:11:863044,1,-3,4,2,-1,-3,0,0
17:54:11:870475,-4,1,1,-1,1,-2,-1,-1
17:54:11:886824,0,2,-5,-10,2,-1,-1,-3
17:54:11:887673,0,2,-5,-10,2,-1,-1,-3
17:54:11:888516,-7,-3,1,-2,-3,-1,4,-1
17:54:11:901210,-1,0,2,-1,-4,-5,2,0
17:54:11:902038,-1,0,2,-1,-4,-5,2,0
17:54:11:908002,1,4,-1,0,0,-3,-3,-1
17:54:11:915511,2,-7,2,3,0,5,-1,4
17:54:11:923010,2,-7,2,3,0,5,-1,4
17:54:11:930498,-1,-4,2,-1,-2,-3,-2,3
17:54:11:938712,-4,1,-4,-2,3,-2,-5,-4
17:54:11:939568,-4,1,-4,-2,3,-2,-5,-4
17:54:11:945470,0,-3,2,0,1,-2,-1,4
17:54:11:969841,-1,1,-4,2,-2,2,-2,3
17:54:11:970764,-1,1,-4,2,-2,2,-2,3
17:54:11:971462,5,-1,2,1,4,4,1,-1
17:54:11:975557,-1,-5,-3,3,-3,-2,1,-7
17:54:11:983066,-1,-5,-3,3,-3,-2,1,-7
17:54:11:990518,4,3,0,0,-4,-1,-4,-6
17:54:11:998663,-4,4,3,-7,3,-2,-4,-1
17:54:11:999489,-4,4,3,-7,3,-2,-4,-1
17:54:12:5519,-3,-3,-9,-1,-2,1,0,-2
17:54:12:21181,-3,-3,3,1,-5,2,2,1
17:54:12:22041,-3,-3,3,1,-5,2,2,1
17:54:12:28002,-3,-5,0,3,-1,-1,-2,-2
17:54:12:35524,-2,2,3,-3,0,-1,1,0
17:54:12:43030,-2,2,3,-3,0,-1,1,0
17:54:12:50516,-1,4,-2,-3,2,1,1,-2
17:54:12:58683,5,-4,-5,1,2,-7,-4,3
17:54:12:59502,5,-4,-5,1,2,-7,-4,3
17:54:12:65505,-5,-3,-7,-5,-2,-1,1,3
17:54:12:81628,-2,6,-4,-3,-1,4,-5,-5
17:54:12:82455,-2,6,-4,-3,-1,4,-5,-5
17:54:12:88016,-2,-1,6,3,-5,-6,-1,0
17:54:12:95508,-2,-6,-3,-2,-2,-2,2,1
17:54:12:103086,-2,-6,-3,-2,-2,-2,2,1
17:54:12:110477,-2,-1,0,1,3,0,1,-3
17:54:12:118753,-1,2,-3,-3,0,3,-3,1
17:54:12:119526,-1,2,-3,-3,0,3,-3,1
17:54:12:125492,-2,0,-2,-3,0,-1,1,4
17:54:12:141197,0,2,3,0,-3,-3,4,-11
17:54:12:141992,0,2,3,0,-3,-3,4,-11
17:54:12:147955,1,1,4,1,-3,-4,0,8
17:54:12:163683,-1,1,6,-4,-2,2,1,-3
17:54:12:164474,-1,1,6,-4,-2,2,1,-3
17:54:12:170512,-3,-3,-2,-2,-1,1,-5,0
17:54:12:178683,1,-5,-5,-1,3,-1,-7,-9
17:54:12:179491,1,-5,-5,-1,3,-1,-7,-9
17:54:12:185464,0,-1,-3,4,0,3,3,0
17:54:12:201220,0,-1,-3,4,0,3,3,0
17:54:12:201960,-6,-1,0,2,-3,-4,0,-6
17:54:12:208014,3,-2,-7,-2,-1,-4,-3,-5
17:54:12:215510,-2,-1,-2,-5,-4,1,3,2
17:54:12:223040,-2,-1,-2,-5,-4,1,3,2
17:54:12:230480,-8,0,-2,-4,-3,-3,0,-3
17:54:12:238687,3,-5,-3,-2,4,-2,3,4
17:54:12:239505,3,-5,-3,-2,4,-2,3,4
17:54:12:245547,4,-2,-2,-1,-5,3,-2,2
17:54:12:261178,-3,1,-2,4,-2,-2,-7,6
17:54:12:262002,-3,1,-2,4,-2,-2,-7,6
17:54:12:267947,-5,-4,-3,-5,1,2,-2,-5
17:54:12:275467,-2,3,-2,1,-1,-1,3,-2
17:54:12:283053,-2,3,-2,1,-1,-1,3,-2
17:54:12:290494,-1,-1,5,1,1,-1,-1,-5
17:54:12:298691,-1,-2,4,-1,-2,-5,-5,3
17:54:12:299556,-1,-2,4,-1,-2,-5,-5,3
17:54:12:312963,1,-2,-2,-2,0,-3,7,-2
17:54:12:321191,6,-3,-2,0,-2,1,-7,-1
17:54:12:321989,6,-3,-2,0,-2,1,-7,-1
17:54:12:327979,-5,-2,-4,4,1,1,-1,-2
17:54:12:343711,-5,-1,-2,1,-2,-3,3,2
17:54:12:344506,-5,-1,-2,1,-2,-3,3,2
17:54:12:350487,-3,0,-3,2,4,-4,-2,-4
17:54:12:358724,-1,-4,-5,2,-1,0,-3,-2
17:54:12:359507,-1,-4,-5,2,-1,0,-3,-2
17:54:12:373037,3,-5,6,-3,0,0,2,0
17:54:12:381205,3,-5,6,-3,0,0,2,0
17:54:12:382011,-2,1,1,-2,4,-2,2,0
17:54:12:387980,0,-1,-2,-4,-7,0,1,-9
17:54:12:403702,0,-1,-2,-4,-7,0,1,-9
17:54:12:404504,-5,2,-1,1,-5,3,1,0
17:54:12:410454,-5,0,-5,-2,0,0,-5,1
17:54:12:418718,-5,0,-5,-2,0,0,-5,1
17:54:12:419577,0,-2,-2,-3,-1,0,-2,-7
17:54:12:433018,2,-3,1,0,0,-1,0,0
17:54:12:441191,2,-3,1,0,0,-1,0,0
17:54:12:442074,-1,0,-2,-1,1,-3,-2,-2
17:54:12:447977,0,2,-4,0,-6,0,2,-7
17:54:12:463711,0,2,-4,0,-6,0,2,-7
17:54:12:464470,3,-3,1,-6,5,-2,-1,-2
17:54:12:470497,-3,-2,-3,5,-4,-2,-3,5
17:54:12:478695,-3,-2,-3,5,-4,-2,-3,5
17:54:12:479503,-7,-4,-2,-3,2,-1,-2,-4
17:54:12:493104,1,1,3,1,-2,-4,0,-1
17:54:12:501186,1,1,3,1,-2,-4,0,-1
17:54:12:501978,-1,0,-6,-4,0,-2,-1,4
17:54:12:507955,3,5,1,-6,0,2,-1,-6
17:54:12:523696,3,5,1,-6,0,2,-1,-6
17:54:12:524477,1,-1,2,-3,-4,-5,-2,-9
17:54:12:530507,-9,-1,1,-1,-2,0,0,7
17:54:12:538692,-9,-1,1,-1,-2,0,0,7
17:54:12:539483,2,2,-1,3,-3,2,-1,4
17:54:12:553017,-2,-1,-3,0,1,0,-5,-9
17:54:12:561901,-2,-1,-3,0,1,0,-5,-9
17:54:12:562681,-3,-3,-3,2,-2,2,-2,0
17:54:12:568029,3,-8,3,-4,3,-3,-1,-2
17:54:12:583685,3,-8,3,-4,3,-3,-1,-2
