Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:54:11:518471,2570,-11189,1210,-11628,1898,-611,144,71,-22,13
17:54:11:526241,2578,-11186,1202,-11629,1897,-615,154,55,-18,13
17:54:11:527044,2578,-11186,1202,-11629,1897,-615,154,55,-18,13
17:54:11:541213,2578,-11186,1202,-11629,1897,-615,154,55,-18,13
17:54:11:541982,2587,-11184,1195,-11630,1897,-630,153,55,-15,15
17:54:11:547981,2587,-11184,1195,-11630,1897,-630,153,55,-15,15
17:54:11:555502,2587,-11184,1195,-11630,1897,-630,153,55,-15,15
17:54:11:563077,2595,-11182,1188,-11630,1912,-618,153,57,-20,20
17:54:11:570499,2595,-11182,1188,-11630,1912,-618,153,57,-20,20
17:54:11:578738,2595,-11182,1188,-11630,1912,-618,153,57,-20,20
17:54:11:579551,2601,-11180,1181,-11632,1895,-609,155,40,-15,11
17:54:11:585515,2601,-11180,1181,-11632,1895,-609,155,40,-15,11
17:54:11:609375,2601,-11180,1181,-11632,1895,-609,155,40,-15,11
17:54:11:610180,2604,-11179,1178,-11632,1913,-619,156,17,-17,14
17:54:11:610980,2604,-11179,1178,-11632,1913,-619,156,17,-17,14
17:54:11:615452,2604,-11179,1178,-11632,1913,-619,156,17,-17,14
17:54:11:623062,2607,-11178,1176,-11633,1909,-624,147,18,-11,11
17:54:11:630564,2607,-11178,1176,-11633,1909,-624,147,18,-11,11
17:54:11:638719,2607,-11178,1176,-11633,1909,-624,147,18,-11,11
17:54:11:639589,2611,-11176,1172,-11634,1899,-626,157,25,-14,10
17:54:11:645478,2611,-11176,1172,-11634,1899,-626,157,25,-14,10
17:54:11:661204,2611,-11176,1172,-11634,1899,-626,157,25,-14,10
17:54:11:662019,2616,-11175,1167,-11635,1898,-619,156,31,-15,12
17:54:11:667998,2616,-11175,1167,-11635,1898,-619,156,31,-15,12
17:54:11:691812,2616,-11175,1167,-11635,1898,-619,156,31,-15,12
17:54:11:692706,2621,-11172,1162,-11637,1894,-619,173,31,-18,11
17:54:11:693453,2621,-11172,1162,-11637,1894,-619,173,31,-18,11
17:54:11:698682,2621,-11172,1162,-11637,1894,-619,173,31,-18,11
17:54:11:699497,2627,-11170,1156,-11639,1899,-620,163,44,-13,9
17:54:11:705524,2627,-11170,1156,-11639,1899,-620,163,44,-13,9
17:54:11:721183,2627,-11170,1156,-11639,1899,-620,163,44,-13,9
17:54:11:721964,2633,-11167,1149,-11640,1892,-621,159,44,-14,8
17:54:11:728011,2633,-11167,1149,-11640,1892,-621,159,44,-14,8
17:54:11:735508,2633,-11167,1149,-11640,1892,-621,159,44,-14,8
17:54:11:743108,2637,-11167,1144,-11640,1911,-632,152,34,-16,2
17:54:11:750493,2637,-11167,1144,-11640,1911,-632,152,34,-16,2
17:54:11:758706,2637,-11167,1144,-11640,1911,-632,152,34,-16,2
17:54:11:759496,2645,-11164,1135,-11642,1910,-639,170,58,-15,-1
17:54:11:765483,2645,-11164,1135,-11642,1910,-639,170,58,-15,-1
17:54:11:781179,2645,-11164,1135,-11642,1910,-639,170,58,-15,-1
17:54:11:781995,2652,-11162,1123,-11643,1904,-601,157,67,-22,0
17:54:11:787976,2652,-11162,1123,-11643,1904,-601,157,67,-22,0
17:54:11:803759,2652,-11162,1123,-11643,1904,-601,157,67,-22,0
17:54:11:804527,2655,-11160,1115,-11645,1900,-621,176,38,-18,-11
17:54:11:810537,2655,-11160,1115,-11645,1900,-621,176,38,-18,-11
17:54:11:818675,2655,-11160,1115,-11645,1900,-621,176,38,-18,-11
17:54:11:819503,2659,-11159,1109,-11647,1902,-621,163,35,-15,-3
17:54:11:825479,2659,-11159,1109,-11647,1902,-621,163,35,-15,-3
17:54:11:841168,2659,-11159,1109,-11647,1902,-621,163,35,-15,-3
17:54:11:841974,2662,-11156,1101,-11649,1896,-608,167,36,-12,-2
17:54:11:847987,2662,-11156,1101,-11649,1896,-608,167,36,-12,-2
17:54:11:855531,2662,-11156,1101,-11649,1896,-608,167,36,-12,-2
17:54:11:863044,2665,-11154,1096,-11651,1898,-606,172,26,-9,5
17:54:11:870475,2665,-11154,1096,-11651,1898,-606,172,26,-9,5
17:54:11:886824,2665,-11154,1096,-11651,1898,-606,172,26,-9,5
17:54:11:887673,2667,-11151,1092,-11653,1900,-610,174,18,-11,9
17:54:11:888516,2667,-11151,1092,-11653,1900,-610,174,18,-11,9
