Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:48:55:459850,-3,-1,-1,-2,0,-3,-2,-3
17:48:55:460650,-2,2,0,1,-1,0,-4,1
17:48:55:466610,-3,1,-2,0,1,1,-1,2
17:48:55:483053,-3,1,-2,0,1,1,-1,2
17:48:55:483782,-1,-5,-3,1,-3,-1,-2,0
17:48:55:484588,0,-2,0,-1,-2,0,-4,-1
17:48:55:497315,0,-2,0,-1,-2,0,-4,-1
17:48:55:498188,3,-2,-2,-4,-2,-3,-4,-1
17:48:55:504339,1,0,3,-1,1,-1,-8,-2
17:48:55:512337,1,0,3,-1,1,-1,-8,-2
17:48:55:513211,0,2,0,-1,-1,-2,2,-1
17:48:55:526653,-2,-3,-1,3,-3,0,1,1
17:48:55:543016,-2,-3,-1,3,-3,0,1,1
17:48:55:543800,1,-2,-2,0,0,-2,-1,-1
17:48:55:544618,-2,-7,-4,-1,-2,0,0,-6
17:48:55:557334,-2,-7,-4,-1,-2,0,0,-6
17:48:55:558133,1,2,3,1,0,1,-1,3
17:48:55:564125,-1,2,-4,-5,0,-3,-2,-2
17:48:55:572409,-1,2,-4,-5,0,-3,-2,-2
17:48:55:573138,-3,1,-1,-1,-3,-2,-1,-6
17:48:55:586615,-2,-3,-3,2,-2,0,1,-1
17:48:55:594872,-2,-3,-3,2,-2,0,1,-1
17:48:55:595634,0,0,-2,-2,1,-1,2,-1
17:48:55:601613,1,2,-1,0,0,-2,0,-1
17:48:55:617315,1,2,-1,0,0,-2,0,-1
17:48:55:618175,-2,-3,-2,-1,1,-1,0,-1
17:48:55:624124,0,-5,-1,1,0,-6,0,-1
17:48:55:632352,0,-5,-1,1,0,-6,0,-1
17:48:55:633134,-2,-3,-1,-4,-2,-2,-7,0
17:48:55:646596,-2,-2,-1,-3,1,2,-1,2
17:48:55:654847,-2,-2,-1,-3,1,2,-1,2
17:48:55:655633,-1,0,-1,3,0,-1,-1,-5
17:48:55:661588,0,-4,0,0,-5,-1,0,2
17:48:55:677355,0,-4,0,0,-5,-1,0,2
17:48:55:678109,3,0,0,-1,-1,1,4,-2
17:48:55:684089,1,-3,0,-1,-1,-3,0,-1
17:48:55:692326,1,-3,0,-1,-1,-3,0,-1
17:48:55:693160,0,-3,0,-2,-3,-3,-2,0
17:48:55:706576,-5,3,-3,-4,2,2,0,0
17:48:55:714826,-5,3,-3,-4,2,2,0,0
17:48:55:715636,-1,-2,-1,1,-1,-3,-1,-1
17:48:55:721588,0,0,-1,-2,-2,-2,-4,-2
17:48:55:737377,0,0,-1,-2,-2,-2,-4,-2
17:48:55:738126,0,0,-4,-2,0,0,-5,-2
17:48:55:744111,0,5,1,1,0,1,-2,2
17:48:55:752445,0,5,1,1,0,1,-2,2
17:48:55:753155,-3,0,-4,-1,-2,2,-4,3
17:48:55:766688,-1,-3,-2,-5,-1,-2,2,-2
17:48:55:774843,-1,-3,-2,-5,-1,-2,2,-2
17:48:55:775632,1,1,7,2,-1,-2,4,2
17:48:55:781592,-1,1,2,1,-2,1,5,3
17:48:55:797328,-1,1,2,1,-2,1,5,3
17:48:55:798170,-2,-2,1,-4,0,-3,-1,-2
17:48:55:804147,0,-4,-1,2,-1,-3,-5,0
17:48:55:812339,0,-4,-1,2,-1,-3,-5,0
17:48:55:813109,1,-2,-2,1,1,2,-4,-3
17:48:55:826636,1,-3,-3,-1,-2,0,-2,-2
17:48:55:834848,1,-3,-3,-1,-2,0,-2,-2
17:48:55:835633,-1,0,0,-1,-3,-1,-2,-3
17:48:55:841618,-2,0,0,-1,-1,0,-3,-2
17:48:55:857313,-2,0,0,-1,-1,0,-3,-2
17:48:55:858090,-2,1,-1,0,-1,0,-2,-1
