Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:48:55:459850,-12037,8325,7323,-781,1289,-1789,191,-1152,178,131
17:48:55:460650,-12037,8325,7323,-781,1289,-1789,191,-1152,178,131
17:48:55:466610,-12037,8325,7323,-781,1289,-1789,191,-1152,178,131
17:48:55:483053,-11969,8474,7271,-712,1192,-1810,249,-1006,238,171
17:48:55:483782,-11969,8474,7271,-712,1192,-1810,249,-1006,238,171
17:48:55:484588,-11969,8474,7271,-712,1192,-1810,249,-1006,238,171
17:48:55:497315,-11925,8590,7210,-669,1076,-1819,287,-758,239,176
17:48:55:498188,-11925,8590,7210,-669,1076,-1819,287,-758,239,176
17:48:55:504339,-11925,8590,7210,-669,1076,-1819,287,-758,239,176
17:48:55:512337,-11906,8668,7151,-648,1005,-1785,281,-475,209,147
17:48:55:513211,-11906,8668,7151,-648,1005,-1785,281,-475,209,147
17:48:55:526653,-11906,8668,7151,-648,1005,-1785,281,-475,209,147
17:48:55:543016,-11900,8717,7102,-642,978,-1699,259,-285,159,123
17:48:55:543800,-11900,8717,7102,-642,978,-1699,259,-285,159,123
17:48:55:544618,-11900,8717,7102,-642,978,-1699,259,-285,159,123
17:48:55:557334,-11889,8762,7065,-640,980,-1701,211,-253,98,105
17:48:55:558133,-11889,8762,7065,-640,980,-1701,211,-253,98,105
17:48:55:564125,-11889,8762,7065,-640,980,-1701,211,-253,98,105
17:48:55:572409,-11874,8802,7039,-638,1012,-1730,173,-233,63,71
17:48:55:573138,-11874,8802,7039,-638,1012,-1730,173,-233,63,71
17:48:55:586615,-11874,8802,7039,-638,1012,-1730,173,-233,63,71
17:48:55:594872,-11865,8834,7015,-640,1064,-1752,150,-166,58,73
17:48:55:595634,-11865,8834,7015,-640,1064,-1752,150,-166,58,73
17:48:55:601613,-11865,8834,7015,-640,1064,-1752,150,-166,58,73
17:48:55:617315,-11858,8861,6993,-638,1105,-1738,143,-145,68,72
17:48:55:618175,-11858,8861,6993,-638,1105,-1738,143,-145,68,72
17:48:55:624124,-11858,8861,6993,-638,1105,-1738,143,-145,68,72
17:48:55:632352,-11846,8894,6972,-631,1123,-1696,133,-201,72,88
17:48:55:633134,-11846,8894,6972,-631,1123,-1696,133,-201,72,88
17:48:55:646596,-11846,8894,6972,-631,1123,-1696,133,-201,72,88
17:48:55:654847,-11828,8936,6949,-620,1149,-1713,122,-259,79,108
17:48:55:655633,-11828,8936,6949,-620,1149,-1713,122,-259,79,108
