Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:15:20:792852,-1,-4,-1,2,0,-3,5,-3
17:15:20:800451,-1,-4,-1,2,0,-3,5,-3
17:15:20:807876,-1,1,-7,-2,0,0,-2,-1
17:15:20:815354,-3,0,-2,1,-4,-1,-8,1
17:15:20:823647,-3,0,-2,1,-4,-1,-8,1
17:15:20:824407,0,-1,1,-1,-3,-2,-3,-5
17:15:20:838587,-3,-4,4,0,-5,3,-1,-4
17:15:20:839389,-3,-4,4,0,-5,3,-1,-4
17:15:20:845368,-5,-1,1,1,6,-5,-2,0
17:15:20:852883,2,0,-6,-1,2,-5,1,0
17:15:20:860464,2,0,-6,-1,2,-5,1,0
17:15:20:867864,1,-4,2,-2,-1,2,1,-1
17:15:20:875416,-1,-2,-4,-2,0,2,0,-1
17:15:20:883589,-1,-2,-4,-2,0,2,0,-1
17:15:20:884350,1,1,0,1,2,2,-2,-1
17:15:20:898628,-4,0,-2,0,0,-1,-3,-4
17:15:20:899414,-4,0,-2,0,0,-1,-3,-4
17:15:20:905400,-4,0,-3,-2,-3,-5,-3,3
17:15:20:912906,4,0,-2,0,3,3,-4,1
17:15:20:920407,4,0,-2,0,3,3,-4,1
17:15:20:927959,-2,-1,-2,-1,-2,-2,3,-5
17:15:20:944284,2,0,0,-6,-5,-2,4,2
17:15:20:945056,2,0,0,-6,-5,-2,4,2
17:15:20:945856,-1,0,-4,-1,-4,2,-4,2
17:15:20:958598,-3,-3,1,1,0,-1,4,-6
17:15:20:959410,-3,-3,1,1,0,-1,4,-6
17:15:20:965382,-1,-2,2,2,-7,-2,-5,-5
17:15:20:972915,3,-1,-6,-1,3,-4,-8,-2
17:15:20:980421,3,-1,-6,-1,3,-4,-8,-2
17:15:20:987899,1,-1,1,-4,8,0,3,-1
17:15:20:995378,-4,0,2,-3,-2,3,-1,0
17:15:21:3561,-4,0,2,-3,-2,3,-1,0
17:15:21:4375,-1,-2,-2,-7,-5,-2,2,-1
17:15:21:18530,-4,0,1,2,1,0,0,1
17:15:21:19370,-4,0,1,2,1,0,0,1
17:15:21:25409,-2,2,-2,3,-5,-2,-2,5
17:15:21:32872,-4,-2,1,-1,-1,-1,-2,-4
