Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:15:20:792852,11138,1694,-10299,5952,1785,-740,434,394,17,-155
17:15:20:800451,11142,1762,-10260,5991,1810,-712,422,476,22,-174
17:15:20:807876,11142,1762,-10260,5991,1810,-712,422,476,22,-174
17:15:20:815354,11142,1762,-10260,5991,1810,-712,422,476,22,-174
17:15:20:823647,11147,1833,-10222,6027,1814,-662,395,472,32,-179
17:15:20:824407,11147,1833,-10222,6027,1814,-662,395,472,32,-179
17:15:20:838587,11147,1833,-10222,6027,1814,-662,395,472,32,-179
17:15:20:839389,11155,1894,-10186,6054,1831,-630,405,398,49,-167
17:15:20:845368,11155,1894,-10186,6054,1831,-630,405,398,49,-167
17:15:20:852883,11155,1894,-10186,6054,1831,-630,405,398,49,-167
17:15:20:860464,11163,1941,-10156,6074,1840,-625,379,314,73,-142
17:15:20:867864,11163,1941,-10156,6074,1840,-625,379,314,73,-142
17:15:20:875416,11163,1941,-10156,6074,1840,-625,379,314,73,-142
17:15:20:883589,11175,1973,-10127,6091,1861,-610,380,237,111,-102
17:15:20:884350,11175,1973,-10127,6091,1861,-610,380,237,111,-102
17:15:20:898628,11175,1973,-10127,6091,1861,-610,380,237,111,-102
17:15:20:899414,11187,1990,-10102,6105,1889,-600,364,173,145,-50
17:15:20:905400,11187,1990,-10102,6105,1889,-600,364,173,145,-50
17:15:20:912906,11187,1990,-10102,6105,1889,-600,364,173,145,-50
17:15:20:920407,11199,1996,-10075,6125,1887,-581,383,144,168,18
17:15:20:927959,11199,1996,-10075,6125,1887,-581,383,144,168,18
17:15:20:944284,11199,1996,-10075,6125,1887,-581,383,144,168,18
17:15:20:945056,11208,1991,-10051,6150,1878,-566,385,117,176,91
17:15:20:945856,11208,1991,-10051,6150,1878,-566,385,117,176,91
17:15:20:958598,11208,1991,-10051,6150,1878,-566,385,117,176,91
17:15:20:959410,11212,1975,-10031,6179,1861,-554,376,81,179,165
17:15:20:965382,11212,1975,-10031,6179,1861,-554,376,81,179,165
17:15:20:972915,11212,1975,-10031,6179,1861,-554,376,81,179,165
17:15:20:980421,11213,1948,-10016,6211,1842,-534,372,38,177,236
17:15:20:987899,11213,1948,-10016,6211,1842,-534,372,38,177,236
17:15:20:995378,11213,1948,-10016,6211,1842,-534,372,38,177,236
17:15:21:3561,11208,1907,-10009,6244,1824,-542,357,-17,165,301
17:15:21:4375,11208,1907,-10009,6244,1824,-542,357,-17,165,301
17:15:21:18530,11208,1907,-10009,6244,1824,-542,357,-17,165,301
17:15:21:19370,11199,1855,-10009,6276,1803,-557,356,-76,143,349
17:15:21:25409,11199,1855,-10009,6276,1803,-557,356,-76,143,349
17:15:21:32872,11199,1855,-10009,6276,1803,-557,356,-76,143,349
17:15:21:48553,11185,1794,-10017,6306,1797,-585,367,-131,116,377
17:15:21:49337,11185,1794,-10017,6306,1797,-585,367,-131,116,377
17:15:21:56040,11185,1794,-10017,6306,1797,-585,367,-131,116,377
17:15:21:56969,11170,1727,-10030,6332,1772,-605,376,-178,89,385
17:15:21:62975,11170,1727,-10030,6332,1772,-605,376,-178,89,385
17:15:21:78573,11170,1727,-10030,6332,1772,-605,376,-178,89,385
17:15:21:79370,11151,1661,-10048,6354,1780,-615,371,-195,58,382
17:15:21:85378,11151,1661,-10048,6354,1780,-615,371,-195,58,382
17:15:21:92929,11151,1661,-10048,6354,1780,-615,371,-195,58,382
17:15:21:100409,11131,1598,-10069,6371,1776,-606,386,-215,27,371
17:15:21:117373,11131,1598,-10069,6371,1776,-606,386,-215,27,371
17:15:21:118135,11131,1598,-10069,6371,1776,-606,386,-215,27,371
17:15:21:118989,11110,1538,-10095,6381,1807,-619,401,-239,-14,346
17:15:21:122965,11110,1538,-10095,6381,1807,-619,401,-239,-14,346
17:15:21:138616,11110,1538,-10095,6381,1807,-619,401,-239,-14,346
17:15:21:139409,11088,1484,-10122,6388,1815,-654,441,-237,-59,306
17:15:21:145398,11088,1484,-10122,6388,1815,-654,441,-237,-59,306
17:15:21:152902,11088,1484,-10122,6388,1815,-654,441,-237,-59,306
17:15:21:160401,11066,1442,-10149,6394,1831,-685,478,-200,-102,256
17:15:21:167895,11066,1442,-10149,6394,1831,-685,478,-200,-102,256
17:15:21:176068,11066,1442,-10149,6394,1831,-685,478,-200,-102,256
17:15:21:176937,11043,1417,-10173,6401,1839,-700,490,-131,-142,198
17:15:21:182826,11043,1417,-10173,6401,1839,-700,490,-131,-142,198
17:15:21:198531,11043,1417,-10173,6401,1839,-700,490,-131,-142,198
17:15:21:199328,11021,1410,-10194,6409,1845,-709,507,-57,-175,136
17:15:21:205427,11021,1410,-10194,6409,1845,-709,507,-57,-175,136
17:15:21:221762,11021,1410,-10194,6409,1845,-709,507,-57,-175,136
17:15:21:222547,11002,1419,-10207,6417,1824,-706,534,16,-189,71
17:15:21:227891,11002,1419,-10207,6417,1824,-706,534,16,-189,71
17:15:21:236074,11002,1419,-10207,6417,1824,-706,534,16,-189,71
17:15:21:236862,10987,1441,-10216,6423,1803,-681,537,57,-190,12
17:15:21:242910,10987,1441,-10216,6423,1803,-681,537,57,-190,12
17:15:21:258603,10987,1441,-10216,6423,1803,-681,537,57,-190,12
17:15:21:259409,10977,1469,-10224,6422,1805,-663,518,59,-185,-43
17:15:21:265376,10977,1469,-10224,6422,1805,-663,518,59,-185,-43
