Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:25:40:908322,-1,-3,-2,-2,-1,-2,-1,-2
17:25:40:916442,-1,-3,-2,-2,-1,-2,-1,-2
17:25:40:917225,1,-2,0,-2,1,3,1,-1
17:25:40:930765,-2,-3,-1,0,-1,1,0,-1
17:25:40:938961,-2,-3,-1,0,-1,1,0,-1
17:25:40:939735,-1,1,5,0,-4,-4,-5,-3
17:25:40:945785,0,-4,-6,-1,1,0,1,-2
17:25:40:953299,0,-4,-6,-1,1,0,1,-2
17:25:40:960777,2,1,0,-2,1,1,-2,-1
17:25:40:968286,-2,2,-2,-4,-5,-1,0,-1
17:25:40:976521,-2,2,-2,-4,-5,-1,0,-1
17:25:40:977301,-2,-2,0,0,-1,-4,-2,0
17:25:40:990913,0,-2,-1,1,2,-4,-3,-2
17:25:40:998945,0,-2,-1,1,2,-4,-3,-2
17:25:40:999726,-1,-2,-12,-1,-1,1,1,-1
17:25:41:5775,0,-2,2,-1,-1,-2,0,1
17:25:41:13337,0,-2,2,-1,-1,-2,0,1
17:25:41:20908,-1,0,0,-1,3,4,1,-1
17:25:41:37266,-1,-2,-8,-3,-3,-2,-3,0
17:25:41:37898,-1,-2,-8,-3,-3,-2,-3,0
17:25:41:38682,0,2,1,0,-2,-1,0,-2
17:25:41:50733,-1,-2,1,-2,0,2,-1,-1
17:25:41:59027,-1,-2,1,-2,0,2,-1,-1
17:25:41:59705,-2,-1,0,-1,-2,-4,-1,1
17:25:41:65743,-2,-2,-15,-1,0,0,-1,-2
17:25:41:89679,-2,-2,-15,-1,0,0,-1,-2
17:25:41:90467,-1,-1,2,-1,1,0,-1,-5
17:25:41:91216,-1,-3,5,0,-1,-1,-3,-3
17:25:41:96446,-1,-3,5,0,-1,-1,-3,-3
17:25:41:97293,2,-1,1,-2,-4,-1,0,4
17:25:41:110797,-2,0,2,0,-2,0,0,-1
17:25:41:119034,-2,0,2,0,-2,0,0,-1
17:25:41:119763,-2,-1,-8,-3,-2,-3,0,-2
17:25:41:125869,0,1,0,-1,-2,0,-2,0
17:25:41:141592,0,1,0,-1,-2,0,-2,0
17:25:41:142363,-2,-2,4,-3,-1,-1,-3,0
17:25:41:157194,1,0,1,-2,1,1,-1,-4
17:25:41:158022,1,0,1,-2,1,1,-1,-4
17:25:41:158695,-3,-4,1,1,2,5,2,-1
17:25:41:170797,0,-1,8,3,0,-3,-2,0
17:25:41:179023,0,-1,8,3,0,-3,-2,0
17:25:41:179782,1,-1,-4,-2,0,-4,0,2
17:25:41:185818,-2,0,-2,-1,-4,-4,0,1
17:25:41:193344,-2,0,-2,-1,-4,-4,0,1
17:25:41:200702,-2,-2,1,-2,-1,1,-3,-3
17:25:41:217111,-2,-3,0,-2,1,0,3,-1
17:25:41:217905,-2,-3,0,-2,1,0,3,-1
17:25:41:218749,-2,3,0,-2,-2,-1,-2,-1
17:25:41:230811,-1,-1,-1,-1,-2,-3,-3,-2
17:25:41:239008,-1,-1,-1,-1,-2,-3,-3,-2
17:25:41:239708,0,1,8,0,-2,-3,-2,-3
17:25:41:254148,-1,-2,-1,-1,2,0,0,-1
17:25:41:254780,-1,-2,-1,-1,2,0,0,-1
17:25:41:268895,-1,0,0,0,0,-1,0,1
17:25:41:269684,0,0,0,-1,-2,2,-1,0
17:25:41:276612,0,0,0,-1,-2,2,-1,0
17:25:41:277293,-1,-2,-8,1,-1,0,1,-2
17:25:41:290770,-1,0,-4,-2,-2,-2,0,1
17:25:41:306530,-1,0,-4,-2,-2,-2,0,1
17:25:41:307283,0,-2,-4,0,0,-4,-4,-3
17:25:41:313990,-1,1,6,-2,0,-1,-2,-4
17:25:41:314716,-1,1,6,-2,0,-1,-2,-4
17:25:41:320888,0,0,-1,1,-1,-1,-1,-1
17:25:41:328250,0,-3,-4,0,0,1,-1,-2
17:25:41:335892,0,-3,-4,0,0,1,-1,-2
17:25:41:343240,0,-1,-5,-3,-6,-1,-1,0
17:25:41:350779,-1,-3,-3,-1,1,-1,3,-2
17:25:41:359664,-1,-3,-3,-1,1,-1,3,-2
17:25:41:360390,-2,0,-1,-2,-2,-2,0,-2
17:25:41:374102,-2,-3,-5,2,0,-2,-1,-2
17:25:41:374866,-2,-3,-5,2,0,-2,-1,-2
17:25:41:380767,-1,-1,8,-1,0,-1,0,-3
17:25:41:388263,0,2,-1,-1,-3,2,-2,-1
17:25:41:395881,0,2,-1,-1,-3,2,-2,-1
17:25:41:403246,0,1,0,-2,0,-1,0,0
17:25:41:435980,-2,-2,-1,0,-1,-5,-5,0
17:25:41:436738,-2,-2,-1,0,-1,-5,-5,0
17:25:41:437580,-3,-3,-3,-3,-1,0,-3,-4
17:25:41:438411,0,0,2,-2,-1,1,0,0
17:25:41:441463,0,0,2,-2,-1,1,0,0
17:25:41:442239,-1,-3,-7,2,0,-2,-2,0
17:25:41:448321,0,-2,0,-3,1,-4,0,1
17:25:41:455789,0,-2,0,-3,1,-4,0,1
17:25:41:480303,-2,-2,-9,-3,0,2,0,-1
17:25:41:481007,-1,0,-3,0,-3,0,-3,-2
17:25:41:481829,-1,0,-3,0,-3,0,-3,-2
17:25:41:482626,-2,-2,4,0,1,0,-3,-1
17:25:41:493976,-1,-1,4,0,-2,0,-5,0
17:25:41:494755,-1,-1,4,0,-2,0,-5,0
17:25:41:500780,0,1,0,-3,-2,-4,1,-1
17:25:41:508295,-2,0,0,-1,0,0,1,-1
17:25:41:515799,-2,0,0,-1,0,0,1,-1
17:25:41:531379,-1,-2,-13,-4,1,-4,-1,-2
17:25:41:532174,-1,1,-4,-1,-3,-5,-1,0
17:25:41:546535,-1,1,-4,-1,-3,-5,-1,0
17:25:41:547243,-1,-1,5,0,-3,0,-1,1
17:25:41:553929,-1,-2,-2,1,1,2,-1,0
17:25:41:554789,-1,-2,-2,1,1,2,-1,0
17:25:41:560778,0,0,2,0,0,-1,-2,0
17:25:41:568268,-1,-4,-4,-3,-1,-3,1,-2
17:25:41:583966,-1,-4,-4,-3,-1,-3,1,-2
17:25:41:584762,0,-1,7,-2,-2,1,0,0
17:25:41:590759,0,-2,1,-1,1,2,0,-2
17:25:41:599102,0,-2,1,-1,1,2,0,-2
17:25:41:599801,-1,-4,1,2,-1,0,-1,0
17:25:41:613968,-1,1,-3,0,-1,-4,1,-2
17:25:41:614716,-1,1,-3,0,-1,-4,1,-2
17:25:41:620855,-2,0,-2,-1,-1,-2,-1,-2
17:25:41:628261,-2,-2,-1,-1,-4,-1,0,-3
17:25:41:643933,-2,-2,-1,-1,-4,-1,0,-3
17:25:41:644716,-2,-1,-6,-3,-3,-1,0,-1
17:25:41:650769,1,-3,-6,-1,0,-3,1,1
17:25:41:658977,1,-3,-6,-1,0,-3,1,1
17:25:41:659759,0,-3,-3,-1,0,0,-2,-1
17:25:41:674002,-2,1,3,0,0,0,-2,-1
17:25:41:674752,-2,1,3,0,0,0,-2,-1
17:25:41:680698,0,1,1,-1,-1,-2,-1,-1
17:25:41:696451,1,1,0,-1,0,-1,-3,-2
17:25:41:697252,1,1,0,-1,0,-1,-3,-2
17:25:41:711452,-1,0,0,0,2,0,1,-2
17:25:41:712222,-2,0,0,-1,0,3,0,-2
17:25:41:718974,-2,0,0,-1,0,3,0,-2
17:25:41:719741,1,1,3,-1,2,1,-2,-1
17:25:41:734134,-2,-5,-17,-3,-5,-5,-3,-1
17:25:41:734744,-2,-5,-17,-3,-5,-5,-3,-1
17:25:41:748885,-1,0,-4,2,-2,-2,0,-2
