Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:25:40:908322,1238,-10799,2825,-11929,1870,-696,148,8,-3,1
17:25:40:916442,1238,-10800,2825,-11929,1872,-693,143,5,-3,4
17:25:40:917225,1238,-10800,2825,-11929,1872,-693,143,5,-3,4
17:25:40:930765,1238,-10800,2825,-11929,1872,-693,143,5,-3,4
17:25:40:938961,1238,-10799,2825,-11930,1863,-702,148,1,-2,2
17:25:40:939735,1238,-10799,2825,-11930,1863,-702,148,1,-2,2
17:25:40:945785,1238,-10799,2825,-11930,1863,-702,148,1,-2,2
17:25:40:953299,1238,-10799,2825,-11930,1868,-701,154,0,1,1
17:25:40:960777,1238,-10799,2825,-11930,1868,-701,154,0,1,1
17:25:40:968286,1238,-10799,2825,-11930,1868,-701,154,0,1,1
17:25:40:976521,1238,-10799,2825,-11930,1868,-698,145,1,2,3
17:25:40:977301,1238,-10799,2825,-11930,1868,-698,145,1,2,3
17:25:40:990913,1238,-10799,2825,-11930,1868,-698,145,1,2,3
17:25:40:998945,1238,-10799,2825,-11930,1862,-705,153,-2,3,0
17:25:40:999726,1238,-10799,2825,-11930,1862,-705,153,-2,3,0
17:25:41:5775,1238,-10799,2825,-11930,1862,-705,153,-2,3,0
17:25:41:13337,1238,-10799,2825,-11930,1877,-697,143,-6,6,-6
17:25:41:20908,1238,-10799,2825,-11930,1877,-697,143,-6,6,-6
17:25:41:37266,1238,-10799,2825,-11930,1877,-697,143,-6,6,-6
17:25:41:37898,1238,-10799,2824,-11930,1866,-696,141,-1,9,0
17:25:41:38682,1238,-10799,2824,-11930,1866,-696,141,-1,9,0
17:25:41:50733,1238,-10799,2824,-11930,1866,-696,141,-1,9,0
17:25:41:59027,1237,-10799,2824,-11930,1866,-687,146,-5,6,5
17:25:41:59705,1237,-10799,2824,-11930,1866,-687,146,-5,6,5
17:25:41:65743,1237,-10799,2824,-11930,1866,-687,146,-5,6,5
17:25:41:89679,1237,-10799,2824,-11930,1858,-704,155,-12,2,3
17:25:41:90467,1237,-10799,2824,-11930,1858,-704,155,-12,2,3
17:25:41:91216,1237,-10799,2824,-11930,1858,-704,155,-12,2,3
17:25:41:96446,1238,-10799,2825,-11930,1872,-723,157,-7,6,-10
17:25:41:97293,1238,-10799,2825,-11930,1872,-723,157,-7,6,-10
17:25:41:110797,1238,-10799,2825,-11930,1872,-723,157,-7,6,-10
17:25:41:119034,1238,-10799,2824,-11930,1879,-699,143,5,11,-7
17:25:41:119763,1238,-10799,2824,-11930,1879,-699,143,5,11,-7
17:25:41:125869,1238,-10799,2824,-11930,1879,-699,143,5,11,-7
17:25:41:141592,1237,-10799,2824,-11930,1869,-683,149,6,14,5
17:25:41:142363,1237,-10799,2824,-11930,1869,-683,149,6,14,5
17:25:41:157194,1237,-10799,2824,-11930,1869,-683,149,6,14,5
17:25:41:158022,1237,-10799,2824,-11931,1865,-672,149,-3,5,1
17:25:41:158695,1237,-10799,2824,-11931,1865,-672,149,-3,5,1
17:25:41:170797,1237,-10799,2824,-11931,1865,-672,149,-3,5,1
17:25:41:179023,1237,-10799,2823,-11931,1857,-694,154,-15,0,1
17:25:41:179782,1237,-10799,2823,-11931,1857,-694,154,-15,0,1
17:25:41:185818,1237,-10799,2823,-11931,1857,-694,154,-15,0,1
17:25:41:193344,1236,-10798,2827,-11931,1867,-721,146,-18,3,-1
17:25:41:200702,1236,-10798,2827,-11931,1867,-721,146,-18,3,-1
17:25:41:217111,1236,-10798,2827,-11931,1867,-721,146,-18,3,-1
17:25:41:217905,1236,-10798,2827,-11931,1866,-705,151,-7,11,3
17:25:41:218749,1236,-10798,2827,-11931,1866,-705,151,-7,11,3
17:25:41:230811,1236,-10798,2827,-11931,1866,-705,151,-7,11,3
17:25:41:239008,1236,-10796,2828,-11932,1866,-696,141,-2,17,6
17:25:41:239708,1236,-10796,2828,-11932,1866,-696,141,-2,17,6
17:25:41:254148,1236,-10796,2828,-11932,1866,-696,141,-2,17,6
17:25:41:254780,1236,-10796,2828,-11933,1867,-696,149,-12,14,5
17:25:41:268895,1236,-10796,2828,-11933,1867,-696,149,-12,14,5
17:25:41:269684,1236,-10796,2828,-11933,1867,-696,149,-12,14,5
17:25:41:276612,1233,-10793,2831,-11934,1863,-703,154,-22,14,-1
17:25:41:277293,1233,-10793,2831,-11934,1863,-703,154,-22,14,-1
17:25:41:290770,1233,-10793,2831,-11934,1863,-703,154,-22,14,-1
17:25:41:306530,1233,-10793,2831,-11934,1859,-708,163,-10,14,6
17:25:41:307283,1233,-10793,2831,-11934,1859,-708,163,-10,14,6
17:25:41:313990,1233,-10793,2831,-11934,1859,-708,163,-10,14,6
17:25:41:314716,1232,-10790,2832,-11937,1864,-703,155,-6,17,3
17:25:41:320888,1232,-10790,2832,-11937,1864,-703,155,-6,17,3
17:25:41:328250,1232,-10790,2832,-11937,1864,-703,155,-6,17,3
17:25:41:335892,1232,-10786,2833,-11940,1869,-705,175,-7,16,3
17:25:41:343240,1232,-10786,2833,-11940,1869,-705,175,-7,16,3
17:25:41:350779,1232,-10786,2833,-11940,1869,-705,175,-7,16,3
17:25:41:359664,1232,-10786,2833,-11941,1868,-702,171,-4,15,3
17:25:41:360390,1232,-10786,2833,-11941,1868,-702,171,-4,15,3
17:25:41:374102,1232,-10786,2833,-11941,1868,-702,171,-4,15,3
17:25:41:374866,1232,-10785,2833,-11941,1865,-703,166,-6,13,3
17:25:41:380767,1232,-10785,2833,-11941,1865,-703,166,-6,13,3
17:25:41:388263,1232,-10785,2833,-11941,1865,-703,166,-6,13,3
17:25:41:395881,1232,-10785,2833,-11941,1866,-701,169,1,10,3
17:25:41:403246,1232,-10785,2833,-11941,1866,-701,169,1,10,3
17:25:41:435980,1232,-10785,2833,-11941,1866,-701,169,1,10,3
17:25:41:436738,1232,-10785,2833,-11941,1863,-710,146,4,6,4
17:25:41:437580,1232,-10785,2833,-11941,1863,-710,146,4,6,4
17:25:41:438411,1232,-10785,2833,-11941,1863,-710,146,4,6,4
17:25:41:441463,1232,-10785,2833,-11942,1869,-708,160,1,10,2
17:25:41:442239,1232,-10785,2833,-11942,1869,-708,160,1,10,2
17:25:41:448321,1232,-10785,2833,-11942,1869,-708,160,1,10,2
17:25:41:455789,1232,-10784,2833,-11942,1865,-708,161,3,7,3
17:25:41:480303,1232,-10784,2833,-11942,1865,-708,161,3,7,3
17:25:41:481007,1232,-10784,2833,-11942,1865,-708,161,3,7,3
17:25:41:481829,1232,-10784,2833,-11942,1864,-696,154,2,8,5
17:25:41:482626,1232,-10784,2833,-11942,1864,-696,154,2,8,5
17:25:41:493976,1232,-10784,2833,-11942,1864,-696,154,2,8,5
17:25:41:494755,1232,-10784,2833,-11942,1871,-699,163,-2,11,4
17:25:41:500780,1232,-10784,2833,-11942,1871,-699,163,-2,11,4
17:25:41:508295,1232,-10784,2833,-11942,1871,-699,163,-2,11,4
17:25:41:515799,1232,-10784,2833,-11942,1879,-701,163,1,10,4
17:25:41:531379,1232,-10784,2833,-11942,1879,-701,163,1,10,4
17:25:41:532174,1232,-10784,2833,-11942,1879,-701,163,1,10,4
17:25:41:546535,1232,-10783,2833,-11943,1865,-713,168,6,9,3
17:25:41:547243,1232,-10783,2833,-11943,1865,-713,168,6,9,3
17:25:41:553929,1232,-10783,2833,-11943,1865,-713,168,6,9,3
17:25:41:554789,1232,-10783,2833,-11943,1866,-702,170,4,7,2
17:25:41:560778,1232,-10783,2833,-11943,1866,-702,170,4,7,2
17:25:41:568268,1232,-10783,2833,-11943,1866,-702,170,4,7,2
17:25:41:583966,1232,-10783,2832,-11943,1873,-701,153,1,7,1
17:25:41:584762,1232,-10783,2832,-11943,1873,-701,153,1,7,1
17:25:41:590759,1232,-10783,2832,-11943,1873,-701,153,1,7,1
17:25:41:599102,1233,-10783,2833,-11943,1864,-716,152,-1,7,4
17:25:41:599801,1233,-10783,2833,-11943,1864,-716,152,-1,7,4
17:25:41:613968,1233,-10783,2833,-11943,1864,-716,152,-1,7,4
17:25:41:614716,1232,-10783,2832,-11943,1863,-691,159,2,3,0
17:25:41:620855,1232,-10783,2832,-11943,1863,-691,159,2,3,0
17:25:41:628261,1232,-10783,2832,-11943,1863,-691,159,2,3,0
17:25:41:643933,1232,-10783,2832,-11944,1870,-704,156,0,2,0
17:25:41:644716,1232,-10783,2832,-11944,1870,-704,156,0,2,0
17:25:41:650769,1232,-10783,2832,-11944,1870,-704,156,0,2,0
17:25:41:658977,1232,-10782,2832,-11944,1869,-702,156,3,3,0
17:25:41:659759,1232,-10782,2832,-11944,1869,-702,156,3,3,0
17:25:41:674002,1232,-10782,2832,-11944,1869,-702,156,3,3,0
17:25:41:674752,1233,-10782,2832,-11944,1867,-712,161,3,5,0
17:25:41:680698,1233,-10782,2832,-11944,1867,-712,161,3,5,0
17:25:41:696451,1233,-10782,2832,-11944,1867,-712,161,3,5,0
17:25:41:697252,1233,-10782,2832,-11944,1865,-700,155,1,8,2
17:25:41:711452,1233,-10782,2832,-11944,1865,-700,155,1,8,2
17:25:41:712222,1233,-10782,2832,-11944,1865,-700,155,1,8,2
17:25:41:718974,1233,-10782,2832,-11944,1855,-702,151,3,6,1
17:25:41:719741,1233,-10782,2832,-11944,1855,-702,151,3,6,1
17:25:41:734134,1233,-10782,2832,-11944,1855,-702,151,3,6,1
17:25:41:734744,1233,-10782,2832,-11944,1862,-698,155,-2,11,0
17:25:41:748885,1233,-10782,2832,-11944,1862,-698,155,-2,11,0
17:25:41:749672,1233,-10782,2832,-11944,1862,-698,155,-2,11,0
17:25:41:755884,1233,-10782,2832,-11944,1871,-694,158,-3,15,-2
17:25:41:763275,1233,-10782,2832,-11944,1871,-694,158,-3,15,-2
17:25:41:770779,1233,-10782,2832,-11944,1871,-694,158,-3,15,-2
17:25:41:779069,1232,-10782,2832,-11944,1869,-686,141,-3,12,6
17:25:41:779746,1232,-10782,2832,-11944,1869,-686,141,-3,12,6
17:25:41:810253,1232,-10782,2832,-11944,1869,-686,141,-3,12,6
17:25:41:811073,1231,-10779,2834,-11946,1866,-692,156,-11,18,7
17:25:41:811881,1231,-10779,2834,-11946,1866,-692,156,-11,18,7
17:25:41:812669,1231,-10779,2834,-11946,1866,-692,156,-11,18,7
17:25:41:815721,1228,-10778,2838,-11947,1873,-723,141,-26,16,0
17:25:41:823294,1228,-10778,2838,-11947,1873,-723,141,-26,16,0
17:25:41:830756,1228,-10778,2838,-11947,1873,-723,141,-26,16,0
17:25:41:838977,1227,-10776,2840,-11949,1874,-720,142,-9,21,-6
17:25:41:839773,1227,-10776,2840,-11949,1874,-720,142,-9,21,-6
17:25:41:862205,1227,-10776,2840,-11949,1874,-720,142,-9,21,-6
17:25:41:862971,1228,-10771,2840,-11952,1874,-703,171,5,20,5
17:25:41:863720,1228,-10771,2840,-11952,1874,-703,171,5,20,5
17:25:41:868266,1228,-10771,2840,-11952,1874,-703,171,5,20,5
17:25:41:875831,1227,-10771,2840,-11953,1870,-698,172,-9,10,0
