Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
14:14:09:187625,-11071,6153,4266,-9478,-116,-1673,1193,-26,41,88
14:14:09:188436,-11045,6193,4277,-9477,-180,-1602,1244,-286,52,112
14:14:09:189247,-11045,6193,4277,-9477,-180,-1602,1244,-286,52,112
14:14:09:210107,-11045,6193,4277,-9477,-180,-1602,1244,-286,52,112
14:14:09:210887,-11004,6269,4311,-9459,-295,-1782,1266,-521,64,52
14:14:09:211681,-11004,6269,4311,-9459,-295,-1782,1266,-521,64,52
14:14:09:216324,-11004,6269,4311,-9459,-295,-1782,1266,-521,64,52
14:14:09:223794,-10977,6320,4327,-9449,-271,-1795,1218,-311,62,62
14:14:09:239479,-10977,6320,4327,-9449,-271,-1795,1218,-311,62,62
14:14:09:240255,-10977,6320,4327,-9449,-271,-1795,1218,-311,62,62
14:14:09:247040,-10970,6338,4322,-9447,-221,-1773,1199,-69,64,42
14:14:09:247736,-10970,6338,4322,-9447,-221,-1773,1199,-69,64,42
14:14:09:270131,-10970,6338,4322,-9447,-221,-1773,1199,-69,64,42
14:14:09:270916,-10958,6365,4319,-9445,-224,-1679,1194,-143,78,64
14:14:09:271741,-10958,6365,4319,-9445,-224,-1679,1194,-143,78,64
14:14:09:276283,-10958,6365,4319,-9445,-224,-1679,1194,-143,78,64
14:14:09:283963,-10933,6397,4323,-9450,-291,-1884,1397,-240,28,109
14:14:09:291283,-10933,6397,4323,-9450,-291,-1884,1397,-240,28,109
14:14:09:298773,-10933,6397,4323,-9450,-291,-1884,1397,-240,28,109
14:14:09:306947,-10907,6417,4330,-9463,-385,-2036,1461,-182,-69,82
14:14:09:307718,-10907,6417,4330,-9463,-385,-2036,1461,-182,-69,82
14:14:09:322018,-10907,6417,4330,-9463,-385,-2036,1461,-182,-69,82
14:14:09:322785,-10903,6402,4337,-9475,-271,-2004,1397,18,-110,6
14:14:09:328777,-10903,6402,4337,-9475,-271,-2004,1397,18,-110,6
14:14:09:336366,-10903,6402,4337,-9475,-271,-2004,1397,18,-110,6
14:14:09:343869,-10898,6387,4336,-9491,-201,-1720,1093,105,-92,52
14:14:09:351361,-10898,6387,4336,-9491,-201,-1720,1093,105,-92,52
14:14:09:359449,-10898,6387,4336,-9491,-201,-1720,1093,105,-92,52
14:14:09:360250,-10870,6424,4348,-9493,-276,-1637,888,-145,0,95
14:14:09:366411,-10870,6424,4348,-9493,-276,-1637,888,-145,0,95
14:14:09:381948,-10870,6424,4348,-9493,-276,-1637,888,-145,0,95
14:14:09:382752,-10844,6490,4375,-9466,-306,-1767,926,-327,93,-16
14:14:09:388780,-10844,6490,4375,-9466,-306,-1767,926,-327,93,-16
14:14:09:396279,-10844,6490,4375,-9466,-306,-1767,926,-327,93,-16
14:14:09:403787,-10840,6523,4384,-9443,-241,-1848,1091,-145,111,-48
14:14:09:411285,-10840,6523,4384,-9443,-241,-1848,1091,-145,111,-48
14:14:09:419528,-10840,6523,4384,-9443,-241,-1848,1091,-145,111,-48
14:14:09:420226,-10839,6524,4381,-9444,-214,-1878,1229,-1,17,27
14:14:09:426214,-10839,6524,4381,-9444,-214,-1878,1229,-1,17,27
14:14:09:441945,-10839,6524,4381,-9444,-214,-1878,1229,-1,17,27
14:14:09:442733,-10837,6508,4374,-9461,-163,-1662,1109,87,-55,79
14:14:09:448766,-10837,6508,4374,-9461,-163,-1662,1109,87,-55,79
14:14:09:464467,-10837,6508,4374,-9461,-163,-1662,1109,87,-55,79
14:14:09:465250,-10822,6527,4379,-9463,-218,-1579,1029,-122,12,67
14:14:09:471293,-10822,6527,4379,-9463,-218,-1579,1029,-122,12,67
14:14:09:487646,-10822,6527,4379,-9463,-218,-1579,1029,-122,12,67
14:14:09:488458,-10796,6566,4409,-9452,-337,-1726,1021,-279,-39,-17
14:14:09:489243,-10796,6566,4409,-9452,-337,-1726,1021,-279,-39,-17
14:14:09:502075,-10796,6566,4409,-9452,-337,-1726,1021,-279,-39,-17
14:14:09:502769,-10789,6572,4430,-9445,-258,-1941,1225,-115,-53,-47
14:14:09:517063,-10789,6572,4430,-9445,-258,-1941,1225,-115,-53,-47
14:14:09:517748,-10789,6572,4430,-9445,-258,-1941,1225,-115,-53,-47
14:14:09:523812,-10810,6535,4418,-9453,-140,-1850,1197,227,-35,-28
14:14:09:531279,-10810,6535,4418,-9453,-140,-1850,1197,227,-35,-28
14:14:09:540534,-10810,6535,4418,-9453,-140,-1850,1197,227,-35,-28
14:14:09:547139,-10823,6518,4400,-9458,-200,-1574,1083,129,22,-11
14:14:09:547813,-10823,6518,4400,-9458,-200,-1574,1083,129,22,-11
14:14:09:561984,-10823,6518,4400,-9458,-200,-1574,1083,129,22,-11
14:14:09:562765,-10815,6539,4407,-9450,-267,-1673,1079,-135,29,-15
14:14:09:576890,-10815,6539,4407,-9450,-267,-1673,1079,-135,29,-15
14:14:09:577693,-10815,6539,4407,-9450,-267,-1673,1079,-135,29,-15
14:14:09:583913,-10808,6562,4423,-9434,-239,-1785,1166,-192,34,-45
14:14:09:591263,-10808,6562,4423,-9434,-239,-1785,1166,-192,34,-45
14:14:09:599565,-10808,6562,4423,-9434,-239,-1785,1166,-192,34,-45
14:14:09:600298,-10811,6565,4431,-9425,-205,-1845,1181,-52,15,-41
14:14:09:606258,-10811,6565,4431,-9425,-205,-1845,1181,-52,15,-41
14:14:09:621979,-10811,6565,4431,-9425,-205,-1845,1181,-52,15,-41
14:14:09:622774,-10817,6553,4421,-9432,-186,-1719,1082,107,1,20
14:14:09:628735,-10817,6553,4421,-9432,-186,-1719,1082,107,1,20
14:14:09:636315,-10817,6553,4421,-9432,-186,-1719,1082,107,1,20
14:14:09:643845,-10817,6561,4415,-9429,-254,-1679,997,19,34,-9
14:14:09:651326,-10817,6561,4415,-9429,-254,-1679,997,19,34,-9
14:14:09:659505,-10817,6561,4415,-9429,-254,-1679,997,19,34,-9
14:14:09:660268,-10806,6599,4424,-9410,-339,-1748,1046,-198,75,-50
14:14:09:666367,-10806,6599,4424,-9410,-339,-1748,1046,-198,75,-50
14:14:09:682003,-10806,6599,4424,-9410,-339,-1748,1046,-198,75,-50
14:14:09:682796,-10805,6615,4432,-9396,-284,-1830,1105,-94,38,-72
14:14:09:688809,-10805,6615,4432,-9396,-284,-1830,1105,-94,38,-72
14:14:09:696294,-10805,6615,4432,-9396,-284,-1830,1105,-94,38,-72
14:14:09:703828,-10809,6614,4432,-9393,-214,-1798,1137,6,9,-17
14:14:09:711349,-10809,6614,4432,-9393,-214,-1798,1137,6,9,-17
14:14:09:719530,-10809,6614,4432,-9393,-214,-1798,1137,6,9,-17
14:14:09:720338,-10813,6604,4419,-9402,-198,-1723,1128,79,15,45
14:14:09:726294,-10813,6604,4419,-9402,-198,-1723,1128,79,15,45
14:14:09:741955,-10813,6604,4419,-9402,-198,-1723,1128,79,15,45
14:14:09:742812,-10811,6607,4408,-9406,-253,-1661,1062,20,24,32
14:14:09:748805,-10811,6607,4408,-9406,-253,-1661,1062,20,24,32
14:14:09:764543,-10811,6607,4408,-9406,-253,-1661,1062,20,24,32
14:14:09:765289,-10798,6624,4417,-9405,-275,-1752,1079,-118,-11,20
14:14:09:771289,-10798,6624,4417,-9405,-275,-1752,1079,-118,-11,20
14:14:09:779451,-10798,6624,4417,-9405,-275,-1752,1079,-118,-11,20
14:14:09:780325,-10792,6626,4416,-9411,-202,-1819,1147,-9,-2,59
14:14:09:794254,-10792,6626,4416,-9411,-202,-1819,1147,-9,-2,59
14:14:09:802132,-10792,6626,4416,-9411,-202,-1819,1147,-9,-2,59
14:14:09:802820,-10789,6618,4409,-9423,-159,-1689,1172,10,-7,87
14:14:09:808768,-10789,6618,4409,-9423,-159,-1689,1172,10,-7,87
14:14:09:824942,-10789,6618,4409,-9423,-159,-1689,1172,10,-7,87
14:14:09:825807,-10776,6621,4403,-9439,-205,-1707,1137,-28,-12,128
14:14:09:831375,-10776,6621,4403,-9439,-205,-1707,1137,-28,-12,128
14:14:09:839556,-10776,6621,4403,-9439,-205,-1707,1137,-28,-12,128
14:14:09:840389,-10769,6623,4395,-9450,-231,-1715,1090,14,0,87
14:14:09:854357,-10769,6623,4395,-9450,-231,-1715,1090,14,0,87
14:14:09:862036,-10769,6623,4395,-9450,-231,-1715,1090,14,0,87
14:14:09:862797,-10762,6621,4387,-9462,-240,-1725,1103,27,-18,82
14:14:09:868901,-10762,6621,4387,-9462,-240,-1725,1103,27,-18,82
14:14:09:885094,-10762,6621,4387,-9462,-240,-1725,1103,27,-18,82
14:14:09:885770,-10750,6623,4389,-9473,-202,-1740,1095,-22,-34,91
14:14:09:891300,-10750,6623,4389,-9473,-202,-1740,1095,-22,-34,91
14:14:09:899558,-10750,6623,4389,-9473,-202,-1740,1095,-22,-34,91
14:14:09:900280,-10741,6626,4390,-9482,-219,-1742,1112,-31,-21,76
14:14:09:913845,-10741,6626,4390,-9482,-219,-1742,1112,-31,-21,76
14:14:09:922027,-10741,6626,4390,-9482,-219,-1742,1112,-31,-21,76
14:14:09:922748,-10730,6631,4385,-9493,-257,-1726,1094,-18,-11,88
14:14:09:928740,-10730,6631,4385,-9493,-257,-1726,1094,-18,-11,88
14:14:09:944467,-10730,6631,4385,-9493,-257,-1726,1094,-18,-11,88
14:14:09:945267,-10721,6635,4378,-9504,-290,-1709,1095,-1,-14,71
14:14:09:951368,-10721,6635,4378,-9504,-290,-1709,1095,-1,-14,71
14:14:09:959470,-10721,6635,4378,-9504,-290,-1709,1095,-1,-14,71
14:14:09:960304,-10712,6633,4375,-9516,-287,-1720,1096,8,-42,55
14:14:09:973764,-10712,6633,4375,-9516,-287,-1720,1096,8,-42,55
14:14:09:982014,-10702,6634,4379,-9526,-238,-1794,1092,-8,-51,71
14:14:09:982763,-10702,6634,4379,-9526,-238,-1794,1092,-8,-51,71
14:14:09:988843,-10702,6634,4379,-9526,-238,-1794,1092,-8,-51,71
14:14:10:4549,-10690,6637,4382,-9535,-230,-1770,1039,2,-38,83
14:14:10:5303,-10690,6637,4382,-9535,-230,-1770,1039,2,-38,83
14:14:10:11236,-10690,6637,4382,-9535,-230,-1770,1039,2,-38,83
14:14:10:19555,-10675,6641,4384,-9548,-287,-1712,1021,-13,-55,83
14:14:10:20272,-10675,6641,4384,-9548,-287,-1712,1021,-13,-55,83
14:14:10:42600,-10675,6641,4384,-9548,-287,-1712,1021,-13,-55,83
14:14:10:43418,-10664,6641,4387,-9559,-290,-1760,1077,-7,-68,56
14:14:10:44212,-10664,6641,4387,-9559,-290,-1760,1077,-7,-68,56
14:14:10:48858,-10664,6641,4387,-9559,-290,-1760,1077,-7,-68,56
14:14:10:72691,-10665,6626,4390,-9568,-242,-1785,1098,75,-74,6
14:14:10:73509,-10665,6626,4390,-9568,-242,-1785,1098,75,-74,6
14:14:10:74327,-10665,6626,4390,-9568,-242,-1785,1098,75,-74,6
14:14:10:79530,-10664,6606,4389,-9582,-243,-1768,1121,91,-89,32
14:14:10:80368,-10664,6606,4389,-9582,-243,-1768,1121,91,-89,32
14:14:10:102710,-10664,6606,4389,-9582,-243,-1768,1121,91,-89,32
14:14:10:103404,-10659,6589,4392,-9598,-204,-1703,1087,65,-97,69
14:14:10:104284,-10659,6589,4392,-9598,-204,-1703,1087,65,-97,69
14:14:10:108715,-10659,6589,4392,-9598,-204,-1703,1087,65,-97,69
14:14:10:124517,-10647,6585,4396,-9613,-242,-1688,1092,-13,-77,77
14:14:10:125214,-10647,6585,4396,-9613,-242,-1688,1092,-13,-77,77
14:14:10:131318,-10647,6585,4396,-9613,-242,-1688,1092,-13,-77,77
14:14:10:139521,-10638,6576,4401,-9626,-280,-1790,1131,20,-96,43
14:14:10:140271,-10638,6576,4401,-9626,-280,-1790,1131,20,-96,43
14:14:10:153798,-10638,6576,4401,-9626,-280,-1790,1131,20,-96,43
14:14:10:162048,-10647,6544,4391,-9643,-225,-1763,1171,178,-81,22
14:14:10:162742,-10647,6544,4391,-9643,-225,-1763,1171,178,-81,22
14:14:10:168877,-10647,6544,4391,-9643,-225,-1763,1171,178,-81,22
14:14:10:184609,-10649,6525,4387,-9655,-215,-1680,1122,92,-64,31
14:14:10:185342,-10649,6525,4387,-9655,-215,-1680,1122,92,-64,31
14:14:10:191307,-10649,6525,4387,-9655,-215,-1680,1122,92,-64,31
14:14:10:199565,-10642,6525,4387,-9663,-266,-1648,1091,-21,-35,41
14:14:10:200226,-10642,6525,4387,-9663,-266,-1648,1091,-21,-35,41
14:14:10:213878,-10642,6525,4387,-9663,-266,-1648,1091,-21,-35,41
14:14:10:222034,-10630,6537,4391,-9666,-320,-1748,1111,-70,-18,31
14:14:10:222780,-10630,6537,4391,-9666,-320,-1748,1111,-70,-18,31
14:14:10:228805,-10630,6537,4391,-9666,-320,-1748,1111,-70,-18,31
14:14:10:244502,-10633,6528,4391,-9669,-256,-1834,1222,29,-28,-9
14:14:10:245259,-10633,6528,4391,-9669,-256,-1834,1222,29,-28,-9
14:14:10:251413,-10633,6528,4391,-9669,-256,-1834,1222,29,-28,-9
14:14:10:259416,-10645,6501,4372,-9683,-207,-1676,1154,179,-20,33
14:14:10:260211,-10645,6501,4372,-9683,-207,-1676,1154,179,-20,33
14:14:10:273801,-10645,6501,4372,-9683,-207,-1676,1154,179,-20,33
14:14:10:290180,-10640,6500,4364,-9693,-273,-1608,1075,21,-12,50
14:14:10:290942,-10640,6500,4364,-9693,-273,-1608,1075,21,-12,50
14:14:10:291729,-10640,6500,4364,-9693,-273,-1608,1075,21,-12,50
14:14:10:304517,-10625,6516,4376,-9693,-297,-1742,1117,-121,-24,31
14:14:10:305289,-10625,6516,4376,-9693,-297,-1742,1117,-121,-24,31
14:14:10:320189,-10625,6516,4376,-9693,-297,-1742,1117,-121,-24,31
14:14:10:320924,-10620,6514,4377,-9700,-264,-1806,1159,10,-33,39
14:14:10:321708,-10620,6514,4377,-9700,-264,-1806,1159,10,-33,39
14:14:10:333860,-10620,6514,4377,-9700,-264,-1806,1159,10,-33,39
14:14:10:350250,-10620,6496,4369,-9714,-227,-1716,1157,97,-53,54
14:14:10:350968,-10620,6496,4369,-9714,-227,-1716,1157,97,-53,54
14:14:10:351751,-10620,6496,4369,-9714,-227,-1716,1157,97,-53,54
14:14:10:364507,-10616,6487,4367,-9726,-236,-1706,1124,43,-48,57
14:14:10:365310,-10616,6487,4367,-9726,-236,-1706,1124,43,-48,57
14:14:10:371345,-10616,6487,4367,-9726,-236,-1706,1124,43,-48,57
14:14:10:379565,-10609,6484,4364,-9737,-262,-1680,1093,26,-35,62
14:14:10:380302,-10609,6484,4364,-9737,-262,-1680,1093,26,-35,62
14:14:10:393748,-10609,6484,4364,-9737,-262,-1680,1093,26,-35,62
14:14:10:410124,-10596,6490,4371,-9743,-243,-1706,1116,-63,-32,65
14:14:10:410921,-10596,6490,4371,-9743,-243,-1706,1116,-63,-32,65
14:14:10:411728,-10596,6490,4371,-9743,-243,-1706,1116,-63,-32,65
