Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
14:15:15:40682,-4,-5,-9,-6,-5,0,-2,-4
14:15:15:41454,0,2,2,-16,-4,-6,-2,-1
14:15:15:55623,-3,-5,2,7,-1,-5,1,-3
14:15:15:56397,-3,-5,2,7,-1,-5,1,-3
14:15:15:62394,-2,-2,-4,-5,-8,-1,-3,-1
14:15:15:70092,1,5,4,1,-2,1,1,1
14:15:15:77467,1,5,4,1,-2,1,1,1
14:15:15:84989,0,-3,1,-4,6,1,1,-4
14:15:15:92379,-3,4,2,-2,-6,0,-2,-2
14:15:15:100661,-3,4,2,-2,-6,0,-2,-2
14:15:15:101436,1,-3,-1,24,14,-1,1,0
14:15:15:115694,0,1,1,7,-6,-2,-2,3
14:15:15:116381,0,1,1,7,-6,-2,-2,3
14:15:15:122412,-2,2,0,-6,6,-1,0,-4
14:15:15:129911,-3,-5,-12,-27,-9,-7,-3,-3
14:15:15:137581,-3,-5,-12,-27,-9,-7,-3,-3
14:15:15:144877,1,-2,0,-17,-13,0,-2,2
14:15:15:152497,-2,-3,1,-1,3,4,-3,-1
14:15:15:160639,-2,-3,1,-1,3,4,-3,-1
14:15:15:161395,-3,0,-2,0,-4,-4,3,1
14:15:15:175580,1,0,3,0,8,0,0,-1
14:15:15:176407,1,0,3,0,8,0,0,-1
14:15:15:182458,0,0,-4,-3,-1,0,-2,-3
14:15:15:189897,-2,-2,-2,8,14,3,-2,1
14:15:15:197561,-2,-2,-2,8,14,3,-2,1
14:15:15:204949,-3,-2,-3,-8,-5,1,0,2
14:15:15:212422,0,0,4,12,-5,4,4,-2
14:15:15:220697,0,0,4,12,-5,4,4,-2
14:15:15:221504,1,0,-2,15,9,0,-5,-1
14:15:15:235741,-3,0,-2,3,9,1,-3,0
14:15:15:236457,-3,0,-2,3,9,1,-3,0
14:15:15:242389,3,1,3,0,4,-5,0,0
14:15:15:249915,-3,-3,1,-4,-9,-5,1,1
14:15:15:257522,-3,-3,1,-4,-9,-5,1,1
14:15:15:264980,-4,-2,-4,0,2,2,-1,-5
14:15:15:272463,2,0,-4,-17,-1,-1,-3,-2
14:15:15:280729,2,0,-4,-17,-1,-1,-3,-2
14:15:15:281392,-2,-1,0,9,-3,4,1,0
14:15:15:295554,0,1,-3,13,8,-2,-3,0
14:15:15:296424,0,1,-3,13,8,-2,-3,0
14:15:15:302538,2,-3,-6,-14,-15,-2,-3,0
14:15:15:309921,-1,4,4,0,-16,-2,-1,0
14:15:15:317531,-1,4,4,0,-16,-2,-1,0
14:15:15:324932,-2,2,5,-1,16,0,1,-1
14:15:15:332497,1,1,-4,-12,-3,-4,-1,0
14:15:15:340638,1,1,-4,-12,-3,-4,-1,0
14:15:15:341394,-2,-3,-2,-17,-15,2,0,1
14:15:15:355589,1,0,5,-9,-6,-5,-4,0
14:15:15:356444,1,0,5,-9,-6,-5,-4,0
14:15:15:362398,-2,0,1,-4,-14,-10,-1,-3
14:15:15:369963,-3,-6,-4,-1,-2,0,1,-4
14:15:15:377437,-3,-6,-4,-1,-2,0,1,-4
14:15:15:384973,-1,-3,-4,-6,10,6,-1,-1
14:15:15:393080,-1,1,-3,-17,-6,2,0,1
14:15:15:393925,-1,1,-3,-17,-6,2,0,1
14:15:15:399908,-4,-5,-10,3,15,0,0,2
14:15:15:415658,1,-5,-7,-18,-8,-5,-5,-4
