Time,FT1,FT2,X,Y,Z
14:16:19:350617,0,0,-0.125,0.465,0.01
14:16:19:355782,0,0,-0.125,0.465037,0.01
14:16:19:360741,0,0,-0.125,0.465043,0.01
14:16:19:365743,0,0,-0.125,0.465048,0.01
14:16:19:370870,0,0,-0.125,0.465054,0.01
14:16:19:375868,0,0,-0.125,0.465054,0.01
14:16:19:380999,0,0,-0.125,0.465059,0.01
14:16:19:386149,0,0,-0.125,0.46506,0.01
14:16:19:391119,0,0,-0.125,0.46506,0.01
14:16:19:396104,0,0,-0.125,0.465065,0.01
14:16:19:401142,0,0,-0.125,0.465065,0.01
14:16:19:406402,0,0,-0.125,0.465065,0.01
14:16:19:411380,0,0,-0.125,0.465065,0.01
14:16:19:416380,0,0,-0.125,0.465065,0.01
14:16:19:421407,0,0,-0.125,0.465065,0.01
14:16:19:426374,0,0,-0.125,0.465065,0.01
14:16:19:431610,0,0,-0.125,0.465065,0.01
14:16:19:436744,0,0,-0.125,0.465065,0.01
14:16:19:441761,0,0,-0.125,0.465065,0.01
14:16:19:446895,0,0,-0.125,0.465065,0.01
14:16:19:452015,0,0,-0.125,0.465065,0.01
14:16:19:456992,0,0,-0.125,0.465065,0.01
14:16:19:462006,0,0,-0.125,0.46507,0.01
14:16:19:467111,0,0,-0.125,0.46507,0.01
14:16:19:472107,0,0,-0.125,0.46507,0.01
14:16:19:477242,0,0,-0.125,0.46507,0.01
14:16:19:482252,0,0,-0.125,0.46507,0.01
14:16:19:487434,0,0,-0.125,0.46507,0.01
14:16:19:492258,0,0,-0.125,0.465071,0.01
14:16:19:497497,0,0,-0.125007,0.465071,0.01
14:16:19:502606,0,0,-0.125007,0.465071,0.01
14:16:19:507663,0,0,-0.125007,0.465071,0.01
14:16:19:512624,0,0,-0.125007,0.465071,0.01
14:16:19:517730,0,0,-0.125007,0.465071,0.01
14:16:19:522910,0,0,-0.125007,0.465071,0.01
14:16:19:527869,0,0,-0.125007,0.465071,0.01
14:16:19:533000,0,0,-0.125007,0.465071,0.01
14:16:19:537989,0,0,-0.125007,0.465071,0.01
14:16:19:543128,0,0,-0.125007,0.465071,0.01
14:16:19:548124,0,0,-0.125007,0.465071,0.01
14:16:19:553247,0,0,-0.125007,0.465071,0.01
14:16:19:558162,0,0,-0.125007,0.465071,0.01
14:16:19:563413,0,0,-0.125007,0.465071,0.01
14:16:19:568353,0,0,-0.125007,0.465071,0.01
14:16:19:573502,0,0,-0.125007,0.465071,0.01
14:16:19:578527,0,0,-0.125007,0.465071,0.01
14:16:19:583621,0,0,-0.125007,0.465071,0.01
14:16:19:588657,0,0,-0.125007,0.465071,0.01
14:16:19:593748,0.115,0.011,-0.125007,0.465071,0.01
14:16:19:598733,0.078,0.02,-0.125007,0.465071,0.01
14:16:19:603984,0.066,0.024,-0.125007,0.465075,0.01
14:16:19:608875,0.071,0.044,-0.125007,0.465075,0.01
14:16:19:613850,0.07,0.057,-0.125007,0.465075,0.01
14:16:19:619146,0.059,0.055,-0.125007,0.465075,0.01
14:16:19:624108,0.056,0.037,-0.125007,0.465075,0.01
14:16:19:629107,0.054,0.002,-0.125007,0.465075,0.01
14:16:19:634227,0.034,-0.019,-0.125007,0.465075,0.01
14:16:19:639373,-0.027,-0.04,-0.125007,0.465075,0.01
14:16:19:644353,-0.064,-0.037,-0.125007,0.465075,0.01
14:16:19:649366,-0.065,-0.002,-0.125007,0.465075,0.01
14:16:19:654491,-0.037,0.023,-0.125007,0.465075,0.01
14:16:19:659616,0.002,0.016,-0.125007,0.465075,0.01
14:16:19:664633,0.013,-0.048,-0.125007,0.465075,0.01
14:16:19:669760,0.022,-0.082,-0.125007,0.465075,0.01
14:16:19:674867,0.056,-0.057,-0.125007,0.465075,0.01
14:16:19:679727,0.082,0.001,-0.125007,0.465075,0.01
14:16:19:684791,0.093,0.074,-0.125007,0.465075,0.01
14:16:19:689998,0.078,0.079,-0.125007,0.465075,0.01
14:16:19:694978,0.048,0.034,-0.125007,0.465075,0.01
14:16:19:700101,0.04,0.002,-0.125007,0.465075,0.01
14:16:19:705232,0.041,-0.024,-0.125007,0.465075,0.01
14:16:19:710254,0.034,-0.032,-0.125007,0.465075,0.01
14:16:19:715274,0.002,-0.034,-0.125007,0.465075,0.01
14:16:19:720385,-0.022,-0.025,-0.125007,0.465075,0.01
14:16:19:725357,-0.03,-0.003,-0.125007,0.465075,0.01
14:16:19:730409,-0.007,0.005,-0.125007,0.465075,0.01
14:16:19:735628,0.05,0.007,-0.125007,0.465075,0.01
14:16:19:740671,0.079,0.011,-0.125007,0.465075,0.01
14:16:19:745622,0.07,0.024,-0.125007,0.465075,0.01
14:16:19:750750,0.018,0.029,-0.125007,0.465075,0.01
14:16:19:755907,0,0.021,-0.125007,0.465075,0.01
14:16:19:760854,0.035,0.003,-0.125007,0.465075,0.01
14:16:19:765855,0.077,-0.005,-0.125007,0.465075,0.01
14:16:19:770981,0.099,-0.012,-0.125007,0.465075,0.01
14:16:19:776033,0.076,-0.01,-0.125007,0.465075,0.01
14:16:19:781135,0.031,0,-0.125007,0.465075,0.01
14:16:19:786267,0.019,0.01,-0.125007,0.465075,0.01
14:16:19:791278,0.009,0.024,-0.125007,0.465075,0.01
14:16:19:796250,-0.007,0.032,-0.125007,0.465075,0.01
14:16:19:801372,-0.027,0.038,-0.125007,0.465075,0.01
14:16:19:806518,-0.012,0.034,-0.125007,0.465075,0.01
14:16:19:811509,0.045,0.017,-0.125007,0.465075,0.01
14:16:19:816496,0.071,0.001,-0.125007,0.465075,0.01
14:16:19:821633,0.046,-0.016,-0.125007,0.465075,0.01
14:16:19:826505,0.003,-0.018,-0.125007,0.465075,0.01
14:16:19:831756,-0.028,-0.004,-0.125007,0.46508,0.01
14:16:19:836873,0.013,0.011,-0.125007,0.46508,0.01
14:16:19:841770,0.058,0.011,-0.125007,0.46508,0.01
14:16:19:846980,0.093,0.006,-0.125007,0.46508,0.01
14:16:19:852150,0.088,0.012,-0.125007,0.46508,0.01
14:16:19:857145,0.08,0.029,-0.125007,0.46508,0.01
14:16:19:862123,0.097,0.032,-0.125007,0.46508,0.01
14:16:19:867257,0.142,0.022,-0.125007,0.46508,0.01
14:16:19:872288,0.15,0.021,-0.125007,0.46508,0.01
14:16:19:877355,0.102,0.039,-0.125007,0.46508,0.01
14:16:19:882385,0.055,0.052,-0.125007,0.465084,0.01
14:16:19:887508,0.024,0.039,-0.125007,0.465084,0.01
14:16:19:892387,0.035,0.009,-0.125007,0.465084,0.01
14:16:19:897613,0.061,-0.032,-0.125007,0.465084,0.01
14:16:19:902730,0.065,-0.024,-0.125007,0.465084,0.01
14:16:19:907737,0.059,0.006,-0.125007,0.465084,0.01
14:16:19:912728,0.051,0.046,-0.125007,0.465084,0.01
14:16:19:917862,0.049,0.044,-0.125007,0.465084,0.01
14:16:19:923005,0.055,0.008,-0.125007,0.465084,0.01
14:16:19:927871,0.069,-0.012,-0.125007,0.465084,0.01
14:16:19:933002,0.08,-0.008,-0.125007,0.465084,0.01
14:16:19:938112,0.063,0.01,-0.125007,0.465084,0.01
14:16:19:943107,0.003,0.03,-0.125007,0.465084,0.01
14:16:19:948108,-0.026,0.024,-0.125007,0.465088,0.01
14:16:19:953241,-0.013,-0.004,-0.125007,0.465088,0.01
14:16:19:958382,0.017,-0.021,-0.125007,0.465088,0.01
14:16:19:963359,0.047,-0.024,-0.125007,0.465088,0.01
14:16:19:968508,0.053,-0.011,-0.125007,0.465088,0.01
14:16:19:973483,0.079,0.019,-0.125007,0.465088,0.01
14:16:19:978604,0.105,0.037,-0.125007,0.465088,0.01
14:16:19:983521,0.098,0.041,-0.125007,0.465088,0.01
14:16:19:988750,0.008,0.013,-0.125007,0.465092,0.01
14:16:19:993728,-0.056,-0.01,-0.125007,0.465092,0.01
14:16:19:998879,-0.091,-0.022,-0.125007,0.465092,0.01
14:16:20:4041,-0.073,-0.009,-0.125007,0.465092,0.01
14:16:20:9008,-0.039,0.018,-0.125007,0.465092,0.01
14:16:20:13985,-0.031,0.024,-0.125007,0.465092,0.01
14:16:20:19116,-0.036,0.01,-0.125007,0.465096,0.01
14:16:20:24276,-0.042,-0.001,-0.125007,0.465096,0.01
14:16:20:29233,-0.051,-0.002,-0.125007,0.465096,0.01
