Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
13:50:20:731339,13876,-6797,-795,5391,-397,-1541,1368,32,-30,-53
13:50:20:739530,13881,-6789,-799,5386,-392,-1509,1373,28,-16,-46
13:50:20:740294,13881,-6789,-799,5386,-392,-1509,1373,28,-16,-46
13:50:20:754540,13881,-6789,-799,5386,-392,-1509,1373,28,-16,-46
13:50:20:755270,13881,-6790,-806,5384,-404,-1506,1373,-33,-31,-36
13:50:20:761294,13881,-6790,-806,5384,-404,-1506,1373,-33,-31,-36
13:50:20:768878,13881,-6790,-806,5384,-404,-1506,1373,-33,-31,-36
13:50:20:776985,13883,-6790,-814,5379,-388,-1552,1365,-10,-25,-40
13:50:20:777788,13883,-6790,-814,5379,-388,-1552,1365,-10,-25,-40
13:50:20:791350,13883,-6790,-814,5379,-388,-1552,1365,-10,-25,-40
13:50:20:799565,13887,-6785,-822,5374,-382,-1558,1369,23,-34,-48
13:50:20:800267,13887,-6785,-822,5374,-382,-1558,1369,23,-34,-48
13:50:20:806368,13887,-6785,-822,5374,-382,-1558,1369,23,-34,-48
13:50:20:813855,13887,-6786,-828,5370,-401,-1584,1353,3,-20,-33
13:50:20:821401,13887,-6786,-828,5370,-401,-1584,1353,3,-20,-33
13:50:20:828821,13887,-6786,-828,5370,-401,-1584,1353,3,-20,-33
13:50:20:837059,13890,-6783,-828,5368,-391,-1575,1360,34,-2,-13
13:50:20:837850,13890,-6783,-828,5368,-391,-1575,1360,34,-2,-13
13:50:20:851449,13890,-6783,-828,5368,-391,-1575,1360,34,-2,-13
13:50:20:859523,13891,-6779,-823,5369,-403,-1540,1349,43,6,8
13:50:20:860297,13891,-6779,-823,5369,-403,-1540,1349,43,6,8
13:50:20:866347,13891,-6779,-823,5369,-403,-1540,1349,43,6,8
13:50:20:873888,13893,-6773,-818,5372,-401,-1513,1345,40,1,16
13:50:20:881299,13893,-6773,-818,5372,-401,-1513,1345,40,1,16
13:50:20:888876,13893,-6773,-818,5372,-401,-1513,1345,40,1,16
13:50:20:897021,13895,-6768,-811,5376,-413,-1506,1328,45,1,14
13:50:20:897846,13895,-6768,-811,5376,-413,-1506,1328,45,1,14
13:50:20:911288,13895,-6768,-811,5376,-413,-1506,1328,45,1,14
13:50:20:919533,13900,-6758,-809,5375,-405,-1482,1340,59,-10,-23
13:50:20:920284,13900,-6758,-809,5375,-405,-1482,1340,59,-10,-23
13:50:20:926290,13900,-6758,-809,5375,-405,-1482,1340,59,-10,-23
13:50:20:933924,13904,-6754,-813,5370,-427,-1486,1310,27,-37,-57
13:50:20:941327,13904,-6754,-813,5370,-427,-1486,1310,27,-37,-57
13:50:20:948775,13904,-6754,-813,5370,-427,-1486,1310,27,-37,-57
13:50:20:957020,13911,-6743,-820,5365,-476,-1472,1331,50,-76,-103
13:50:20:957817,13911,-6743,-820,5365,-476,-1472,1331,50,-76,-103
13:50:20:971357,13911,-6743,-820,5365,-476,-1472,1331,50,-76,-103
13:50:20:987050,13920,-6731,-838,5354,-443,-1410,1338,11,-108,-150
13:50:20:987770,13920,-6731,-838,5354,-443,-1410,1338,11,-108,-150
13:50:20:994474,13920,-6731,-838,5354,-443,-1410,1338,11,-108,-150
13:50:20:995293,13921,-6735,-869,5340,-418,-1474,1327,-81,-131,-166
13:50:21:1307,13921,-6735,-869,5340,-418,-1474,1327,-81,-131,-166
13:50:21:8822,13921,-6735,-869,5340,-418,-1474,1327,-81,-131,-166
13:50:21:16385,13920,-6745,-904,5325,-414,-1530,1315,-99,-135,-169
13:50:21:23788,13920,-6745,-904,5325,-414,-1530,1315,-99,-135,-169
13:50:21:31298,13920,-6745,-904,5325,-414,-1530,1315,-99,-135,-169
13:50:21:39600,13930,-6736,-934,5304,-388,-1480,1333,2,-124,-206
13:50:21:40346,13930,-6736,-934,5304,-388,-1480,1333,2,-124,-206
13:50:21:54610,13930,-6736,-934,5304,-388,-1480,1333,2,-124,-206
13:50:21:55344,13944,-6720,-963,5283,-378,-1422,1388,-3,-127,-225
13:50:21:61287,13944,-6720,-963,5283,-378,-1422,1388,-3,-127,-225
13:50:21:68890,13944,-6720,-963,5283,-378,-1422,1388,-3,-127,-225
13:50:21:76388,13953,-6716,-1007,5256,-384,-1511,1378,-63,-169,-269
13:50:21:83848,13953,-6716,-1007,5256,-384,-1511,1378,-63,-169,-269
13:50:21:91292,13953,-6716,-1007,5256,-384,-1511,1378,-63,-169,-269
13:50:21:99532,13962,-6715,-1061,5221,-351,-1641,1330,-32,-191,-317
13:50:21:100283,13962,-6715,-1061,5221,-351,-1641,1330,-32,-191,-317
13:50:21:114503,13962,-6715,-1061,5221,-351,-1641,1330,-32,-191,-317
13:50:21:115295,13978,-6693,-1115,5194,-349,-1617,1336,73,-252,-303
13:50:21:121408,13978,-6693,-1115,5194,-349,-1617,1336,73,-252,-303
13:50:21:128831,13978,-6693,-1115,5194,-349,-1617,1336,73,-252,-303
13:50:21:136402,13994,-6662,-1171,5179,-294,-1524,1343,84,-291,-248
13:50:21:143805,13994,-6662,-1171,5179,-294,-1524,1343,84,-291,-248
13:50:21:151419,13994,-6662,-1171,5179,-294,-1524,1343,84,-291,-248
13:50:21:159498,14002,-6649,-1223,5164,-241,-1474,1397,-50,-223,-205
13:50:21:160267,14002,-6649,-1223,5164,-241,-1474,1397,-50,-223,-205
13:50:21:174499,14002,-6649,-1223,5164,-241,-1474,1397,-50,-223,-205
13:50:21:175300,14008,-6649,-1270,5135,-153,-1559,1410,-94,-118,-217
13:50:21:181331,14008,-6649,-1270,5135,-153,-1559,1410,-94,-118,-217
13:50:21:188920,14008,-6649,-1270,5135,-153,-1559,1410,-94,-118,-217
13:50:21:196395,14019,-6647,-1299,5102,-179,-1617,1413,-23,-36,-206
13:50:21:203852,14019,-6647,-1299,5102,-179,-1617,1413,-23,-36,-206
13:50:21:211316,14019,-6647,-1299,5102,-179,-1617,1413,-23,-36,-206
13:50:21:219503,14017,-6643,-1274,5118,-365,-1623,1329,110,30,85
13:50:21:220295,14017,-6643,-1274,5118,-365,-1623,1329,110,30,85
13:50:21:234516,14017,-6643,-1274,5118,-365,-1623,1329,110,30,85
13:50:21:235337,14022,-6630,-1263,5124,-216,-1559,1317,124,31,58
13:50:21:241273,14022,-6630,-1263,5124,-216,-1559,1317,124,31,58
