Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
13:50:51:297078,2,-5,-6,6,19,6,-7,-4
13:50:51:297862,0,-9,2,12,-4,-10,-9,-8
13:50:51:304739,0,-9,2,12,-4,-10,-9,-8
13:50:51:305445,-1,-9,-2,-8,1,3,5,2
13:50:51:318972,-2,6,-4,-10,2,5,5,0
13:50:51:335327,-2,6,-4,-10,2,5,5,0
13:50:51:336138,-1,0,6,-14,5,-5,19,-4
13:50:51:336911,-3,-1,-1,-4,4,-13,-14,-4
13:50:51:341495,-3,-1,-1,-4,4,-13,-14,-4
13:50:51:348989,-4,3,-4,-5,-12,-4,-17,-2
13:50:51:365318,-1,1,1,20,14,-4,-3,-6
13:50:51:366092,-1,1,1,20,14,-4,-3,-6
13:50:51:366907,-2,9,-1,-9,-12,-8,-12,-2
13:50:51:378959,0,-2,0,-17,-6,14,17,5
13:50:51:387220,0,-2,0,-17,-6,14,17,5
13:50:51:387886,-6,-12,3,4,9,4,-1,-5
13:50:51:402158,-1,8,7,-5,2,0,-9,-1
13:50:51:402929,-1,8,7,-5,2,0,-9,-1
13:50:51:408980,2,-1,-1,-3,9,-2,-6,-5
13:50:51:416516,-4,-5,-4,-5,0,0,1,1
13:50:51:424650,-4,-5,-4,-5,0,0,1,1
13:50:51:425439,4,-4,-1,-10,-12,-9,-8,6
13:50:51:439069,3,-7,-18,-1,5,-5,-1,4
13:50:51:447100,3,-7,-18,-1,5,-5,-1,4
13:50:51:447920,-3,-3,-20,1,-7,1,-5,6
13:50:51:454040,-2,-8,5,2,-5,-6,-4,-4
13:50:51:469706,-2,-8,5,2,-5,-6,-4,-4
13:50:51:470441,5,3,15,7,1,1,-9,-1
13:50:51:485377,15,-2,0,2,3,10,4,-4
13:50:51:486102,15,-2,0,2,3,10,4,-4
13:50:51:486938,9,-5,-5,-8,19,10,10,-1
13:50:51:499025,-12,-3,-3,-23,-11,-6,4,-4
13:50:51:507156,-12,-3,-3,-23,-11,-6,4,-4
13:50:51:507899,-17,-5,2,-13,7,9,-19,0
13:50:51:513895,-13,5,24,-5,-12,-5,-7,-5
13:50:51:521503,-13,5,24,-5,-12,-5,-7,-5
13:50:51:537196,-6,-2,-3,1,-4,-5,0,-4
13:50:51:537838,-1,13,-2,-12,-4,0,-1,8
13:50:51:544599,-1,13,-2,-12,-4,0,-1,8
13:50:51:545448,0,-1,-8,4,-3,15,19,2
13:50:51:558948,1,-2,-5,-9,-5,-15,-5,-4
13:50:51:567817,1,-2,-5,-9,-5,-15,-5,-4
13:50:51:568637,-2,5,3,7,5,8,0,1
13:50:51:573923,-1,-3,3,9,2,4,-5,-2
13:50:51:581525,-1,-3,3,9,2,4,-5,-2
13:50:51:589021,-2,-4,-8,20,-12,-4,6,-4
13:50:51:605387,-8,-4,-12,14,7,-2,11,-10
13:50:51:606096,-8,-4,-12,14,7,-2,11,-10
