Time,FT1,FT2,X,Y,Z
13:51:20:211832,0,0,-0.125,0.465,0.01
13:51:20:216855,0,0,-0.125,0.465032,0.01
13:51:20:221833,0,0,-0.125,0.465038,0.01
13:51:20:226969,0,0,-0.125,0.465043,0.01
13:51:20:231985,0,0,-0.125,0.465048,0.01
13:51:20:237077,0,0,-0.125,0.465049,0.01
13:51:20:242241,0,0,-0.125,0.465054,0.01
13:51:20:247219,0,0,-0.125,0.465055,0.01
13:51:20:252229,0,0,-0.125,0.465055,0.01
13:51:20:257244,0,0,-0.125,0.46506,0.01
13:51:20:262240,0,0,-0.125,0.46506,0.01
13:51:20:267458,0,0,-0.125,0.465061,0.01
13:51:20:272455,0,0,-0.125,0.465061,0.01
13:51:20:277585,0,0,-0.125,0.465066,0.01
13:51:20:282602,0,0,-0.125,0.465066,0.01
13:51:20:287704,0,0,-0.125,0.465066,0.01
13:51:20:292851,0,0,-0.125,0.465066,0.01
13:51:20:297845,0,0,-0.125,0.465066,0.01
13:51:20:303083,0,0,-0.125,0.465071,0.01
13:51:20:307977,0,0,-0.125,0.465071,0.01
13:51:20:312958,0,0,-0.125,0.465071,0.01
13:51:20:318095,0,0,-0.125,0.465071,0.01
13:51:20:323213,0,0,-0.125,0.465071,0.01
13:51:20:328223,0,0,-0.125,0.465071,0.01
13:51:20:333327,0,0,-0.125,0.465071,0.01
13:51:20:338451,0,0,-0.125,0.465071,0.01
13:51:20:343468,0,0,-0.125,0.465072,0.01
13:51:20:348448,0,0,-0.125,0.465072,0.01
13:51:20:353576,0,0,-0.125,0.465072,0.01
13:51:20:358584,0,0,-0.125,0.465072,0.01
13:51:20:363598,0,0,-0.125,0.465073,0.01
13:51:20:368720,0,0,-0.125,0.465073,0.01
13:51:20:373853,0,0,-0.125,0.465073,0.01
13:51:20:378855,0,0,-0.125,0.465073,0.01
13:51:20:383873,0,0,-0.125,0.465073,0.01
13:51:20:389004,0,0,-0.125,0.465078,0.01
13:51:20:394093,0,0,-0.125,0.465078,0.01
13:51:20:399105,0,0,-0.125,0.465078,0.01
13:51:20:404246,0,0,-0.125,0.465078,0.01
13:51:20:409352,0,0,-0.125007,0.465078,0.01
13:51:20:414346,0,0,-0.125007,0.465078,0.01
13:51:20:419454,0,0,-0.125007,0.465078,0.01
13:51:20:424479,0,0,-0.125007,0.465078,0.01
13:51:20:429469,0,0,-0.125007,0.465078,0.01
13:51:20:434582,0,0,-0.125007,0.465078,0.01
13:51:20:439709,0,0,-0.125007,0.465078,0.01
13:51:20:444750,0,0,-0.125007,0.465078,0.01
13:51:20:449708,0,0,-0.125007,0.465078,0.01
13:51:20:454835,0.025,-0.045,-0.125007,0.465078,0.01
13:51:20:459978,0.085,-0.056,-0.125007,0.465078,0.01
13:51:20:464845,0.111,-0.026,-0.125007,0.465078,0.01
