Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:34:27:76837,-1,-3,5,-1,-1,-4,4,-3
18:34:27:82870,0,-2,-2,-3,-2,1,-5,0
18:34:27:98591,0,-2,-2,-3,-2,1,-5,0
18:34:27:99412,-3,-1,-3,-3,2,1,-9,-2
18:34:27:105397,-2,1,-2,2,-1,-3,-1,-3
18:34:27:113572,-2,1,-2,2,-1,-3,-1,-3
18:34:27:114401,0,0,5,-1,-4,-1,-2,-3
18:34:27:120455,-2,0,2,-2,0,-3,0,0
18:34:27:136241,-2,0,2,-2,0,-3,0,0
18:34:27:136870,-3,-3,-3,-2,-5,-1,-4,1
18:34:27:142878,-2,-2,-3,-4,-3,-1,4,-1
18:34:27:158552,-2,-2,-3,-4,-3,-1,4,-1
18:34:27:159453,-2,-2,0,-3,3,0,8,-1
18:34:27:165447,-1,0,3,2,-1,0,1,0
18:34:27:173624,-1,0,3,2,-1,0,1,0
18:34:27:174394,0,-3,2,-5,2,2,-1,3
18:34:27:187992,1,1,-1,-1,3,1,-4,-2
18:34:27:196072,1,1,-1,-1,3,1,-4,-2
18:34:27:196821,0,-2,-6,2,-3,-2,-5,-2
18:34:27:202895,-2,-2,-1,-3,-4,-1,-3,-3
18:34:27:218579,-2,-2,-1,-3,-4,-1,-3,-3
18:34:27:219414,0,1,0,-1,-1,2,3,-1
18:34:27:225316,-3,-1,-2,0,3,0,1,-3
18:34:27:233711,-3,-1,-2,0,3,0,1,-3
18:34:27:234447,-3,-1,-1,-3,-1,1,0,-3
18:34:27:240416,2,-2,3,0,-1,-3,-3,-2
18:34:27:256154,2,-2,3,0,-1,-3,-3,-2
18:34:27:256855,-1,-2,2,-2,-1,0,-2,-1
18:34:27:262826,-2,1,-4,2,-2,-1,-5,4
18:34:27:278536,-2,1,-4,2,-2,-1,-5,4
18:34:27:279399,0,0,-4,0,-1,-1,3,-5
18:34:27:285483,-1,-2,1,-4,0,3,1,-1
18:34:27:293550,-1,-2,1,-4,0,3,1,-1
18:34:27:294391,-2,-1,-2,-1,1,-2,-6,-1
18:34:27:300442,0,0,-1,-1,-1,-2,1,0
18:34:27:316176,0,0,-1,-1,-1,-2,1,0
18:34:27:316940,-2,-3,-1,0,0,-2,6,2
18:34:27:322898,-1,1,1,-4,3,-4,-2,0
18:34:27:338562,-1,1,1,-4,3,-4,-2,0
18:34:27:339434,2,2,-3,-1,-1,-1,-4,-3
18:34:27:345288,-1,-1,-5,0,0,-4,-3,-3
18:34:27:353712,-1,-1,-5,0,0,-4,-3,-3
18:34:27:354436,1,-2,2,0,-3,-2,3,2
18:34:27:360306,0,-3,-1,-2,-1,-2,-5,-4
18:34:27:376080,0,-3,-1,-2,-1,-2,-5,-4
18:34:27:376822,-4,-3,1,3,-2,1,1,0
18:34:27:382893,-2,-1,6,-2,-3,0,7,-2
18:34:27:398531,-2,-1,6,-2,-3,0,7,-2
18:34:27:399343,-2,-3,-1,-6,0,-3,-11,-2
18:34:27:405371,-2,-1,-1,1,1,0,-3,-2
18:34:27:413540,-2,-1,-1,1,1,0,-3,-2
18:34:27:414387,-1,1,-1,1,-1,2,1,-2
18:34:27:420472,2,-3,-2,-4,2,0,1,0
18:34:27:436189,2,-3,-2,-4,2,0,1,0
18:34:27:436822,2,-1,-7,-2,-5,-2,1,-3
18:34:27:442848,-1,-2,0,0,-4,4,-2,1
18:34:27:458547,-1,-2,0,0,-4,4,-2,1
18:34:27:459401,-2,-2,1,-2,-1,-3,-1,-2
18:34:27:465403,-1,0,-4,-3,-6,-4,-1,-2
18:34:27:473535,-1,0,-4,-3,-6,-4,-1,-2
18:34:27:474329,-1,-1,-3,2,0,0,-1,-3
18:34:27:480289,-3,-2,1,-3,0,2,-3,-2
18:34:27:496015,-3,-2,1,-3,0,2,-3,-2
18:34:27:496782,0,0,0,1,-5,-2,-3,1
18:34:27:502889,-2,-2,-1,-2,-1,1,2,-2
18:34:27:518575,-2,-2,-1,-2,-1,1,2,-2
18:34:27:519294,-1,-2,3,0,1,-1,-9,0
18:34:27:525382,-2,0,-3,-1,-3,-2,-3,-3
18:34:27:533615,-2,0,-3,-1,-3,-2,-3,-3
18:34:27:534324,-3,1,-2,2,-2,-1,1,-3
18:34:27:547990,0,-2,-3,0,0,0,-2,-2
18:34:27:556027,0,-2,-3,0,0,0,-2,-2
18:34:27:556829,1,-2,-2,-5,0,-2,0,2
18:34:27:562841,0,-1,3,-5,-4,-3,0,2
18:34:27:578568,0,-1,3,-5,-4,-3,0,2
18:34:27:579402,0,-3,-4,-3,0,0,1,-3
18:34:27:585459,0,0,-2,3,-1,1,1,1
18:34:27:593500,0,0,-2,3,-1,1,1,1
18:34:27:594312,-2,2,-1,-5,-9,-1,-2,-2
18:34:27:607836,-4,-4,-3,-2,3,1,1,2
18:34:27:616111,-4,-4,-3,-2,3,1,1,2
18:34:27:616829,-1,-1,1,-1,0,0,0,1
18:34:27:622863,1,1,2,-2,-1,-2,-1,-5
18:34:27:630335,1,1,2,-2,-1,-2,-1,-5
18:34:27:637916,2,-3,1,1,-2,0,-5,-5
18:34:27:645365,-4,-1,0,4,3,-2,0,0
18:34:27:653636,-4,-1,0,4,3,-2,0,0
18:34:27:654339,-1,0,0,-1,2,2,-13,-5
18:34:27:667927,1,0,-2,1,-5,-1,1,-3
18:34:27:676016,1,0,-2,1,-5,-1,1,-3
18:34:27:676800,0,0,-5,-5,-2,-1,-11,1
18:34:27:682870,0,-1,-6,-1,-4,-1,-3,-2
18:34:27:690454,0,-1,-6,-1,-4,-1,-3,-2
18:34:27:697966,-3,-1,1,0,-1,0,9,0
18:34:27:705360,-1,0,1,-6,-2,0,-4,0
18:34:27:713584,-1,0,1,-6,-2,0,-4,0
18:34:27:714434,-4,-2,-3,0,4,-3,3,-1
18:34:27:727850,0,-3,2,-2,3,-2,1,1
18:34:27:736153,0,-3,2,-2,3,-2,1,1
18:34:27:736867,-1,0,1,-4,4,-3,-4,1
18:34:27:742794,0,-2,-9,-4,-4,0,0,-6
18:34:27:750638,0,-2,-9,-4,-4,0,0,-6
18:34:27:757856,-1,-3,-1,0,-10,-2,8,2
18:34:27:774231,-1,1,3,-2,0,-2,-9,-1
18:34:27:774997,-1,1,3,-2,0,-2,-9,-1
18:34:27:775823,0,-2,-2,-2,1,-3,-2,-4
18:34:27:787909,-1,-1,-4,0,-2,1,1,0
18:34:27:796030,-1,-1,-4,0,-2,1,1,0
18:34:27:796805,-2,1,-1,1,-2,-1,-1,-8
18:34:27:802947,-3,1,0,0,2,-1,0,-3
18:34:27:810440,-3,1,0,0,2,-1,0,-3
18:34:27:817907,-2,2,2,-2,0,0,8,0
18:34:27:825332,-4,-2,-3,2,-3,-3,1,-6
18:34:27:833643,-4,-2,-3,2,-3,-3,1,-6
18:34:27:834457,0,-4,-4,-2,-1,2,-4,4
18:34:27:848431,1,0,1,-3,3,2,3,2
18:34:27:856106,1,0,1,-3,3,2,3,2
18:34:27:856910,-3,-2,1,-4,-1,-1,-1,-2
18:34:27:862800,0,-1,-2,2,2,-4,-3,3
18:34:27:870425,0,-1,-2,2,2,-4,-3,3
18:34:27:877831,-3,1,-2,0,1,2,4,2
18:34:27:885441,0,1,1,-5,-3,1,0,1
18:34:27:893560,0,1,1,-5,-3,1,0,1
18:34:27:894396,-1,-2,1,1,3,0,-4,-1
18:34:27:907889,0,1,0,-2,-3,-3,0,0
18:34:27:916212,0,1,0,-2,-3,-3,0,0
18:34:27:916856,-2,1,1,-2,0,1,1,-1
18:34:27:922830,-1,-3,0,3,0,-1,-2,-3
18:34:27:930445,-1,-3,0,3,0,-1,-2,-3
18:34:27:937874,3,0,-4,-1,-7,-4,-5,-4
18:34:27:945347,-2,-3,1,-1,1,0,-6,-1
18:34:27:953652,-2,-3,1,-1,1,0,-6,-1
18:34:27:954447,-1,-1,0,-2,-1,-1,-4,-7
18:34:27:967877,-1,-2,-4,-2,-4,-3,0,-1
18:34:27:976084,-1,-2,-4,-2,-4,-3,0,-1
18:34:27:976829,1,-1,-1,-2,0,-2,-2,1
18:34:27:982874,-1,-2,-4,-1,-3,1,7,2
18:34:27:990535,-1,-2,-4,-1,-3,1,7,2
18:34:27:997875,-1,2,0,3,-1,0,4,1
18:34:28:5465,-1,-5,1,-1,-2,-2,-2,-2
18:34:28:13628,-1,-5,1,-1,-2,-2,-2,-2
18:34:28:14336,-1,-2,-3,0,0,-2,-5,0
18:34:28:27829,-1,-1,-2,-4,-7,-2,2,-2
18:34:28:36199,-1,-1,-2,-4,-7,-2,2,-2
18:34:28:36866,2,-2,1,-6,3,0,-1,2
18:34:28:42883,-3,2,-2,0,2,2,-1,1
18:34:28:50428,-3,2,-2,0,2,2,-1,1
18:34:28:57873,-2,-2,3,-8,-11,-3,1,-4
