Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:34:27:76837,5025,9946,-3709,11423,1960,117,316,8,8,-20
18:34:27:82870,5025,9946,-3709,11423,1960,117,316,8,8,-20
18:34:27:98591,5024,9948,-3704,11423,1972,113,300,20,6,-19
18:34:27:99412,5024,9948,-3704,11423,1972,113,300,20,6,-19
18:34:27:105397,5024,9948,-3704,11423,1972,113,300,20,6,-19
18:34:27:113572,5025,9951,-3700,11422,1977,129,302,16,4,-13
18:34:27:114401,5025,9951,-3700,11422,1977,129,302,16,4,-13
18:34:27:120455,5025,9951,-3700,11422,1977,129,302,16,4,-13
18:34:27:136241,5025,9951,-3700,11421,1967,124,304,-8,6,-10
18:34:27:136870,5025,9951,-3700,11421,1967,124,304,-8,6,-10
18:34:27:142878,5025,9951,-3700,11421,1967,124,304,-8,6,-10
18:34:27:158552,5027,9951,-3702,11420,1977,110,310,-17,2,-8
18:34:27:159453,5027,9951,-3702,11420,1977,110,310,-17,2,-8
18:34:27:165447,5027,9951,-3702,11420,1977,110,310,-17,2,-8
18:34:27:173624,5027,9951,-3702,11420,1966,111,322,-7,4,-5
18:34:27:174394,5027,9951,-3702,11420,1966,111,322,-7,4,-5
18:34:27:187992,5027,9951,-3702,11420,1966,111,322,-7,4,-5
18:34:27:196072,5027,9951,-3702,11420,1969,108,315,14,6,-3
18:34:27:196821,5027,9951,-3702,11420,1969,108,315,14,6,-3
18:34:27:202895,5027,9951,-3702,11420,1969,108,315,14,6,-3
18:34:27:218579,5025,9952,-3697,11422,1976,121,315,27,8,-4
18:34:27:219414,5025,9952,-3697,11422,1976,121,315,27,8,-4
18:34:27:225316,5025,9952,-3697,11422,1976,121,315,27,8,-4
18:34:27:233711,5023,9954,-3692,11422,1980,128,312,30,3,-6
18:34:27:234447,5023,9954,-3692,11422,1980,128,312,30,3,-6
18:34:27:240416,5023,9954,-3692,11422,1980,128,312,30,3,-6
18:34:27:256154,5023,9955,-3692,11422,1976,134,304,6,2,-3
18:34:27:256855,5023,9955,-3692,11422,1976,134,304,6,2,-3
18:34:27:262826,5023,9955,-3692,11422,1976,134,304,6,2,-3
18:34:27:278536,5023,9955,-3692,11421,1973,130,304,-12,3,-3
18:34:27:279399,5023,9955,-3692,11421,1973,130,304,-12,3,-3
18:34:27:285483,5023,9955,-3692,11421,1973,130,304,-12,3,-3
18:34:27:293550,5023,9955,-3692,11421,1967,116,311,-15,4,-1
18:34:27:294391,5023,9955,-3692,11421,1967,116,311,-15,4,-1
18:34:27:300442,5023,9955,-3692,11421,1967,116,311,-15,4,-1
18:34:27:316176,5023,9956,-3692,11421,1965,115,306,5,3,-4
18:34:27:316940,5023,9956,-3692,11421,1965,115,306,5,3,-4
18:34:27:322898,5023,9956,-3692,11421,1965,115,306,5,3,-4
18:34:27:338562,5021,9958,-3689,11421,1975,126,308,18,1,-4
18:34:27:339434,5021,9958,-3689,11421,1975,126,308,18,1,-4
18:34:27:345288,5021,9958,-3689,11421,1975,126,308,18,1,-4
18:34:27:353712,5022,9958,-3689,11420,1970,137,307,11,-1,-4
18:34:27:354436,5022,9958,-3689,11420,1970,137,307,11,-1,-4
18:34:27:360306,5022,9958,-3689,11420,1970,137,307,11,-1,-4
18:34:27:376080,5022,9958,-3688,11420,1972,140,310,-5,-1,-1
18:34:27:376822,5022,9958,-3688,11420,1972,140,310,-5,-1,-1
18:34:27:382893,5022,9958,-3688,11420,1972,140,310,-5,-1,-1
18:34:27:398531,5025,9958,-3690,11419,1974,125,319,-18,1,-4
18:34:27:399343,5025,9958,-3690,11419,1974,125,319,-18,1,-4
18:34:27:405371,5025,9958,-3690,11419,1974,125,319,-18,1,-4
18:34:27:413540,5027,9957,-3692,11418,1974,115,310,-22,2,-4
18:34:27:414387,5027,9957,-3692,11418,1974,115,310,-22,2,-4
18:34:27:420472,5027,9957,-3692,11418,1974,115,310,-22,2,-4
18:34:27:436189,5027,9957,-3692,11418,1973,117,304,-11,2,-8
18:34:27:436822,5027,9957,-3692,11418,1973,117,304,-11,2,-8
18:34:27:442848,5027,9957,-3692,11418,1973,117,304,-11,2,-8
18:34:27:458547,5027,9957,-3692,11417,1971,121,306,-4,2,-10
18:34:27:459401,5027,9957,-3692,11417,1971,121,306,-4,2,-10
18:34:27:465403,5027,9957,-3692,11417,1971,121,306,-4,2,-10
18:34:27:473535,5027,9958,-3692,11417,1964,130,305,-9,1,-13
18:34:27:474329,5027,9958,-3692,11417,1964,130,305,-9,1,-13
18:34:27:480289,5027,9958,-3692,11417,1964,130,305,-9,1,-13
18:34:27:496015,5027,9958,-3692,11417,1962,128,305,-11,3,-11
18:34:27:496782,5027,9958,-3692,11417,1962,128,305,-11,3,-11
18:34:27:502889,5027,9958,-3692,11417,1962,128,305,-11,3,-11
18:34:27:518575,5027,9958,-3692,11417,1968,125,302,-1,4,-8
18:34:27:519294,5027,9958,-3692,11417,1968,125,302,-1,4,-8
18:34:27:525382,5027,9958,-3692,11417,1968,125,302,-1,4,-8
18:34:27:533615,5027,9959,-3692,11417,1967,127,311,-3,3,-7
18:34:27:534324,5027,9959,-3692,11417,1967,127,311,-3,3,-7
18:34:27:547990,5027,9959,-3692,11417,1967,127,311,-3,3,-7
18:34:27:556027,5027,9959,-3692,11416,1963,128,307,-12,2,-11
18:34:27:556829,5027,9959,-3692,11416,1963,128,307,-12,2,-11
18:34:27:562841,5027,9959,-3692,11416,1963,128,307,-12,2,-11
18:34:27:578568,5031,9959,-3692,11414,1973,130,309,-20,1,-12
18:34:27:579402,5031,9959,-3692,11414,1973,130,309,-20,1,-12
18:34:27:585459,5031,9959,-3692,11414,1973,130,309,-20,1,-12
18:34:27:593500,5036,9959,-3693,11413,1967,124,312,-20,4,-15
18:34:27:594312,5036,9959,-3693,11413,1967,124,312,-20,4,-15
18:34:27:607836,5036,9959,-3693,11413,1967,124,312,-20,4,-15
