Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:27:43:878234,-3,-5,-7,-6,-11,4,-4,-2
18:27:43:885727,-2,-3,0,-2,-1,-3,0,-3
18:27:43:893921,-2,-3,0,-2,-1,-3,0,-3
18:27:43:894700,2,1,0,2,8,0,0,1
18:27:43:908219,-1,0,-4,-1,-4,3,0,0
18:27:43:916508,-1,0,-4,-1,-4,3,0,0
18:27:43:917173,1,-3,0,-2,-1,-4,-2,-3
18:27:43:923264,1,-1,-2,3,0,1,1,0
18:27:43:930755,1,-1,-2,3,0,1,1,0
18:27:43:938209,-1,0,0,-3,2,-3,-3,-2
18:27:43:945718,-2,0,-3,-2,-3,1,0,0
18:27:43:953924,-2,0,-3,-2,-3,1,0,0
18:27:43:954707,0,0,-1,-1,-3,-3,-2,0
18:27:43:968320,-2,-1,0,-1,-1,0,1,2
18:27:43:976408,-2,-1,0,-1,-1,0,1,2
18:27:43:977184,-4,-1,0,-3,-1,-5,-3,2
18:27:43:991374,2,1,1,-5,1,-3,1,1
18:27:43:992192,2,1,1,-5,1,-3,1,1
18:27:43:998337,-1,-3,0,-2,-1,-4,-2,-3
18:27:44:5753,-1,-1,1,2,0,1,1,0
18:27:44:21457,-1,-1,1,2,0,1,1,0
18:27:44:22193,2,0,-4,1,-1,2,0,-1
18:27:44:28298,-4,0,1,0,4,-1,-2,1
18:27:44:36442,-4,0,1,0,4,-1,-2,1
18:27:44:37146,-2,-1,-5,-2,3,-2,2,-2
18:27:44:43274,-3,-3,-5,-6,-1,0,-4,-2
18:27:44:50764,-3,-3,-5,-6,-1,0,-4,-2
18:27:44:58157,-3,0,0,-4,2,3,-1,-3
18:27:44:65727,0,0,0,-1,1,-4,1,-1
18:27:44:73907,0,0,0,-1,1,-4,1,-1
18:27:44:74678,0,-3,0,-1,-2,0,0,0
18:27:44:88300,-3,-2,-3,-1,-1,0,-4,-4
18:27:44:120934,-3,-2,-3,-1,-1,0,-4,-4
18:27:44:121747,-3,-3,-2,-2,0,-3,0,4
18:27:44:122564,1,-2,0,-1,0,2,-2,-4
18:27:44:123376,1,-2,0,-1,0,2,-2,-4
18:27:44:126419,-2,1,-1,0,-1,-2,-2,-3
18:27:44:127189,1,-5,-1,0,-2,0,-5,-3
18:27:44:133999,1,-5,-1,0,-2,0,-5,-3
18:27:44:134744,-1,-1,-1,-2,-2,1,0,1
18:27:44:148252,-3,1,-1,-1,-3,-3,1,0
18:27:44:156444,-3,1,-1,-1,-3,-3,1,0
18:27:44:157177,1,0,1,-2,-5,-2,0,0
18:27:44:163225,-4,-2,-3,-2,-4,-1,-3,-3
18:27:44:170758,-4,-2,-3,-2,-4,-1,-3,-3
18:27:44:178339,-2,-1,3,-1,0,-1,-3,-1
18:27:44:186369,0,0,-1,0,-3,-3,-3,-2
18:27:44:194137,0,0,-1,0,-3,-3,-3,-2
18:27:44:194748,1,-1,-2,0,3,-1,1,5
18:27:44:208188,1,0,-1,-2,-1,-5,0,-3
18:27:44:216408,1,0,-1,-2,-1,-5,0,-3
18:27:44:217222,-3,-4,-2,1,-2,-3,-2,-3
18:27:44:223172,-2,2,-2,0,-3,-3,0,0
18:27:44:230880,-2,2,-2,0,-3,-3,0,0
18:27:44:238180,1,2,-3,-2,1,1,-1,-2
18:27:44:245872,-2,-1,0,-1,-1,-1,0,4
18:27:44:253863,-2,-1,0,-1,-1,-1,0,4
18:27:44:254650,-1,-1,1,0,-3,-1,-1,-4
18:27:44:268273,-3,-3,-1,-3,2,0,-1,-2
18:27:44:276391,-3,-3,-1,-3,2,0,-1,-2
18:27:44:277153,-3,-1,-1,2,2,-1,0,-1
18:27:44:283277,1,-1,-1,-1,-1,-1,-2,2
18:27:44:298937,1,-1,-1,-1,-1,-1,-2,2
18:27:44:299728,3,1,-1,-2,-5,2,-2,4
18:27:44:305671,-1,-4,-3,0,-3,1,0,0
18:27:44:314028,-1,-4,-3,0,-3,1,0,0
18:27:44:314758,-3,0,-1,-4,-1,-1,-1,-1
18:27:44:328204,-1,1,2,-1,-2,1,-3,-2
18:27:44:336469,-1,1,2,-1,-2,1,-3,-2
18:27:44:337207,-2,-2,0,-1,-1,1,-2,-1
18:27:44:343297,-3,0,-2,-1,-2,-4,2,-3
18:27:44:350785,-3,0,-2,-1,-2,-4,2,-3
18:27:44:358191,1,2,-3,0,-2,-5,-1,-2
18:27:44:365780,1,-1,-2,-4,-1,5,1,-1
18:27:44:373895,1,-1,-2,-4,-1,5,1,-1
18:27:44:374644,0,-1,-2,-1,-1,-1,-2,-2
18:27:44:388219,-2,-2,0,-1,-1,0,-2,-2
18:27:44:396543,-2,-2,0,-1,-1,0,-2,-2
18:27:44:397257,-4,0,0,0,-1,3,2,-2
18:27:44:403220,0,1,0,-3,0,-2,0,-2
18:27:44:410812,0,1,0,-3,0,-2,0,-2
18:27:44:418224,3,0,0,-1,-1,-2,0,-1
18:27:44:425726,-1,-3,-2,-1,-3,-1,0,-1
18:27:44:433949,-1,-3,-2,-1,-3,-1,0,-1
18:27:44:434718,-2,-1,-2,-2,-2,-3,-1,0
18:27:44:448322,-1,1,1,1,3,-3,-3,0
18:27:44:456420,-1,1,1,1,3,-3,-3,0
18:27:44:457155,-1,-1,0,-1,0,2,-3,0
18:27:44:471353,0,-3,-2,-2,-3,0,2,0
18:27:44:472145,0,-3,-2,-2,-3,0,2,0
18:27:44:486381,-1,-2,-3,-1,-1,0,-1,-2
18:27:44:487103,-2,-1,0,-2,-2,-2,-4,0
18:27:44:494135,-2,-1,0,-2,-2,-2,-4,0
18:27:44:494687,-2,-3,-2,-1,-2,-3,-4,-3
18:27:44:517077,0,-1,-1,-1,-1,-2,-2,-3
18:27:44:517861,0,-1,-1,-1,-1,-2,-2,-3
18:27:44:518700,1,1,-1,-2,2,1,1,-2
18:27:44:523163,-1,1,-2,-2,2,-1,0,2
18:27:44:530891,-1,1,-2,-2,2,-1,0,2
18:27:44:538181,0,0,-3,1,2,2,-2,-1
18:27:44:554524,0,-2,-1,0,-1,3,-3,-1
18:27:44:555336,0,-2,-1,0,-1,3,-3,-1
18:27:44:556159,2,-2,1,-4,-5,-3,0,0
18:27:44:577586,-3,-1,-2,1,2,-2,-4,-3
18:27:44:578265,-3,-1,-2,1,2,-2,-4,-3
18:27:44:583847,0,-2,0,1,-3,-1,-1,-2
18:27:44:584636,0,-1,-1,0,-2,0,0,-1
18:27:44:590695,0,-1,-1,0,-2,0,0,-1
18:27:44:598262,-4,0,-2,-3,-1,-1,-2,-1
18:27:44:605687,0,-2,-2,0,1,-2,-1,-1
18:27:44:621403,0,-2,-2,0,1,-2,-1,-1
18:27:44:622196,-2,-1,-1,3,-2,-2,2,0
18:27:44:628304,0,0,0,0,-2,0,-2,-1
18:27:44:636423,0,0,0,0,-2,0,-2,-1
18:27:44:637200,-3,-2,0,-2,-3,-3,-1,0
18:27:44:643314,-1,-1,-2,-4,-5,0,-1,2
18:27:44:650761,-1,-1,-2,-4,-5,0,-1,2
18:27:44:658192,1,-1,0,-1,0,-1,-1,-1
18:27:44:665770,0,-1,1,-1,-1,-1,2,-1
18:27:44:673893,0,-1,1,-1,-1,-1,2,-1
18:27:44:674681,0,-1,-2,-4,0,-1,0,0
18:27:44:688704,0,-3,-2,-2,4,-4,-4,-3
18:27:44:696393,0,-3,-2,-2,4,-4,-4,-3
18:27:44:697219,0,1,-2,2,-1,0,-1,-2
18:27:44:703271,-1,1,-2,-2,-3,-2,-1,1
18:27:44:710757,-1,1,-2,-2,-3,-2,-1,1
18:27:44:726507,-2,0,-4,0,0,-1,0,-2
18:27:44:727147,-2,-2,-1,0,-5,-1,1,-1
18:27:44:733306,-2,-2,-1,0,-5,-1,1,-1
18:27:44:748929,-1,0,-1,-1,-3,1,-3,-2
18:27:44:749703,0,2,-2,0,1,-3,-2,-1
18:27:44:756433,0,2,-2,0,1,-3,-2,-1
18:27:44:757162,0,-2,-1,1,0,-2,-2,-1
18:27:44:771397,-2,-1,-1,-1,-1,1,-2,-3
18:27:44:772154,-2,-1,-1,-1,-1,1,-2,-3
18:27:44:778340,-3,-2,-1,-4,0,-1,0,3
18:27:44:794014,-2,0,0,-2,0,0,1,-1
18:27:44:794722,-2,0,0,-2,0,0,1,-1
18:27:44:800742,-1,1,0,-6,-1,-1,-1,-2
18:27:44:808200,-1,-1,-5,0,1,1,-1,-2
18:27:44:816423,-1,-1,-5,0,1,1,-1,-2
18:27:44:817216,0,-2,-2,-3,0,-1,-3,-3
18:27:44:831900,1,-3,3,0,-2,-3,-2,0
18:27:44:838829,1,-3,3,0,-2,-3,-2,0
18:27:44:839646,-3,-3,-1,2,-3,-1,-3,-2
18:27:44:846140,-1,-4,-2,-2,0,1,-2,-1
18:27:44:861518,-1,-4,-2,-2,0,1,-2,-1
18:27:44:862249,0,2,-1,1,-1,-5,2,-1
18:27:44:868220,-4,-1,0,0,0,-1,-1,-1
18:27:44:876593,-4,-1,0,0,0,-1,-1,-1
18:27:44:877236,-1,-4,-2,-1,-2,0,-2,-1
18:27:44:891431,0,1,-3,-2,-1,1,-1,-1
18:27:44:892257,0,1,-3,-2,-1,1,-1,-1
18:27:44:898293,-2,1,1,-2,-3,-2,0,-3
18:27:44:905700,1,1,0,-2,0,-3,-1,-2
18:27:44:913285,1,1,0,-2,0,-3,-1,-2
18:27:44:920682,-1,0,0,-1,-3,0,0,-1
18:27:44:928313,-1,-1,-1,-2,-3,0,-2,-2
18:27:44:936452,-1,-1,-1,-2,-3,0,-2,-2
18:27:44:937149,2,-2,1,0,1,-5,-2,-2
18:27:44:951909,1,0,0,-2,-2,-1,-1,1
18:27:44:967174,1,0,0,-2,-2,-1,-1,1
18:27:44:967885,0,-3,-2,1,-2,2,-2,-1
18:27:44:968744,0,-2,1,-1,-2,-2,1,0
18:27:44:973323,0,-2,1,-1,-2,-2,1,0
18:27:44:980935,0,-3,-1,-1,0,1,0,0
18:27:44:988236,-2,0,1,-3,2,-2,0,-2
18:27:44:996510,-2,0,1,-3,2,-2,0,-2
18:27:44:997174,0,-1,-2,-3,-2,-1,-2,-1
18:27:45:11340,-3,-1,-2,-2,-3,0,-1,-2
18:27:45:12160,-3,-1,-2,-2,-3,0,-1,-2
18:27:45:18420,0,0,0,-2,0,-1,-1,-2
18:27:45:33970,-2,-1,0,-2,-3,0,-1,-2
18:27:45:34740,-2,-1,0,-2,-3,0,-1,-2
18:27:45:48907,-1,-1,-2,0,1,1,2,1
18:27:45:49645,-1,0,-3,2,-2,-3,-1,-1
18:27:45:56396,-1,0,-3,2,-2,-3,-1,-1
18:27:45:57211,-1,-2,0,-3,-1,-5,0,-2
18:27:45:71353,0,-1,-1,0,-2,-1,1,0
18:27:45:72239,0,-1,-1,0,-2,-1,1,0
18:27:45:78269,1,-1,-3,-2,1,-1,-1,-1
18:27:45:85690,-1,0,0,-2,1,0,-1,1
18:27:45:101470,-1,0,0,-2,1,0,-1,1
18:27:45:102185,-4,0,-1,-2,1,-3,-4,-1
18:27:45:117070,5,-4,-1,0,-3,0,0,-2
18:27:45:117831,5,-4,-1,0,-3,0,0,-2
18:27:45:118625,-1,1,3,3,1,-1,1,-1
18:27:45:131470,-4,-1,-3,-3,1,-2,-3,0
18:27:45:132189,-4,-1,-3,-3,1,-2,-3,0
18:27:45:146439,0,-1,-2,-2,-2,0,-1,-2
18:27:45:147175,-1,-2,-1,-2,-2,-4,0,0
18:27:45:153279,-1,-2,-1,-2,-2,-4,0,0
18:27:45:160741,-2,-3,-2,-2,0,2,-1,-1
18:27:45:168219,0,0,-3,-1,1,-1,2,-4
18:27:45:192933,0,0,-3,-1,1,-1,2,-4
18:27:45:193539,1,-2,-1,1,-2,-1,-2,3
18:27:45:194354,2,0,-1,-1,-3,3,-3,-1
18:27:45:195178,2,0,-1,-1,-3,3,-3,-1
18:27:45:214616,0,-2,-1,-1,0,0,-1,0
18:27:45:215349,1,-2,-1,-1,1,-1,-1,0
18:27:45:216155,1,-2,-1,-1,1,-1,-1,0
18:27:45:220687,-4,-3,-3,-4,-3,-1,-5,1
18:27:45:228268,-1,1,0,0,2,-1,-1,0
18:27:45:236427,-1,1,0,0,2,-1,-1,0
18:27:45:237153,-1,0,1,-1,-3,-1,0,-4
18:27:45:251879,-3,0,-1,-1,0,-3,-2,0
18:27:45:252640,-3,0,-1,-1,0,-3,-2,0
18:27:45:258202,0,-1,0,-1,0,-2,-3,-2
18:27:45:273854,0,-1,1,-1,-4,-3,2,-2
18:27:45:274643,0,-1,1,-1,-4,-3,2,-2
18:27:45:289510,0,0,-2,1,0,0,2,-1
18:27:45:290278,-4,-1,-2,0,-1,0,0,-1
18:27:45:296464,-4,-1,-2,0,-1,0,0,-1
18:27:45:297168,-1,1,-2,-2,-2,-1,-1,1
18:27:45:319579,1,-3,0,-1,-5,-3,0,-4
18:27:45:320320,1,-3,0,-1,-5,-3,0,-4
18:27:45:321151,-2,0,-3,-1,-1,-2,0,-1
18:27:45:325724,-3,0,0,0,0,0,-3,-3
18:27:45:333285,-3,0,0,0,0,0,-3,-3
18:27:45:340668,-2,-1,-2,2,-2,1,1,-1
