Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:27:43:878234,5880,10933,-2086,10485,1602,584,243,1552,665,769
18:27:43:885727,5880,10933,-2086,10485,1602,584,243,1552,665,769
18:27:43:893921,5627,10921,-2034,10647,1783,534,216,1234,540,1035
18:27:43:894700,5627,10921,-2034,10647,1783,534,216,1234,540,1035
18:27:43:908219,5627,10921,-2034,10647,1783,534,216,1234,540,1035
18:27:43:916508,5379,10898,-2059,10792,1825,473,136,888,412,1267
18:27:43:917173,5379,10898,-2059,10792,1825,473,136,888,412,1267
18:27:43:923264,5379,10898,-2059,10792,1825,473,136,888,412,1267
18:27:43:930755,5135,10870,-2153,10920,1824,390,106,593,270,1471
18:27:43:938209,5135,10870,-2153,10920,1824,390,106,593,270,1471
18:27:43:945718,5135,10870,-2153,10920,1824,390,106,593,270,1471
18:27:43:953924,4888,10839,-2296,11034,1877,288,57,413,117,1663
18:27:43:954707,4888,10839,-2296,11034,1877,288,57,413,117,1663
18:27:43:968320,4888,10839,-2296,11034,1877,288,57,413,117,1663
18:27:43:976408,4633,10819,-2464,11128,1923,239,30,349,-38,1741
18:27:43:977184,4633,10819,-2464,11128,1923,239,30,349,-38,1741
18:27:43:991374,4633,10819,-2464,11128,1923,239,30,349,-38,1741
18:27:43:992192,4378,10808,-2642,11200,1963,225,0,306,-169,1745
18:27:43:998337,4378,10808,-2642,11200,1963,225,0,306,-169,1745
18:27:44:5753,4378,10808,-2642,11200,1963,225,0,306,-169,1745
18:27:44:21457,4122,10811,-2828,11250,2016,183,-11,278,-317,1736
18:27:44:22193,4122,10811,-2828,11250,2016,183,-11,278,-317,1736
18:27:44:28298,4122,10811,-2828,11250,2016,183,-11,278,-317,1736
18:27:44:36442,3872,10833,-3004,11271,2011,161,-31,295,-475,1623
18:27:44:37146,3872,10833,-3004,11271,2011,161,-31,295,-475,1623
18:27:44:43274,3872,10833,-3004,11271,2011,161,-31,295,-475,1623
18:27:44:50764,3614,10859,-3177,11285,2050,100,-50,337,-527,1630
18:27:44:58157,3614,10859,-3177,11285,2050,100,-50,337,-527,1630
18:27:44:65727,3614,10859,-3177,11285,2050,100,-50,337,-527,1630
18:27:44:73907,3350,10890,-3346,11288,2112,124,-116,366,-578,1636
18:27:44:74678,3350,10890,-3346,11288,2112,124,-116,366,-578,1636
18:27:44:88300,3350,10890,-3346,11288,2112,124,-116,366,-578,1636
18:27:44:120934,3124,10952,-3488,11249,2083,226,-167,319,-694,1451
18:27:44:121747,3124,10952,-3488,11249,2083,226,-167,319,-694,1451
18:27:44:122564,3124,10952,-3488,11249,2083,226,-167,319,-694,1451
18:27:44:123376,2968,11020,-3645,11175,1981,316,-172,-31,-802,1264
18:27:44:126419,2968,11020,-3645,11175,1981,316,-172,-31,-802,1264
18:27:44:127189,2968,11020,-3645,11175,1981,316,-172,-31,-802,1264
18:27:44:133999,2872,11084,-3825,11076,1950,259,-170,-378,-852,1092
18:27:44:134744,2872,11084,-3825,11076,1950,259,-170,-378,-852,1092
18:27:44:148252,2872,11084,-3825,11076,1950,259,-170,-378,-852,1092
18:27:44:156444,2809,11137,-4020,10970,1919,133,-141,-578,-846,972
18:27:44:157177,2809,11137,-4020,10970,1919,133,-141,-578,-846,972
18:27:44:163225,2809,11137,-4020,10970,1919,133,-141,-578,-846,972
18:27:44:170758,2758,11184,-4186,10872,1906,42,-68,-511,-806,803
18:27:44:178339,2758,11184,-4186,10872,1906,42,-68,-511,-806,803
18:27:44:186369,2758,11184,-4186,10872,1906,42,-68,-511,-806,803
18:27:44:194137,2701,11235,-4305,10787,1927,-24,-73,-296,-748,623
18:27:44:194748,2701,11235,-4305,10787,1927,-24,-73,-296,-748,623
18:27:44:208188,2701,11235,-4305,10787,1927,-24,-73,-296,-748,623
18:27:44:216408,2656,11290,-4376,10712,1964,-46,-117,-142,-661,402
18:27:44:217222,2656,11290,-4376,10712,1964,-46,-117,-142,-661,402
18:27:44:223172,2656,11290,-4376,10712,1964,-46,-117,-142,-661,402
18:27:44:230880,2639,11341,-4420,10645,1943,-8,-95,-146,-572,227
18:27:44:238180,2639,11341,-4420,10645,1943,-8,-95,-146,-572,227
18:27:44:245872,2639,11341,-4420,10645,1943,-8,-95,-146,-572,227
18:27:44:253863,2648,11388,-4461,10574,1938,-23,-109,-244,-531,109
18:27:44:254650,2648,11388,-4461,10574,1938,-23,-109,-244,-531,109
18:27:44:268273,2648,11388,-4461,10574,1938,-23,-109,-244,-531,109
18:27:44:276391,2667,11427,-4503,10510,1997,-199,-123,-294,-470,11
18:27:44:277153,2667,11427,-4503,10510,1997,-199,-123,-294,-470,11
18:27:44:283277,2667,11427,-4503,10510,1997,-199,-123,-294,-470,11
18:27:44:298937,2700,11458,-4527,10457,1998,-255,-130,-280,-362,-126
18:27:44:299728,2700,11458,-4527,10457,1998,-255,-130,-280,-362,-126
18:27:44:305671,2700,11458,-4527,10457,1998,-255,-130,-280,-362,-126
18:27:44:314028,2739,11485,-4522,10419,1943,-221,-91,-178,-281,-227
18:27:44:314758,2739,11485,-4522,10419,1943,-221,-91,-178,-281,-227
18:27:44:328204,2739,11485,-4522,10419,1943,-221,-91,-178,-281,-227
18:27:44:336469,2776,11516,-4496,10387,1968,-223,-154,-81,-217,-313
18:27:44:337207,2776,11516,-4496,10387,1968,-223,-154,-81,-217,-313
18:27:44:343297,2776,11516,-4496,10387,1968,-223,-154,-81,-217,-313
18:27:44:350785,2817,11542,-4454,10365,1998,-220,-172,-34,-137,-381
18:27:44:358191,2817,11542,-4454,10365,1998,-220,-172,-34,-137,-381
18:27:44:365780,2817,11542,-4454,10365,1998,-220,-172,-34,-137,-381
18:27:44:373895,2862,11558,-4401,10356,1977,-248,-146,4,-47,-435
18:27:44:374644,2862,11558,-4401,10356,1977,-248,-146,4,-47,-435
18:27:44:388219,2862,11558,-4401,10356,1977,-248,-146,4,-47,-435
18:27:44:396543,2908,11570,-4336,10358,1974,-228,-128,49,18,-471
18:27:44:397257,2908,11570,-4336,10358,1974,-228,-128,49,18,-471
18:27:44:403220,2908,11570,-4336,10358,1974,-228,-128,49,18,-471
18:27:44:410812,2955,11580,-4270,10362,1954,-207,-137,56,45,-467
18:27:44:418224,2955,11580,-4270,10362,1954,-207,-137,56,45,-467
18:27:44:425726,2955,11580,-4270,10362,1954,-207,-137,56,45,-467
18:27:44:433949,3000,11587,-4208,10365,1923,-171,-165,46,64,-438
18:27:44:434718,3000,11587,-4208,10365,1923,-171,-165,46,64,-438
18:27:44:448322,3000,11587,-4208,10365,1923,-171,-165,46,64,-438
18:27:44:456420,3045,11589,-4158,10370,1987,-186,-199,4,95,-392
18:27:44:457155,3045,11589,-4158,10370,1987,-186,-199,4,95,-392
18:27:44:471353,3045,11589,-4158,10370,1987,-186,-199,4,95,-392
18:27:44:472145,3096,11582,-4123,10377,2010,-197,-179,-86,120,-354
18:27:44:486381,3096,11582,-4123,10377,2010,-197,-179,-86,120,-354
18:27:44:487103,3096,11582,-4123,10377,2010,-197,-179,-86,120,-354
18:27:44:494135,3153,11573,-4099,10379,1998,-185,-181,-157,108,-331
18:27:44:494687,3153,11573,-4099,10379,1998,-185,-181,-157,108,-331
18:27:44:517077,3153,11573,-4099,10379,1998,-185,-181,-157,108,-331
18:27:44:517861,3208,11565,-4086,10377,2008,-191,-212,-191,94,-299
18:27:44:518700,3208,11565,-4086,10377,2008,-191,-212,-191,94,-299
18:27:44:523163,3208,11565,-4086,10377,2008,-191,-212,-191,94,-299
18:27:44:530891,3264,11553,-4086,10373,2052,-200,-223,-251,92,-259
18:27:44:538181,3264,11553,-4086,10373,2052,-200,-223,-251,92,-259
18:27:44:554524,3264,11553,-4086,10373,2052,-200,-223,-251,92,-259
18:27:44:555336,3314,11537,-4097,10371,2069,-251,-232,-271,96,-209
18:27:44:556159,3314,11537,-4097,10371,2069,-251,-232,-271,96,-209
18:27:44:577586,3314,11537,-4097,10371,2069,-251,-232,-271,96,-209
18:27:44:578265,3349,11521,-4111,10371,2069,-263,-232,-220,86,-158
18:27:44:583847,3349,11521,-4111,10371,2069,-263,-232,-220,86,-158
18:27:44:584636,3349,11521,-4111,10371,2069,-263,-232,-220,86,-158
18:27:44:590695,3364,11511,-4124,10372,2016,-249,-264,-123,62,-91
18:27:44:598262,3364,11511,-4124,10372,2016,-249,-264,-123,62,-91
18:27:44:605687,3364,11511,-4124,10372,2016,-249,-264,-123,62,-91
18:27:44:621403,3370,11507,-4130,10373,1946,-162,-251,-56,35,-45
