Time,FT1,FT2,X,Y,Z
15:20:54:383316,0,0,-0.125,0.465,0.01
15:20:54:388412,0,0,-0.125,0.465037,0.01
15:20:54:393414,0,0,-0.125,0.465037,0.01
15:20:54:398504,0,0,-0.125,0.465043,0.01
15:20:54:403535,0,0,-0.125,0.465043,0.01
15:20:54:408539,0,0,-0.125,0.465048,0.01
15:20:54:413627,0,0,-0.125,0.465048,0.01
15:20:54:418642,0,0,-0.125,0.465053,0.01
15:20:54:423770,0,0,-0.125,0.465053,0.01
15:20:54:428924,0,0,-0.125,0.465053,0.01
15:20:54:433897,0,0,-0.125,0.465053,0.01
15:20:54:439001,0,0,-0.125,0.465054,0.01
15:20:54:444027,0,0,-0.125,0.465054,0.01
15:20:54:449053,0,0,-0.125,0.465054,0.01
15:20:54:454159,0,0,-0.125,0.465059,0.01
15:20:54:459289,0,0,-0.125,0.465059,0.01
15:20:54:464181,0,0,-0.125,0.465059,0.01
15:20:54:469435,0,0,-0.125,0.465059,0.01
15:20:54:474389,0,0,-0.125,0.465059,0.01
15:20:54:479519,0,0,-0.125,0.465059,0.01
15:20:54:484526,0,0,-0.125,0.465059,0.01
15:20:54:490016,0,0,-0.125,0.465059,0.01
15:20:54:495143,0,0,-0.125,0.465059,0.01
15:20:54:500147,0,0,-0.125,0.465059,0.01
15:20:54:505259,0,0,-0.125,0.465059,0.01
15:20:54:510274,0,0,-0.125,0.465059,0.01
15:20:54:515273,0,0,-0.125,0.465059,0.01
15:20:54:520398,0,0,-0.125,0.465059,0.01
15:20:54:525377,0,0,-0.125,0.465059,0.01
15:20:54:530540,0,0,-0.125,0.465059,0.01
15:20:54:535424,0,0,-0.125,0.465059,0.01
15:20:54:540635,0,0,-0.125,0.465064,0.01
15:20:54:545556,0,0,-0.125,0.465064,0.01
15:20:54:550753,0,0,-0.125,0.465064,0.01
15:20:54:555750,0,0,-0.125,0.465065,0.01
15:20:54:560879,0,0,-0.125,0.465065,0.01
15:20:54:565793,0,0,-0.125,0.465065,0.01
15:20:54:571000,0,0,-0.125,0.465065,0.01
15:20:54:576004,0,0,-0.125,0.465065,0.01
15:20:54:581128,0,0,-0.125,0.465065,0.01
15:20:54:586278,0,0,-0.125,0.465065,0.01
15:20:54:591251,0,0,-0.125,0.465065,0.01
15:20:54:596385,0,0,-0.125,0.465065,0.01
15:20:54:601396,0,0,-0.125,0.465065,0.01
15:20:54:606508,0,0,-0.125,0.465065,0.01
15:20:54:611505,0,0,-0.125,0.465065,0.01
15:20:54:616642,0,0,-0.125,0.465065,0.01
15:20:54:621624,0,0,-0.125,0.465065,0.01
15:20:54:626752,0.05,-0.012,-0.125,0.465065,0.01
15:20:54:631671,0.044,0.008,-0.125,0.465065,0.01
15:20:54:636897,0.03,0.036,-0.125,0.465065,0.01
15:20:54:641875,0.01,0.062,-0.125,0.465065,0.01
15:20:54:647008,0.002,0.064,-0.125,0.465065,0.01
15:20:54:652136,-0.007,0.048,-0.125,0.465065,0.01
15:20:54:657130,-0.014,0.034,-0.125,0.465065,0.01
15:20:54:662259,-0.019,0.022,-0.125,0.465065,0.01
15:20:54:667263,-0.019,0.028,-0.125,0.465065,0.01
15:20:54:672150,-0.027,0.033,-0.125,0.465065,0.01
15:20:54:677387,-0.052,0.021,-0.125,0.465065,0.01
15:20:54:682526,-0.064,0.002,-0.125,0.465065,0.01
15:20:54:687498,-0.046,-0.011,-0.125,0.465065,0.01
15:20:54:692541,-0.012,0.005,-0.125,0.465065,0.01
15:20:54:697545,0.029,0.061,-0.125007,0.465065,0.01
15:20:54:702634,0.028,0.095,-0.125007,0.465065,0.01
15:20:54:707792,-0.017,0.097,-0.125007,0.465065,0.01
15:20:54:712883,-0.053,0.062,-0.125007,0.465065,0.01
15:20:54:717797,-0.071,-0.008,-0.125007,0.465065,0.01
15:20:54:723011,-0.054,-0.039,-0.125007,0.465065,0.01
15:20:54:728004,-0.015,-0.034,-0.125007,0.465065,0.01
15:20:54:733151,0.007,0.015,-0.125007,0.465065,0.01
15:20:54:738126,0.013,0.047,-0.125007,0.46507,0.01
15:20:54:743126,0.018,0.062,-0.125007,0.46507,0.01
15:20:54:748262,0.021,0.046,-0.125007,0.46507,0.01
15:20:54:753383,0.008,0.007,-0.125007,0.46507,0.01
15:20:54:758384,-0.002,-0.01,-0.125007,0.46507,0.01
15:20:54:763540,0.007,-0.008,-0.125007,0.46507,0.01
15:20:54:768645,0.033,0.004,-0.125007,0.46507,0.01
