Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
15:21:35:668981,8,5,7,6,0,1,2,1
15:21:35:677266,8,5,7,6,0,1,2,1
15:21:35:678057,-5,-17,-7,5,3,0,-1,-3
15:21:35:684033,4,8,2,41,11,-3,0,0
15:21:35:707921,4,8,2,41,11,-3,0,0
15:21:35:708679,-1,12,21,1,-10,-5,0,2
15:21:35:709463,-71,-15,-13,-9,-8,1,-5,-15
15:21:35:714699,-71,-15,-13,-9,-8,1,-5,-15
15:21:35:715552,38,4,15,0,0,-2,3,67
15:21:35:729062,4,-5,-6,-20,-9,6,4,8
15:21:35:737199,4,-5,-6,-20,-9,6,4,8
15:21:35:738013,-40,-15,-45,-22,-25,-12,-24,-51
15:21:35:743965,13,37,43,12,7,4,-4,11
15:21:35:768080,13,37,43,12,7,4,-4,11
15:21:35:768666,-6,-10,3,7,0,0,3,-6
15:21:35:769462,13,9,-15,-28,14,-7,-3,-8
15:21:35:774692,13,9,-15,-28,14,-7,-3,-8
15:21:35:775479,9,-20,-19,9,0,3,7,2
15:21:35:797903,-1,-4,5,14,1,2,3,-4
15:21:35:798696,-1,-4,5,14,1,2,3,-4
15:21:35:799503,41,31,26,2,14,9,0,-6
15:21:35:803958,87,-4,-15,-5,-22,-7,-7,31
15:21:35:811630,87,-4,-15,-5,-22,-7,-7,31
15:21:35:818980,-49,-5,-5,5,2,-3,4,-22
15:21:35:826517,-30,-50,-37,-17,-1,1,4,-5
15:21:35:834680,-30,-50,-37,-17,-1,1,4,-5
15:21:35:835464,13,25,26,0,18,3,1,-1
15:21:35:849017,-32,-18,-30,-9,-1,-5,-3,-3
15:21:35:857283,-32,-18,-30,-9,-1,-5,-3,-3
15:21:35:858071,-2,22,18,11,-4,-4,-2,1
15:21:35:864004,-7,-6,5,-21,-9,-10,3,-4
15:21:35:880212,-7,-6,5,-21,-9,-10,3,-4
15:21:35:880989,-31,-21,-6,6,7,-3,-33,-35
15:21:35:895408,20,7,-1,17,26,5,-23,-3
15:21:35:896188,20,7,-1,17,26,5,-23,-3
15:21:35:896959,2,-7,-13,4,-8,-5,-5,3
15:21:35:909426,-13,-13,1,-1,-5,5,15,-5
15:21:35:917177,-13,-13,1,-1,-5,5,15,-5
15:21:35:917983,-7,-12,-25,-14,-14,-4,5,0
15:21:35:923976,3,19,35,14,-11,0,5,-3
15:21:35:940228,3,19,35,14,-11,0,5,-3
15:21:35:940965,5,17,13,-1,11,3,3,9
15:21:35:946501,-2,-7,-11,1,-16,-7,-8,-2
15:21:35:954698,-2,-7,-11,1,-16,-7,-8,-2
15:21:35:955479,-12,-17,-16,-22,3,-9,6,2
