Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
15:22:56:859387,-12505,-7912,4496,5409,231,1917,879,176,47,-64
15:22:56:860177,-12505,-7912,4496,5409,231,1917,879,176,47,-64
15:22:56:866286,-12492,-7931,4503,5405,292,1834,875,190,5,-66
15:22:56:873692,-12492,-7931,4503,5405,292,1834,875,190,5,-66
15:22:56:890091,-12492,-7931,4503,5405,292,1834,875,190,5,-66
15:22:56:890890,-12455,-7982,4522,5400,264,1866,806,391,-23,-105
15:22:56:891804,-12455,-7982,4522,5400,264,1866,806,391,-23,-105
15:22:56:912599,-12455,-7982,4522,5400,264,1866,806,391,-23,-105
15:22:56:913366,-12401,-8058,4549,5388,287,1898,690,510,-5,-137
15:22:56:914177,-12401,-8058,4549,5388,287,1898,690,510,-5,-137
15:22:56:918693,-12401,-8058,4549,5388,287,1898,690,510,-5,-137
15:22:56:926253,-12346,-8143,4566,5374,229,2004,598,482,50,-143
15:22:56:941949,-12346,-8143,4566,5374,229,2004,598,482,50,-143
15:22:56:942699,-12346,-8143,4566,5374,229,2004,598,482,50,-143
15:22:56:949437,-12315,-8192,4560,5374,146,2052,624,212,67,-120
15:22:56:950198,-12315,-8192,4560,5374,146,2052,624,212,67,-120
15:22:56:964869,-12315,-8192,4560,5374,146,2052,624,212,67,-120
15:22:56:971899,-12317,-8194,4541,5383,177,1891,701,-43,58,-94
15:22:56:972700,-12317,-8194,4541,5383,177,1891,701,-43,58,-94
15:22:56:978814,-12317,-8194,4541,5383,177,1891,701,-43,58,-94
15:22:56:986232,-12311,-8205,4525,5393,177,1785,674,20,52,-123
15:22:56:993706,-12311,-8205,4525,5393,177,1785,674,20,52,-123
15:22:57:1178,-12311,-8205,4525,5393,177,1785,674,20,52,-123
15:22:57:9425,-12301,-8236,4505,5386,172,1812,715,159,146,-102
15:22:57:10194,-12301,-8236,4505,5386,172,1812,715,159,146,-102
15:22:57:24408,-12301,-8236,4505,5386,172,1812,715,159,146,-102
15:22:57:25213,-12289,-8286,4476,5360,153,1846,695,243,266,-70
15:22:57:39429,-12289,-8286,4476,5360,153,1846,695,243,266,-70
15:22:57:40220,-12289,-8286,4476,5360,153,1846,695,243,266,-70
15:22:57:46283,-12271,-8344,4450,5335,110,1902,696,295,252,-66
15:22:57:53737,-12271,-8344,4450,5335,110,1902,696,295,252,-66
15:22:57:70092,-12271,-8344,4450,5335,110,1902,696,295,252,-66
15:22:57:70869,-12250,-8397,4431,5314,143,1959,735,307,198,-79
15:22:57:71658,-12250,-8397,4431,5314,143,1959,735,307,198,-79
15:22:57:84413,-12250,-8397,4431,5314,143,1959,735,307,198,-79
15:22:57:85227,-12245,-8432,4402,5294,189,1982,842,216,234,-88
15:22:57:107637,-12245,-8432,4402,5294,189,1982,842,216,234,-88
