Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
14:57:55:773906,-3,-3,-1,2,-7,0,-2,-1
14:57:55:782106,-3,-3,-1,2,-7,0,-2,-1
14:57:55:782864,-1,-1,-2,1,-3,0,4,-1
14:57:55:797135,2,0,0,0,0,1,3,-4
14:57:55:797927,2,0,0,0,0,1,3,-4
14:57:55:803934,-3,-4,-2,0,-1,-2,-4,-6
14:57:55:811390,-1,-3,0,1,-3,-3,-4,0
14:57:55:818994,-1,-3,0,1,-3,-3,-4,0
14:57:55:826437,2,0,-1,-5,-4,3,0,0
14:57:55:833945,0,0,-2,-8,2,-3,-9,-1
14:57:55:842130,0,0,-2,-8,2,-3,-9,-1
14:57:55:842954,-1,-1,-3,0,8,-2,-3,-1
14:57:55:857132,-4,2,0,-1,-3,-1,4,-1
14:57:55:857940,-4,2,0,-1,-3,-1,4,-1
14:57:55:863938,-2,1,-1,0,-5,2,1,-1
14:57:55:871416,-1,0,-1,-1,3,1,-3,-1
14:57:55:878949,-1,0,-1,-1,3,1,-3,-1
14:57:55:886376,-1,-2,0,0,-2,-5,-1,1
14:57:55:902824,1,0,-1,3,-2,0,-1,0
14:57:55:903577,1,0,-1,3,-2,0,-1,0
14:57:55:904358,0,-2,1,-6,1,-1,-1,-1
14:57:55:917175,0,-1,-2,3,-2,-3,4,1
14:57:55:917954,0,-1,-2,3,-2,-3,4,1
14:57:55:923921,-3,-4,-7,-4,1,-2,-2,-3
14:57:55:931404,0,0,-3,-4,-3,0,1,1
14:57:55:938958,0,0,-3,-4,-3,0,1,1
14:57:55:946522,-4,0,-3,5,-3,-1,-2,2
14:57:55:953912,-1,-4,-1,-1,0,2,2,-2
14:57:55:962122,-1,-4,-1,-1,0,2,2,-2
14:57:55:962882,-2,0,2,-2,-2,1,0,-2
14:57:55:977113,-6,0,4,3,-2,-3,-1,-2
14:57:55:977959,-6,0,4,3,-2,-3,-1,-2
14:57:55:983968,4,-1,-3,6,0,-2,0,-2
14:57:55:991514,1,-2,-5,-4,3,0,-4,0
14:57:55:998953,1,-2,-5,-4,3,0,-4,0
14:57:56:6420,-2,1,0,-4,-2,-2,-23,-6
14:57:56:13903,1,1,-5,-2,-1,-2,-1,-6
14:57:56:22122,1,1,-5,-2,-1,-2,-1,-6
14:57:56:22922,5,1,2,-4,-2,0,4,-2
14:57:56:37107,-5,-3,-3,-4,-3,1,0,-2
14:57:56:37901,-5,-3,-3,-4,-3,1,0,-2
14:57:56:43928,-1,-3,1,3,0,2,0,1
14:57:56:51405,0,-5,2,1,-2,-1,3,4
14:57:56:59003,0,-5,2,1,-2,-1,3,4
14:57:56:66386,-3,1,1,2,1,1,-2,-2
14:57:56:73921,-4,-2,-3,-6,7,1,-4,-2
14:57:56:82147,-4,-2,-3,-6,7,1,-4,-2
14:57:56:82944,-3,0,-1,-1,-5,-3,4,3
