Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
14:57:55:773906,-15075,-3938,4024,-3082,1112,710,1534,38,2,-3
14:57:55:782106,-15073,-3948,4021,-3084,1103,717,1548,58,6,-5
14:57:55:782864,-15073,-3948,4021,-3084,1103,717,1548,58,6,-5
14:57:55:797135,-15073,-3948,4021,-3084,1103,717,1548,58,6,-5
14:57:55:797927,-15070,-3959,4017,-3086,1106,729,1553,62,12,-6
14:57:55:803934,-15070,-3959,4017,-3086,1106,729,1553,62,12,-6
14:57:55:811390,-15070,-3959,4017,-3086,1106,729,1553,62,12,-6
14:57:55:818994,-15070,-3966,4012,-3088,1113,731,1562,39,21,-7
14:57:55:826437,-15070,-3966,4012,-3088,1113,731,1562,39,21,-7
14:57:55:833945,-15070,-3966,4012,-3088,1113,731,1562,39,21,-7
14:57:55:842130,-15071,-3968,4006,-3088,1107,725,1578,17,22,-9
14:57:55:842954,-15071,-3968,4006,-3088,1107,725,1578,17,22,-9
14:57:55:857132,-15071,-3968,4006,-3088,1107,725,1578,17,22,-9
14:57:55:857940,-15071,-3970,4002,-3089,1105,712,1570,22,15,-9
14:57:55:863938,-15071,-3970,4002,-3089,1105,712,1570,22,15,-9
14:57:55:871416,-15071,-3970,4002,-3089,1105,712,1570,22,15,-9
14:57:55:878949,-15070,-3975,3998,-3090,1092,692,1576,49,10,-11
14:57:55:886376,-15070,-3975,3998,-3090,1092,692,1576,49,10,-11
14:57:55:902824,-15070,-3975,3998,-3090,1092,692,1576,49,10,-11
14:57:55:903577,-15069,-3986,3993,-3091,1095,716,1557,67,9,-19
14:57:55:904358,-15069,-3986,3993,-3091,1095,716,1557,67,9,-19
14:57:55:917175,-15069,-3986,3993,-3091,1095,716,1557,67,9,-19
14:57:55:917954,-15067,-3997,3989,-3090,1104,733,1543,56,12,-20
14:57:55:923921,-15067,-3997,3989,-3090,1104,733,1543,56,12,-20
14:57:55:931404,-15067,-3997,3989,-3090,1104,733,1543,56,12,-20
14:57:55:938958,-15068,-4002,3984,-3088,1098,745,1556,19,15,-22
14:57:55:946522,-15068,-4002,3984,-3088,1098,745,1556,19,15,-22
14:57:55:953912,-15068,-4002,3984,-3088,1098,745,1556,19,15,-22
14:57:55:962122,-15070,-4000,3980,-3084,1096,726,1565,-8,14,-26
14:57:55:962882,-15070,-4000,3980,-3084,1096,726,1565,-8,14,-26
14:57:55:977113,-15070,-4000,3980,-3084,1096,726,1565,-8,14,-26
14:57:55:977959,-15072,-3999,3976,-3080,1098,714,1574,0,12,-29
14:57:55:983968,-15072,-3999,3976,-3080,1098,714,1574,0,12,-29
14:57:55:991514,-15072,-3999,3976,-3080,1098,714,1574,0,12,-29
14:57:55:998953,-15072,-4003,3972,-3078,1098,713,1573,30,10,-30
14:57:56:6420,-15072,-4003,3972,-3078,1098,713,1573,30,10,-30
14:57:56:13903,-15072,-4003,3972,-3078,1098,713,1573,30,10,-30
14:57:56:22122,-15072,-4011,3967,-3074,1098,731,1567,44,8,-38
14:57:56:22922,-15072,-4011,3967,-3074,1098,731,1567,44,8,-38
14:57:56:37107,-15072,-4011,3967,-3074,1098,731,1567,44,8,-38
14:57:56:37901,-15072,-4018,3964,-3069,1100,753,1560,28,5,-37
14:57:56:43928,-15072,-4018,3964,-3069,1100,753,1560,28,5,-37
14:57:56:51405,-15072,-4018,3964,-3069,1100,753,1560,28,5,-37
14:57:56:59003,-15074,-4020,3962,-3064,1105,739,1561,-1,4,-37
14:57:56:66386,-15074,-4020,3962,-3064,1105,739,1561,-1,4,-37
14:57:56:73921,-15074,-4020,3962,-3064,1105,739,1561,-1,4,-37
14:57:56:82147,-15076,-4019,3959,-3057,1098,730,1575,-10,4,-43
14:57:56:82944,-15076,-4019,3959,-3057,1098,730,1575,-10,4,-43
14:57:56:97126,-15076,-4019,3959,-3057,1098,730,1575,-10,4,-43
14:57:56:97954,-15078,-4020,3957,-3050,1101,722,1565,3,3,-47
14:57:56:103884,-15078,-4020,3957,-3050,1101,722,1565,3,3,-47
14:57:56:111431,-15078,-4020,3957,-3050,1101,722,1565,3,3,-47
14:57:56:118992,-15078,-4024,3954,-3044,1099,718,1563,26,1,-52
14:57:56:126434,-15078,-4024,3954,-3044,1099,718,1563,26,1,-52
14:57:56:133945,-15078,-4024,3954,-3044,1099,718,1563,26,1,-52
14:57:56:142176,-15079,-4031,3951,-3036,1089,718,1549,35,2,-59
14:57:56:142934,-15079,-4031,3951,-3036,1089,718,1549,35,2,-59
14:57:56:157142,-15079,-4031,3951,-3036,1089,718,1549,35,2,-59
14:57:56:157963,-15080,-4040,3947,-3028,1089,744,1552,37,0,-63
14:57:56:163921,-15080,-4040,3947,-3028,1089,744,1552,37,0,-63
14:57:56:171401,-15080,-4040,3947,-3028,1089,744,1552,37,0,-63
14:57:56:179004,-15078,-4052,3946,-3017,1109,747,1519,44,-8,-75
14:57:56:186439,-15078,-4052,3946,-3017,1109,747,1519,44,-8,-75
14:57:56:193921,-15078,-4052,3946,-3017,1109,747,1519,44,-8,-75
14:57:56:202085,-15076,-4070,3947,-3003,1104,690,1566,106,-46,-115
14:57:56:202864,-15076,-4070,3947,-3003,1104,690,1566,106,-46,-115
14:57:56:217553,-15076,-4070,3947,-3003,1104,690,1566,106,-46,-115
14:57:56:218364,-15069,-4109,3944,-2988,1089,697,1565,221,-61,-143
14:57:56:223909,-15069,-4109,3944,-2988,1089,697,1565,221,-61,-143
14:57:56:231425,-15069,-4109,3944,-2988,1089,697,1565,221,-61,-143
14:57:56:238962,-15062,-4157,3932,-2973,1081,754,1541,256,-20,-158
14:57:56:246508,-15062,-4157,3932,-2973,1081,754,1541,256,-20,-158
14:57:56:253948,-15062,-4157,3932,-2973,1081,754,1541,256,-20,-158
14:57:56:262181,-15056,-4199,3924,-2958,1097,791,1547,212,-32,-140
14:57:56:262980,-15056,-4199,3924,-2958,1097,791,1547,212,-32,-140
14:57:56:277098,-15056,-4199,3924,-2958,1097,791,1547,212,-32,-140
14:57:56:277933,-15043,-4253,3924,-2945,1133,718,1596,327,-92,-161
14:57:56:283937,-15043,-4253,3924,-2945,1133,718,1596,327,-92,-161
14:57:56:291435,-15043,-4253,3924,-2945,1133,718,1596,327,-92,-161
14:57:56:298939,-15014,-4359,3928,-2934,1164,634,1672,675,-195,-234
14:57:56:306412,-15014,-4359,3928,-2934,1164,634,1672,675,-195,-234
14:57:56:313916,-15014,-4359,3928,-2934,1164,634,1672,675,-195,-234
14:57:56:322109,-14979,-4506,3904,-2921,1160,598,1375,888,-28,-357
14:57:56:322918,-14979,-4506,3904,-2921,1160,598,1375,888,-28,-357
14:57:56:337124,-14979,-4506,3904,-2921,1160,598,1375,888,-28,-357
14:57:56:337912,-14949,-4652,3861,-2901,1063,857,1446,810,8,-336
14:57:56:343896,-14949,-4652,3861,-2901,1063,857,1446,810,8,-336
14:57:56:351388,-14949,-4652,3861,-2901,1063,857,1446,810,8,-336
14:57:56:359026,-14922,-4771,3835,-2884,1203,939,1442,639,13,-280
14:57:56:366427,-14922,-4771,3835,-2884,1203,939,1442,639,13,-280
14:57:56:390254,-14922,-4771,3835,-2884,1203,939,1442,639,13,-280
14:57:56:391061,-14900,-4872,3817,-2854,1254,876,1246,498,41,-354
14:57:56:391891,-14900,-4872,3817,-2854,1254,876,1246,498,41,-354
14:57:56:397092,-14900,-4872,3817,-2854,1254,876,1246,498,41,-354
14:57:56:397938,-14877,-4996,3820,-2751,1271,1129,1150,393,-173,-666
14:57:56:403923,-14877,-4996,3820,-2751,1271,1129,1150,393,-173,-666
14:57:56:419581,-14877,-4996,3820,-2751,1271,1129,1150,393,-173,-666
14:57:56:420402,-14869,-5098,3847,-2564,1265,1280,1083,70,-389,-1005
14:57:56:426424,-14869,-5098,3847,-2564,1265,1280,1083,70,-389,-1005
14:57:56:433971,-14869,-5098,3847,-2564,1265,1280,1083,70,-389,-1005
14:57:56:441521,-14877,-5181,3866,-2310,1105,1226,1170,-82,-512,-1332
14:57:56:448966,-14877,-5181,3866,-2310,1105,1226,1170,-82,-512,-1332
14:57:56:465273,-14877,-5181,3866,-2310,1105,1226,1170,-82,-512,-1332
14:57:56:466093,-14874,-5292,3870,-2061,927,1210,1256,149,-560,-1336
14:57:56:466894,-14874,-5292,3870,-2061,927,1210,1256,149,-560,-1336
14:57:56:479636,-14874,-5292,3870,-2061,927,1210,1256,149,-560,-1336
14:57:56:480549,-14871,-5394,3877,-1786,913,1267,1191,41,-599,-1442
14:57:56:486446,-14871,-5394,3877,-1786,913,1267,1191,41,-599,-1442
14:57:56:493961,-14871,-5394,3877,-1786,913,1267,1191,41,-599,-1442
14:57:56:501553,-14870,-5492,3870,-1487,820,1348,1353,34,-639,-1554
14:57:56:508951,-14870,-5492,3870,-1487,820,1348,1353,34,-639,-1554
14:57:56:517133,-14870,-5492,3870,-1487,820,1348,1353,34,-639,-1554
14:57:56:517939,-14864,-5571,3884,-1176,719,1321,1389,-11,-729,-1625
14:57:56:523895,-14864,-5571,3884,-1176,719,1321,1389,-11,-729,-1625
14:57:56:540098,-14864,-5571,3884,-1176,719,1321,1389,-11,-729,-1625
14:57:56:540893,-14854,-5640,3911,-848,704,1273,1446,-77,-832,-1679
14:57:56:546420,-14854,-5640,3911,-848,704,1273,1446,-77,-832,-1679
14:57:56:553926,-14854,-5640,3911,-848,704,1273,1446,-77,-832,-1679
14:57:56:561570,-14830,-5717,3946,-504,688,1261,1490,-16,-927,-1752
14:57:56:568891,-14830,-5717,3946,-504,688,1261,1490,-16,-927,-1752
14:57:56:577089,-14830,-5717,3946,-504,688,1261,1490,-16,-927,-1752
14:57:56:577905,-14785,-5821,3992,-156,663,1273,1487,154,-1028,-1787
14:57:56:583902,-14785,-5821,3992,-156,663,1273,1487,154,-1028,-1787
14:57:56:607780,-14785,-5821,3992,-156,663,1273,1487,154,-1028,-1787
14:57:56:608541,-14727,-5930,4047,195,647,1290,1440,206,-1091,-1788
14:57:56:609335,-14727,-5930,4047,195,647,1290,1440,206,-1091,-1788
14:57:56:613944,-14727,-5930,4047,195,647,1290,1440,206,-1091,-1788
14:57:56:621515,-14662,-6027,4106,542,607,1392,1400,157,-1117,-1745
14:57:56:628961,-14662,-6027,4106,542,607,1392,1400,157,-1117,-1745
14:57:56:637108,-14662,-6027,4106,542,607,1392,1400,157,-1117,-1745
14:57:56:637911,-14598,-6110,4154,874,619,1442,1357,132,-1105,-1596
14:57:56:643886,-14598,-6110,4154,874,619,1442,1357,132,-1105,-1596
14:57:56:667805,-14598,-6110,4154,874,619,1442,1357,132,-1105,-1596
14:57:56:668579,-14534,-6164,4220,1187,721,1438,1313,20,-1118,-1483
14:57:56:669398,-14534,-6164,4220,1187,721,1438,1313,20,-1118,-1483
14:57:56:673903,-14534,-6164,4220,1187,721,1438,1313,20,-1118,-1483
14:57:56:681517,-14476,-6187,4290,1492,757,1403,1236,-131,-1089,-1415
14:57:56:688904,-14476,-6187,4290,1492,757,1403,1236,-131,-1089,-1415
14:57:56:697106,-14476,-6187,4290,1492,757,1403,1236,-131,-1089,-1415
14:57:56:697925,-14416,-6198,4366,1775,726,1365,1224,-142,-1090,-1285
14:57:56:703900,-14416,-6198,4366,1775,726,1365,1224,-142,-1090,-1285
14:57:56:719578,-14416,-6198,4366,1775,726,1365,1224,-142,-1090,-1285
14:57:56:720463,-14345,-6216,4465,2025,756,1351,1152,-27,-1125,-1108
14:57:56:726410,-14345,-6216,4465,2025,756,1351,1152,-27,-1125,-1108
14:57:56:741862,-14345,-6216,4465,2025,756,1351,1152,-27,-1125,-1108
14:57:56:749696,-14267,-6234,4578,2253,831,1392,1155,30,-1130,-1007
14:57:56:750525,-14267,-6234,4578,2253,831,1392,1155,30,-1130,-1007
14:57:56:757141,-14267,-6234,4578,2253,831,1392,1155,30,-1130,-1007
