Time,FT1,FT2,X,Y,Z
14:59:11:6210,0,0,-0.125,0.465,0.01
14:59:11:11320,0,0,-0.125,0.465042,0.01
14:59:11:16360,0,0,-0.125,0.465048,0.01
14:59:11:21462,0,0,-0.125,0.465053,0.01
14:59:11:26459,0,0,-0.125,0.465063,0.01
14:59:11:31457,0,0,-0.125,0.465068,0.01
14:59:11:36575,0,0,-0.125,0.465068,0.01
14:59:11:41608,0,0,-0.125,0.465069,0.01
14:59:11:46720,0,0,-0.125,0.465074,0.01
14:59:11:51747,0,0,-0.125007,0.465074,0.01
14:59:11:56829,0,0,-0.125007,0.465074,0.01
14:59:11:61972,0,0,-0.125007,0.465079,0.01
14:59:11:66949,0,0,-0.125007,0.465079,0.01
14:59:11:72095,0,0,-0.125007,0.465079,0.01
14:59:11:77074,0,0,-0.125007,0.465079,0.01
14:59:11:82219,0,0,-0.125007,0.465079,0.01
14:59:11:87248,0,0,-0.125007,0.465079,0.01
14:59:11:92347,0,0,-0.125007,0.465079,0.01
14:59:11:97323,0,0,-0.125007,0.465079,0.01
14:59:11:102471,0,0,-0.125007,0.465079,0.01
14:59:11:107469,0,0,-0.125007,0.465079,0.01
14:59:11:112582,0,0,-0.125007,0.465079,0.01
14:59:11:117576,0,0,-0.125007,0.465079,0.01
14:59:11:122694,0,0,-0.125007,0.465079,0.01
14:59:11:127702,0,0,-0.125007,0.465079,0.01
14:59:11:132833,0,0,-0.125007,0.46508,0.01
14:59:11:137820,0,0,-0.125007,0.46508,0.01
14:59:11:142991,0,0,-0.125007,0.46508,0.01
14:59:11:148092,0,0,-0.125007,0.46508,0.01
14:59:11:153073,0,0,-0.125007,0.46508,0.01
14:59:11:158199,0,0,-0.125007,0.465085,0.01
14:59:11:163116,0,0,-0.125007,0.465085,0.01
14:59:11:168324,0,0,-0.125007,0.465085,0.01
14:59:11:173321,0,0,-0.125007,0.465085,0.01
14:59:11:178458,0,0,-0.125007,0.465086,0.01
14:59:11:183352,0,0,-0.125007,0.465086,0.01
14:59:11:188575,0,0,-0.125007,0.465086,0.01
14:59:11:193577,0,0,-0.125007,0.465086,0.01
14:59:11:198697,0,0,-0.125007,0.465086,0.01
14:59:11:203718,0,0,-0.125007,0.465086,0.01
14:59:11:208826,0,0,-0.125007,0.465086,0.01
14:59:11:213955,0,0,-0.125007,0.465086,0.01
14:59:11:218952,0,0,-0.125007,0.465086,0.01
