Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:03:35:389726,-2,-3,2,-4,-3,-1,1,1
18:03:35:397600,-2,-3,2,-4,-3,-1,1,1
18:03:35:405343,3,-2,1,-4,5,0,-3,-1
18:03:35:406114,-4,-1,2,-4,3,1,-6,-5
18:03:35:412179,-4,-1,2,-4,3,1,-6,-5
18:03:35:419786,-4,1,2,-3,-3,0,0,-3
18:03:35:427154,1,-2,-4,-2,3,-4,0,0
18:03:35:442836,1,-2,-4,-2,3,-4,0,0
18:03:35:443651,-2,-1,-4,-1,-6,-1,-3,-1
18:03:35:449654,-2,-1,4,-1,-3,-4,0,2
18:03:35:457965,-2,-1,4,-1,-3,-4,0,2
18:03:35:458664,1,-3,0,1,0,3,-1,-1
18:03:35:472994,-1,-4,0,2,4,-3,0,1
18:03:35:473708,-1,-4,0,2,4,-3,0,1
18:03:35:479666,-4,0,-5,-2,2,2,-3,2
18:03:35:487233,-5,-4,0,-1,-1,1,-2,-8
18:03:35:503009,-5,-4,0,-1,-1,1,-2,-8
18:03:35:503653,3,1,0,-1,1,-6,-1,-6
18:03:35:509707,1,2,-2,3,-1,-1,-1,0
18:03:35:517916,1,2,-2,3,-1,-1,-1,0
18:03:35:518647,-5,-3,-1,2,-2,1,-3,-1
18:03:35:524716,0,-1,-1,-2,-4,1,-1,3
18:03:35:532242,0,-1,-1,-2,-4,1,-1,3
18:03:35:539740,-2,-1,-6,-1,-1,-3,2,-3
18:03:35:547134,2,-1,0,0,3,-1,-3,-6
18:03:35:555561,2,-1,0,0,3,-1,-3,-6
18:03:35:556184,-1,-3,0,3,1,3,-1,3
18:03:35:570413,0,-1,-3,-6,-4,-2,-5,-1
18:03:35:571226,0,-1,-3,-6,-4,-2,-5,-1
18:03:35:585560,-3,3,-2,-3,0,0,-3,2
18:03:35:586131,-3,1,-2,1,3,0,1,-7
18:03:35:592220,-3,1,-2,1,3,0,1,-7
18:03:35:599634,-1,-2,-2,0,-1,0,-1,1
18:03:35:607233,-1,-3,1,-2,-5,-1,1,0
18:03:35:622903,-1,-3,1,-2,-5,-1,1,0
18:03:35:623625,-1,3,0,-4,-5,-4,-1,-2
18:03:35:630976,-1,-1,-2,0,1,-3,-2,-3
18:03:35:631876,-1,-1,-2,0,1,-3,-2,-3
18:03:35:645385,-3,0,-1,1,0,1,-3,6
18:03:35:646135,0,-4,0,2,2,-4,-1,1
18:03:35:660375,0,-4,0,2,2,-4,-1,1
18:03:35:661140,0,1,0,-3,0,-2,-1,-2
18:03:35:667224,0,-1,-7,1,0,3,-1,4
18:03:35:683290,0,-1,-7,1,0,3,-1,4
18:03:35:691186,-2,0,-2,0,-2,-1,-2,-4
18:03:35:691771,-1,1,0,-1,4,0,1,-5
18:03:35:692629,-1,1,0,-1,4,0,1,-5
18:03:35:697162,1,1,-3,-1,-1,0,1,-2
18:03:35:704794,-3,0,-3,-4,-3,-2,-3,-2
18:03:35:712223,-3,0,-3,-4,-3,-2,-3,-2
18:03:35:719908,3,-6,3,1,1,2,-3,-4
18:03:35:727188,2,-3,-2,-3,0,-2,-1,4
18:03:35:735614,2,-3,-2,-3,0,-2,-1,4
18:03:35:736173,-3,-1,-1,0,-5,2,1,-3
18:03:35:749696,-7,-2,0,1,-7,-6,-4,1
18:03:35:757927,-7,-2,0,1,-7,-6,-4,1
18:03:35:758620,3,-1,-3,-1,3,-4,-2,0
18:03:35:764643,2,2,0,0,1,0,2,-4
18:03:35:772335,2,2,0,0,1,0,2,-4
18:03:35:779651,-1,-4,-4,-2,2,2,-1,2
18:03:35:787281,-1,-3,1,-3,-1,0,-2,0
18:03:35:795458,-1,-3,1,-3,-1,0,-2,0
18:03:35:796160,-2,-2,1,-4,-2,-4,-3,-7
18:03:35:809703,-1,-1,-3,2,-3,-3,-2,1
18:03:35:817878,-1,-1,-3,2,-3,-3,-2,1
18:03:35:818733,1,-1,0,2,-1,2,2,-1
18:03:35:824618,0,1,2,-2,-5,1,-4,1
18:03:35:832238,0,1,2,-2,-5,1,-4,1
18:03:35:839775,-6,0,-3,0,-3,-1,-3,-4
18:03:35:847151,0,2,0,1,-2,-3,4,2
18:03:35:862873,0,2,0,1,-2,-3,4,2
18:03:35:863678,-1,-3,-1,0,3,2,-1,2
18:03:35:869758,-2,-2,-1,3,0,3,-7,-3
18:03:35:878946,-2,-2,-1,3,0,3,-7,-3
18:03:35:885567,-2,1,1,-4,0,-3,-4,-3
18:03:35:886143,0,-2,1,3,-4,1,0,-1
18:03:35:892233,0,-2,1,3,-4,1,0,-1
18:03:35:907939,-4,-1,1,2,0,1,-1,-1
18:03:35:908609,0,-6,-1,-1,0,2,1,-3
18:03:35:922980,0,-6,-1,-1,0,2,1,-3
18:03:35:923698,0,3,-1,-2,-2,-4,-1,-6
18:03:35:929643,-1,3,-5,-1,0,-3,-2,-2
18:03:35:938373,-1,3,-5,-1,0,-3,-2,-2
18:03:35:945311,1,-3,-6,-3,-4,-1,-4,0
18:03:35:946112,0,-1,-4,-3,1,-1,-1,0
18:03:35:960453,0,-1,-4,-3,1,-1,-1,0
18:03:35:961126,3,-2,0,-1,-4,0,3,0
18:03:35:967146,0,1,-1,-2,1,-1,1,-3
18:03:35:975453,0,1,-1,-2,1,-1,1,-3
18:03:35:976165,2,1,2,0,-2,-3,1,2
18:03:35:998569,-1,-1,-1,-1,-6,-3,-1,1
18:03:35:999286,-1,-1,-1,-1,-6,-3,-1,1
18:03:36:82,-5,-2,1,0,-3,0,-4,-4
18:03:36:4800,-1,-1,-1,-1,-2,-3,-5,-4
18:03:36:12190,-1,-1,-1,-1,-2,-3,-5,-4
18:03:36:19808,0,-1,-4,2,-1,2,1,2
18:03:36:27146,-4,2,1,-1,3,3,-1,-3
18:03:36:35598,-4,2,1,-1,3,3,-1,-3
18:03:36:36155,1,0,2,-2,4,-4,0,-1
18:03:36:49687,-4,-4,-3,1,-2,1,1,4
18:03:36:65997,-4,-4,-3,1,-2,1,1,4
18:03:36:66768,-1,-3,1,1,0,-2,2,-3
18:03:36:67612,4,0,-5,-1,-3,-1,-4,-1
18:03:36:72276,4,0,-5,-1,-3,-1,-4,-1
18:03:36:87916,-5,-1,-1,-1,-2,-1,0,1
18:03:36:88656,1,0,1,0,-1,-1,5,0
18:03:36:95395,1,0,1,0,-1,-1,5,0
18:03:36:96145,2,-2,0,-2,1,0,1,-3
18:03:36:110474,-2,-1,-2,-6,0,-2,-3,-2
18:03:36:111184,-2,-1,-2,-6,0,-2,-3,-2
18:03:36:117215,-5,-1,-2,-3,2,0,-1,0
18:03:36:124658,0,-1,-1,-4,-3,-2,0,0
18:03:36:140542,0,-1,-1,-4,-3,-2,0,0
18:03:36:141138,-3,-2,-4,-2,-6,-1,-3,-1
18:03:36:147147,-3,-4,-3,-2,1,0,-1,4
18:03:36:162868,-3,-4,-3,-2,1,0,-1,4
18:03:36:163636,2,-1,2,-3,2,1,2,-4
18:03:36:170442,0,-2,0,2,-4,0,2,-5
18:03:36:171179,0,-2,0,2,-4,0,2,-5
18:03:36:185499,2,-1,-1,-3,0,0,-4,3
18:03:36:186113,-1,-1,-2,-5,4,3,-2,0
18:03:36:192208,-1,-1,-2,-5,4,3,-2,0
18:03:36:199630,1,0,-1,-1,-6,-4,-1,-4
18:03:36:207245,-2,2,1,-2,2,-1,-3,-7
18:03:36:214769,-2,2,1,-2,2,-1,-3,-7
18:03:36:222283,2,-4,-6,2,-6,-7,2,2
18:03:36:230921,-1,-4,-2,0,-6,-1,-3,1
18:03:36:231778,-1,-4,-2,0,-6,-1,-3,1
18:03:36:237262,3,0,3,-4,6,-1,-3,-4
18:03:36:253057,-6,2,-2,1,-4,-2,-1,0
