Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:03:35:389726,-11060,-9286,4507,-6291,1638,1101,444,207,22,268
18:03:35:397600,-11020,-9303,4510,-6335,1638,1124,441,257,20,238
18:03:35:405343,-11020,-9303,4510,-6335,1638,1124,441,257,20,238
18:03:35:406114,-11020,-9303,4510,-6335,1638,1124,441,257,20,238
18:03:35:412179,-10979,-9327,4503,-6375,1610,1159,426,297,26,213
18:03:35:419786,-10979,-9327,4503,-6375,1610,1159,426,297,26,213
18:03:35:427154,-10979,-9327,4503,-6375,1610,1159,426,297,26,213
18:03:35:442836,-10943,-9350,4492,-6413,1586,1217,439,284,30,215
18:03:35:443651,-10943,-9350,4492,-6413,1586,1217,439,284,30,215
18:03:35:449654,-10943,-9350,4492,-6413,1586,1217,439,284,30,215
18:03:35:457965,-10910,-9368,4483,-6448,1572,1237,449,244,25,226
18:03:35:458664,-10910,-9368,4483,-6448,1572,1237,449,244,25,226
18:03:35:472994,-10910,-9368,4483,-6448,1572,1237,449,244,25,226
18:03:35:473708,-10880,-9382,4478,-6482,1577,1245,447,211,18,242
18:03:35:479666,-10880,-9382,4478,-6482,1577,1245,447,211,18,242
18:03:35:487233,-10880,-9382,4478,-6482,1577,1245,447,211,18,242
18:03:35:503009,-10851,-9391,4477,-6517,1607,1240,460,190,13,256
18:03:35:503653,-10851,-9391,4477,-6517,1607,1240,460,190,13,256
18:03:35:509707,-10851,-9391,4477,-6517,1607,1240,460,190,13,256
18:03:35:517916,-10823,-9399,4479,-6552,1604,1225,469,179,2,265
18:03:35:518647,-10823,-9399,4479,-6552,1604,1225,469,179,2,265
18:03:35:524716,-10823,-9399,4479,-6552,1604,1225,469,179,2,265
18:03:35:532242,-10798,-9405,4479,-6584,1618,1243,494,162,-1,245
18:03:35:539740,-10798,-9405,4479,-6584,1618,1243,494,162,-1,245
18:03:35:547134,-10798,-9405,4479,-6584,1618,1243,494,162,-1,245
18:03:35:555561,-10782,-9405,4479,-6609,1643,1236,498,108,2,208
18:03:35:556184,-10782,-9405,4479,-6609,1643,1236,498,108,2,208
18:03:35:570413,-10782,-9405,4479,-6609,1643,1236,498,108,2,208
18:03:35:571226,-10775,-9402,4478,-6626,1693,1280,495,48,8,163
18:03:35:585560,-10775,-9402,4478,-6626,1693,1280,495,48,8,163
