Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:55:14:300626,-19,-21,-2,-12,1,48,35,-4
17:55:14:308734,-19,-21,-2,-12,1,48,35,-4
17:55:14:309509,-9,-2,17,12,5,-23,4,6
17:55:14:315648,0,-9,10,-6,-15,38,65,8
17:55:14:331318,0,-9,10,-6,-15,38,65,8
17:55:14:332076,1,-9,1,3,6,1,-16,-7
17:55:14:338047,14,-2,-10,-8,2,21,13,3
17:55:14:353833,14,-2,-10,-8,2,21,13,3
17:55:14:354504,-9,-1,3,-3,-7,9,29,1
17:55:14:360521,-34,-24,-19,2,-5,-22,20,-9
17:55:14:368750,-34,-24,-19,2,-5,-22,20,-9
17:55:14:369579,8,12,10,-15,-8,-24,-8,1
17:55:14:375538,23,17,-4,6,-6,-16,-23,-1
17:55:14:391233,23,17,-4,6,-6,-16,-23,-1
17:55:14:391989,-12,-12,5,5,1,-1,26,-4
17:55:14:406909,5,-9,-5,-1,-6,-42,-55,-5
17:55:14:407647,5,-9,-5,-1,-6,-42,-55,-5
17:55:14:408465,1,-6,-14,3,5,-5,-99,-16
17:55:14:420557,1,1,3,-12,6,17,22,-3
17:55:14:428748,1,1,3,-12,6,17,22,-3
17:55:14:429599,-9,-4,4,-11,-10,5,45,2
17:55:14:435569,0,11,-7,9,-5,-3,25,6
17:55:14:443065,0,11,-7,9,-5,-3,25,6
17:55:14:450646,0,-10,-5,4,-21,23,47,-2
17:55:14:457978,-5,-5,-1,-7,-16,-7,-20,-3
17:55:14:466359,-5,-5,-1,-7,-16,-7,-20,-3
17:55:14:467070,18,-5,-4,11,9,-3,-29,3
17:55:14:480679,16,2,-10,3,-7,-6,27,0
17:55:14:488813,16,2,-10,3,-7,-6,27,0
17:55:14:489506,-10,7,6,-27,0,-9,1,2
17:55:14:495620,0,-2,-1,-6,4,-25,-100,-7
17:55:14:503115,0,-2,-1,-6,4,-25,-100,-7
17:55:14:510518,14,19,18,4,3,25,3,6
17:55:14:518139,-7,-5,2,-13,-6,0,17,0
17:55:14:526251,-7,-5,2,-13,-6,0,17,0
17:55:14:527039,1,-6,-14,11,8,-11,38,1
17:55:14:540570,-5,6,21,8,1,17,45,2
17:55:14:548873,-5,6,21,8,1,17,45,2
17:55:14:549512,8,0,-3,-26,-9,-5,12,3
17:55:14:555576,-4,1,-12,4,9,-22,-23,-5
17:55:14:563111,-4,1,-12,4,9,-22,-23,-5
17:55:14:570534,10,18,9,5,0,-5,-42,-4
17:55:14:578021,8,-12,-7,0,3,9,-7,-3
17:55:14:586284,8,-12,-7,0,3,9,-7,-3
17:55:14:587059,1,-7,1,8,-19,9,-9,3
17:55:14:600572,-4,-2,-4,15,0,-12,-45,-4
17:55:14:625115,-4,-2,-4,15,0,-12,-45,-4
17:55:14:625855,-2,-3,-4,-4,-2,1,-25,-2
17:55:14:626700,5,1,1,-9,-3,2,26,6
17:55:14:627495,5,1,1,-9,-3,2,26,6
17:55:14:630450,-9,-1,-9,17,1,-1,5,-1
17:55:14:638082,-15,-12,-12,20,22,22,-105,-11
17:55:14:646377,-15,-12,-12,20,22,22,-105,-11
17:55:14:647006,3,9,-2,2,1,7,-23,-6
17:55:14:677534,-22,-22,-3,-10,-7,5,-21,-4
17:55:14:678321,-22,-22,-3,-10,-7,5,-21,-4
17:55:14:679225,-1,-12,-12,-7,4,-14,-8,-4
17:55:14:679959,6,8,-3,-11,-10,0,59,5
17:55:14:683166,6,8,-3,-11,-10,0,59,5
17:55:14:690567,-9,-5,10,-12,-9,-10,31,-2
17:55:14:698045,-6,-8,-5,-5,-5,-26,-25,-4
17:55:14:706297,-6,-8,-5,-5,-5,-26,-25,-4
17:55:14:707076,-6,-4,-7,0,-14,-36,-40,-2
17:55:14:720552,-6,16,-2,4,6,18,5,-3
17:55:14:728772,-6,16,-2,4,6,18,5,-3
17:55:14:729674,-3,-4,2,4,0,10,1,1
17:55:14:743730,16,0,8,-8,-9,13,30,-4
17:55:14:744517,16,0,8,-8,-9,13,30,-4
17:55:14:750593,-4,-3,0,-19,-8,15,40,4
17:55:14:758000,14,11,1,-8,-2,0,4,4
17:55:14:766319,14,11,1,-8,-2,0,4,4
17:55:14:767063,0,-16,-5,6,-6,-1,-11,-4
17:55:14:789142,-29,-14,-1,-23,1,-2,28,0
17:55:14:789944,-29,-14,-1,-23,1,-2,28,0
17:55:14:804407,51,71,11,15,32,-9,27,8
17:55:14:805158,16,22,5,-2,-4,-6,11,15
17:55:14:805964,16,22,5,-2,-4,-6,11,15
17:55:14:810537,10,9,7,-8,1,-4,-34,-13
17:55:14:818183,0,-6,2,-5,3,2,-16,-2
17:55:14:826228,0,-6,2,-5,3,2,-16,-2
17:55:14:827006,-24,-26,-11,0,3,-3,0,-7
17:55:14:840611,-8,4,-3,-10,-5,2,21,0
17:55:14:848843,-8,4,-3,-10,-5,2,21,0
17:55:14:849513,0,-4,-1,4,13,-2,-24,3
17:55:14:863856,6,-4,-1,8,11,-13,32,5
17:55:14:864480,6,-4,-1,8,11,-13,32,5
17:55:14:870529,-15,-11,0,-2,-15,17,2,7
17:55:14:894200,1,-3,5,7,-13,2,12,0
17:55:14:894939,1,-3,5,7,-13,2,12,0
17:55:14:902078,-11,-19,-8,18,-8,-15,4,-6
17:55:14:902747,4,4,8,-8,-2,-1,-23,-3
17:55:14:903560,4,4,8,-8,-2,-1,-23,-3
17:55:14:908003,-7,0,14,-25,-1,8,40,-10
17:55:14:915650,10,10,-3,13,3,-6,-15,3
17:55:14:931337,10,10,-3,13,3,-6,-15,3
17:55:14:932039,-1,0,-4,1,-5,28,24,3
17:55:14:938708,-5,-4,4,-3,1,48,19,1
17:55:14:961895,-5,-4,4,-3,1,48,19,1
17:55:14:962648,-10,-9,1,-5,-2,-8,10,-5
17:55:14:963459,-4,-16,-6,3,0,-10,-47,-1
17:55:14:968832,-4,-16,-6,3,0,-10,-47,-1
17:55:14:969592,4,4,3,-1,-4,15,-10,1
17:55:14:983809,-4,-3,-10,1,4,-13,-29,-9
17:55:14:984485,-4,-3,-10,1,4,-13,-29,-9
17:55:14:990583,-10,-6,-13,0,1,-27,3,0
17:55:15:29833,3,4,3,1,3,5,-37,-6
17:55:15:30676,3,4,3,1,3,5,-37,-6
17:55:15:31473,-6,5,-9,9,17,1,-3,-12
17:55:15:37527,-8,-6,-7,3,-7,-12,-31,-4
17:55:15:38393,-8,-6,-7,3,-7,-12,-31,-4
17:55:15:39183,7,6,-3,1,-1,-13,-28,0
17:55:15:39952,-11,-6,-2,2,-14,-1,45,4
17:55:15:43055,-11,-6,-2,2,-14,-1,45,4
17:55:15:67623,-15,-4,-6,4,0,-16,-58,-11
17:55:15:68351,17,23,-19,13,15,-7,-23,-16
17:55:15:69139,17,23,-19,13,15,-7,-23,-16
17:55:15:69954,-16,-10,3,-17,-9,31,35,6
17:55:15:80590,-14,-16,7,7,3,36,104,17
17:55:15:88795,-14,-16,7,7,3,36,104,17
17:55:15:89576,12,-3,-9,-4,7,3,-8,0
17:55:15:95543,-2,-3,2,-2,8,64,9,-9
17:55:15:103230,-2,-3,2,-2,8,64,9,-9
17:55:15:118819,0,-2,2,-15,-22,0,-2,12
17:55:15:119558,-5,-4,-1,-3,-5,-48,-37,-8
17:55:15:126243,-5,-4,-1,-3,-5,-48,-37,-8
17:55:15:127035,1,-2,3,3,1,-10,-33,-3
17:55:15:141224,-2,0,-4,0,9,-18,3,-1
17:55:15:142045,-2,0,-4,0,9,-18,3,-1
17:55:15:148163,-10,-11,-7,-3,-14,-3,37,2
17:55:15:172163,-10,-10,0,-6,-7,-1,16,5
17:55:15:172653,-10,-10,0,-6,-7,-1,16,5
17:55:15:173452,4,2,0,18,7,-19,-50,8
17:55:15:178033,3,-2,-4,-8,-5,-13,-6,-1
17:55:15:193702,3,-2,-4,-8,-5,-13,-6,-1
17:55:15:194472,2,2,-5,-4,-6,-51,6,2
17:55:15:201250,7,10,-10,2,-8,-19,5,2
17:55:15:202010,7,10,-10,2,-8,-19,5,2
17:55:15:208002,9,-4,5,3,9,1,20,0
