Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:55:14:300626,613,269,5474,15427,-515,1784,2891,-23,-200,-31
17:55:14:308734,718,124,5413,15446,-671,1630,2818,-125,281,-597
17:55:14:309509,718,124,5413,15446,-671,1630,2818,-125,281,-597
17:55:14:315648,718,124,5413,15446,-671,1630,2818,-125,281,-597
17:55:14:331318,864,-103,5370,15454,-601,1535,2558,-96,721,-1018
17:55:14:332076,864,-103,5370,15454,-601,1535,2558,-96,721,-1018
17:55:14:338047,864,-103,5370,15454,-601,1535,2558,-96,721,-1018
17:55:14:353833,1039,-384,5324,15454,-342,1581,2209,-266,1101,-1399
17:55:14:354504,1039,-384,5324,15454,-342,1581,2209,-266,1101,-1399
17:55:14:360521,1039,-384,5324,15454,-342,1581,2209,-266,1101,-1399
17:55:14:368750,1250,-723,5230,15459,-196,1543,1871,-612,1387,-1757
17:55:14:369579,1250,-723,5230,15459,-196,1543,1871,-612,1387,-1757
17:55:14:375538,1250,-723,5230,15459,-196,1543,1871,-612,1387,-1757
17:55:14:391233,1462,-1093,5087,15466,-130,1301,1589,-895,1537,-1838
17:55:14:391989,1462,-1093,5087,15466,-130,1301,1589,-895,1537,-1838
17:55:14:406909,1462,-1093,5087,15466,-130,1301,1589,-895,1537,-1838
17:55:14:407647,1660,-1448,4941,15465,-55,1196,1300,-906,1493,-1751
17:55:14:408465,1660,-1448,4941,15465,-55,1196,1300,-906,1493,-1751
17:55:14:420557,1660,-1448,4941,15465,-55,1196,1300,-906,1493,-1751
17:55:14:428748,1829,-1727,4814,15457,-29,1058,1103,-873,1268,-1575
17:55:14:429599,1829,-1727,4814,15457,-29,1058,1103,-873,1268,-1575
17:55:14:435569,1829,-1727,4814,15457,-29,1058,1103,-873,1268,-1575
17:55:14:443065,1963,-1934,4706,15449,-62,872,925,-734,925,-1236
17:55:14:450646,1963,-1934,4706,15449,-62,872,925,-734,925,-1236
17:55:14:457978,1963,-1934,4706,15449,-62,872,925,-734,925,-1236
17:55:14:466359,2059,-2044,4651,15439,-135,811,856,-406,483,-825
17:55:14:467070,2059,-2044,4651,15439,-135,811,856,-406,483,-825
17:55:14:480679,2059,-2044,4651,15439,-135,811,856,-406,483,-825
17:55:14:488813,2118,-2041,4654,15431,-156,820,830,-60,-32,-405
17:55:14:489506,2118,-2041,4654,15431,-156,820,830,-60,-32,-405
17:55:14:495620,2118,-2041,4654,15431,-156,820,830,-60,-32,-405
17:55:14:503115,2148,-1933,4674,15434,-153,900,884,43,-531,-72
17:55:14:510518,2148,-1933,4674,15434,-153,900,884,43,-531,-72
17:55:14:518139,2148,-1933,4674,15434,-153,900,884,43,-531,-72
17:55:14:526251,2144,-1719,4710,15449,-103,948,967,173,-1007,279
17:55:14:527039,2144,-1719,4710,15449,-103,948,967,173,-1007,279
17:55:14:540570,2144,-1719,4710,15449,-103,948,967,173,-1007,279
17:55:14:548873,2108,-1427,4755,15470,-65,983,1053,259,-1353,589
17:55:14:549512,2108,-1427,4755,15470,-65,983,1053,259,-1353,589
17:55:14:555576,2108,-1427,4755,15470,-65,983,1053,259,-1353,589
17:55:14:563111,2055,-1086,4796,15492,-37,1072,1335,381,-1666,847
17:55:14:570534,2055,-1086,4796,15492,-37,1072,1335,381,-1666,847
17:55:14:578021,2055,-1086,4796,15492,-37,1072,1335,381,-1666,847
17:55:14:586284,1995,-653,4852,15507,254,1263,1658,537,-2099,1011
17:55:14:587059,1995,-653,4852,15507,254,1263,1658,537,-2099,1011
17:55:14:600572,1995,-653,4852,15507,254,1263,1658,537,-2099,1011
17:55:14:625115,1930,-125,4895,15515,648,1305,1643,542,-2572,1172
17:55:14:625855,1930,-125,4895,15515,648,1305,1643,542,-2572,1172
17:55:14:626700,1930,-125,4895,15515,648,1305,1643,542,-2572,1172
17:55:14:627495,1872,468,4923,15507,522,1276,1628,532,-2969,1253
17:55:14:630450,1872,468,4923,15507,522,1276,1628,532,-2969,1253
17:55:14:638082,1872,468,4923,15507,522,1276,1628,532,-2969,1253
17:55:14:646377,1814,1130,4963,15467,365,1259,1517,696,-3365,1364
17:55:14:647006,1814,1130,4963,15467,365,1259,1517,696,-3365,1364
17:55:14:677534,1814,1130,4963,15467,365,1259,1517,696,-3365,1364
17:55:14:678321,1710,1838,5036,15387,487,1245,1394,980,-3531,1663
17:55:14:679225,1710,1838,5036,15387,487,1245,1394,980,-3531,1663
17:55:14:679959,1710,1838,5036,15387,487,1245,1394,980,-3531,1663
