Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:35:08:794023,1,-2,0,0,-2,-1,-1,-1
17:35:08:794822,1,-2,0,0,-2,-1,-1,-1
17:35:08:808350,0,1,-1,-1,-2,0,1,0
17:35:08:816495,-1,-2,-1,0,0,-1,-1,-1
17:35:08:817300,-1,-2,-1,0,0,-1,-1,-1
17:35:08:823367,-1,-1,-2,-1,0,0,-2,-2
17:35:08:830865,-1,0,-1,-1,-1,1,-1,-2
17:35:08:838384,-1,0,-1,-1,-1,1,-1,-2
17:35:08:845843,-1,-1,-2,-1,-2,0,-1,-2
17:35:08:854044,0,0,-2,0,-1,-1,-1,-1
17:35:08:854846,0,0,-2,0,-1,-1,-1,-1
17:35:08:860811,-1,0,-1,-2,-1,-2,-1,-1
17:35:08:876518,-1,-1,-1,-1,-1,-3,0,-2
17:35:08:877337,-1,-1,-1,-1,-1,-3,0,-2
17:35:08:883302,-1,-1,0,-1,-1,0,1,-1
17:35:08:890861,-2,-1,0,-2,-1,-1,-2,0
17:35:08:898393,-2,-1,0,-2,-1,-1,-2,0
17:35:08:905830,-1,0,-1,-1,-1,-1,0,-1
17:35:08:914019,-2,0,-2,-2,-1,0,-3,-1
17:35:08:914868,-2,0,-2,-2,-1,0,-3,-1
17:35:08:928353,1,-2,0,-1,-1,1,-1,0
17:35:08:936532,-2,-2,-2,-1,-3,-2,-2,0
17:35:08:937366,-2,-2,-2,-1,-3,-2,-2,0
17:35:08:943276,-1,-1,-1,-1,0,-1,0,-3
17:35:08:950832,-1,-1,-1,-2,-1,0,-1,-1
17:35:08:966546,-1,-1,-1,-2,-1,0,-1,-1
17:35:08:967338,-2,-1,-1,-1,-1,-2,-1,0
17:35:08:974046,-2,-1,-1,0,-2,-3,2,-1
17:35:08:974839,-2,-1,-1,0,-2,-3,2,-1
17:35:08:988368,-1,0,-1,-1,-1,0,-3,1
17:35:08:996486,0,-1,-1,-1,-1,0,-1,0
17:35:08:997337,0,-1,-1,-1,-1,0,-1,0
17:35:09:11523,-1,-3,-2,-2,0,-1,-1,1
17:35:09:12330,-1,-1,-1,-1,-1,-1,0,0
17:35:09:18359,-1,-1,-1,-1,-1,-1,0,0
17:35:09:25855,0,-3,-1,0,0,-3,-1,-1
17:35:09:34050,0,-1,-1,0,-2,-1,-1,-1
17:35:09:34834,0,-1,-1,0,-2,-1,-1,-1
17:35:09:48334,-3,-2,-1,-1,0,-2,-2,-1
17:35:09:56514,-2,-1,-1,-1,-1,-1,-1,-1
17:35:09:57325,-2,-1,-1,-1,-1,-1,-1,-1
17:35:09:63301,-1,0,1,-1,-2,-1,-1,-2
17:35:09:70976,-1,-2,-1,-1,0,-1,1,-2
17:35:09:78390,-1,-2,-1,-1,0,-1,1,-2
17:35:09:85828,-2,-2,0,0,-1,1,-1,-1
17:35:09:94046,-2,0,-2,-1,0,1,-2,-1
17:35:09:94920,-2,0,-2,-1,0,1,-2,-1
17:35:09:100897,-1,0,-1,-1,-2,0,-2,-1
17:35:09:116556,0,-2,0,-1,0,-1,-1,-1
17:35:09:117386,0,-2,0,-1,0,-1,-1,-1
17:35:09:123323,-1,-1,-2,-1,-2,1,2,-1
17:35:09:130833,-2,-2,-2,0,-1,-1,-2,0
17:35:09:138421,-2,-2,-2,0,-1,-1,-2,0
17:35:09:145814,-1,-1,-1,0,0,-1,0,0
17:35:09:154059,-1,-2,-2,-2,-1,-2,-2,-2
17:35:09:154906,-1,-2,-2,-2,-1,-2,-2,-2
17:35:09:168419,1,0,-1,-2,0,-1,-2,-2
17:35:09:176589,-2,1,0,0,2,-2,0,0
17:35:09:177361,-2,1,0,0,2,-2,0,0
17:35:09:183348,-3,-1,0,-1,-2,-2,0,-1
17:35:09:199073,-1,-1,-2,0,0,-1,1,-1
17:35:09:199850,-1,-1,-2,0,0,-1,1,-1
17:35:09:205838,-1,-2,-1,0,0,-1,-2,-2
17:35:09:214013,-1,-2,1,1,-1,0,-2,-1
17:35:09:214856,-1,-2,1,1,-1,0,-2,-1
17:35:09:228316,-1,-1,-2,-2,-2,-2,-2,0
17:35:09:236526,1,1,-1,-1,-1,-1,-1,-2
17:35:09:237379,1,1,-1,-1,-1,-1,-1,-2
17:35:09:243339,-2,-1,-1,-3,-2,-2,0,-3
17:35:09:259040,0,-2,-1,-2,-1,-2,-3,-1
17:35:09:259857,0,-2,-1,-2,-1,-2,-3,-1
17:35:09:265832,-2,0,-2,-1,0,-1,-2,1
17:35:09:274011,-3,-2,-1,-2,-2,-1,1,0
17:35:09:274849,-3,-2,-1,-2,-2,-1,1,0
17:35:09:288319,-1,1,-2,-1,0,-2,-2,-1
17:35:09:296546,-1,1,-2,-1,0,-2,-2,-1
17:35:09:297350,0,-1,-2,-2,-2,0,-1,0
17:35:09:303376,0,1,-1,-1,-1,1,-1,-1
17:35:09:319045,0,1,-1,-1,-1,1,-1,-1
17:35:09:319879,0,-1,-1,-2,1,0,-2,0
17:35:09:325810,-1,-1,-1,0,-1,-1,-1,-2
17:35:09:334035,-1,-1,-1,0,-1,-1,-1,-2
17:35:09:334836,-1,-2,0,-2,-1,-2,-2,0
17:35:09:348355,0,-1,0,-1,0,1,0,-1
17:35:09:356533,0,-1,0,-1,0,1,0,-1
17:35:09:357314,-1,-2,-2,-1,-1,-3,-1,-2
17:35:09:363302,-1,-3,-2,-1,-2,-2,-1,-2
17:35:09:379049,-1,-3,-2,-1,-2,-2,-1,-2
17:35:09:379837,0,-1,0,-1,-1,-1,-1,-1
17:35:09:385847,-2,-2,0,-1,0,-1,0,1
17:35:09:394024,-2,-2,0,-1,0,-1,0,1
17:35:09:394841,-1,-1,-1,-1,-1,0,-1,-1
17:35:09:408396,1,0,-1,-1,-2,-2,0,-1
17:35:09:416531,1,0,-1,-1,-2,-2,0,-1
17:35:09:417312,0,-1,-2,0,0,-2,-2,-2
17:35:09:423331,-1,-3,-2,-1,-3,-1,-2,-1
17:35:09:439498,-1,-3,-2,-1,-3,-1,-2,-1
17:35:09:446513,-2,0,0,-1,-1,0,-2,-1
17:35:09:447349,-1,-1,-1,-1,0,-1,-2,-2
17:35:09:454039,-1,-1,-1,-1,0,-1,-2,-2
17:35:09:454834,-2,-2,-3,-1,0,0,-2,0
17:35:09:468364,-2,-1,1,-1,-2,0,-1,-1
17:35:09:476531,-2,-1,1,-1,-2,0,-1,-1
17:35:09:477337,-1,0,-1,-2,-1,0,0,-1
17:35:09:483348,-1,-3,-1,-1,0,0,-3,-1
17:35:09:499069,-1,-3,-1,-1,0,0,-3,-1
17:35:09:499881,-1,-2,-1,-1,-1,-2,1,-2
17:35:09:505816,-1,1,-1,0,-3,-1,-1,-1
