Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:35:08:794023,12473,-3853,-9788,1488,1744,-928,383,2,2,-3
17:35:08:794822,12473,-3853,-9788,1488,1736,-944,379,3,1,0
17:35:08:808350,12473,-3853,-9788,1488,1736,-944,379,3,1,0
17:35:08:816495,12473,-3853,-9788,1488,1736,-944,379,3,1,0
17:35:08:817300,12475,-3851,-9785,1491,1730,-934,371,19,3,6
17:35:08:823367,12475,-3851,-9785,1491,1730,-934,371,19,3,6
17:35:08:830865,12475,-3851,-9785,1491,1730,-934,371,19,3,6
17:35:08:838384,12477,-3848,-9784,1494,1735,-935,367,22,-1,6
17:35:08:845843,12477,-3848,-9784,1494,1735,-935,367,22,-1,6
17:35:08:854044,12477,-3848,-9784,1494,1735,-935,367,22,-1,6
17:35:08:854846,12477,-3848,-9784,1494,1740,-928,365,13,0,3
17:35:08:860811,12477,-3848,-9784,1494,1740,-928,365,13,0,3
17:35:08:876518,12477,-3848,-9784,1494,1740,-928,365,13,0,3
17:35:08:877337,12477,-3848,-9784,1494,1752,-934,366,4,-3,4
17:35:08:883302,12477,-3848,-9784,1494,1752,-934,366,4,-3,4
17:35:08:890861,12477,-3848,-9784,1494,1752,-934,366,4,-3,4
17:35:08:898393,12477,-3847,-9784,1494,1745,-931,358,-8,-2,4
17:35:08:905830,12477,-3847,-9784,1494,1745,-931,358,-8,-2,4
17:35:08:914019,12477,-3847,-9784,1494,1745,-931,358,-8,-2,4
17:35:08:914868,12477,-3847,-9783,1494,1746,-926,362,-13,0,4
17:35:08:928353,12477,-3847,-9783,1494,1746,-926,362,-13,0,4
17:35:08:936532,12477,-3847,-9783,1494,1746,-926,362,-13,0,4
17:35:08:937366,12478,-3850,-9782,1493,1747,-934,374,-19,3,7
17:35:08:943276,12478,-3850,-9782,1493,1747,-934,374,-19,3,7
17:35:08:950832,12478,-3850,-9782,1493,1747,-934,374,-19,3,7
17:35:08:966546,12479,-3854,-9779,1492,1738,-944,379,-22,6,8
17:35:08:967338,12479,-3854,-9779,1492,1738,-944,379,-22,6,8
17:35:08:974046,12479,-3854,-9779,1492,1738,-944,379,-22,6,8
17:35:08:974839,12479,-3854,-9779,1492,1736,-948,369,-16,7,4
17:35:08:988368,12479,-3854,-9779,1492,1736,-948,369,-16,7,4
17:35:08:996486,12479,-3854,-9779,1492,1736,-948,369,-16,7,4
17:35:08:997337,12480,-3854,-9779,1492,1748,-951,376,-9,3,4
17:35:09:11523,12480,-3854,-9779,1492,1748,-951,376,-9,3,4
