Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:29:29:210765,0,1,11,10,3,-1,1,-1
17:29:29:218269,2,4,23,21,11,3,2,-1
17:29:29:226516,2,4,23,21,11,3,2,-1
17:29:29:227236,-3,-6,-22,-30,-5,-3,-3,-3
17:29:29:240880,-1,-2,-11,-1,-6,-3,-1,-1
17:29:29:248930,-1,-2,-11,-1,-6,-3,-1,-1
17:29:29:249714,3,5,20,28,3,0,-2,1
17:29:29:255938,-5,-10,-31,-36,-7,-4,-3,-3
17:29:29:271600,-5,-10,-31,-36,-7,-4,-3,-3
17:29:29:272275,-1,1,17,8,-2,-2,1,2
17:29:29:278250,-2,0,-4,5,4,2,-2,-1
17:29:29:286933,-2,0,-4,5,4,2,-2,-1
17:29:29:301486,-2,-3,6,-28,-7,0,-2,-2
17:29:29:302200,-3,0,4,5,2,0,-1,-1
17:29:29:309047,-3,0,4,5,2,0,-1,-1
17:29:29:309692,0,-2,-28,-15,0,-1,-1,-1
17:29:29:315749,-1,-4,-24,-25,-7,-2,-1,-1
17:29:29:323368,-1,-4,-24,-25,-7,-2,-1,-1
17:29:29:330725,-4,-4,40,26,1,-2,-3,-1
17:29:29:354803,-4,-3,-3,3,-4,-4,-3,-2
17:29:29:355419,-4,-3,-3,3,-4,-4,-3,-2
17:29:29:356193,3,7,4,27,10,5,4,2
17:29:29:360864,-1,1,8,5,1,0,-3,0
17:29:29:369630,-1,1,8,5,1,0,-3,0
17:29:29:370392,0,-3,-29,8,0,-1,-2,-2
17:29:29:375812,-1,-2,-11,9,-3,1,0,1
17:29:29:383248,-1,-2,-11,9,-3,1,0,1
17:29:29:390853,-2,1,36,30,8,1,2,0
17:29:29:407143,0,-1,-10,-4,-1,0,-3,-3
17:29:29:407884,0,-1,-10,-4,-1,0,-3,-3
17:29:29:408707,0,1,15,1,-7,-3,-1,-1
17:29:29:429581,-1,-4,45,8,-6,-4,-1,-1
17:29:29:430375,-1,-4,45,8,-6,-4,-1,-1
17:29:29:431217,0,-1,-1,-6,-1,0,-2,0
17:29:29:435680,-1,2,17,17,-1,-1,-3,-1
17:29:29:451543,-1,2,17,17,-1,-1,-3,-1
17:29:29:452204,2,1,21,13,-1,-2,-2,-1
17:29:29:458411,-1,2,7,4,3,1,0,0
17:29:29:482123,-1,2,7,4,3,1,0,0
17:29:29:482917,-2,-2,2,2,0,-2,-2,-3
17:29:29:483727,0,0,-16,-14,-2,0,1,-2
17:29:29:489063,0,0,-16,-14,-2,0,1,-2
17:29:29:489684,-2,0,-15,-3,-2,0,-2,-2
17:29:29:503906,-3,-2,-5,-22,-8,-6,-2,-1
