Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:29:29:210765,-871,-7816,6381,-12879,1578,-1132,520,150,-93,-96
17:29:29:218269,-871,-7816,6381,-12879,1578,-1132,520,150,-93,-96
17:29:29:226516,-863,-7844,6339,-12884,1608,-1145,515,223,-123,-144
17:29:29:227236,-863,-7844,6339,-12884,1608,-1145,515,223,-123,-144
17:29:29:240880,-863,-7844,6339,-12884,1608,-1145,515,223,-123,-144
17:29:29:248930,-851,-7886,6276,-12889,1661,-1126,481,331,-169,-196
17:29:29:249714,-851,-7886,6276,-12889,1661,-1126,481,331,-169,-196
17:29:29:255938,-851,-7886,6276,-12889,1661,-1126,481,331,-169,-196
17:29:29:271600,-845,-7939,6198,-12895,1662,-1025,486,378,-200,-249
17:29:29:272275,-845,-7939,6198,-12895,1662,-1025,486,378,-200,-249
17:29:29:278250,-845,-7939,6198,-12895,1662,-1025,486,378,-200,-249
17:29:29:286933,-854,-7999,6131,-12890,1650,-964,446,275,-217,-285
17:29:29:301486,-854,-7999,6131,-12890,1650,-964,446,275,-217,-285
17:29:29:302200,-854,-7999,6131,-12890,1650,-964,446,275,-217,-285
17:29:29:309047,-872,-8060,6087,-12872,1694,-1002,421,133,-231,-289
17:29:29:309692,-872,-8060,6087,-12872,1694,-1002,421,133,-231,-289
17:29:29:315749,-872,-8060,6087,-12872,1694,-1002,421,133,-231,-289
17:29:29:323368,-894,-8120,6048,-12851,1756,-1021,412,101,-222,-288
17:29:29:330725,-894,-8120,6048,-12851,1756,-1021,412,101,-222,-288
17:29:29:354803,-894,-8120,6048,-12851,1756,-1021,412,101,-222,-288
17:29:29:355419,-916,-8180,6006,-12831,1775,-1055,449,106,-240,-314
17:29:29:356193,-916,-8180,6006,-12831,1775,-1055,449,106,-240,-314
17:29:29:360864,-916,-8180,6006,-12831,1775,-1055,449,106,-240,-314
17:29:29:369630,-937,-8243,5962,-12810,1799,-1013,447,113,-254,-306
17:29:29:370392,-937,-8243,5962,-12810,1799,-1013,447,113,-254,-306
17:29:29:375812,-937,-8243,5962,-12810,1799,-1013,447,113,-254,-306
17:29:29:383248,-958,-8310,5916,-12786,1827,-968,388,125,-254,-303
17:29:29:390853,-958,-8310,5916,-12786,1827,-968,388,125,-254,-303
17:29:29:407143,-958,-8310,5916,-12786,1827,-968,388,125,-254,-303
17:29:29:407884,-977,-8373,5861,-12768,1851,-922,399,174,-231,-293
17:29:29:408707,-977,-8373,5861,-12768,1851,-922,399,174,-231,-293
17:29:29:429581,-977,-8373,5861,-12768,1851,-922,399,174,-231,-293
17:29:29:430375,-980,-8438,5798,-12754,1876,-920,380,267,-246,-249
17:29:29:431217,-980,-8438,5798,-12754,1876,-920,380,267,-246,-249
17:29:29:435680,-980,-8438,5798,-12754,1876,-920,380,267,-246,-249
17:29:29:451543,-971,-8511,5720,-12742,1929,-833,318,383,-265,-213
17:29:29:452204,-971,-8511,5720,-12742,1929,-833,318,383,-265,-213
17:29:29:458411,-971,-8511,5720,-12742,1929,-833,318,383,-265,-213
17:29:29:482123,-961,-8585,5635,-12731,1920,-716,262,416,-243,-189
17:29:29:482917,-961,-8585,5635,-12731,1920,-716,262,416,-243,-189
17:29:29:483727,-961,-8585,5635,-12731,1920,-716,262,416,-243,-189
17:29:29:489063,-951,-8644,5552,-12728,1849,-698,303,407,-184,-172
17:29:29:489684,-951,-8644,5552,-12728,1849,-698,303,407,-184,-172
17:29:29:503906,-951,-8644,5552,-12728,1849,-698,303,407,-184,-172
17:29:29:504733,-946,-8690,5481,-12728,1822,-672,340,333,-137,-133
17:29:29:527729,-946,-8690,5481,-12728,1822,-672,340,333,-137,-133
17:29:29:528523,-946,-8690,5481,-12728,1822,-672,340,333,-137,-133
17:29:29:529355,-945,-8729,5424,-12726,1771,-730,407,239,-143,-143
17:29:29:530140,-945,-8729,5424,-12726,1771,-730,407,239,-143,-143
17:29:29:540840,-945,-8729,5424,-12726,1771,-730,407,239,-143,-143
17:29:29:557160,-948,-8772,5377,-12716,1750,-746,454,167,-210,-165
17:29:29:557900,-948,-8772,5377,-12716,1750,-746,454,167,-210,-165
