Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
15:08:43:829992,-8,-16,-12,-9,9,-1,-4,-1
15:08:43:830749,-8,-16,-12,-9,9,-1,-4,-1
15:08:43:836369,12,-3,-4,-3,-10,-3,15,12
15:08:43:843849,-4,-6,1,-4,3,-5,-7,-19
15:08:43:851358,-4,-6,1,-4,3,-5,-7,-19
15:08:43:858851,-7,4,0,-7,4,5,-1,-5
15:08:43:867009,1,1,0,6,-6,0,8,9
15:08:43:867826,1,1,0,6,-6,0,8,9
15:08:43:873808,2,-3,-1,0,7,2,-8,-7
15:08:43:889498,-5,5,3,3,8,5,-13,-5
15:08:43:890362,-5,5,3,3,8,5,-13,-5
15:08:43:896442,0,0,-7,-1,-2,-3,-6,-1
15:08:43:903855,-3,-7,-7,-17,-3,3,6,9
15:08:43:911349,-3,-7,-7,-17,-3,3,6,9
15:08:43:918770,-11,-10,-5,-16,-16,-3,7,2
15:08:43:935187,9,15,0,-6,-2,-1,-10,-6
15:08:43:935938,9,15,0,-6,-2,-1,-10,-6
15:08:43:936731,3,-1,-2,7,-4,-3,3,2
15:08:43:957778,0,-2,3,7,-3,1,7,4
15:08:43:958510,0,-2,3,7,-3,1,7,4
15:08:43:959346,2,0,0,-4,4,-4,7,4
15:08:43:972028,-1,5,8,-2,5,-3,5,0
15:08:43:972811,-1,5,8,-2,5,-3,5,0
15:08:43:978818,9,2,-3,-16,3,0,-8,-1
15:08:43:987012,4,10,1,-8,-6,-1,-4,1
15:08:43:987826,4,10,1,-8,-6,-1,-4,1
15:08:43:993812,6,11,3,5,-2,1,-7,-3
15:08:44:9499,-8,-9,-10,-12,-1,-5,11,10
15:08:44:10359,-8,-9,-10,-12,-1,-5,11,10
15:08:44:16273,-4,-11,-5,12,-4,1,-3,-5
15:08:44:23852,-3,-1,-2,9,6,5,-2,2
15:08:44:39569,-3,-1,-2,9,6,5,-2,2
15:08:44:40362,-5,-1,2,14,9,-5,2,-2
15:08:44:46997,4,-8,-7,1,2,-4,3,-3
15:08:44:47810,4,-8,-7,1,2,-4,3,-3
15:08:44:53873,6,5,9,1,-10,0,-7,-3
15:08:44:77613,6,8,1,14,5,2,-1,0
15:08:44:78478,6,8,1,14,5,2,-1,0
15:08:44:79221,-2,1,-7,-4,-3,-1,2,-1
15:08:44:83854,-4,-5,-2,-15,-8,-5,-2,2
15:08:44:91382,-4,-5,-2,-15,-8,-5,-2,2
15:08:44:107687,-4,-7,1,0,3,6,8,4
15:08:44:108446,-7,-3,-5,5,-6,-7,-7,-4
15:08:44:109242,-7,-3,-5,5,-6,-7,-7,-4
15:08:44:121386,5,16,4,6,-3,4,1,-11
15:08:44:129547,-3,-6,7,-4,0,-2,-11,-23
15:08:44:130385,-3,-6,7,-4,0,-2,-11,-23
15:08:44:143840,-11,-10,-4,-13,-5,-7,-12,-2
15:08:44:152034,0,2,-2,-4,-6,-9,0,1
15:08:44:152886,0,2,-2,-4,-6,-9,0,1
15:08:44:158771,-1,-6,-5,0,7,-2,-4,-4
15:08:44:167042,-1,-8,2,11,4,3,-2,4
15:08:44:167862,-1,-8,2,11,4,3,-2,4
15:08:44:181293,-3,-10,-13,-5,-3,-4,-11,-11
15:08:44:189556,7,8,0,-3,-1,-1,11,15
15:08:44:190351,7,8,0,-3,-1,-1,11,15
15:08:44:196307,-2,2,8,-7,-12,-4,-2,0
15:08:44:212500,-6,-4,3,-5,-4,6,3,-3
15:08:44:213413,-6,-4,3,-5,-4,6,3,-3
15:08:44:218800,2,-2,-7,-22,-5,11,-22,-8
15:08:44:234595,2,-2,-7,-22,-5,11,-22,-8
15:08:44:235393,1,-9,-6,-2,9,-5,-1,2
15:08:44:250183,3,-1,-2,0,-4,-7,-2,-6
15:08:44:251036,3,-1,-2,0,-4,-7,-2,-6
15:08:44:251828,5,1,-4,-7,-3,1,-5,-4
15:08:44:256422,6,7,2,8,8,-2,5,3
15:08:44:272082,6,7,2,8,8,-2,5,3
15:08:44:272834,-6,-7,0,6,-2,1,9,1
15:08:44:278833,-5,-2,1,6,-4,-3,11,17
15:08:44:286366,-5,-2,1,6,-4,-3,11,17
15:08:44:293858,-1,0,-7,-6,-3,2,-8,-2
15:08:44:301361,-3,1,-4,-11,-4,-5,2,-4
15:08:44:317653,-3,1,-4,-11,-4,-5,2,-4
15:08:44:318445,1,4,8,0,2,-2,-5,-7
15:08:44:319245,3,-4,-4,-17,-2,0,-1,1
15:08:44:331999,3,-4,-4,-17,-2,0,-1,1
15:08:44:332770,1,1,-1,2,-2,1,1,-1
15:08:44:338858,-9,-1,4,6,-1,-2,-10,-10
15:08:44:354693,-9,-1,4,6,-1,-2,-10,-10
15:08:44:355374,2,2,-5,-31,-1,1,12,8
15:08:44:361358,-3,1,1,13,2,0,0,3
15:08:44:369559,-3,1,1,13,2,0,0,3
15:08:44:370370,0,3,3,7,-4,-4,-16,-7
15:08:44:383804,-2,-6,-4,16,4,-2,8,-6
15:08:44:392054,-2,-6,-4,16,4,-2,8,-6
15:08:44:392841,-2,5,-1,1,2,1,-1,-2
15:08:44:398792,-3,-9,-2,9,2,7,-5,-1
15:08:44:406983,-3,-9,-2,9,2,7,-5,-1
15:08:44:407792,-1,-5,-6,-7,-8,-2,0,1
15:08:44:421353,2,-1,3,-7,-1,-6,3,4
15:08:44:429563,2,-1,3,-7,-1,-6,3,4
15:08:44:430371,2,3,10,3,4,4,4,9
15:08:44:436355,-8,-8,-9,0,5,-2,-1,-3
15:08:44:460222,-8,-8,-9,0,5,-2,-1,-3
15:08:44:460975,-2,-1,-3,8,2,-2,-6,-5
15:08:44:461766,-3,4,1,-1,5,1,-21,-11
15:08:44:467049,-3,4,1,-1,5,1,-21,-11
15:08:44:467872,3,1,-3,6,1,5,3,3
15:08:44:490242,-1,4,-8,-22,-5,-3,1,-3
15:08:44:490977,-1,4,-8,-22,-5,-3,1,-3
15:08:44:491793,-2,3,9,5,-4,1,-2,-1
15:08:44:496384,-1,2,3,-1,-12,-7,-10,0
15:08:44:512107,-1,2,3,-1,-12,-7,-10,0
15:08:44:512889,-6,-16,-6,-15,-3,-6,4,4
15:08:44:527695,6,13,5,6,-4,-1,9,6
15:08:44:528486,6,13,5,6,-4,-1,9,6
15:08:44:529398,-9,-1,-10,-2,-15,-2,-5,-8
15:08:44:541342,2,3,4,-5,4,2,2,-2
15:08:44:549519,2,3,4,-5,4,2,2,-2
15:08:44:550408,1,-2,-5,1,18,0,3,-4
15:08:44:556296,2,-9,-4,3,-7,2,19,9
15:08:44:572036,2,-9,-4,3,-7,2,19,9
15:08:44:572830,-3,0,-3,7,0,-6,-1,2
15:08:44:578790,-1,-4,-3,2,14,1,-5,-5
15:08:44:594536,-1,-4,-3,2,14,1,-5,-5
15:08:44:595382,7,15,-3,8,-4,2,-4,-4
15:08:44:601291,-4,-2,-2,-8,-14,-1,-15,-5
15:08:44:609530,-4,-2,-2,-8,-14,-1,-15,-5
15:08:44:610345,0,2,9,8,5,-3,-2,-3
15:08:44:616272,4,-4,9,13,7,-3,6,-8
15:08:44:632470,4,-4,9,13,7,-3,6,-8
15:08:44:633291,-1,-2,0,-7,-2,-2,-10,-4
15:08:44:638796,-4,-7,-8,-17,11,2,-5,3
15:08:44:662753,-4,-7,-8,-17,11,2,-5,3
15:08:44:663538,-5,-3,-2,-2,1,4,-1,-5
15:08:44:664351,-6,6,5,6,1,5,-8,-10
15:08:44:669488,-6,6,5,6,1,5,-8,-10
15:08:44:670367,0,-7,-8,-3,7,-4,2,-1
15:08:44:676341,-5,-7,6,8,-2,-3,0,5
15:08:44:692058,-5,-7,6,8,-2,-3,0,5
15:08:44:692828,-7,-5,3,0,-3,-6,-8,2
15:08:44:698825,-1,-3,-3,0,-7,-1,11,5
15:08:44:707014,-1,-3,-3,0,-7,-1,11,5
15:08:44:707788,-4,-5,-1,-15,-18,0,4,1
15:08:44:721379,-5,-2,-1,3,-2,-1,-14,-12
15:08:44:737724,-5,-2,-1,3,-2,-1,-14,-12
15:08:44:738519,6,-1,-2,-12,-8,0,-5,-4
15:08:44:739371,-2,-6,-13,-2,-3,-2,-4,-3
15:08:44:752043,-2,-6,-13,-2,-3,-2,-4,-3
15:08:44:752857,3,-3,-7,-1,2,-2,-2,7
15:08:44:767697,9,4,2,-2,-3,-3,-2,3
15:08:44:768473,9,4,2,-2,-3,-3,-2,3
15:08:44:769269,4,0,4,12,-3,-3,5,4
15:08:44:781394,-2,4,1,9,4,-1,10,-5
15:08:44:789521,-2,4,1,9,4,-1,10,-5
15:08:44:790364,-4,-1,-5,1,0,-2,-3,-7
15:08:44:803879,-1,1,-2,0,1,0,-3,1
15:08:44:812002,-1,1,-2,0,1,0,-3,1
15:08:44:812818,-7,4,6,6,7,1,-5,-4
15:08:44:827668,0,-9,-2,-9,0,-2,4,9
15:08:44:834621,0,-9,-2,-9,0,-2,4,9
15:08:44:835377,-3,-5,-7,-6,-8,-4,12,3
15:08:44:841368,-2,6,1,1,-3,4,-5,-7
15:08:44:849481,-2,6,1,1,-3,4,-5,-7
15:08:44:850382,-4,1,-4,-2,-5,-3,0,-1
15:08:44:856369,2,-1,-2,-12,-1,1,5,2
15:08:44:872082,2,-1,-2,-12,-1,1,5,2
15:08:44:872785,8,4,-4,17,10,5,4,7
15:08:44:878787,0,0,5,4,0,-6,-5,10
15:08:44:887068,0,0,5,4,0,-6,-5,10
15:08:44:887844,-4,4,1,-1,4,-3,0,-6
15:08:44:910177,-3,4,5,3,-4,0,10,-5
15:08:44:910959,-3,4,5,3,-4,0,10,-5
15:08:44:911786,4,-7,2,4,-1,2,-11,-4
15:08:44:916255,1,0,1,0,2,1,2,8
15:08:44:940616,1,0,1,0,2,1,2,8
15:08:44:941436,-7,-2,2,-16,1,-2,-3,-6
15:08:44:942225,-4,-5,-3,-1,7,0,-10,-7
15:08:44:946997,-4,-5,-3,-1,7,0,-10,-7
15:08:44:947779,1,-3,2,11,6,-1,-2,-3
15:08:44:961421,1,-1,-1,-3,-9,-4,-1,-2
15:08:44:977625,1,-1,-1,-3,-9,-4,-1,-2
15:08:44:978449,0,-2,-4,-3,-1,-3,-2,0
15:08:44:979217,2,7,0,2,5,0,1,2
15:08:44:992024,2,7,0,2,5,0,1,2
15:08:44:992836,4,0,3,1,-3,3,2,3
15:08:44:998787,-1,4,-12,-2,0,-1,3,-1
15:08:45:7708,-1,4,-12,-2,0,-1,3,-1
15:08:45:8500,-4,-2,0,-1,0,1,-8,-7
15:08:45:21316,-6,-10,-6,-23,-7,0,0,-6
15:08:45:29289,-6,-10,-6,-23,-7,0,0,-6
15:08:45:44463,0,-5,-3,-2,-8,1,3,1
15:08:45:45255,3,8,1,-6,-5,1,4,6
15:08:45:52030,3,8,1,-6,-5,1,4,6
15:08:45:52795,-3,-4,3,15,8,-2,3,1
15:08:45:58769,2,-1,2,5,-5,-10,-32,-15
15:08:45:66375,2,-1,2,5,-5,-10,-32,-15
15:08:45:81974,-4,-2,-8,10,-7,-2,0,2
15:08:45:82745,-2,-2,5,11,4,4,1,-2
15:08:45:89524,-2,-2,5,11,4,4,1,-2
15:08:45:90345,-7,-3,0,-14,0,-2,0,-5
15:08:45:112662,-4,-3,4,-6,0,-4,-1,0
15:08:45:113466,-4,-3,4,-6,0,-4,-1,0
15:08:45:114260,5,2,-5,-17,-19,1,1,-2
15:08:45:118792,1,-10,-10,10,3,-2,3,0
15:08:45:126375,1,-10,-10,10,3,-2,3,0
15:08:45:133809,-4,-2,3,-12,-4,-2,-3,-2
15:08:45:141304,-4,-3,2,-2,-4,2,11,10
15:08:45:149527,-4,-3,2,-2,-4,2,11,10
15:08:45:150385,-1,5,0,-3,-2,-2,0,-4
15:08:45:163850,-5,-8,-9,-12,-6,-2,1,6
15:08:45:173122,-5,-8,-9,-12,-6,-2,1,6
15:08:45:187706,-4,10,-2,0,1,-1,-4,-3
15:08:45:188444,1,0,4,2,-2,0,8,1
15:08:45:189253,1,0,4,2,-2,0,8,1
15:08:45:193794,-4,-8,-5,-8,-7,-1,-1,-5
15:08:45:201389,-1,4,3,3,2,-3,-7,-2
15:08:45:210002,-1,4,3,3,2,-3,-7,-2
15:08:45:216268,-1,3,4,4,-1,1,-3,2
15:08:45:223788,-1,-6,-6,2,1,0,-3,2
15:08:45:232017,-1,-6,-6,2,1,0,-3,2
15:08:45:232805,8,-7,-7,-2,13,-3,-1,0
15:08:45:238854,-1,0,2,11,2,-1,5,-8
15:08:45:254554,-1,0,2,11,2,-1,5,-8
15:08:45:255391,-6,-10,-7,3,-4,-3,-4,3
15:08:45:261296,9,6,0,-14,-11,-1,-5,-1
15:08:45:269536,9,6,0,-14,-11,-1,-5,-1
15:08:45:270355,-1,-7,1,-1,3,-2,14,10
15:08:45:284266,-3,-3,3,-1,-6,0,-9,-7
15:08:45:291975,-3,-3,3,-1,-6,0,-9,-7
15:08:45:292825,-3,2,0,-3,-6,2,-15,-10
15:08:45:298825,-1,4,-13,-11,1,1,0,1
15:08:45:306399,-1,4,-13,-11,1,1,0,1
15:08:45:322036,-2,2,0,8,5,-4,-4,-11
15:08:45:322787,-3,-7,-1,-8,3,4,-11,-6
15:08:45:329509,-3,-7,-1,-8,3,4,-11,-6
15:08:45:330364,5,2,3,-12,-14,0,1,-1
15:08:45:343858,-3,-9,-1,19,7,1,15,7
15:08:45:360247,-3,-9,-1,19,7,1,15,7
15:08:45:360994,5,2,-9,-4,3,-3,-3,4
15:08:45:361806,-1,-3,3,11,0,0,-1,1
15:08:45:366385,-1,-3,3,11,0,0,-1,1
15:08:45:373828,-1,2,5,-4,1,-2,-6,-5
15:08:45:390211,-2,4,-7,-6,0,-3,4,-1
15:08:45:391003,-2,4,-7,-6,0,-3,4,-1
15:08:45:391829,-5,-5,-3,1,1,1,4,8
15:08:45:403828,-4,-10,-1,-8,-5,-1,1,-2
15:08:45:412047,-4,-10,-1,-8,-5,-1,1,-2
15:08:45:412851,-6,-4,1,17,2,3,-2,-3
15:08:45:427028,1,10,-2,0,0,-2,6,9
15:08:45:427842,1,10,-2,0,0,-2,6,9
15:08:45:433867,-3,3,1,11,13,0,3,3
15:08:45:441309,-1,0,5,8,-7,-5,-3,-1
15:08:45:449536,-1,0,5,8,-7,-5,-3,-1
15:08:45:450368,5,-7,-3,-8,0,-7,2,-6
15:08:45:464249,0,-5,-2,-2,4,-3,-8,-4
15:08:45:472021,0,-5,-2,-2,4,-3,-8,-4
15:08:45:472813,5,0,-3,-2,-4,-1,2,0
