Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
15:10:48:274631,-14596,5562,2096,4478,841,-1099,1534,-16,-16,5
15:10:48:275384,-14596,5562,2095,4478,819,-1126,1521,8,-13,-12
15:10:48:276164,-14596,5562,2095,4478,819,-1126,1521,8,-13,-12
15:10:48:281433,-14596,5562,2095,4478,819,-1126,1521,8,-13,-12
15:10:48:282289,-14599,5556,2098,4477,814,-1083,1504,37,-19,-8
15:10:48:295670,-14599,5556,2098,4477,814,-1083,1504,37,-19,-8
15:10:48:303908,-14599,5556,2098,4477,814,-1083,1504,37,-19,-8
15:10:48:304713,-14599,5555,2098,4477,829,-1085,1553,10,-14,-6
15:10:48:310666,-14599,5555,2098,4477,829,-1085,1553,10,-14,-6
15:10:48:326398,-14599,5555,2098,4477,829,-1085,1553,10,-14,-6
15:10:48:327211,-14598,5558,2098,4477,838,-1091,1519,-18,-13,-3
15:10:48:333173,-14598,5558,2098,4477,838,-1091,1519,-18,-13,-3
15:10:48:341382,-14598,5558,2098,4477,838,-1091,1519,-18,-13,-3
15:10:48:342296,-14597,5562,2097,4475,827,-1103,1524,-27,-13,3
15:10:48:355709,-14597,5562,2097,4475,827,-1103,1524,-27,-13,3
15:10:48:363875,-14597,5562,2097,4475,827,-1103,1524,-27,-13,3
15:10:48:364700,-14599,5560,2096,4474,810,-1072,1551,-8,-19,1
15:10:48:370673,-14599,5560,2096,4474,810,-1072,1551,-8,-19,1
15:10:48:386407,-14599,5560,2096,4474,810,-1072,1551,-8,-19,1
15:10:48:387212,-14599,5559,2096,4474,818,-1078,1532,-16,-13,10
15:10:48:393180,-14599,5559,2096,4474,818,-1078,1532,-16,-13,10
15:10:48:401431,-14599,5559,2096,4474,818,-1078,1532,-16,-13,10
15:10:48:402245,-14598,5563,2093,4474,829,-1112,1531,-29,-6,1
15:10:48:415637,-14598,5563,2093,4474,829,-1112,1531,-29,-6,1
15:10:48:423899,-14598,5563,2093,4474,829,-1112,1531,-29,-6,1
15:10:48:424710,-14600,5560,2091,4472,831,-1110,1539,18,-3,4
15:10:48:430673,-14600,5560,2091,4472,831,-1110,1539,18,-3,4
15:10:48:446390,-14600,5560,2091,4472,831,-1110,1539,18,-3,4
15:10:48:447233,-14604,5551,2094,4469,823,-1082,1544,40,-18,4
15:10:48:453196,-14604,5551,2094,4469,823,-1082,1544,40,-18,4
15:10:48:468890,-14604,5551,2094,4469,823,-1082,1544,40,-18,4
15:10:48:469687,-14604,5551,2096,4466,834,-1096,1535,1,-31,8
15:10:48:475688,-14604,5551,2096,4466,834,-1096,1535,1,-31,8
15:10:48:483868,-14604,5551,2096,4466,834,-1096,1535,1,-31,8
15:10:48:484704,-14604,5551,2096,4466,836,-1086,1520,-13,-16,3
15:10:48:490654,-14604,5551,2096,4466,836,-1086,1520,-13,-16,3
15:10:48:506440,-14604,5551,2096,4466,836,-1086,1520,-13,-16,3
15:10:48:507225,-14603,5556,2098,4462,831,-1089,1508,-25,-31,15
15:10:48:513255,-14603,5556,2098,4462,831,-1089,1508,-25,-31,15
15:10:48:521414,-14603,5556,2098,4462,831,-1089,1508,-25,-31,15
15:10:48:522225,-14603,5559,2098,4460,831,-1104,1528,-21,-21,3
15:10:48:535769,-14603,5559,2098,4460,831,-1104,1528,-21,-21,3
15:10:48:552098,-14603,5559,2098,4460,831,-1104,1528,-21,-21,3
15:10:48:552852,-14603,5559,2097,4460,824,-1117,1551,13,-6,0
15:10:48:553655,-14603,5559,2097,4460,824,-1117,1551,13,-6,0
15:10:48:566409,-14606,5551,2099,4458,834,-1075,1535,33,-7,7
15:10:48:567201,-14606,5551,2099,4458,834,-1075,1535,33,-7,7
15:10:48:573235,-14606,5551,2099,4458,834,-1075,1535,33,-7,7
