Time,FT1,FT2,X,Y,Z
15:11:54:518590,0,0,-0.125,0.465,0.01
15:11:54:523719,0,0,-0.125,0.465031,0.01
15:11:54:528696,0,0,-0.125,0.465037,0.01
15:11:54:533838,0,0,-0.125,0.465047,0.01
15:11:54:538823,0,0,-0.125,0.465053,0.01
15:11:54:543948,0,0,-0.125,0.465053,0.01
15:11:54:549070,0,0,-0.125,0.465058,0.01
15:11:54:554063,0,0,-0.125,0.465063,0.01
15:11:54:559192,0,0,-0.125,0.465063,0.01
15:11:54:564190,0,0,-0.125,0.465063,0.01
15:11:54:569317,0,0,-0.125,0.465068,0.01
15:11:54:574332,0,0,-0.125,0.465069,0.01
15:11:54:579439,0,0,-0.125007,0.465069,0.01
15:11:54:584439,0,0,-0.125007,0.465069,0.01
15:11:54:589566,0,0,-0.125007,0.465069,0.01
15:11:54:594565,0,0,-0.125007,0.465069,0.01
15:11:54:599689,0,0,-0.125007,0.465069,0.01
15:11:54:604697,0,0,-0.125007,0.465074,0.01
15:11:54:609841,0,0,-0.125007,0.465074,0.01
15:11:54:614856,0,0,-0.125007,0.465074,0.01
15:11:54:619942,0,0,-0.125007,0.465074,0.01
15:11:54:624953,0,0,-0.125007,0.465074,0.01
15:11:54:630070,0,0,-0.125007,0.465074,0.01
15:11:54:635078,0,0,-0.125007,0.465074,0.01
15:11:54:640229,0,0,-0.125007,0.465079,0.01
15:11:54:645325,0,0,-0.125007,0.465079,0.01
15:11:54:650318,0,0,-0.125007,0.465079,0.01
15:11:54:655468,0,0,-0.125007,0.465079,0.01
15:11:54:660462,0,0,-0.125007,0.46508,0.01
15:11:54:665579,0,0,-0.125007,0.46508,0.01
15:11:54:670705,0,0,-0.125007,0.46508,0.01
15:11:54:675715,0,0,-0.125007,0.46508,0.01
15:11:54:680691,0,0,-0.125007,0.46508,0.01
15:11:54:685826,0,0,-0.125007,0.46508,0.01
15:11:54:690817,0,0,-0.125007,0.46508,0.01
15:11:54:695943,0,0,-0.125007,0.46508,0.01
15:11:54:700838,0,0,-0.125007,0.46508,0.01
15:11:54:706061,0,0,-0.125007,0.46508,0.01
15:11:54:711088,0,0,-0.125007,0.465076,0.01
15:11:54:716187,0,0,-0.125007,0.465076,0.01
15:11:54:721201,0,0,-0.125007,0.465076,0.01
15:11:54:726341,0,0,-0.125007,0.465076,0.01
15:11:54:731341,0,0,-0.125007,0.465076,0.01
15:11:54:736335,0,0,-0.125007,0.465076,0.01
15:11:54:741445,0,0,-0.125007,0.465076,0.01
15:11:54:746583,0,0,-0.125007,0.465076,0.01
15:11:54:751603,0,0,-0.125007,0.465076,0.01
15:11:54:756573,0,0,-0.125007,0.465076,0.01
15:11:54:761737,0.036,0.033,-0.125007,0.465076,0.01
15:11:54:766834,-0.001,0.019,-0.125007,0.465076,0.01
15:11:54:771817,-0.017,0,-0.125007,0.465076,0.01
15:11:54:776817,0.005,0.008,-0.125007,0.465076,0.01
15:11:54:781945,0.037,0.034,-0.125007,0.465076,0.01
15:11:54:787073,0.026,0.042,-0.125007,0.465076,0.01
15:11:54:792098,-0.025,0.028,-0.125007,0.465076,0.01
15:11:54:797236,-0.044,0.01,-0.125007,0.465076,0.01
15:11:54:802250,-0.011,-0.019,-0.125007,0.465076,0.01
15:11:54:807317,0.027,-0.032,-0.125007,0.465076,0.01
15:11:54:812343,0.046,-0.026,-0.125007,0.465076,0.01
15:11:54:817458,0.006,0.008,-0.125007,0.465076,0.01
15:11:54:822598,-0.016,0.028,-0.125007,0.465076,0.01
15:11:54:827607,0,0.032,-0.125007,0.465076,0.01
15:11:54:832595,0.037,0.022,-0.125007,0.465076,0.01
15:11:54:837695,0.079,0.01,-0.125007,0.465076,0.01
15:11:54:842871,0.076,0.007,-0.125007,0.465076,0.01
15:11:54:847819,0.041,0.002,-0.125007,0.465076,0.01
15:11:54:852822,0.018,-0.007,-0.125007,0.465076,0.01
15:11:54:857970,0.004,-0.029,-0.125007,0.465076,0.01
15:11:54:862963,0.006,-0.041,-0.125007,0.465076,0.01
15:11:54:868215,0.021,-0.048,-0.125007,0.465076,0.01
15:11:54:873199,0.028,-0.05,-0.125007,0.465076,0.01
15:11:54:878335,0.012,-0.059,-0.125007,0.465076,0.01
15:11:54:883316,-0.017,-0.069,-0.125007,0.465076,0.01
15:11:54:888450,-0.049,-0.071,-0.125007,0.465076,0.01
15:11:54:893445,-0.034,-0.047,-0.125007,0.465076,0.01
15:11:54:898351,-0.014,-0.027,-0.125007,0.465076,0.01
15:11:54:903573,-0.012,-0.008,-0.125007,0.465076,0.01
15:11:54:908702,-0.028,-0.006,-0.125007,0.465076,0.01
15:11:54:913703,-0.039,-0.005,-0.125007,0.465076,0.01
15:11:54:918861,-0.028,-0.002,-0.125007,0.465076,0.01
15:11:54:923989,-0.001,0.005,-0.125007,0.46508,0.01
