Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
14:43:03:998694,1,-1,-1,1,0,-1,0,-2
14:43:04:6964,1,-1,-1,1,0,-1,0,-2
14:43:04:7767,6,-1,0,-3,0,-1,0,3
14:43:04:13704,5,2,-2,-2,-3,-3,-3,-3
14:43:04:21248,5,2,-2,-2,-3,-3,-3,-3
14:43:04:28708,-16,-4,-2,-1,0,-1,0,0
14:43:04:36200,-5,-3,0,-1,-2,-1,0,5
14:43:04:44364,-5,-3,0,-1,-2,-1,0,5
14:43:04:45148,-8,0,-1,-1,-3,0,0,0
14:43:04:58674,-5,-1,-3,0,0,0,0,-14
14:43:04:66958,-5,-1,-3,0,0,0,0,-14
14:43:04:67818,1,-5,-2,-2,-2,-2,-1,3
14:43:04:73746,12,1,-2,-2,-1,-1,0,2
14:43:04:81315,12,1,-2,-2,-1,-1,0,2
14:43:04:88740,-6,-4,-4,-2,-1,-2,-1,1
14:43:04:96207,5,-2,2,-2,-2,-1,-2,2
14:43:04:104375,5,-2,2,-2,-2,-1,-2,2
14:43:04:105144,6,2,1,1,1,1,0,4
14:43:04:118725,-5,-3,-1,0,-1,0,0,5
14:43:04:126907,-5,-3,-1,0,-1,0,0,5
14:43:04:127712,3,-2,-2,-1,-2,-1,1,-1
14:43:04:133746,-7,-1,-1,-1,-1,-1,1,0
14:43:04:141260,-7,-1,-1,-1,-1,-1,1,0
14:43:04:148702,-1,-4,-3,-1,0,0,-2,1
14:43:04:156185,-6,-3,0,-2,-1,-1,-1,0
14:43:04:164442,-6,-3,0,-2,-1,-1,-1,0
14:43:04:165224,-3,1,0,2,0,-2,-1,1
14:43:04:178686,-10,1,0,-2,0,0,1,-3
14:43:04:187034,-10,1,0,-2,0,0,1,-3
14:43:04:187734,6,2,2,-2,0,0,-1,0
14:43:04:193680,4,1,0,-3,-2,-1,-2,1
14:43:04:201237,4,1,0,-3,-2,-1,-2,1
14:43:04:208696,0,0,0,-1,-2,-2,0,1
14:43:04:216233,-2,-6,-2,0,0,0,-1,-2
14:43:04:224508,-2,-6,-2,0,0,0,-1,-2
14:43:04:225261,0,-1,-2,0,-2,-3,-3,-4
14:43:04:238737,-1,-1,-2,0,0,0,-2,0
14:43:04:246966,-1,-1,-2,0,0,0,-2,0
14:43:04:247747,-16,-6,-2,-3,-2,-2,-3,-1
14:43:04:253656,6,1,-2,-3,-2,-2,-1,-2
14:43:04:261312,6,1,-2,-3,-2,-2,-1,-2
14:43:04:268666,-1,1,0,-2,-1,-1,1,-2
14:43:04:276198,0,-2,0,-1,0,-1,-3,-2
14:43:04:284478,0,-2,0,-1,0,-1,-3,-2
14:43:04:285294,24,4,-4,-1,0,-1,0,2
14:43:04:299459,4,1,-1,-1,-2,-1,0,0
14:43:04:300311,4,1,-1,-1,-2,-1,0,0
14:43:04:306179,-9,-1,1,-2,1,-1,-1,-1
14:43:04:313728,-2,-2,1,0,0,-2,-3,0
14:43:04:321308,-2,-2,1,0,0,-2,-3,0
14:43:04:328703,-6,-2,-2,-3,-3,-1,-3,-3
14:43:04:336196,-11,-1,-1,0,0,-1,0,-3
14:43:04:344412,-11,-1,-1,0,0,-1,0,-3
14:43:04:345234,-1,-5,-2,-2,-2,-1,1,-6
14:43:04:359439,2,1,1,0,-2,-1,-1,-1
14:43:04:360271,2,1,1,0,-2,-1,-1,-1
14:43:04:366229,-32,-3,1,-2,-2,-2,-2,-2
14:43:04:373729,-22,-6,-1,0,1,-2,-1,-2
14:43:04:381231,-22,-6,-1,0,1,-2,-1,-2
14:43:04:388751,-1,1,-1,-1,-1,2,-2,-5
14:43:04:396233,-1,-1,-1,-1,-1,0,0,0
14:43:04:404382,-1,-1,-1,-1,-1,0,0,0
14:43:04:405172,5,0,1,0,0,0,1,2
14:43:04:419409,8,1,0,-1,-2,-2,1,0
14:43:04:420196,8,1,0,-1,-2,-2,1,0
14:43:04:426168,9,3,-1,-2,-1,-2,0,2
14:43:04:433704,6,-5,-1,-3,1,-3,-2,-5
14:43:04:441240,6,-5,-1,-3,1,-3,-2,-5
14:43:04:448680,-2,-1,0,0,1,-2,-3,0
14:43:04:456180,-4,1,-2,-1,-2,2,-2,-1
14:43:04:463810,-4,1,-2,-1,-2,2,-2,-1
14:43:04:471184,20,4,-1,-2,-2,-3,-1,1
14:43:04:479378,-5,-1,-1,-1,-2,-2,0,-1
14:43:04:480250,-5,-1,-1,-1,-2,-2,0,-1
14:43:04:486212,-4,-6,-1,-3,-4,-1,-2,-1
14:43:04:501914,0,0,-4,-1,0,-2,-4,-9
14:43:04:502750,0,0,-4,-1,0,-2,-4,-9
