Time,FT1,FT2,X,Y,Z
14:43:50:137446,0,0,-0.125,0.465,0.01
14:43:50:142432,0,0,-0.125,0.465028,0.01
14:43:50:147437,0,0,-0.125,0.465033,0.01
14:43:50:152525,0,0,-0.125,0.465038,0.01
14:43:50:157526,0,0,-0.125,0.465038,0.01
14:43:50:162648,0,0,-0.125,0.465044,0.01
14:43:50:167564,0,0,-0.125,0.465044,0.01
14:43:50:172795,0,0,-0.125,0.465053,0.01
14:43:50:177773,0,0,-0.125,0.465053,0.01
14:43:50:182925,0,0,-0.125,0.465053,0.01
14:43:50:187898,0,0,-0.125,0.465053,0.01
14:43:50:193058,0,0,-0.125,0.465049,0.01
14:43:50:197941,0,0,-0.125,0.465054,0.01
14:43:50:203166,0,0,-0.125,0.465054,0.01
14:43:50:208150,0,0,-0.125,0.465054,0.01
14:43:50:213287,0,0,-0.125,0.465054,0.01
14:43:50:218188,0,0,-0.125,0.465054,0.01
14:43:50:223398,0,0,-0.125,0.465059,0.01
14:43:50:228294,0,0,-0.125,0.465059,0.01
14:43:50:233527,0,0,-0.125,0.465059,0.01
14:43:50:238451,0,0,-0.125,0.465064,0.01
14:43:50:243650,0,0,-0.125,0.465065,0.01
14:43:50:248646,0,0,-0.125,0.465065,0.01
14:43:50:253788,0,0,-0.125,0.465065,0.01
14:43:50:258779,0,0,-0.125,0.465065,0.01
14:43:50:263923,0,0,-0.125,0.465065,0.01
14:43:50:269020,0,0,-0.125,0.465065,0.01
14:43:50:274018,0,0,-0.125,0.465065,0.01
14:43:50:279190,0,0,-0.125004,0.465065,0.01
14:43:50:284155,0,0,-0.125004,0.465065,0.01
14:43:50:289296,0,0,-0.125004,0.465065,0.01
14:43:50:294418,0,0,-0.125004,0.465065,0.01
14:43:50:299398,0,0,-0.125004,0.465065,0.01
14:43:50:304413,0,0,-0.125004,0.465065,0.01
14:43:50:309543,0,0,-0.125004,0.465065,0.01
14:43:50:314549,0,0,-0.125004,0.465065,0.01
14:43:50:319667,0,0,-0.125004,0.465065,0.01
14:43:50:324671,0,0,-0.125004,0.46507,0.01
14:43:50:329776,0,0,-0.125004,0.46507,0.01
14:43:50:334773,0,0,-0.125004,0.46507,0.01
14:43:50:339925,0,0,-0.125004,0.46507,0.01
