Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
14:43:50:137967,-13719,909,5691,-6857,1070,-745,1649,-198,-74,9
14:43:50:146157,-13707,949,5726,-6847,1073,-734,1428,-291,-70,62
14:43:50:146979,-13707,949,5726,-6847,1073,-734,1428,-291,-70,62
14:43:50:161185,-13707,949,5726,-6847,1073,-734,1428,-291,-70,62
14:43:50:161912,-13696,975,5749,-6847,1106,-878,1516,-151,-65,48
14:43:50:167967,-13696,975,5749,-6847,1106,-878,1516,-151,-65,48
14:43:50:175448,-13696,975,5749,-6847,1106,-878,1516,-151,-65,48
14:43:50:182985,-13688,975,5763,-6851,1137,-774,1545,-41,-71,50
14:43:50:190426,-13688,975,5763,-6851,1137,-774,1545,-41,-71,50
14:43:50:197941,-13688,975,5763,-6851,1137,-774,1545,-41,-71,50
14:43:50:206147,-13681,970,5774,-6856,1136,-777,1487,-3,-56,43
14:43:50:206890,-13681,970,5774,-6856,1136,-777,1487,-3,-56,43
14:43:50:221159,-13681,970,5774,-6856,1136,-777,1487,-3,-56,43
14:43:50:221925,-13675,970,5786,-6858,1142,-784,1506,-31,-46,32
14:43:50:227878,-13675,970,5786,-6858,1142,-784,1506,-31,-46,32
14:43:50:235397,-13675,970,5786,-6858,1142,-784,1506,-31,-46,32
14:43:50:242929,-13670,962,5799,-6859,1099,-705,1443,-19,-72,26
14:43:50:250361,-13670,962,5799,-6859,1099,-705,1443,-19,-72,26
14:43:50:257925,-13670,962,5799,-6859,1099,-705,1443,-19,-72,26
14:43:50:266139,-13662,968,5808,-6865,1082,-798,1448,-31,-37,55
14:43:50:266940,-13662,968,5808,-6865,1082,-798,1448,-31,-37,55
14:43:50:281159,-13662,968,5808,-6865,1082,-798,1448,-31,-37,55
14:43:50:281926,-13653,984,5815,-6875,1115,-899,1562,-50,-26,70
14:43:50:287962,-13653,984,5815,-6875,1115,-899,1562,-50,-26,70
14:43:50:295348,-13653,984,5815,-6875,1115,-899,1562,-50,-26,70
14:43:50:302971,-13651,982,5811,-6882,1090,-842,1623,19,-36,20
14:43:50:318550,-13651,982,5811,-6882,1090,-842,1623,19,-36,20
14:43:50:319365,-13651,982,5811,-6882,1090,-842,1623,19,-36,20
14:43:50:326163,-13646,991,5825,-6879,1076,-780,1509,-95,-62,17
14:43:50:326924,-13646,991,5825,-6879,1076,-780,1509,-95,-62,17
14:43:50:341145,-13646,991,5825,-6879,1076,-780,1509,-95,-62,17
14:43:50:341929,-13640,1031,5844,-6868,1067,-852,1522,-247,-27,20
