Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
15:36:04:13029,-2,0,13,0,-30,-21,-11,-2
15:36:04:20585,-2,0,13,0,-30,-21,-11,-2
15:36:04:27997,-3,-2,-3,-2,55,18,-3,-1
15:36:04:36205,-2,-1,10,-41,-47,-17,6,-3
15:36:04:37023,-2,-1,10,-41,-47,-17,6,-3
15:36:04:43000,0,1,19,0,11,16,9,-2
15:36:04:58767,-5,-5,-5,14,20,27,-5,-1
15:36:04:59539,-5,-5,-5,14,20,27,-5,-1
15:36:04:65531,-2,-5,-13,15,-87,-11,-9,0
15:36:04:73004,4,2,3,9,125,48,-6,6
15:36:04:80608,4,2,3,9,125,48,-6,6
15:36:04:88039,-3,-2,-1,-32,-53,-38,-18,-6
15:36:04:96176,-2,2,18,43,-45,-12,10,1
15:36:04:96991,-2,2,18,43,-45,-12,10,1
15:36:04:103081,-3,-1,6,6,-26,-34,3,-4
15:36:04:118743,-1,0,12,-7,76,17,-9,-6
15:36:04:119499,-1,0,12,-7,76,17,-9,-6
15:36:04:125503,1,-3,-9,-15,-74,-6,-1,0
15:36:04:133167,-1,0,-18,-5,-109,-12,8,2
15:36:04:140554,-1,0,-18,-5,-109,-12,8,2
15:36:04:148014,-1,0,1,54,38,3,2,-2
15:36:04:156208,-6,-9,-15,-41,-28,-49,-3,-6
15:36:04:157062,-6,-9,-15,-41,-28,-49,-3,-6
15:36:04:162974,3,3,9,16,127,55,13,3
15:36:04:178707,-2,0,1,-11,-71,-72,-16,-6
15:36:04:179508,-2,0,1,-11,-71,-72,-16,-6
15:36:04:185508,0,0,-12,-9,5,11,6,2
15:36:04:192997,3,3,0,2,20,-11,-6,1
15:36:04:200654,3,3,0,2,20,-11,-6,1
15:36:04:207974,-2,-2,-4,-16,3,56,-22,-2
15:36:04:216203,-1,1,-22,-13,-79,-29,-13,0
15:36:04:217004,-1,1,-22,-13,-79,-29,-13,0
15:36:04:223000,-1,2,14,5,27,-32,1,0
15:36:04:238723,1,4,12,14,29,47,-5,-2
15:36:04:239528,1,4,12,14,29,47,-5,-2
15:36:04:245530,0,-5,-7,5,-14,3,13,2
15:36:04:253051,-3,-7,-8,-13,-30,-20,-3,-3
15:36:04:260562,-3,-7,-8,-13,-30,-20,-3,-3
15:36:04:268074,-2,-2,-10,26,-12,4,-2,1
15:36:04:276219,0,2,-6,-5,-25,29,-1,1
15:36:04:277053,0,2,-6,-5,-25,29,-1,1
15:36:04:283044,-1,-3,2,-3,20,-18,25,0
15:36:04:298745,-2,-6,17,6,75,54,7,-1
15:36:04:299531,-2,-6,17,6,75,54,7,-1
15:36:04:305553,-1,4,-22,-38,6,-5,-4,-1
15:36:04:313039,-3,-6,-4,-17,-11,-9,-6,-1
15:36:04:320630,-3,-6,-4,-17,-11,-9,-6,-1
15:36:04:327982,3,4,22,14,38,49,-7,0
15:36:04:336196,-4,-1,11,-10,37,-1,-10,-4
15:36:04:337011,-4,-1,11,-10,37,-1,-10,-4
15:36:04:343001,0,-2,6,-10,-59,80,11,9
15:36:04:358779,2,12,1,-2,-24,-5,-11,1
15:36:04:359581,2,12,1,-2,-24,-5,-11,1
15:36:04:365545,-4,-19,15,-19,-29,-53,-8,-3
15:36:04:373022,-2,-16,-17,13,-16,7,2,2
15:36:04:380577,-2,-16,-17,13,-16,7,2,2
15:36:04:388049,1,10,-9,15,-6,-26,-11,-8
15:36:04:396169,0,2,2,-21,-14,-9,2,-2
15:36:04:396999,0,2,2,-21,-14,-9,2,-2
15:36:04:403008,1,2,11,9,15,-1,23,1
15:36:04:418820,-1,5,-5,3,-42,-16,-2,-2
15:36:04:419480,-1,5,-5,3,-42,-16,-2,-2
15:36:04:425526,-4,-5,-8,-10,13,5,-2,-5
15:36:04:433102,2,-8,-9,10,69,-40,-3,-5
15:36:04:440529,2,-8,-9,10,69,-40,-3,-5
15:36:04:448076,0,2,3,12,102,35,-26,1
15:36:04:456256,-2,7,-3,3,-16,2,-3,-4
15:36:04:457000,-2,7,-3,3,-16,2,-3,-4
15:36:04:463055,0,0,-32,-11,-17,-20,18,1
15:36:04:478725,1,-12,3,54,1,-14,0,2
15:36:04:479500,1,-12,3,54,1,-14,0,2
15:36:04:485517,-3,-7,8,2,10,8,-4,-1
15:36:04:492971,-5,6,2,-1,57,39,17,0
15:36:04:500596,-5,6,2,-1,57,39,17,0
15:36:04:507997,-2,1,-21,-12,-38,-44,2,-3
