Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
15:36:04:13029,13040,-8089,-2310,5256,-162,-1929,1009,-88,-9,-36
15:36:04:20585,13053,-8072,-2299,5254,-213,-1781,1018,104,28,-28
15:36:04:27997,13053,-8072,-2299,5254,-213,-1781,1018,104,28,-28
15:36:04:36205,13053,-8072,-2299,5254,-213,-1781,1018,104,28,-28
15:36:04:37023,13051,-8075,-2297,5254,-235,-1726,1000,-46,3,-18
15:36:04:43000,13051,-8075,-2297,5254,-235,-1726,1000,-46,3,-18
15:36:04:58767,13051,-8075,-2297,5254,-235,-1726,1000,-46,3,-18
15:36:04:59539,13041,-8090,-2307,5253,-185,-1879,1044,-129,-17,6
15:36:04:65531,13041,-8090,-2307,5253,-185,-1879,1044,-129,-17,6
15:36:04:73004,13041,-8090,-2307,5253,-185,-1879,1044,-129,-17,6
15:36:04:80608,13047,-8080,-2308,5251,-203,-1912,1066,42,-14,-31
15:36:04:88039,13047,-8080,-2308,5251,-203,-1912,1066,42,-14,-31
15:36:04:96176,13047,-8080,-2308,5251,-203,-1912,1066,42,-14,-31
15:36:04:96991,13056,-8067,-2306,5252,-200,-1738,982,69,-12,-29
15:36:04:103081,13056,-8067,-2306,5252,-200,-1738,982,69,-12,-29
15:36:04:118743,13056,-8067,-2306,5252,-200,-1738,982,69,-12,-29
15:36:04:119499,13047,-8078,-2311,5254,-210,-1774,963,-81,-23,11
15:36:04:125503,13047,-8078,-2311,5254,-210,-1774,963,-81,-23,11
15:36:04:133167,13047,-8078,-2311,5254,-210,-1774,963,-81,-23,11
15:36:04:140554,13037,-8096,-2323,5246,-165,-1919,980,-111,-1,-27
15:36:04:148014,13037,-8096,-2323,5246,-165,-1919,980,-111,-1,-27
15:36:04:156208,13037,-8096,-2323,5246,-165,-1919,980,-111,-1,-27
15:36:04:157062,13053,-8076,-2310,5242,-194,-1777,1028,118,46,-26
15:36:04:162974,13053,-8076,-2310,5242,-194,-1777,1028,118,46,-26
15:36:04:178707,13053,-8076,-2310,5242,-194,-1777,1028,118,46,-26
15:36:04:179508,13053,-8076,-2309,5243,-218,-1674,965,6,15,-8
