Time,FT1,FT2,X,Y,Z
15:37:28:168485,0,0,-0.125,0.465,0.01
15:37:28:173601,0,0,-0.125,0.465041,0.01
15:37:28:178623,0,0,-0.125,0.465046,0.01
15:37:28:183622,0,0,-0.125,0.465051,0.01
15:37:28:188727,0,0,-0.125,0.465056,0.01
15:37:28:193732,0,0,-0.125,0.465056,0.01
15:37:28:198879,0,0,-0.125,0.465061,0.01
15:37:28:203879,0,0,-0.125,0.465061,0.01
15:37:28:208981,0,0,-0.125,0.465061,0.01
15:37:28:214102,0,0,-0.125,0.465061,0.01
15:37:28:219112,0,0,-0.125,0.465061,0.01
15:37:28:224252,0,0,-0.125,0.465066,0.01
15:37:28:229236,0,0,-0.125,0.465066,0.01
15:37:28:234351,0,0,-0.125,0.465066,0.01
15:37:28:239257,0,0,-0.125,0.465066,0.01
15:37:28:244483,0,0,-0.125,0.465066,0.01
15:37:28:249480,0,0,-0.125,0.465066,0.01
15:37:28:254609,0,0,-0.125,0.465066,0.01
15:37:28:259613,0,0,-0.125,0.465066,0.01
15:37:28:264732,0,0,-0.125,0.465072,0.01
15:37:28:269852,0,0,-0.125,0.465072,0.01
15:37:28:274889,0,0,-0.125,0.465072,0.01
15:37:28:279976,0,0,-0.125,0.465072,0.01
15:37:28:285004,0,0,-0.125,0.465072,0.01
15:37:28:290103,0,0,-0.125,0.465072,0.01
15:37:28:295234,0,0,-0.125,0.465077,0.01
15:37:28:300252,0,0,-0.125,0.465077,0.01
15:37:28:305360,0,0,-0.125,0.465077,0.01
15:37:28:310349,0,0,-0.125,0.465077,0.01
15:37:28:315351,0,0,-0.125,0.465077,0.01
15:37:28:320479,0,0,-0.125,0.465077,0.01
15:37:28:325502,0,0,-0.125,0.465077,0.01
15:37:28:330601,0,0,-0.125,0.465077,0.01
15:37:28:335730,0,0,-0.125,0.465077,0.01
15:37:28:340752,0,0,-0.125,0.465077,0.01
15:37:28:345744,0,0,-0.125,0.465077,0.01
15:37:28:350865,0,0,-0.125,0.465077,0.01
15:37:28:355858,0,0,-0.125,0.465077,0.01
15:37:28:361004,0,0,-0.125007,0.465077,0.01
15:37:28:366008,0,0,-0.125007,0.465077,0.01
15:37:28:371102,0,0,-0.125007,0.465077,0.01
15:37:28:376008,0,0,-0.125007,0.465077,0.01
15:37:28:381250,0,0,-0.125007,0.465077,0.01
15:37:28:386371,0,0,-0.125007,0.465077,0.01
15:37:28:391351,0,0,-0.125007,0.465077,0.01
15:37:28:396371,0,0,-0.125007,0.465077,0.01
15:37:28:401479,0,0,-0.125007,0.465077,0.01
15:37:28:406614,0,0,-0.125007,0.465077,0.01
15:37:28:411619,-0.064,-0.002,-0.125007,0.465077,0.01
15:37:28:416603,-0.051,0.031,-0.125007,0.465077,0.01
15:37:28:421735,-0.044,0.047,-0.125007,0.465082,0.01
15:37:28:426850,-0.043,0.041,-0.125007,0.465082,0.01
15:37:28:431852,-0.019,0.018,-0.125007,0.465082,0.01
15:37:28:436988,-0.006,-0.003,-0.125007,0.465082,0.01
15:37:28:442005,-0.034,-0.037,-0.125007,0.465082,0.01
15:37:28:446979,-0.073,-0.054,-0.125007,0.465082,0.01
15:37:28:452103,-0.087,-0.064,-0.125007,0.465082,0.01
15:37:28:457260,-0.053,-0.054,-0.125007,0.465082,0.01
15:37:28:462246,-0.006,-0.016,-0.125007,0.465082,0.01
15:37:28:467225,-0.017,0.013,-0.125007,0.465082,0.01
15:37:28:472259,-0.07,0.03,-0.125007,0.465082,0.01
15:37:28:477375,-0.087,0.015,-0.125007,0.465082,0.01
15:37:28:482488,-0.063,-0.023,-0.125007,0.465082,0.01
15:37:28:487486,-0.032,-0.036,-0.125007,0.465082,0.01
15:37:28:492634,-0.035,-0.026,-0.125007,0.465082,0.01
15:37:28:497748,-0.057,-0.02,-0.125007,0.465082,0.01
15:37:28:502741,-0.062,-0.036,-0.125007,0.465082,0.01
15:37:28:507854,-0.047,-0.06,-0.125007,0.465082,0.01
15:37:28:512860,-0.036,-0.053,-0.125007,0.465082,0.01
15:37:28:517979,-0.031,-0.015,-0.125007,0.465087,0.01
15:37:28:523004,-0.027,-0.002,-0.125007,0.465087,0.01
15:37:28:528098,-0.014,-0.025,-0.125007,0.465087,0.01
15:37:28:533106,-0.01,-0.053,-0.125007,0.465087,0.01
15:37:28:538267,-0.026,-0.076,-0.125007,0.465092,0.01
15:37:28:543230,-0.045,-0.075,-0.125007,0.465092,0.01
15:37:28:548235,-0.065,-0.062,-0.125007,0.465092,0.01
15:37:28:553351,-0.072,-0.051,-0.125007,0.465092,0.01
15:37:28:558382,-0.083,-0.029,-0.125007,0.465097,0.01
15:37:28:563499,-0.079,-0.004,-0.125007,0.465097,0.01
15:37:28:568481,-0.063,0.009,-0.125007,0.465097,0.01
15:37:28:573633,-0.035,0.018,-0.125007,0.465097,0.01
15:37:28:578752,-0.023,0.013,-0.125007,0.465102,0.01
15:37:28:583726,-0.008,-0.002,-0.125007,0.465102,0.01
15:37:28:588730,0.005,-0.01,-0.125007,0.465102,0.01
15:37:28:593755,0.007,-0.01,-0.125007,0.465098,0.01
15:37:28:598989,-0.019,-0.006,-0.125007,0.465098,0.01
15:37:28:603986,-0.078,-0.005,-0.125007,0.465103,0.01
15:37:28:608980,-0.092,-0.013,-0.125007,0.465103,0.01
15:37:28:614108,-0.05,-0.028,-0.125007,0.465103,0.01
15:37:28:619244,-0.011,-0.027,-0.125007,0.465108,0.01
15:37:28:624234,-0.001,-0.001,-0.125007,0.465108,0.01
15:37:28:629231,-0.031,0.021,-0.125007,0.465108,0.01
15:37:28:634355,-0.087,0.033,-0.125007,0.465113,0.01
15:37:28:639273,-0.108,0.021,-0.125007,0.465109,0.01
15:37:28:644380,-0.121,-0.008,-0.125007,0.465114,0.01
15:37:28:649479,-0.129,-0.028,-0.125007,0.465119,0.01
15:37:28:654608,-0.132,-0.035,-0.125007,0.465119,0.01
15:37:28:659610,-0.124,-0.045,-0.125007,0.465125,0.01
15:37:28:664739,-0.111,-0.051,-0.125007,0.46513,0.01
15:37:28:669900,-0.083,-0.053,-0.125007,0.465135,0.01
15:37:28:674885,-0.058,-0.047,-0.125007,0.46514,0.01
15:37:28:679978,-0.013,-0.025,-0.125007,0.465145,0.01
15:37:28:684986,0.018,-0.002,-0.125007,0.46515,0.01
15:37:28:690106,0.049,0.028,-0.125007,0.465155,0.01
15:37:28:695104,0.044,0.034,-0.125007,0.465155,0.01
15:37:28:700104,-0.011,0.011,-0.125007,0.46516,0.01
15:37:28:705247,-0.059,-0.013,-0.125007,0.46516,0.01
15:37:28:710249,-0.077,-0.036,-0.125007,0.465165,0.01
15:37:28:715374,-0.034,-0.033,-0.125007,0.465165,0.01
15:37:28:720375,0.06,-0.019,-0.125007,0.465161,0.01
15:37:28:725509,0.084,-0.015,-0.125007,0.465166,0.01
15:37:28:730502,0.048,-0.017,-0.125007,0.465166,0.01
15:37:28:735616,-0.02,-0.017,-0.125007,0.465171,0.01
15:37:28:740766,-0.04,-0.015,-0.125007,0.465177,0.01
15:37:28:745760,-0.039,-0.023,-0.125007,0.465177,0.01
15:37:28:750725,-0.043,-0.037,-0.125007,0.465182,0.01
15:37:28:755890,-0.073,-0.051,-0.125007,0.465187,0.01
15:37:28:761010,-0.095,-0.049,-0.125007,0.465187,0.01
15:37:28:765993,-0.102,-0.039,-0.125007,0.465187,0.01
15:37:28:771003,-0.093,-0.04,-0.125007,0.465188,0.01
15:37:28:775877,-0.08,-0.05,-0.125007,0.465188,0.01
15:37:28:781108,-0.07,-0.048,-0.125007,0.465193,0.01
15:37:28:786232,-0.041,-0.025,-0.125007,0.465193,0.01
15:37:28:791407,-0.017,-0.006,-0.125007,0.465193,0.01
15:37:28:796354,-0.002,0.001,-0.125007,0.465198,0.01
15:37:28:801375,-0.015,-0.012,-0.125007,0.465198,0.01
15:37:28:806517,-0.054,-0.045,-0.125007,0.465198,0.01
15:37:28:811478,-0.09,-0.051,-0.125007,0.465203,0.01
15:37:28:816599,-0.109,-0.034,-0.125007,0.4652,0.01
15:37:28:821754,-0.125,0,-0.125007,0.465208,0.01
15:37:28:826746,-0.128,0.011,-0.125007,0.465212,0.01
15:37:28:831739,-0.125,0,-0.125007,0.46522,0.01
15:37:28:836858,-0.121,-0.017,-0.125007,0.465222,0.01
15:37:28:841857,-0.114,-0.036,-0.125007,0.465229,0.01
15:37:28:846983,-0.109,-0.032,-0.125007,0.465234,0.01
15:37:28:852110,-0.099,-0.006,-0.125007,0.465234,0.01
15:37:28:857108,-0.095,0.006,-0.125007,0.465239,0.01
15:37:28:862101,-0.097,-0.002,-0.125007,0.465239,0.01
15:37:28:867261,-0.104,-0.02,-0.125007,0.465239,0.01
15:37:28:872391,-0.112,-0.03,-0.125007,0.465245,0.01
15:37:28:877353,-0.111,-0.021,-0.125007,0.46525,0.01
15:37:28:882362,-0.107,-0.002,-0.125007,0.46525,0.01
15:37:28:887480,-0.116,0.008,-0.125007,0.465255,0.01
15:37:28:892482,-0.13,0.015,-0.125007,0.465255,0.01
15:37:28:897496,-0.148,0.024,-0.125007,0.46526,0.01
15:37:28:902778,-0.157,0.012,-0.125007,0.465261,0.01
15:37:28:907769,-0.173,-0.044,-0.125007,0.465261,0.01
15:37:28:912860,-0.183,-0.092,-0.125007,0.465261,0.01
15:37:28:917855,-0.187,-0.124,-0.125007,0.465266,0.01
15:37:28:923020,-0.183,-0.108,-0.125007,0.465262,0.01
15:37:28:927999,-0.181,-0.063,-0.125007,0.465267,0.01
15:37:28:933104,-0.183,-0.05,-0.125007,0.465272,0.01
15:37:28:938137,-0.174,-0.071,-0.125007,0.465272,0.01
15:37:28:943247,-0.158,-0.091,-0.125007,0.465273,0.01
15:37:28:948239,-0.148,-0.093,-0.125007,0.465278,0.01
