Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
14:49:10:986642,-11918,5787,3392,-9023,-148,-1532,1359,18,6,-36
14:49:10:987100,-11918,5787,3392,-9023,-148,-1532,1359,18,6,-36
14:49:10:993108,-11918,5787,3392,-9023,-148,-1532,1359,18,6,-36
14:49:11:620,-11923,5781,3390,-9022,-160,-1541,1390,35,7,-17
14:49:11:8089,-11923,5781,3390,-9022,-160,-1541,1390,35,7,-17
14:49:11:15602,-11923,5781,3390,-9022,-160,-1541,1390,35,7,-17
14:49:11:23789,-11926,5775,3384,-9023,-193,-1547,1402,44,3,-3
14:49:11:24586,-11926,5775,3384,-9023,-193,-1547,1402,44,3,-3
14:49:11:38093,-11926,5775,3384,-9023,-193,-1547,1402,44,3,-3
14:49:11:46270,-11931,5767,3377,-9025,-193,-1505,1406,45,2,-13
14:49:11:47070,-11931,5767,3377,-9025,-193,-1505,1406,45,2,-13
14:49:11:53088,-11931,5767,3377,-9025,-193,-1505,1406,45,2,-13
14:49:11:60631,-11933,5764,3374,-9025,-184,-1524,1404,18,6,-8
14:49:11:68074,-11933,5764,3374,-9025,-184,-1524,1404,18,6,-8
14:49:11:75558,-11933,5764,3374,-9025,-184,-1524,1404,18,6,-8
14:49:11:83790,-11937,5760,3368,-9024,-184,-1534,1392,35,14,-8
14:49:11:84595,-11937,5760,3368,-9024,-184,-1534,1392,35,14,-8
14:49:11:98145,-11937,5760,3368,-9024,-184,-1534,1392,35,14,-8
14:49:11:106264,-11941,5754,3362,-9025,-184,-1529,1393,49,8,-4
14:49:11:107079,-11941,5754,3362,-9025,-184,-1529,1393,49,8,-4
14:49:11:113071,-11941,5754,3362,-9025,-184,-1529,1393,49,8,-4
14:49:11:120658,-11943,5750,3355,-9027,-174,-1525,1393,42,18,14
14:49:11:128100,-11943,5750,3355,-9027,-174,-1525,1393,42,18,14
14:49:11:135575,-11943,5750,3355,-9027,-174,-1525,1393,42,18,14
14:49:11:143817,-11946,5746,3347,-9030,-188,-1522,1409,38,21,12
14:49:11:144634,-11946,5746,3347,-9030,-188,-1522,1409,38,21,12
14:49:11:166987,-11946,5746,3347,-9030,-188,-1522,1409,38,21,12
14:49:11:167784,-11947,5743,3342,-9030,-179,-1521,1391,26,11,3
14:49:11:168557,-11947,5743,3342,-9030,-179,-1521,1391,26,11,3
14:49:11:173094,-11947,5743,3342,-9030,-179,-1521,1391,26,11,3
14:49:11:180624,-11946,5744,3338,-9033,-196,-1516,1394,5,7,19
14:49:11:188051,-11946,5744,3338,-9033,-196,-1516,1394,5,7,19
14:49:11:195558,-11946,5744,3338,-9033,-196,-1516,1394,5,7,19
14:49:11:203807,-11946,5744,3338,-9033,-186,-1514,1390,-6,4,10
14:49:11:204593,-11946,5744,3338,-9033,-186,-1514,1390,-6,4,10
14:49:11:218144,-11946,5744,3338,-9033,-186,-1514,1390,-6,4,10
14:49:11:226270,-11948,5738,3335,-9036,-174,-1515,1412,31,-5,11
14:49:11:227126,-11948,5738,3335,-9036,-174,-1515,1412,31,-5,11
14:49:11:233037,-11948,5738,3335,-9036,-174,-1515,1412,31,-5,11
14:49:11:240665,-11948,5731,3332,-9041,-183,-1483,1389,27,-19,13
14:49:11:248069,-11948,5731,3332,-9041,-183,-1483,1389,27,-19,13
14:49:11:255540,-11948,5731,3332,-9041,-183,-1483,1389,27,-19,13
14:49:11:263842,-11948,5729,3334,-9043,-186,-1495,1418,-14,-17,2
14:49:11:264622,-11948,5729,3334,-9043,-186,-1495,1418,-14,-17,2
14:49:11:278036,-11948,5729,3334,-9043,-186,-1495,1418,-14,-17,2
14:49:11:286336,-11944,5732,3341,-9043,-172,-1504,1407,-55,-18,5
14:49:11:287081,-11944,5732,3341,-9043,-172,-1504,1407,-55,-18,5
14:49:11:293093,-11944,5732,3341,-9043,-172,-1504,1407,-55,-18,5
14:49:11:300741,-11940,5738,3349,-9041,-165,-1545,1405,-56,-9,3
14:49:11:308100,-11940,5738,3349,-9041,-165,-1545,1405,-56,-9,3
14:49:11:315588,-11940,5738,3349,-9041,-165,-1545,1405,-56,-9,3
14:49:11:323820,-11941,5741,3351,-9037,-177,-1534,1395,-21,11,-17
14:49:11:324619,-11941,5741,3351,-9037,-177,-1534,1395,-21,11,-17
14:49:11:338112,-11941,5741,3351,-9037,-177,-1534,1395,-21,11,-17
14:49:11:346318,-11939,5746,3350,-9037,-206,-1523,1374,-20,9,4
14:49:11:347110,-11939,5746,3350,-9037,-206,-1523,1374,-20,9,4
14:49:11:353105,-11939,5746,3350,-9037,-206,-1523,1374,-20,9,4
14:49:11:360632,-11933,5755,3351,-9039,-226,-1515,1384,-50,-4,17
14:49:11:368120,-11933,5755,3351,-9039,-226,-1515,1384,-50,-4,17
14:49:11:375603,-11933,5755,3351,-9039,-226,-1515,1384,-50,-4,17
14:49:11:383829,-11927,5763,3360,-9039,-204,-1560,1390,-69,-25,3
14:49:11:384572,-11927,5763,3360,-9039,-204,-1560,1390,-69,-25,3
14:49:11:398098,-11927,5763,3360,-9039,-204,-1560,1390,-69,-25,3
14:49:11:406260,-11918,5775,3370,-9039,-223,-1581,1368,-72,-27,9
14:49:11:407071,-11918,5775,3370,-9039,-223,-1581,1368,-72,-27,9
14:49:11:413117,-11918,5775,3370,-9039,-223,-1581,1368,-72,-27,9
14:49:11:420620,-11912,5785,3376,-9038,-237,-1592,1356,-43,-20,-3
14:49:11:428086,-11912,5785,3376,-9038,-237,-1592,1356,-43,-20,-3
14:49:11:435605,-11912,5785,3376,-9038,-237,-1592,1356,-43,-20,-3
14:49:11:443765,-11910,5788,3381,-9036,-211,-1581,1371,-14,-21,-18
14:49:11:444597,-11910,5788,3381,-9036,-211,-1581,1371,-14,-21,-18
14:49:11:458130,-11910,5788,3381,-9036,-211,-1581,1371,-14,-21,-18
14:49:11:466303,-11910,5788,3382,-9036,-179,-1559,1357,4,-11,-13
14:49:11:467088,-11910,5788,3382,-9036,-179,-1559,1357,4,-11,-13
14:49:11:473113,-11910,5788,3382,-9036,-179,-1559,1357,4,-11,-13
14:49:11:480606,-11908,5790,3387,-9036,-177,-1585,1372,-7,-17,0
14:49:11:488095,-11908,5790,3387,-9036,-177,-1585,1372,-7,-17,0
14:49:11:495551,-11908,5790,3387,-9036,-177,-1585,1372,-7,-17,0
14:49:11:503807,-11908,5789,3388,-9036,-181,-1586,1381,18,-4,2
14:49:11:504581,-11908,5789,3388,-9036,-181,-1586,1381,18,-4,2
14:49:11:518095,-11908,5789,3388,-9036,-181,-1586,1381,18,-4,2
14:49:11:526258,-11913,5782,3383,-9036,-167,-1577,1393,63,7,-5
14:49:11:527075,-11913,5782,3383,-9036,-167,-1577,1393,63,7,-5
14:49:11:533048,-11913,5782,3383,-9036,-167,-1577,1393,63,7,-5
14:49:11:540648,-11919,5771,3378,-9037,-148,-1537,1386,72,10,-4
14:49:11:548075,-11919,5771,3378,-9037,-148,-1537,1386,72,10,-4
14:49:11:555570,-11919,5771,3378,-9037,-148,-1537,1386,72,10,-4
14:49:11:563831,-11922,5767,3372,-9038,-179,-1546,1389,45,14,3
14:49:11:564634,-11922,5767,3372,-9038,-179,-1546,1389,45,14,3
14:49:11:578070,-11922,5767,3372,-9038,-179,-1546,1389,45,14,3
14:49:11:586359,-11927,5762,3363,-9038,-188,-1544,1384,59,23,-4
14:49:11:587123,-11927,5762,3363,-9038,-188,-1544,1384,59,23,-4
14:49:11:593087,-11927,5762,3363,-9038,-188,-1544,1384,59,23,-4
14:49:11:600648,-11934,5754,3353,-9037,-199,-1524,1396,70,23,-20
14:49:11:608097,-11934,5754,3353,-9037,-199,-1524,1396,70,23,-20
14:49:11:615616,-11934,5754,3353,-9037,-199,-1524,1396,70,23,-20
14:49:11:623803,-11942,5746,3344,-9035,-200,-1512,1385,71,20,-31
14:49:11:624611,-11942,5746,3344,-9035,-200,-1512,1385,71,20,-31
14:49:11:638123,-11942,5746,3344,-9035,-200,-1512,1385,71,20,-31
14:49:11:646363,-11947,5738,3339,-9036,-188,-1498,1385,51,-5,-14
14:49:11:647113,-11947,5738,3339,-9036,-188,-1498,1385,51,-5,-14
14:49:11:653076,-11947,5738,3339,-9036,-188,-1498,1385,51,-5,-14
14:49:11:660599,-11948,5735,3339,-9036,-183,-1539,1390,24,-11,-7
14:49:11:668134,-11948,5735,3339,-9036,-183,-1539,1390,24,-11,-7
14:49:11:675617,-11948,5735,3339,-9036,-183,-1539,1390,24,-11,-7
14:49:11:683822,-11953,5725,3333,-9037,-172,-1548,1416,67,4,-4
14:49:11:684551,-11953,5725,3333,-9037,-172,-1548,1416,67,4,-4
14:49:11:698058,-11953,5725,3333,-9037,-172,-1548,1416,67,4,-4
14:49:11:706256,-11959,5715,3323,-9040,-183,-1507,1413,77,11,-2
14:49:11:707076,-11959,5715,3323,-9040,-183,-1507,1413,77,11,-2
14:49:11:713120,-11959,5715,3323,-9040,-183,-1507,1413,77,11,-2
14:49:11:720619,-11961,5710,3319,-9042,-176,-1494,1411,26,3,8
14:49:11:728068,-11961,5710,3319,-9042,-176,-1494,1411,26,3,8
14:49:11:735613,-11961,5710,3319,-9042,-176,-1494,1411,26,3,8
14:49:11:743834,-11957,5713,3322,-9044,-170,-1532,1388,-19,-4,24
14:49:11:744592,-11957,5713,3322,-9044,-170,-1532,1388,-19,-4,24
14:49:11:758105,-11957,5713,3322,-9044,-170,-1532,1388,-19,-4,24
14:49:11:766294,-11956,5710,3320,-9049,-172,-1544,1415,23,-9,32
14:49:11:767067,-11956,5710,3320,-9049,-172,-1544,1415,23,-9,32
14:49:11:781235,-11956,5710,3320,-9049,-172,-1544,1415,23,-9,32
14:49:11:782049,-11956,5702,3313,-9056,-180,-1513,1406,59,-6,30
14:49:11:788087,-11956,5702,3313,-9056,-180,-1513,1406,59,-6,30
14:49:11:795593,-11956,5702,3313,-9056,-180,-1513,1406,59,-6,30
14:49:11:803119,-11956,5695,3307,-9062,-185,-1481,1411,36,-9,27
14:49:11:810532,-11956,5695,3307,-9062,-185,-1481,1411,36,-9,27
14:49:11:818045,-11956,5695,3307,-9062,-185,-1481,1411,36,-9,27
14:49:11:826258,-11953,5695,3306,-9067,-187,-1488,1431,-20,-11,28
14:49:11:827120,-11953,5695,3306,-9067,-187,-1488,1431,-20,-11,28
14:49:11:841313,-11953,5695,3306,-9067,-187,-1488,1431,-20,-11,28
14:49:11:842103,-11948,5699,3308,-9071,-190,-1517,1410,-28,-11,34
14:49:11:848062,-11948,5699,3308,-9071,-190,-1517,1410,-28,-11,34
14:49:11:855545,-11948,5699,3308,-9071,-190,-1517,1410,-28,-11,34
14:49:11:863177,-11944,5702,3309,-9074,-195,-1529,1397,-15,-7,24
14:49:11:870577,-11944,5702,3309,-9074,-195,-1529,1397,-15,-7,24
14:49:11:878043,-11944,5702,3309,-9074,-195,-1529,1397,-15,-7,24
14:49:11:886335,-11943,5699,3304,-9078,-195,-1502,1410,21,-1,24
14:49:11:887126,-11943,5699,3304,-9078,-195,-1502,1410,21,-1,24
14:49:11:901315,-11943,5699,3304,-9078,-195,-1502,1410,21,-1,24
14:49:11:902123,-11941,5698,3301,-9083,-198,-1486,1422,0,-3,23
14:49:11:908080,-11941,5698,3301,-9083,-198,-1486,1422,0,-3,23
14:49:11:915609,-11941,5698,3301,-9083,-198,-1486,1422,0,-3,23
14:49:11:923182,-11937,5705,3302,-9084,-212,-1532,1409,-37,-1,17
14:49:11:930546,-11937,5705,3302,-9084,-212,-1532,1409,-37,-1,17
14:49:11:938139,-11937,5705,3302,-9084,-212,-1532,1409,-37,-1,17
14:49:11:946330,-11933,5710,3305,-9084,-204,-1538,1398,-29,-3,10
14:49:11:947136,-11933,5710,3305,-9084,-204,-1538,1398,-29,-3,10
14:49:11:961288,-11933,5710,3305,-9084,-204,-1538,1398,-29,-3,10
14:49:11:962134,-11933,5711,3305,-9084,-189,-1541,1385,0,-2,10
14:49:11:968119,-11933,5711,3305,-9084,-189,-1541,1385,0,-2,10
14:49:11:975588,-11933,5711,3305,-9084,-189,-1541,1385,0,-2,10
14:49:11:983162,-11934,5707,3302,-9086,-187,-1519,1408,30,-1,9
14:49:11:990626,-11934,5707,3302,-9086,-187,-1519,1408,30,-1,9
