Time,FT1,FT2,X,Y,Z
14:50:07:577011,0,0,-0.125,0.465,0.01
14:50:07:582125,0,0,-0.125,0.465037,0.01
14:50:07:587129,0,0,-0.125,0.465042,0.01
14:50:07:592237,0,0,-0.125,0.465047,0.01
14:50:07:597242,0,0,-0.125,0.465052,0.01
14:50:07:602362,0,0,-0.125,0.465053,0.01
14:50:07:607397,0,0,-0.125,0.465053,0.01
14:50:07:612485,0,0,-0.125007,0.465059,0.01
14:50:07:617494,0,0,-0.125007,0.465059,0.01
14:50:07:622611,0,0,-0.125007,0.465064,0.01
14:50:07:627647,0,0,-0.125007,0.465064,0.01
14:50:07:632736,0,0,-0.125007,0.465064,0.01
14:50:07:637667,0,0,-0.125007,0.465064,0.01
14:50:07:642871,0,0,-0.125007,0.465064,0.01
14:50:07:647864,0,0,-0.125007,0.465064,0.01
14:50:07:652985,0,0,-0.125007,0.465064,0.01
14:50:07:657985,0,0,-0.125007,0.465064,0.01
14:50:07:663131,0,0,-0.125007,0.465064,0.01
14:50:07:668122,0,0,-0.125007,0.465064,0.01
14:50:07:673238,0,0,-0.125007,0.46507,0.01
14:50:07:678387,0,0,-0.125007,0.46507,0.01
14:50:07:683367,0,0,-0.125007,0.46507,0.01
14:50:07:688485,0,0,-0.125007,0.46507,0.01
14:50:07:693864,0,0,-0.125007,0.46507,0.01
14:50:07:698951,0,0,-0.125007,0.46507,0.01
14:50:07:703987,0,0,-0.125007,0.465075,0.01
14:50:07:709001,0,0,-0.125007,0.465075,0.01
14:50:07:714133,0,0,-0.125007,0.465075,0.01
14:50:07:719141,0,0,-0.125007,0.465075,0.01
14:50:07:724294,0,0,-0.125007,0.465075,0.01
14:50:07:729289,0,0,-0.125007,0.465075,0.01
14:50:07:734379,0,0,-0.125007,0.465075,0.01
14:50:07:739377,0,0,-0.125007,0.465075,0.01
14:50:07:744383,0,0,-0.125007,0.465075,0.01
14:50:07:749511,0,0,-0.125007,0.465075,0.01
14:50:07:754659,0,0,-0.125007,0.465075,0.01
14:50:07:759665,0,0,-0.125007,0.465075,0.01
14:50:07:764753,0,0,-0.125007,0.465075,0.01
14:50:07:769771,0,0,-0.125007,0.465075,0.01
14:50:07:774884,0,0,-0.125007,0.465075,0.01
14:50:07:779883,0,0,-0.125007,0.465075,0.01
14:50:07:784795,0,0,-0.125007,0.465071,0.01
14:50:07:790005,0,0,-0.125007,0.465071,0.01
14:50:07:794987,0,0,-0.125007,0.465071,0.01
14:50:07:800120,0,0,-0.125007,0.465071,0.01
14:50:07:805131,0,0,-0.125007,0.465071,0.01
14:50:07:810246,0,0,-0.125007,0.465071,0.01
14:50:07:815259,0,0,-0.125007,0.465071,0.01
14:50:07:820370,0.006,-0.006,-0.125007,0.465071,0.01
14:50:07:825416,0.004,-0.005,-0.125007,0.465071,0.01
14:50:07:830529,-0.012,-0.006,-0.125007,0.465071,0.01
14:50:07:835420,-0.036,0.005,-0.125007,0.465071,0.01
14:50:07:840626,-0.037,0.017,-0.125007,0.465071,0.01
14:50:07:845613,-0.016,0.017,-0.125007,0.465071,0.01
14:50:07:850758,0.032,-0.003,-0.125007,0.465071,0.01
14:50:07:855668,0.078,-0.01,-0.125007,0.465071,0.01
14:50:07:860885,0.146,0.011,-0.125007,0.465071,0.01
14:50:07:865874,0.171,0.042,-0.125007,0.465071,0.01
14:50:07:871007,0.176,0.089,-0.125007,0.465071,0.01
14:50:07:876040,0.168,0.101,-0.125007,0.465071,0.01
14:50:07:881135,0.146,0.074,-0.125007,0.465071,0.01
14:50:07:886162,0.124,0.037,-0.125007,0.465071,0.01
14:50:07:891249,0.097,0,-0.125007,0.465071,0.01
14:50:07:896236,0.097,0.004,-0.125007,0.465071,0.01
14:50:07:901414,0.112,0.032,-0.125007,0.465071,0.01
14:50:07:906413,0.109,0.04,-0.125007,0.465071,0.01
14:50:07:911494,0.073,0.03,-0.125007,0.465071,0.01
14:50:07:916508,0.05,0.026,-0.125007,0.465071,0.01
14:50:07:921638,0.059,0.038,-0.125007,0.465075,0.01
14:50:07:926637,0.083,0.046,-0.125007,0.465075,0.01
14:50:07:931737,0.092,0.034,-0.125007,0.465075,0.01
14:50:07:936776,0.053,0.003,-0.125007,0.465075,0.01
