Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
14:51:40:728928,4,-1,-3,0,0,3,3,13
14:51:40:729751,4,-1,-3,0,0,3,3,13
14:51:40:735238,4,-3,-1,-1,-12,-2,-1,-6
14:51:40:759161,-2,1,-5,3,1,-5,-1,0
14:51:40:759971,-2,1,-5,3,1,-5,-1,0
14:51:40:760773,6,0,-1,-1,9,17,-4,-10
14:51:40:765191,11,-1,1,-2,-9,-5,4,8
14:51:40:773499,11,-1,1,-2,-9,-5,4,8
14:51:40:774292,5,-2,3,-1,2,-1,-9,-14
14:51:40:788443,-10,-1,2,1,3,0,1,-4
14:51:40:789219,-10,-1,2,1,3,0,1,-4
14:51:40:795214,-4,-1,-11,0,3,-2,0,1
14:51:40:802717,-5,3,7,-4,-9,-6,-3,-7
14:51:40:810306,-5,3,7,-4,-9,-6,-3,-7
14:51:40:817717,-1,2,1,-2,-6,-2,-4,-7
14:51:40:825286,-1,-4,-6,-1,10,11,2,-2
14:51:40:833432,-1,-4,-6,-1,10,11,2,-2
14:51:40:834180,-8,-1,1,1,-5,-3,2,-2
14:51:40:848558,-1,1,-6,-2,-14,-4,-4,-11
14:51:40:849322,-1,1,-6,-2,-14,-4,-4,-11
14:51:40:855231,-6,-1,0,-1,-9,0,7,2
14:51:40:862702,-7,-4,-4,-2,3,-5,-2,1
14:51:40:870254,-7,-4,-4,-2,3,-5,-2,1
14:51:40:877761,-7,1,4,0,4,-2,1,-9
14:51:40:885236,3,-2,-3,0,-1,1,1,3
14:51:40:893431,3,-2,-3,0,-1,1,1,3
14:51:40:894231,3,-1,-1,-3,-2,-4,-2,-1
14:51:40:908441,-8,-6,-4,-1,4,0,-4,-5
14:51:40:909237,-8,-6,-4,-1,4,0,-4,-5
14:51:40:915231,0,0,8,-1,13,2,2,3
14:51:40:922736,-13,-1,-2,-2,0,-3,-7,-2
14:51:40:930285,-13,-1,-2,-2,0,-3,-7,-2
14:51:40:937746,-3,-4,-10,-2,3,-4,1,21
14:51:40:945184,5,-3,0,-1,-5,1,2,-5
14:51:40:953448,5,-3,0,-1,-5,1,2,-5
14:51:40:954267,9,2,1,-1,-4,-16,4,-6
14:51:40:968377,0,0,-1,0,5,6,2,0
14:51:40:969251,0,0,-1,0,5,6,2,0
14:51:40:975184,2,-4,-8,-2,-11,-6,-5,-6
14:51:40:982696,0,-7,-6,-3,5,6,0,-7
14:51:41:6703,0,-7,-6,-3,5,6,0,-7
14:51:41:7418,0,1,-1,-2,-5,-5,5,2
14:51:41:8223,2,1,-4,-3,-8,-9,-3,7
14:51:41:13400,2,1,-4,-3,-8,-9,-3,7
14:51:41:14221,-3,0,2,1,7,4,-3,2
14:51:41:36566,-16,0,5,-1,0,-6,-1,0
14:51:41:37391,-16,0,5,-1,0,-6,-1,0
14:51:41:38204,-6,-2,0,-2,12,13,-3,8
14:51:41:42661,7,2,3,3,7,2,0,9
14:51:41:50294,7,2,3,3,7,2,0,9
14:51:41:65861,1,3,2,0,6,-11,-5,-13
14:51:41:66649,10,1,1,0,-8,-5,0,2
14:51:41:73519,10,1,1,0,-8,-5,0,2
14:51:41:74249,5,3,-2,0,6,5,1,-5
14:51:41:88412,-4,-2,-17,-5,-15,-7,-5,-7
14:51:41:89212,-4,-2,-17,-5,-15,-7,-5,-7
14:51:41:95200,5,3,3,-1,-5,-2,-1,-4
14:51:41:102682,4,0,5,3,18,6,7,-6
14:51:41:110226,4,0,5,3,18,6,7,-6
14:51:41:117697,-13,-1,-8,-5,-28,-1,-7,-6
14:51:41:125230,2,0,-6,-1,-14,-14,-3,3
14:51:41:133440,2,0,-6,-1,-14,-14,-3,3
14:51:41:134202,-1,-5,-3,0,6,3,0,-7
14:51:41:148491,1,0,1,-3,-1,-3,-2,-11
14:51:41:149213,1,0,1,-3,-1,-3,-2,-11
14:51:41:155251,1,-3,4,-5,-15,-3,-1,0
14:51:41:162728,-9,-2,0,1,4,0,4,4
14:51:41:170340,-9,-2,0,1,4,0,4,4
14:51:41:177726,7,-2,-1,4,17,9,-3,0
14:51:41:185243,-7,1,1,1,-5,2,-3,-4
14:51:41:193389,-7,1,1,1,-5,2,-3,-4
14:51:41:194183,0,-2,-3,1,-5,0,2,4
14:51:41:208447,-6,-2,0,1,-3,4,2,-2
14:51:41:209318,-6,-2,0,1,-3,4,2,-2
14:51:41:215176,1,0,-2,-3,-2,-1,-2,-1
14:51:41:230990,-5,-1,5,-2,-4,1,-1,-11
14:51:41:231744,-5,-1,5,-2,-4,1,-1,-11
