Time,FT1,FT2,X,Y,Z
15:28:43:372673,0,0,-0.125,0.465,0.01
15:28:43:377654,0,0,-0.125,0.465037,0.01
15:28:43:382784,0,0,-0.125,0.465042,0.01
15:28:43:387844,0,0,-0.125,0.465048,0.01
15:28:43:392939,0,0,-0.125,0.465053,0.01
15:28:43:398053,0,0,-0.125,0.465058,0.01
15:28:43:403083,0,0,-0.125,0.465058,0.01
15:28:43:408185,0,0,-0.125,0.465063,0.01
15:28:43:413195,0,0,-0.125,0.465063,0.01
15:28:43:418285,0,0,-0.125,0.465063,0.01
15:28:43:423312,0,0,-0.125,0.465068,0.01
15:28:43:428432,0,0,-0.125,0.465068,0.01
15:28:43:433431,0,0,-0.125,0.465068,0.01
15:28:43:438567,0,0,-0.125,0.465068,0.01
15:28:43:443548,0,0,-0.125,0.465068,0.01
15:28:43:448685,0,0,-0.125,0.465074,0.01
15:28:43:453690,0,0,-0.125007,0.465074,0.01
15:28:43:458684,0,0,-0.125007,0.465074,0.01
15:28:43:463803,0,0,-0.125007,0.465074,0.01
15:28:43:468934,0,0,-0.125007,0.465074,0.01
15:28:43:474095,0,0,-0.125007,0.465074,0.01
15:28:43:479052,0,0,-0.125007,0.465074,0.01
15:28:43:484037,0,0,-0.125007,0.465079,0.01
15:28:43:489169,0,0,-0.125007,0.465079,0.01
15:28:43:494152,0,0,-0.125007,0.465079,0.01
15:28:43:499296,0,0,-0.125007,0.465079,0.01
15:28:43:504299,0,0,-0.125007,0.465079,0.01
15:28:43:509408,0,0,-0.125007,0.465079,0.01
15:28:43:514424,0,0,-0.125007,0.46508,0.01
15:28:43:519547,0,0,-0.125007,0.46508,0.01
15:28:43:524424,0,0,-0.125007,0.46508,0.01
15:28:43:529682,0,0,-0.125007,0.46508,0.01
15:28:43:534677,0,0,-0.125007,0.46508,0.01
15:28:43:539817,0,0,-0.125007,0.46508,0.01
15:28:43:544795,0,0,-0.125007,0.46508,0.01
15:28:43:549909,0,0,-0.125007,0.46508,0.01
15:28:43:554941,0,0,-0.125007,0.46508,0.01
15:28:43:560089,0,0,-0.125007,0.46508,0.01
15:28:43:565036,0,0,-0.125007,0.46508,0.01
15:28:43:570207,0,0,-0.125007,0.46508,0.01
15:28:43:575183,0,0,-0.125007,0.46508,0.01
15:28:43:580337,0,0,-0.125007,0.46508,0.01
15:28:43:585297,0,0,-0.125007,0.46508,0.01
15:28:43:590425,0,0,-0.125007,0.46508,0.01
15:28:43:595421,0,0,-0.125007,0.46508,0.01
15:28:43:600560,0,0,-0.125007,0.46508,0.01
