Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
15:28:43:372874,11591,-8694,-6280,4365,557,-1964,253,-61,-61,80
15:28:43:380425,11591,-8694,-6280,4365,557,-1964,253,-61,-61,80
15:28:43:388610,11572,-8707,-6293,4370,586,-1935,241,-93,-81,72
15:28:43:389398,11572,-8707,-6293,4370,586,-1935,241,-93,-81,72
15:28:43:402905,11572,-8707,-6293,4370,586,-1935,241,-93,-81,72
15:28:43:419242,11553,-8724,-6308,4366,580,-1918,240,-143,-54,34
15:28:43:420060,11553,-8724,-6308,4366,580,-1918,240,-143,-54,34
15:28:43:420834,11553,-8724,-6308,4366,580,-1918,240,-143,-54,34
15:28:43:425450,11536,-8743,-6315,4364,522,-1931,308,-157,-38,37
15:28:43:441033,11536,-8743,-6315,4364,522,-1931,308,-157,-38,37
15:28:43:441840,11536,-8743,-6315,4364,522,-1931,308,-157,-38,37
15:28:43:448612,11524,-8752,-6320,4369,560,-1957,411,-144,-62,59
15:28:43:449411,11524,-8752,-6320,4369,560,-1957,411,-144,-62,59
15:28:43:463424,11524,-8752,-6320,4369,560,-1957,411,-144,-62,59
15:28:43:471035,11510,-8762,-6323,4383,498,-2061,399,-116,-90,61
15:28:43:471839,11510,-8762,-6323,4383,498,-2061,399,-116,-90,61
15:28:43:477890,11510,-8762,-6323,4383,498,-2061,399,-116,-90,61
15:28:43:485400,11509,-8753,-6319,4408,439,-1998,321,66,-90,43
15:28:43:492912,11509,-8753,-6319,4408,439,-1998,321,66,-90,43
15:28:43:500418,11509,-8753,-6319,4408,439,-1998,321,66,-90,43
15:28:43:508564,11508,-8744,-6320,4429,446,-2024,266,82,-85,14
15:28:43:509347,11508,-8744,-6320,4429,446,-2024,266,82,-85,14
15:28:43:522895,11508,-8744,-6320,4429,446,-2024,266,82,-85,14
15:28:43:531167,11512,-8734,-6316,4443,438,-1961,274,87,-37,-3
15:28:43:531912,11512,-8734,-6316,4443,438,-1961,274,87,-37,-3
15:28:43:537848,11512,-8734,-6316,4443,438,-1961,274,87,-37,-3
15:28:43:545463,11521,-8720,-6309,4456,485,-1846,341,81,-26,31
15:28:43:552905,11521,-8720,-6309,4456,485,-1846,341,81,-26,31
15:28:43:560429,11521,-8720,-6309,4456,485,-1846,341,81,-26,31
15:28:43:568656,11516,-8722,-6299,4480,447,-2034,376,1,-60,90
15:28:43:569416,11516,-8722,-6299,4480,447,-2034,376,1,-60,90
15:28:43:582855,11516,-8722,-6299,4480,447,-2034,376,1,-60,90
15:28:43:591118,11516,-8715,-6286,4510,436,-2155,331,101,-57,79
15:28:43:591858,11516,-8715,-6286,4510,436,-2155,331,101,-57,79
15:28:43:597911,11516,-8715,-6286,4510,436,-2155,331,101,-57,79
15:28:43:605409,11521,-8700,-6273,4545,456,-2047,303,171,-75,100
15:28:43:612907,11521,-8700,-6273,4545,456,-2047,303,171,-75,100
15:28:43:620435,11521,-8700,-6273,4545,456,-2047,303,171,-75,100
15:28:43:628611,11521,-8692,-6260,4577,430,-1963,250,145,-54,118
15:28:43:629413,11521,-8692,-6260,4577,430,-1963,250,145,-54,118
15:28:43:642912,11521,-8692,-6260,4577,430,-1963,250,145,-54,118
15:28:43:651086,11514,-8695,-6247,4607,432,-2081,308,56,-53,127
15:28:43:651865,11514,-8695,-6247,4607,432,-2081,308,56,-53,127
15:28:43:657838,11514,-8695,-6247,4607,432,-2081,308,56,-53,127
15:28:43:665479,11526,-8682,-6224,4632,512,-2080,413,129,7,122
15:28:43:672909,11526,-8682,-6224,4632,512,-2080,413,129,7,122
15:28:43:680474,11526,-8682,-6224,4632,512,-2080,413,129,7,122
15:28:43:688565,11533,-8672,-6199,4667,386,-2110,410,136,-28,114
15:28:43:689360,11533,-8672,-6199,4667,386,-2110,410,136,-28,114
