Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
15:30:03:661536,-5,-3,0,4,-33,-4,-2,-7
15:30:03:662261,6,-3,3,-11,7,0,1,11
15:30:03:668286,-1,0,-2,-2,19,7,-6,-16
15:30:03:684023,-1,0,-2,-2,19,7,-6,-16
15:30:03:684799,7,2,7,10,19,-4,18,38
15:30:03:690743,2,2,3,-5,-36,-1,21,13
15:30:03:698349,2,2,3,-5,-36,-1,21,13
15:30:03:705745,-2,-1,-5,3,-13,0,-4,-6
15:30:03:713302,-5,-6,-12,-28,3,-3,-15,-7
15:30:03:721499,-5,-6,-12,-28,3,-3,-15,-7
15:30:03:722312,-6,-3,0,2,3,-4,-28,-5
15:30:03:728274,4,-3,-7,-2,-7,-5,0,38
15:30:03:744455,4,-3,-7,-2,-7,-5,0,38
15:30:03:751452,-1,3,-9,0,67,12,2,-6
15:30:03:752239,1,-2,2,3,-11,3,-9,-20
15:30:03:759013,1,-2,2,3,-11,3,-9,-20
15:30:03:759804,-2,0,3,11,-24,-1,4,-7
15:30:03:773436,-2,-3,-13,-19,-11,-6,-1,-4
15:30:03:781584,-2,-3,-13,-19,-11,-6,-1,-4
15:30:03:782327,-4,-3,1,0,-43,-8,-12,-25
15:30:03:788261,3,1,9,3,3,1,4,25
15:30:03:804008,3,1,9,3,3,1,4,25
15:30:03:804853,-3,-6,1,-2,12,-4,-4,6
15:30:03:810769,2,2,3,13,12,-2,-2,-6
15:30:03:818981,2,2,3,13,12,-2,-2,-6
15:30:03:819821,0,2,-3,-1,10,1,1,4
15:30:03:833340,-5,-1,12,2,2,6,-6,-18
15:30:03:841476,-5,-1,12,2,2,6,-6,-18
15:30:03:842260,0,-2,-5,-14,-13,5,3,-4
15:30:03:855761,-7,0,21,0,5,-4,-6,-32
15:30:03:864049,-7,0,21,0,5,-4,-6,-32
15:30:03:864791,1,-2,1,2,-20,-5,2,9
15:30:03:870752,-1,-5,-8,1,-42,-7,1,7
15:30:03:878993,-1,-5,-8,1,-42,-7,1,7
15:30:03:879787,-1,-1,-2,-9,-9,4,-19,-12
15:30:03:893306,-1,-2,-11,-17,33,11,3,5
15:30:03:901473,-1,-2,-11,-17,33,11,3,5
15:30:03:902277,-2,-1,-8,16,43,1,0,-3
15:30:03:908254,1,1,-3,4,4,4,0,21
15:30:03:924028,1,1,-3,4,4,4,0,21
15:30:03:924757,-2,-2,2,4,1,-3,-7,-14
15:30:03:930755,-5,0,-8,4,17,7,-12,3
15:30:03:939032,-5,0,-8,4,17,7,-12,3
15:30:03:939831,7,1,0,-9,-55,-12,3,72
15:30:03:953308,-6,-7,-8,2,5,-19,-25,-25
15:30:03:961530,-6,-7,-8,2,5,-19,-25,-25
15:30:03:962283,-5,1,-1,4,25,27,25,-24
15:30:03:968255,4,4,-3,-4,30,13,10,19
15:30:03:984026,4,4,-3,-4,30,13,10,19
15:30:03:984757,-8,-4,0,2,-35,-23,-20,-31
15:30:03:990759,-2,-2,2,11,25,2,-24,-14
15:30:03:999088,-2,-2,2,11,25,2,-24,-14
15:30:03:999835,-7,0,-5,-33,-65,-19,-29,-74
15:30:04:13345,3,-1,2,-4,2,0,33,15
15:30:04:21457,3,-1,2,-4,2,0,33,15
15:30:04:22263,6,1,7,44,25,7,27,29
15:30:04:35823,-3,1,-1,-15,-12,-13,2,9
15:30:04:44027,-3,1,-1,-15,-12,-13,2,9
15:30:04:44755,-8,-2,-4,7,10,1,11,-14
15:30:04:50767,1,1,1,6,3,4,-7,8
15:30:04:58314,1,1,1,6,3,4,-7,8
15:30:04:65800,-4,-4,-2,-6,-10,-35,-2,-1
15:30:04:73295,-10,-5,-1,2,-1,1,-59,-68
15:30:04:81529,-10,-5,-1,2,-1,1,-59,-68
15:30:04:82321,17,4,5,9,31,14,37,83
15:30:04:95854,-3,-2,-3,-3,-52,-22,-51,-21
15:30:04:104025,-3,-2,-3,-3,-52,-22,-51,-21
15:30:04:104786,0,0,-3,-16,-65,18,-10,14
15:30:04:110757,-3,-4,-6,-14,31,7,-1,-23
15:30:04:118354,-3,-4,-6,-14,31,7,-1,-23
15:30:04:134012,-2,6,-1,-10,0,31,2,-14
15:30:04:134760,4,-2,0,-14,15,17,67,40
15:30:04:141474,4,-2,0,-14,15,17,67,40
15:30:04:142242,-7,-6,11,-1,14,0,48,-52
15:30:04:155792,17,7,-10,23,15,-5,114,55
15:30:04:164036,17,7,-10,23,15,-5,114,55
15:30:04:164767,6,-4,2,11,42,-9,-6,43
15:30:04:170835,0,3,3,8,-71,-1,43,-7
15:30:04:178346,0,3,3,8,-71,-1,43,-7
15:30:04:185780,-2,0,2,6,90,37,0,-3
15:30:04:193242,-6,-4,-8,-4,-83,-11,-34,-7
15:30:04:201477,-6,-4,-8,-4,-83,-11,-34,-7
15:30:04:202287,-5,-2,-13,9,2,-44,-65,-22
15:30:04:215814,-5,-4,0,-6,32,23,-5,2
15:30:04:223996,-5,-4,0,-6,32,23,-5,2
15:30:04:224744,-5,-1,-16,-12,-4,-5,-9,-41
15:30:04:239006,8,3,8,41,-51,-8,-10,26
15:30:04:239780,8,3,8,41,-51,-8,-10,26
15:30:04:245833,-7,0,2,-13,-12,-17,-23,-13
15:30:04:253305,-2,-12,8,0,65,9,-26,-10
15:30:04:261505,-2,-12,8,0,65,9,-26,-10
15:30:04:262285,-3,-2,5,-13,-9,-2,-16,-10
15:30:04:275773,-6,-1,-15,-13,-11,-17,-54,-6
15:30:04:284031,-6,-1,-15,-13,-11,-17,-54,-6
15:30:04:284816,-1,0,4,23,-15,7,23,8
15:30:04:290805,-2,-1,-2,-7,21,-36,-36,1
15:30:04:298382,-2,-1,-2,-7,21,-36,-36,1
15:30:04:305759,24,3,0,-8,-39,5,-7,91
15:30:04:313286,-3,1,3,0,-1,1,0,-31
15:30:04:321542,-3,1,3,0,-1,1,0,-31
15:30:04:322294,-8,0,-2,-15,26,-2,1,-28
15:30:04:335751,-1,-8,0,24,64,-1,10,14
15:30:04:344036,-1,-8,0,24,64,-1,10,14
15:30:04:344870,-2,-3,-4,-5,-15,-8,-1,-1
15:30:04:350755,-4,2,16,9,-57,1,-25,6
15:30:04:358348,-4,2,16,9,-57,1,-25,6
15:30:04:365828,-2,-6,-6,-12,-20,-1,-3,-8
15:30:04:373283,-11,-3,-21,-26,-3,-8,-44,-12
15:30:04:381558,-11,-3,-21,-26,-3,-8,-44,-12
15:30:04:382318,7,-2,-5,-44,-72,23,-73,32
15:30:04:395737,-2,6,11,5,14,28,15,-19
15:30:04:404017,-2,6,11,5,14,28,15,-19
15:30:04:404791,-2,7,3,-15,7,-17,20,-19
15:30:04:410768,-4,2,-2,-12,-15,-22,4,-36
15:30:04:418383,-4,2,-2,-12,-15,-22,4,-36
15:30:04:425775,-5,-2,-1,15,31,-5,20,-13
15:30:04:433311,-1,1,8,5,14,22,4,3
15:30:04:449119,-1,1,8,5,14,22,4,3
15:30:04:449830,1,-4,-2,-7,-7,3,32,38
15:30:04:455774,0,-1,-1,-2,7,1,23,11
15:30:04:464056,0,-1,-1,-2,7,1,23,11
15:30:04:464831,-4,0,-9,9,-25,4,-14,-30
15:30:04:470777,2,-3,8,-4,42,15,39,4
15:30:04:478350,2,-3,8,-4,42,15,39,4
15:30:04:485798,-23,-9,-16,-29,-13,-54,-22,-65
15:30:04:493300,28,4,-1,1,-52,14,54,111
15:30:04:501506,28,4,-1,1,-52,14,54,111
15:30:04:502285,3,-1,7,28,8,4,27,-12
15:30:04:515876,-23,0,-9,-48,-18,-26,-19,-88
15:30:04:523982,-23,0,-9,-48,-18,-26,-19,-88
15:30:04:524749,-1,-1,-4,11,25,28,-17,5
15:30:04:530821,-1,1,-5,-23,52,7,27,-6
15:30:04:538324,-1,1,-5,-23,52,7,27,-6
15:30:04:554083,-3,-1,-1,-20,-22,-26,-20,-11
15:30:04:554829,10,-10,-1,-32,-35,-19,81,101
15:30:04:561515,10,-10,-1,-32,-35,-19,81,101
15:30:04:562296,13,0,2,26,-14,15,38,55
15:30:04:575779,-6,1,-5,25,15,30,-44,-48
15:30:04:584067,-6,1,-5,25,15,30,-44,-48
15:30:04:584846,-1,-3,4,-1,-10,-11,22,29
15:30:04:590778,0,0,20,-22,-72,-50,-44,-5
15:30:04:598404,0,0,20,-22,-72,-50,-44,-5
15:30:04:605802,-2,0,-2,22,37,6,-25,-26
15:30:04:613354,-6,-1,-2,59,-17,19,23,-53
15:30:04:621509,-6,-1,-2,59,-17,19,23,-53
15:30:04:622277,4,-1,5,-4,-57,-25,-6,37
15:30:04:635874,-8,-9,-8,-4,85,-1,-31,-44
15:30:04:644045,-8,-9,-8,-4,85,-1,-31,-44
15:30:04:644823,-12,2,1,30,-17,-12,10,-82
15:30:04:667164,3,4,1,8,-19,31,-32,10
15:30:04:668063,3,4,1,8,-19,31,-32,10
15:30:04:668800,0,-1,2,18,45,21,11,2
15:30:04:673258,2,-2,-3,16,-49,-18,-11,-1
15:30:04:681544,2,-2,-3,16,-49,-18,-11,-1
15:30:04:682334,2,5,9,15,-12,1,-20,16
15:30:04:695823,-16,-11,-28,-38,-14,-61,-98,-28
