Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
15:14:37:105688,-1,-4,-5,-63,-23,-7,-2,3
15:14:37:113120,-4,-11,-6,-21,-9,-10,-21,-8
15:14:37:120634,2,4,5,9,14,-3,-6,5
15:14:37:128851,2,4,5,9,14,-3,-6,5
15:14:37:129682,2,0,0,4,-2,6,-12,4
15:14:37:143867,-2,-6,-8,-30,8,0,-5,6
15:14:37:144664,-2,-6,-8,-30,8,0,-5,6
15:14:37:150634,-1,4,10,22,14,4,9,-9
15:14:37:158174,0,5,4,8,16,20,22,-3
15:14:37:165739,0,5,4,8,16,20,22,-3
15:14:37:173182,-5,-13,20,-26,-2,-7,-11,-8
15:14:37:180608,-3,-4,-8,7,-15,-19,-17,-2
15:14:37:188884,-3,-4,-8,7,-15,-19,-17,-2
15:14:37:189688,-4,3,-10,18,1,-4,-61,-11
15:14:37:203900,2,-2,-7,-11,-5,13,39,8
15:14:37:204682,2,-2,-7,-11,-5,13,39,8
15:14:37:210602,0,1,-5,-2,-4,-10,31,-7
15:14:37:218161,-4,-1,1,-18,8,-4,-27,-7
15:14:37:225763,-4,-1,1,-18,8,-4,-27,-7
15:14:37:233176,3,0,-7,-10,10,10,31,12
15:14:37:240683,-1,-4,-9,-14,-34,-17,17,4
15:14:37:248910,-1,-4,-9,-14,-34,-17,17,4
15:14:37:249742,-7,-14,-23,9,-22,-35,-44,1
15:14:37:263854,-2,4,4,-24,-2,16,-20,-6
15:14:37:264672,-2,4,4,-24,-2,16,-20,-6
15:14:37:270689,-1,-6,-6,24,-3,1,40,13
15:14:37:278157,-1,5,11,26,19,1,-13,1
15:14:37:285639,-1,5,11,26,19,1,-13,1
15:14:37:293153,1,3,10,68,42,21,6,-13
15:14:37:300632,-3,-10,-4,-20,-5,-14,-19,-7
15:14:37:308848,-3,-10,-4,-20,-5,-14,-19,-7
15:14:37:309632,-2,-6,-11,-20,5,-10,-44,0
15:14:37:323926,7,16,13,26,22,36,7,2
15:14:37:324670,7,16,13,26,22,36,7,2
15:14:37:330670,-5,-7,-4,-49,-22,-20,-15,-4
15:14:37:338172,3,-6,-3,-24,0,3,4,18
15:14:37:345716,3,-6,-3,-24,0,3,4,18
15:14:37:353123,2,6,8,15,23,25,39,-2
15:14:37:360725,-5,-6,-2,-3,-33,-18,5,-11
15:14:37:368856,-5,-6,-2,-3,-33,-18,5,-11
15:14:37:369670,-1,6,7,8,-30,-24,-32,-5
15:14:37:383836,-5,-11,-12,41,13,1,8,-7
15:14:37:384641,-5,-11,-12,41,13,1,8,-7
15:14:37:390608,1,0,6,-33,-9,-24,-48,-5
15:14:37:398087,1,-5,5,9,3,22,8,14
15:14:37:405672,1,-5,5,9,3,22,8,14
15:14:37:413113,-6,-2,6,-30,-30,2,25,8
15:14:37:420645,-1,-8,5,24,76,29,-5,-6
15:14:37:428849,-1,-8,5,24,76,29,-5,-6
15:14:37:429649,0,-4,1,-15,15,15,-27,-5
15:14:37:443832,-1,-4,-22,-29,-25,-23,-12,-9
15:14:37:444652,-1,-4,-22,-29,-25,-23,-12,-9
15:14:37:450613,0,8,3,9,-16,-15,16,-3
15:14:37:458200,-4,-8,-7,3,-24,-14,7,7
15:14:37:465727,-4,-8,-7,3,-24,-14,7,7
15:14:37:473176,2,-2,-4,-42,-21,-3,-31,-11
15:14:37:480618,-1,3,4,-53,-32,-39,-21,-18
15:14:37:488907,-1,3,4,-53,-32,-39,-21,-18
15:14:37:489705,2,10,-3,-27,-16,13,77,8
15:14:37:503933,0,45,0,-17,-16,-2,9,-1
15:14:37:504707,0,45,0,-17,-16,-2,9,-1
15:14:37:510680,-1,10,-13,-13,-11,34,-14,0
15:14:37:518115,1,8,8,28,16,19,54,6
15:14:37:525798,1,8,8,28,16,19,54,6
15:14:37:533181,-1,10,0,11,6,-27,-5,-1
15:14:37:540652,-3,-12,-2,1,19,25,-6,0
15:14:37:548826,-3,-12,-2,1,19,25,-6,0
15:14:37:549648,-3,-12,-7,25,18,7,16,3
15:14:37:564302,-1,-9,3,109,82,34,-3,0
15:14:37:565109,-1,-9,3,109,82,34,-3,0
15:14:37:570670,-7,-15,-4,24,53,-28,18,-4
15:14:37:578160,8,3,-1,-19,-5,-5,56,28
15:14:37:585681,8,3,-1,-19,-5,-5,56,28
15:14:37:593163,2,-4,1,20,-5,3,-7,7
15:14:37:600629,-1,4,11,-28,-41,-28,-65,-19
15:14:37:608865,-1,4,11,-28,-41,-28,-65,-19
