Time,FT1,FT2,X,Y,Z
15:15:21:52616,0,0,-0.125,0.465,0.01
15:15:21:57639,0,0,-0.125,0.465037,0.01
15:15:21:62749,0,0,-0.125,0.465042,0.01
15:15:21:67763,0,0,-0.125,0.465047,0.01
15:15:21:72896,0,0,-0.125,0.465052,0.01
15:15:21:77994,0,0,-0.125,0.465057,0.01
15:15:21:82995,0,0,-0.125,0.465058,0.01
15:15:21:88120,0,0,-0.125,0.465058,0.01
15:15:21:93130,0,0,-0.125,0.465058,0.01
15:15:21:98245,0,0,-0.125,0.465064,0.01
15:15:21:103242,0,0,-0.125,0.465064,0.01
15:15:21:108393,0,0,-0.125,0.465064,0.01
15:15:21:113376,0,0,-0.125,0.465064,0.01
15:15:21:118495,0,0,-0.125,0.465064,0.01
15:15:21:123501,0,0,-0.125,0.46507,0.01
15:15:21:128618,0,0,-0.125,0.46507,0.01
15:15:21:133658,0,0,-0.125,0.46507,0.01
15:15:21:138745,0,0,-0.125,0.46507,0.01
15:15:21:143664,0,0,-0.125,0.46507,0.01
15:15:21:148889,0,0,-0.125,0.46507,0.01
15:15:21:153878,0,0,-0.125,0.465075,0.01
15:15:21:158996,0,0,-0.125,0.465075,0.01
15:15:21:163997,0,0,-0.125,0.465075,0.01
15:15:21:169135,0,0,-0.125,0.465075,0.01
15:15:21:174133,0,0,-0.125,0.465075,0.01
15:15:21:179246,0,0,-0.125,0.465075,0.01
15:15:21:184262,0,0,-0.125,0.465075,0.01
15:15:21:189379,0,0,-0.125,0.465075,0.01
15:15:21:194382,0,0,-0.125,0.465075,0.01
15:15:21:199536,0,0,-0.125,0.465075,0.01
15:15:21:204497,0,0,-0.125,0.465075,0.01
15:15:21:209626,0,0,-0.125,0.465075,0.01
15:15:21:214618,0,0,-0.125,0.465076,0.01
15:15:21:219757,0,0,-0.125,0.465076,0.01
15:15:21:224753,0,0,-0.125,0.465076,0.01
15:15:21:229887,0,0,-0.125,0.465076,0.01
15:15:21:234884,0,0,-0.125,0.465076,0.01
15:15:21:239801,0,0,-0.125,0.465076,0.01
15:15:21:244996,0,0,-0.125,0.465076,0.01
15:15:21:250015,0,0,-0.125,0.465076,0.01
15:15:21:255123,0,0,-0.125,0.465076,0.01
15:15:21:260240,0,0,-0.125,0.465076,0.01
15:15:21:265244,0,0,-0.125,0.465076,0.01
15:15:21:270248,0,0,-0.125,0.465076,0.01
15:15:21:275377,0,0,-0.125,0.465076,0.01
15:15:21:280400,0,0,-0.125,0.465077,0.01
15:15:21:285511,0,0,-0.125,0.465077,0.01
