Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
15:15:56:348660,-11784,4578,5245,-9006,321,-1554,1313,18,-24,-3
15:15:56:349472,-11784,4578,5245,-9006,321,-1554,1313,18,-24,-3
15:15:56:356138,-11784,4578,5245,-9006,321,-1554,1313,18,-24,-3
15:15:56:356922,-11785,4573,5246,-9007,317,-1539,1302,21,-23,-4
15:15:56:362992,-11785,4573,5246,-9007,317,-1539,1302,21,-23,-4
15:15:56:378659,-11785,4573,5246,-9007,317,-1539,1302,21,-23,-4
15:15:56:379443,-11785,4573,5247,-9007,333,-1580,1315,13,-7,0
15:15:56:385411,-11785,4573,5247,-9007,333,-1580,1315,13,-7,0
15:15:56:392932,-11785,4573,5247,-9007,333,-1580,1315,13,-7,0
15:15:56:401079,-11785,4570,5246,-9008,336,-1567,1304,29,-2,2
15:15:56:401892,-11785,4570,5246,-9008,336,-1567,1304,29,-2,2
15:15:56:416154,-11785,4570,5246,-9008,336,-1567,1304,29,-2,2
15:15:56:416966,-11785,4569,5246,-9008,325,-1536,1309,4,-8,9
15:15:56:422960,-11785,4569,5246,-9008,325,-1536,1309,4,-8,9
15:15:56:430417,-11785,4569,5246,-9008,325,-1536,1309,4,-8,9
15:15:56:437999,-11783,4572,5248,-9009,313,-1568,1325,-17,-5,10
15:15:56:445487,-11783,4572,5248,-9009,313,-1568,1325,-17,-5,10
15:15:56:452935,-11783,4572,5248,-9009,313,-1568,1325,-17,-5,10
15:15:56:461225,-11783,4572,5248,-9009,320,-1571,1313,13,-5,-4
15:15:56:461993,-11783,4572,5248,-9009,320,-1571,1313,13,-5,-4
15:15:56:476149,-11783,4572,5248,-9009,320,-1571,1313,13,-5,-4
15:15:56:476954,-11786,4569,5245,-9009,319,-1536,1314,24,8,-7
15:15:56:482883,-11786,4569,5245,-9009,319,-1536,1314,24,8,-7
15:15:56:490496,-11786,4569,5245,-9009,319,-1536,1314,24,8,-7
15:15:56:497974,-11786,4569,5245,-9009,317,-1549,1313,-2,2,-5
15:15:56:505388,-11786,4569,5245,-9009,317,-1549,1313,-2,2,-5
15:15:56:512903,-11786,4569,5245,-9009,317,-1549,1313,-2,2,-5
15:15:56:521187,-11784,4571,5249,-9008,326,-1563,1325,-28,-8,0
15:15:56:521954,-11784,4571,5249,-9008,326,-1563,1325,-28,-8,0
15:15:56:536117,-11784,4571,5249,-9008,326,-1563,1325,-28,-8,0
15:15:56:536954,-11783,4574,5250,-9007,328,-1570,1332,-22,2,6
15:15:56:542907,-11783,4574,5250,-9007,328,-1570,1332,-22,2,6
15:15:56:550393,-11783,4574,5250,-9007,328,-1570,1332,-22,2,6
15:15:56:558011,-11782,4572,5248,-9010,306,-1563,1314,22,-7,6
15:15:56:565437,-11782,4572,5248,-9010,306,-1563,1314,22,-7,6
15:15:56:572904,-11782,4572,5248,-9010,306,-1563,1314,22,-7,6
15:15:56:581128,-11782,4572,5248,-9010,321,-1558,1311,7,-12,-1
15:15:56:581951,-11782,4572,5248,-9010,321,-1558,1311,7,-12,-1
15:15:56:596637,-11782,4572,5248,-9010,321,-1558,1311,7,-12,-1
15:15:56:597408,-11781,4574,5253,-9008,329,-1557,1307,-23,-9,-3
15:15:56:602877,-11781,4574,5253,-9008,329,-1557,1307,-23,-9,-3
15:15:56:610417,-11781,4574,5253,-9008,329,-1557,1307,-23,-9,-3
15:15:56:626205,-11781,4574,5253,-9008,317,-1553,1307,-4,-9,1
15:15:56:626903,-11781,4574,5253,-9008,317,-1553,1307,-4,-9,1
15:15:56:632912,-11781,4574,5253,-9008,317,-1553,1307,-4,-9,1
15:15:56:641151,-11779,4576,5255,-9008,320,-1576,1329,-17,-5,3
15:15:56:642032,-11779,4576,5255,-9008,320,-1576,1329,-17,-5,3
15:15:56:656126,-11779,4576,5255,-9008,320,-1576,1329,-17,-5,3
15:15:56:656939,-11779,4577,5255,-9008,313,-1572,1317,14,-4,-8
15:15:56:662893,-11779,4577,5255,-9008,313,-1572,1317,14,-4,-8
15:15:56:670385,-11779,4577,5255,-9008,313,-1572,1317,14,-4,-8
15:15:56:677986,-11781,4573,5253,-9009,325,-1558,1310,29,-1,-1
15:15:56:685386,-11781,4573,5253,-9009,325,-1558,1310,29,-1,-1
15:15:56:692910,-11781,4573,5253,-9009,325,-1558,1310,29,-1,-1
15:15:56:701145,-11780,4573,5254,-9009,315,-1566,1301,-2,-7,-6
15:15:56:701911,-11780,4573,5254,-9009,315,-1566,1301,-2,-7,-6
15:15:56:716150,-11780,4573,5254,-9009,315,-1566,1301,-2,-7,-6
15:15:56:716922,-11780,4573,5257,-9007,326,-1547,1314,-19,-11,-8
15:15:56:722904,-11780,4573,5257,-9007,326,-1547,1314,-19,-11,-8
15:15:56:730386,-11780,4573,5257,-9007,326,-1547,1314,-19,-11,-8
15:15:56:738018,-11778,4577,5263,-9004,320,-1562,1312,-35,-10,-8
15:15:56:745426,-11778,4577,5263,-9004,320,-1562,1312,-35,-10,-8
15:15:56:752923,-11778,4577,5263,-9004,320,-1562,1312,-35,-10,-8
15:15:56:761111,-11778,4577,5263,-9004,332,-1578,1319,3,1,-9
15:15:56:761885,-11778,4577,5263,-9004,332,-1578,1319,3,1,-9
15:15:56:776144,-11778,4577,5263,-9004,332,-1578,1319,3,1,-9
15:15:56:776989,-11778,4577,5263,-9004,318,-1551,1311,13,6,1
15:15:56:782910,-11778,4577,5263,-9004,318,-1551,1311,13,6,1
15:15:56:790456,-11778,4577,5263,-9004,318,-1551,1311,13,6,1
15:15:56:797934,-11777,4579,5267,-9003,325,-1551,1301,-24,-7,-1
15:15:56:805455,-11777,4579,5267,-9003,325,-1551,1301,-24,-7,-1
15:15:56:812958,-11777,4579,5267,-9003,325,-1551,1301,-24,-7,-1
15:15:56:821096,-11775,4584,5272,-9000,336,-1561,1312,-44,0,2
15:15:56:821911,-11775,4584,5272,-9000,336,-1561,1312,-44,0,2
15:15:56:836070,-11775,4584,5272,-9000,336,-1561,1312,-44,0,2
15:15:56:836914,-11773,4587,5276,-8998,335,-1568,1304,-25,1,3
15:15:56:842983,-11773,4587,5276,-8998,335,-1568,1304,-25,1,3
15:15:56:850471,-11773,4587,5276,-8998,335,-1568,1304,-25,1,3
15:15:56:857983,-11773,4587,5276,-8998,321,-1556,1304,-3,3,-3
15:15:56:873678,-11773,4587,5276,-8998,321,-1556,1304,-3,3,-3
15:15:56:874386,-11773,4587,5276,-8998,321,-1556,1304,-3,3,-3
15:15:56:881100,-11771,4592,5279,-8996,323,-1567,1315,-33,2,3
15:15:56:881878,-11771,4592,5279,-8996,323,-1567,1315,-33,2,3
15:15:56:904336,-11771,4592,5279,-8996,323,-1567,1315,-33,2,3
15:15:56:905120,-11767,4602,5285,-8993,326,-1578,1301,-67,2,9
15:15:56:905916,-11767,4602,5285,-8993,326,-1578,1301,-67,2,9
15:15:56:910439,-11767,4602,5285,-8993,326,-1578,1301,-67,2,9
15:15:56:917969,-11764,4609,5291,-8989,337,-1584,1294,-47,9,0
15:15:56:925450,-11764,4609,5291,-8989,337,-1584,1294,-47,9,0
15:15:56:932933,-11764,4609,5291,-8989,337,-1584,1294,-47,9,0
15:15:56:941209,-11763,4617,5294,-8986,334,-1557,1274,-37,22,10
15:15:56:941959,-11763,4617,5294,-8986,334,-1557,1274,-37,22,10
15:15:56:956176,-11763,4617,5294,-8986,334,-1557,1274,-37,22,10
15:15:56:956966,-11760,4629,5296,-8981,317,-1578,1292,-66,31,2
15:15:56:962944,-11760,4629,5296,-8981,317,-1578,1292,-66,31,2
15:15:56:970421,-11760,4629,5296,-8981,317,-1578,1292,-66,31,2
15:15:56:977998,-11760,4638,5297,-8976,318,-1613,1314,-35,31,-7
15:15:56:985401,-11760,4638,5297,-8976,318,-1613,1314,-35,31,-7
15:15:56:992952,-11760,4638,5297,-8976,318,-1613,1314,-35,31,-7
15:15:57:1074,-11764,4639,5291,-8974,314,-1549,1317,3,36,-8
15:15:57:1849,-11764,4639,5291,-8974,314,-1549,1317,3,36,-8
15:15:57:16134,-11764,4639,5291,-8974,314,-1549,1317,3,36,-8
15:15:57:16983,-11766,4644,5287,-8971,314,-1554,1304,-18,33,-5
15:15:57:22988,-11766,4644,5287,-8971,314,-1554,1304,-18,33,-5
15:15:57:38679,-11766,4644,5287,-8971,314,-1554,1304,-18,33,-5
15:15:57:39503,-11769,4643,5299,-8962,438,-1483,1204,-33,21,-9
15:15:57:45455,-11769,4643,5299,-8962,438,-1483,1204,-33,21,-9
15:15:57:52921,-11769,4643,5299,-8962,438,-1483,1204,-33,21,-9
15:15:57:68631,-11745,4679,5374,-8929,666,-1803,1281,-398,-64,7
15:15:57:69411,-11745,4679,5374,-8929,666,-1803,1281,-398,-64,7
15:15:57:76166,-11745,4679,5374,-8929,666,-1803,1281,-398,-64,7
15:15:57:76934,-11744,4660,5357,-8950,422,-1623,1357,151,-3,119
15:15:57:82943,-11744,4660,5357,-8950,422,-1623,1357,151,-3,119
15:15:57:98638,-11744,4660,5357,-8950,422,-1623,1357,151,-3,119
15:15:57:99423,-11733,4684,5347,-8959,77,-1553,1285,-77,-4,29
15:15:57:105373,-11733,4684,5347,-8959,77,-1553,1285,-77,-4,29
15:15:57:112943,-11733,4684,5347,-8959,77,-1553,1285,-77,-4,29
15:15:57:120481,-11741,4667,5381,-8936,556,-1659,1247,-24,-55,-111
15:15:57:127912,-11741,4667,5381,-8936,556,-1659,1247,-24,-55,-111
15:15:57:136105,-11741,4667,5381,-8936,556,-1659,1247,-24,-55,-111
15:15:57:136997,-11742,4650,5385,-8942,502,-1595,1266,77,-18,49
15:15:57:150436,-11742,4650,5385,-8942,502,-1595,1266,77,-18,49
15:15:57:158654,-11742,4650,5385,-8942,502,-1595,1266,77,-18,49
15:15:57:159530,-11739,4646,5381,-8950,285,-1537,1264,36,-29,28
15:15:57:165424,-11739,4646,5381,-8950,285,-1537,1264,36,-29,28
15:15:57:181120,-11739,4646,5381,-8950,285,-1537,1264,36,-29,28
15:15:57:181950,-11735,4649,5391,-8948,322,-1579,1270,-46,-40,-13
15:15:57:187962,-11735,4649,5391,-8948,322,-1579,1270,-46,-40,-13
15:15:57:196149,-11735,4649,5391,-8948,322,-1579,1270,-46,-40,-13
15:15:57:196959,-11733,4651,5399,-8944,340,-1585,1291,-49,-21,-19
15:15:57:202884,-11733,4651,5399,-8944,340,-1585,1291,-49,-21,-19
15:15:57:218613,-11733,4651,5399,-8944,340,-1585,1291,-49,-21,-19
15:15:57:219414,-11731,4657,5404,-8941,296,-1617,1310,-48,-13,-24
15:15:57:233601,-11731,4657,5404,-8941,296,-1617,1310,-48,-13,-24
15:15:57:234337,-11731,4657,5404,-8941,296,-1617,1310,-48,-13,-24
15:15:57:240560,-11729,4660,5405,-8942,282,-1596,1282,-14,-24,-8
15:15:57:247902,-11729,4660,5405,-8942,282,-1596,1282,-14,-24,-8
15:15:57:256121,-11729,4660,5405,-8942,282,-1596,1282,-14,-24,-8
15:15:57:256989,-11723,4664,5413,-8942,294,-1562,1288,-62,-41,-3
15:15:57:262945,-11723,4664,5413,-8942,294,-1562,1288,-62,-41,-3
15:15:57:278633,-11723,4664,5413,-8942,294,-1562,1288,-62,-41,-3
15:15:57:279419,-11717,4664,5422,-8944,323,-1593,1290,-37,-57,6
15:15:57:285365,-11717,4664,5422,-8944,323,-1593,1290,-37,-57,6
15:15:57:292911,-11717,4664,5422,-8944,323,-1593,1290,-37,-57,6
15:15:57:308672,-11716,4657,5426,-8948,317,-1597,1275,25,-58,-11
15:15:57:309425,-11716,4657,5426,-8948,317,-1597,1275,25,-58,-11
15:15:57:316129,-11716,4657,5426,-8948,317,-1597,1275,25,-58,-11
15:15:57:316956,-11711,4654,5439,-8948,350,-1578,1254,-29,-64,-3
15:15:57:322904,-11711,4654,5439,-8948,350,-1578,1254,-29,-64,-3
15:15:57:339134,-11711,4654,5439,-8948,350,-1578,1254,-29,-64,-3
15:15:57:339909,-11700,4661,5465,-8942,381,-1572,1243,-130,-77,0
15:15:57:345405,-11700,4661,5465,-8942,381,-1572,1243,-130,-77,0
15:15:57:352887,-11700,4661,5465,-8942,381,-1572,1243,-130,-77,0
15:15:57:368618,-11689,4678,5500,-8927,416,-1573,1197,-201,-56,-20
15:15:57:369420,-11689,4678,5500,-8927,416,-1573,1197,-201,-56,-20
15:15:57:376096,-11689,4678,5500,-8927,416,-1573,1197,-201,-56,-20
15:15:57:376963,-11679,4705,5534,-8905,411,-1611,1206,-249,-15,-40
15:15:57:382876,-11679,4705,5534,-8905,411,-1611,1206,-249,-15,-40
15:15:57:399076,-11679,4705,5534,-8905,411,-1611,1206,-249,-15,-40
15:15:57:399929,-11668,4732,5555,-8892,366,-1655,1208,-180,8,3
15:15:57:405431,-11668,4732,5555,-8892,366,-1655,1208,-180,8,3
15:15:57:412903,-11668,4732,5555,-8892,366,-1655,1208,-180,8,3
15:15:57:420557,-11666,4755,5571,-8872,373,-1580,1197,-176,47,-44
15:15:57:427929,-11666,4755,5571,-8872,373,-1580,1197,-176,47,-44
15:15:57:436110,-11666,4755,5571,-8872,373,-1580,1197,-176,47,-44
15:15:57:436944,-11658,4791,5587,-8853,350,-1622,1242,-247,59,-7
15:15:57:442897,-11658,4791,5587,-8853,350,-1622,1242,-247,59,-7
15:15:57:458731,-11658,4791,5587,-8853,350,-1622,1242,-247,59,-7
15:15:57:459438,-11651,4825,5602,-8834,345,-1629,1263,-242,54,-17
15:15:57:465419,-11651,4825,5602,-8834,345,-1629,1263,-242,54,-17
15:15:57:472931,-11651,4825,5602,-8834,345,-1629,1263,-242,54,-17
15:15:57:480484,-11643,4855,5614,-8820,306,-1619,1279,-231,35,-12
15:15:57:496777,-11643,4855,5614,-8820,306,-1619,1279,-231,35,-12
15:15:57:497622,-11643,4855,5614,-8820,306,-1619,1279,-231,35,-12
15:15:57:498432,-11635,4887,5623,-8807,269,-1653,1291,-222,34,-13
15:15:57:510464,-11635,4887,5623,-8807,269,-1653,1291,-222,34,-13
15:15:57:526773,-11635,4887,5623,-8807,269,-1653,1291,-222,34,-13
15:15:57:527641,-11635,4905,5617,-8800,223,-1643,1328,-119,37,-38
15:15:57:528384,-11635,4905,5617,-8800,223,-1643,1328,-119,37,-38
15:15:57:541182,-11635,4905,5617,-8800,223,-1643,1328,-119,37,-38
15:15:57:541957,-11632,4917,5611,-8802,209,-1668,1292,-58,1,-10
15:15:57:547950,-11632,4917,5611,-8802,209,-1668,1292,-58,1,-10
15:15:57:556103,-11632,4917,5611,-8802,209,-1668,1292,-58,1,-10
15:15:57:556934,-11633,4916,5612,-8800,270,-1697,1296,-24,-31,-50
15:15:57:562924,-11633,4916,5612,-8800,270,-1697,1296,-24,-31,-50
15:15:57:578627,-11633,4916,5612,-8800,270,-1697,1296,-24,-31,-50
15:15:57:579426,-11633,4913,5615,-8801,238,-1644,1284,-25,-60,-54
15:15:57:585403,-11633,4913,5615,-8801,238,-1644,1284,-25,-60,-54
15:15:57:592925,-11633,4913,5615,-8801,238,-1644,1284,-25,-60,-54
15:15:57:608708,-11628,4915,5620,-8802,204,-1706,1282,-43,-80,-50
15:15:57:609437,-11628,4915,5620,-8802,204,-1706,1282,-43,-80,-50
15:15:57:616095,-11628,4915,5620,-8802,204,-1706,1282,-43,-80,-50
15:15:57:616901,-11629,4909,5625,-8802,236,-1724,1286,0,-78,-75
15:15:57:622936,-11629,4909,5625,-8802,236,-1724,1286,0,-78,-75
15:15:57:639042,-11629,4909,5625,-8802,236,-1724,1286,0,-78,-75
15:15:57:639895,-11636,4879,5627,-8808,282,-1692,1268,133,-120,-95
15:15:57:645454,-11636,4879,5627,-8808,282,-1692,1268,133,-120,-95
15:15:57:652882,-11636,4879,5627,-8808,282,-1692,1268,133,-120,-95
15:15:57:668617,-11634,4858,5638,-8816,304,-1647,1245,50,-141,-40
15:15:57:669417,-11634,4858,5638,-8816,304,-1647,1245,50,-141,-40
15:15:57:676141,-11634,4858,5638,-8816,304,-1647,1245,50,-141,-40
15:15:57:676938,-11634,4848,5657,-8809,306,-1755,1206,14,-112,-111
15:15:57:682938,-11634,4848,5657,-8809,306,-1755,1206,14,-112,-111
15:15:57:698639,-11634,4848,5657,-8809,306,-1755,1206,14,-112,-111
15:15:57:699464,-11645,4823,5664,-8804,327,-1682,1209,102,-87,-134
15:15:57:705381,-11645,4823,5664,-8804,327,-1682,1209,102,-87,-134
15:15:57:712924,-11645,4823,5664,-8804,327,-1682,1209,102,-87,-134
15:15:57:728627,-11659,4775,5660,-8813,362,-1544,1224,213,-118,-88
15:15:57:729411,-11659,4775,5660,-8813,362,-1544,1224,213,-118,-88
15:15:57:736155,-11660,4744,5660,-8830,374,-1438,1126,144,-106,22
15:15:57:736969,-11660,4744,5660,-8830,374,-1438,1126,144,-106,22
15:15:57:742942,-11660,4744,5660,-8830,374,-1438,1126,144,-106,22
15:15:57:758687,-11653,4739,5666,-8838,385,-1549,1085,40,-47,48
15:15:57:759467,-11653,4739,5666,-8838,385,-1549,1085,40,-47,48
15:15:57:765376,-11653,4739,5666,-8838,385,-1549,1085,40,-47,48
15:15:57:789287,-11655,4743,5664,-8833,372,-1676,1147,32,38,-24
15:15:57:790109,-11655,4743,5664,-8833,372,-1676,1147,32,38,-24
15:15:57:790942,-11655,4743,5664,-8833,372,-1676,1147,32,38,-24
15:15:57:796115,-11646,4762,5666,-8834,294,-1747,1132,-11,13,25
15:15:57:796940,-11646,4762,5666,-8834,294,-1747,1132,-11,13,25
15:15:57:802929,-11646,4762,5666,-8834,294,-1747,1132,-11,13,25
15:15:57:819059,-11639,4774,5687,-8824,467,-1722,1207,-109,-14,-1
15:15:57:819866,-11639,4774,5687,-8824,467,-1722,1207,-109,-14,-1
15:15:57:825416,-11639,4774,5687,-8824,467,-1722,1207,-109,-14,-1
15:15:57:841177,-11629,4792,5698,-8819,452,-1663,1248,-131,25,61
15:15:57:841950,-11629,4792,5698,-8819,452,-1663,1248,-131,25,61
15:15:57:856761,-11629,4792,5698,-8819,452,-1663,1248,-131,25,61
15:15:57:857620,-11621,4813,5699,-8818,371,-1695,1263,-114,40,54
15:15:57:858385,-11621,4813,5699,-8818,371,-1695,1263,-114,40,54
15:15:57:862924,-11621,4813,5699,-8818,371,-1695,1263,-114,40,54
15:15:57:886878,-11609,4828,5706,-8820,456,-1727,1239,-79,17,91
15:15:57:887623,-11609,4828,5706,-8820,456,-1727,1239,-79,17,91
15:15:57:888396,-11609,4828,5706,-8820,456,-1727,1239,-79,17,91
15:15:57:901110,-11592,4841,5700,-8839,411,-1642,1242,-40,11,185
15:15:57:901954,-11592,4841,5700,-8839,411,-1642,1242,-40,11,185
15:15:57:916829,-11592,4841,5700,-8839,411,-1642,1242,-40,11,185
15:15:57:917657,-11575,4868,5690,-8854,322,-1643,1227,-87,54,166
15:15:57:918406,-11575,4868,5690,-8854,322,-1643,1227,-87,54,166
15:15:57:930492,-11575,4868,5690,-8854,322,-1643,1227,-87,54,166
15:15:57:938699,-11573,4889,5666,-8860,311,-1676,1284,-28,125,96
15:15:57:939451,-11573,4889,5666,-8860,311,-1676,1284,-28,125,96
15:15:57:945470,-11573,4889,5666,-8860,311,-1676,1284,-28,125,96
15:15:57:961148,-11585,4888,5615,-8878,331,-1563,1353,130,177,124
15:15:57:961915,-11585,4888,5615,-8878,331,-1563,1353,130,177,124
15:15:57:967945,-11585,4888,5615,-8878,331,-1563,1353,130,177,124
15:15:57:976112,-11589,4900,5565,-8896,251,-1558,1361,56,177,140
15:15:57:976966,-11589,4900,5565,-8896,251,-1558,1361,56,177,140
15:15:57:982943,-11589,4900,5565,-8896,251,-1558,1361,56,177,140
