Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:49:07:868931,-1,-2,1,0,0,3,-4,-2
17:49:07:877177,-1,-2,1,0,0,3,-4,-2
17:49:07:877963,-2,-5,-1,3,-2,3,-1,1
17:49:07:883975,-3,-6,-6,-1,4,2,-1,0
17:49:07:891625,-3,-6,-6,-1,4,2,-1,0
17:49:07:898988,4,5,5,2,3,-6,-1,3
17:49:07:906441,1,5,0,3,3,4,3,3
17:49:07:914675,1,5,0,3,3,4,3,3
17:49:07:915449,-5,-4,0,-2,3,0,0,-3
17:49:07:929072,0,-3,-7,-9,-12,-3,-4,-4
17:49:07:937185,0,-3,-7,-9,-12,-3,-4,-4
17:49:07:937989,0,-1,2,1,8,26,5,-1
17:49:07:944057,-5,-1,3,-3,3,7,2,1
17:49:07:951504,-5,-1,3,-3,3,7,2,1
17:49:07:959112,-10,-5,-7,-5,-7,11,1,-4
17:49:07:966471,0,-2,0,-3,-7,9,-2,-4
17:49:07:974653,0,-2,0,-3,-7,9,-2,-4
17:49:07:975418,8,-2,-3,0,0,-2,-1,1
17:49:07:988977,-2,0,2,-2,-7,-5,-3,-1
17:49:07:997216,-2,0,2,-2,-7,-5,-3,-1
17:49:07:997893,-4,-2,-3,-1,-7,8,1,2
17:49:08:3958,-2,-5,0,-2,3,3,1,-2
17:49:08:11487,-2,-5,0,-2,3,3,1,-2
17:49:08:18925,2,-4,-2,1,2,-8,-1,0
17:49:08:26440,-1,2,0,-1,-2,-2,-2,0
17:49:08:34683,-1,2,0,-1,-2,-2,-2,0
17:49:08:35416,0,-2,-1,-3,-1,4,0,-1
17:49:08:57825,-1,-1,-3,1,1,-3,-4,-3
17:49:08:58591,-1,-1,-3,1,1,-3,-4,-3
17:49:08:59371,-2,-2,5,0,0,2,0,1
17:49:08:64038,-5,-2,1,-3,-1,-3,-2,1
17:49:08:71524,-5,-2,1,-3,-1,-3,-2,1
17:49:08:79077,2,1,-2,-1,-1,-5,-2,-2
17:49:08:86464,-6,-7,-5,0,2,-6,-4,-4
17:49:08:94816,-6,-7,-5,0,2,-6,-4,-4
17:49:08:95501,1,1,-8,-2,-1,7,-1,0
17:49:08:109128,2,0,-3,0,-2,-1,-1,0
