Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:49:07:868931,15392,2105,3927,-3414,-1154,256,1783,104,-48,180
17:49:07:877177,15398,2134,3910,-3387,-1078,335,1810,125,-50,194
17:49:07:877963,15398,2134,3910,-3387,-1078,335,1810,125,-50,194
17:49:07:883975,15398,2134,3910,-3387,-1078,335,1810,125,-50,194
17:49:07:891625,15405,2150,3892,-3365,-1102,369,1815,44,-85,146
17:49:07:898988,15405,2150,3892,-3365,-1102,369,1815,44,-85,146
17:49:07:906441,15405,2150,3892,-3365,-1102,369,1815,44,-85,146
17:49:07:914675,15411,2157,3875,-3353,-1112,357,1807,19,-105,84
17:49:07:915449,15411,2157,3875,-3353,-1112,357,1807,19,-105,84
17:49:07:929072,15411,2157,3875,-3353,-1112,357,1807,19,-105,84
17:49:07:937185,15416,2164,3856,-3350,-1063,373,1800,20,-104,34
17:49:07:937989,15416,2164,3856,-3350,-1063,373,1800,20,-104,34
17:49:07:944057,15416,2164,3856,-3350,-1063,373,1800,20,-104,34
17:49:07:951504,15423,2158,3841,-3339,-1032,329,1765,-38,-96,63
17:49:07:959112,15423,2158,3841,-3339,-1032,329,1765,-38,-96,63
17:49:07:966471,15423,2158,3841,-3339,-1032,329,1765,-38,-96,63
17:49:07:974653,15432,2150,3826,-3319,-1040,315,1774,-56,-89,118
17:49:07:975418,15432,2150,3826,-3319,-1040,315,1774,-56,-89,118
17:49:07:988977,15432,2150,3826,-3319,-1040,315,1774,-56,-89,118
17:49:07:997216,15442,2143,3810,-3296,-1083,268,1734,-39,-132,154
17:49:07:997893,15442,2143,3810,-3296,-1083,268,1734,-39,-132,154
17:49:08:3958,15442,2143,3810,-3296,-1083,268,1734,-39,-132,154
17:49:08:11487,15450,2151,3789,-3276,-1093,255,1745,60,-150,165
17:49:08:18925,15450,2151,3789,-3276,-1093,255,1745,60,-150,165
17:49:08:26440,15450,2151,3789,-3276,-1093,255,1745,60,-150,165
17:49:08:34683,15456,2173,3767,-3259,-1098,243,1760,153,-133,169
17:49:08:35416,15456,2173,3767,-3259,-1098,243,1760,153,-133,169
17:49:08:57825,15456,2173,3767,-3259,-1098,243,1760,153,-133,169
17:49:08:58591,15461,2212,3739,-3239,-1030,320,1791,220,-108,192
17:49:08:59371,15461,2212,3739,-3239,-1030,320,1791,220,-108,192
17:49:08:64038,15461,2212,3739,-3239,-1030,320,1791,220,-108,192
17:49:08:71524,15466,2251,3718,-3211,-1057,379,1786,179,-78,217
17:49:08:79077,15466,2251,3718,-3211,-1057,379,1786,179,-78,217
17:49:08:86464,15466,2251,3718,-3211,-1057,379,1786,179,-78,217
17:49:08:94816,15470,2284,3707,-3186,-1124,350,1789,156,-65,203
17:49:08:95501,15470,2284,3707,-3186,-1124,350,1789,156,-65,203
17:49:08:109128,15470,2284,3707,-3186,-1124,350,1789,156,-65,203
17:49:08:117195,15470,2315,3700,-3171,-1087,346,1814,168,-26,139
17:49:08:117992,15470,2315,3700,-3171,-1087,346,1814,168,-26,139
17:49:08:140322,15470,2315,3700,-3171,-1087,346,1814,168,-26,139
17:49:08:141145,15468,2347,3696,-3158,-1080,376,1820,166,1,117
17:49:08:141932,15468,2347,3696,-3158,-1080,376,1820,166,1,117
17:49:08:146571,15468,2347,3696,-3158,-1080,376,1820,166,1,117
17:49:08:154707,15467,2373,3694,-3147,-1085,376,1837,134,1,105
17:49:08:155480,15467,2373,3694,-3147,-1085,376,1837,134,1,105
17:49:08:168980,15467,2373,3694,-3147,-1085,376,1837,134,1,105
17:49:08:177322,15469,2380,3695,-3133,-1040,389,1834,23,15,86
17:49:08:177963,15469,2380,3695,-3133,-1040,389,1834,23,15,86
17:49:08:184017,15469,2380,3695,-3133,-1040,389,1834,23,15,86
17:49:08:191541,15472,2380,3696,-3114,-1016,415,1833,-29,24,101
17:49:08:199041,15472,2380,3696,-3114,-1016,415,1833,-29,24,101
17:49:08:206451,15472,2380,3696,-3114,-1016,415,1833,-29,24,101
