Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:32:59:798652,-2,-1,-4,-6,-2,-3,-3,-2
17:32:59:799353,-2,-1,-4,-6,-2,-3,-3,-2
17:32:59:813503,-1,-1,5,19,-1,0,1,-2
17:32:59:814310,1,-1,3,14,3,-1,-2,0
17:32:59:828598,1,-1,3,14,3,-1,-2,0
17:32:59:829347,-2,-2,-4,-6,-6,-5,-3,0
17:32:59:835371,-1,3,0,3,3,-5,-1,-1
17:32:59:843688,-1,3,0,3,3,-5,-1,-1
17:32:59:844340,-3,-2,-1,-3,6,-1,-2,-1
17:32:59:866855,0,-1,-3,1,0,2,2,-3
17:32:59:867552,0,-1,-3,1,0,2,2,-3
17:32:59:868318,-1,2,0,1,1,-3,-2,0
17:32:59:872836,1,-1,1,-3,0,1,2,0
17:32:59:880395,1,-1,1,-3,0,1,2,0
17:32:59:887810,-2,-2,6,17,-1,-3,-2,-3
17:32:59:895370,-2,0,3,-10,-3,-5,-2,0
17:32:59:903587,-2,0,3,-10,-3,-5,-2,0
17:32:59:904283,0,-1,-6,-10,1,4,0,-1
17:32:59:918586,-2,1,-1,-27,-5,-2,1,-2
17:32:59:919301,-2,1,-1,-27,-5,-2,1,-2
17:32:59:925335,-2,0,-4,10,-4,-1,-3,-2
17:32:59:932836,-3,-2,-4,-10,-1,4,-2,-3
17:32:59:940345,-3,-2,-4,-10,-1,4,-2,-3
17:32:59:947881,0,-2,-4,-6,-3,-1,0,1
17:32:59:955269,0,-4,2,15,-2,-2,-1,1
17:32:59:963593,0,-4,2,15,-2,-2,-1,1
17:32:59:964317,-1,1,0,-8,-1,-2,1,0
17:32:59:978327,-1,-1,-2,18,-1,-2,-4,1
17:32:59:986024,-1,-1,-2,18,-1,-2,-4,1
17:32:59:986808,-2,-2,5,19,0,-7,-2,-2
17:32:59:992842,-3,-1,-5,-4,-2,-3,-1,-2
17:33:00:430,-3,-1,-5,-4,-2,-3,-1,-2
17:33:00:7827,0,3,-3,-9,1,-1,-1,-2
17:33:00:24192,0,-1,0,16,1,-5,-2,-2
17:33:00:24974,0,-1,0,16,1,-5,-2,-2
17:33:00:25794,0,-3,-3,-8,1,2,-3,0
17:33:00:38493,-2,-2,-2,2,0,1,1,-1
17:33:00:39290,-2,-2,-2,2,0,1,1,-1
17:33:00:45423,1,-1,-2,-15,1,-2,-3,-1
17:33:00:69291,-2,0,-1,1,1,2,-1,-2
17:33:00:70097,-2,0,-1,1,1,2,-1,-2
17:33:00:70783,1,-1,1,3,1,3,1,-1
17:33:00:75317,-1,2,-1,1,-1,2,0,-2
17:33:00:83597,-1,2,-1,1,-1,2,0,-2
17:33:00:84352,2,0,-1,1,-2,-5,-2,2
17:33:00:106648,-3,-2,-1,-4,-3,-1,0,0
17:33:00:107533,-3,-2,-1,-4,-3,-1,0,0
17:33:00:108208,-1,-2,-6,-16,-3,1,-4,-1
17:33:00:112810,-1,-5,9,0,0,-3,-3,-3
17:33:00:120476,-1,-5,9,0,0,-3,-3,-3
17:33:00:127844,-2,0,-3,-10,-1,3,2,0
17:33:00:144159,1,0,1,4,-5,-1,-1,0
17:33:00:144947,1,0,1,4,-5,-1,-1,0
17:33:00:145764,-2,1,-1,14,-4,-4,-2,-2
17:33:00:158528,1,4,0,2,-1,6,-2,2
17:33:00:159315,1,4,0,2,-1,6,-2,2
17:33:00:165365,0,-2,-2,15,-2,0,1,-2
17:33:00:172832,-1,0,-5,-2,1,-3,-2,-2
17:33:00:180418,-1,0,-5,-2,1,-3,-2,-2
17:33:00:187765,2,3,0,10,4,3,-1,-2
17:33:00:195451,1,-4,-5,-1,2,-1,-1,0
17:33:00:203603,1,-4,-5,-1,2,-1,-1,0
17:33:00:204294,-2,-2,1,-3,1,-5,-1,-3
17:33:00:218362,1,2,-2,-13,4,-4,-3,0
17:33:00:226035,1,2,-2,-13,4,-4,-3,0
17:33:00:226816,-3,0,5,-8,-4,2,-2,0
17:33:00:232791,-2,-4,3,17,-5,-5,2,-2
17:33:00:240354,-2,-4,3,17,-5,-5,2,-2
17:33:00:247916,0,-1,-2,-2,0,2,1,0
17:33:00:264241,0,-4,3,-1,-2,-2,0,-2
17:33:00:264976,0,-4,3,-1,-2,-2,0,-2
17:33:00:265783,-1,-1,-4,-20,-2,-6,2,-1
17:33:00:278506,-1,2,-3,-11,-2,1,0,0
17:33:00:279290,-1,2,-3,-11,-2,1,0,0
17:33:00:285340,-1,-1,0,1,1,-4,-2,-1
17:33:00:292846,-1,-1,2,14,0,-9,-2,-3
17:33:00:300421,-1,-1,2,14,0,-9,-2,-3
17:33:00:307805,-1,-2,-1,3,-4,1,-2,-1
17:33:00:315299,-1,0,-4,-8,-4,-3,-3,-1
17:33:00:323569,-1,0,-4,-8,-4,-3,-3,-1
17:33:00:324330,-1,-1,-3,4,1,-2,-1,0
17:33:00:338345,0,-3,-6,-9,1,2,-2,0
17:33:00:346205,0,-3,-6,-9,1,2,-2,0
17:33:00:346887,-1,-1,-3,-6,-2,-1,0,-2
17:33:00:361014,-1,1,0,-6,-1,0,3,-1
17:33:00:361825,-1,1,0,-6,-1,0,3,-1
17:33:00:367908,-2,-2,-4,-9,1,2,-1,0
17:33:00:383528,1,-2,1,-6,3,-1,0,-1
17:33:00:384289,1,-2,1,-6,3,-1,0,-1
17:33:00:390323,1,-2,-5,-6,-2,3,-4,-1
17:33:00:398576,-2,1,-3,-4,-3,-2,-1,-2
17:33:00:399279,-2,1,-3,-4,-3,-2,-1,-2
17:33:00:405371,1,-2,-1,12,2,-2,0,0
17:33:00:421169,-2,-1,3,0,0,1,-2,-2
17:33:00:421817,-2,-1,3,0,0,1,-2,-2
17:33:00:427868,-3,2,1,7,4,-4,-1,-2
17:33:00:435354,-1,1,-1,10,-1,-2,-1,1
17:33:00:443012,-1,1,-1,10,-1,-2,-1,1
17:33:00:450367,-1,-4,0,-4,0,-3,-1,-2
17:33:00:458605,-2,-2,-4,-7,3,1,-1,0
17:33:00:459333,-2,-2,-4,-7,3,1,-1,0
17:33:00:465257,-2,1,1,-8,-3,-6,-1,-2
17:33:00:480973,0,-2,-1,7,-2,2,1,-1
17:33:00:481825,0,-2,-1,7,-2,2,1,-1
17:33:00:487904,-2,-3,-3,-2,0,-2,-1,-2
17:33:00:495492,1,-1,-2,3,-2,0,-3,0
17:33:00:502910,1,-1,-2,3,-2,0,-3,0
17:33:00:510314,1,0,-5,-22,-3,-5,-1,-1
17:33:00:518695,-1,-2,2,7,1,-5,-2,-2
17:33:00:519332,-1,-2,2,7,1,-5,-2,-2
17:33:00:525323,0,-1,3,5,-5,2,-2,-1
17:33:00:541022,0,-2,-5,-27,-4,0,-2,-2
17:33:00:541806,0,-2,-5,-27,-4,0,-2,-2
17:33:00:547908,-1,1,1,6,-2,-4,-2,-1
17:33:00:555309,-2,-2,-1,-3,-2,-7,5,-1
17:33:00:562932,-2,-2,-1,-3,-2,-7,5,-1
17:33:00:570420,0,-2,1,3,-8,0,-1,0
17:33:00:578573,-3,-1,5,16,-2,4,-3,-1
17:33:00:579329,-3,-1,5,16,-2,4,-3,-1
17:33:00:585314,-1,0,-1,6,-3,1,-1,0
17:33:00:601109,0,-1,1,-2,-3,-3,0,-1
17:33:00:601828,0,-1,1,-2,-3,-3,0,-1
17:33:00:607864,-1,0,-3,3,-2,-2,-1,-1
17:33:00:615338,-2,-3,-4,-7,-1,-6,0,-1
17:33:00:622996,-2,-3,-4,-7,-1,-6,0,-1
17:33:00:630337,-1,0,-2,-2,2,2,-1,0
17:33:00:638489,1,1,-2,-1,-1,1,-1,-1
17:33:00:639295,1,1,-2,-1,-1,1,-1,-1
17:33:00:645439,0,-2,2,8,-1,-3,0,-1
17:33:00:661058,-2,-1,1,9,-1,-1,-2,-3
17:33:00:661860,-2,-1,1,9,-1,-1,-2,-3
17:33:00:667861,-1,1,0,-3,2,2,1,1
17:33:00:675342,-1,1,-2,-1,1,1,-1,-2
17:33:00:682850,-1,1,-2,-1,1,1,-1,-2
17:33:00:690355,-1,-5,0,-1,-1,-3,-2,-2
17:33:00:698625,0,0,-8,-18,-2,5,-2,1
17:33:00:699288,0,0,-8,-18,-2,5,-2,1
17:33:00:705320,-2,-2,-1,7,1,3,0,0
17:33:00:721116,-2,-2,2,1,-4,-7,-1,-2
17:33:00:721815,-2,-2,2,1,-4,-7,-1,-2
17:33:00:727871,-1,1,-2,-3,0,-1,0,-3
17:33:00:735352,-1,-1,-1,5,-2,-1,-1,-1
17:33:00:742862,-1,-1,-1,5,-2,-1,-1,-1
17:33:00:750361,-1,2,0,-3,-2,0,-2,-2
17:33:00:758619,1,3,-2,0,-3,1,-3,1
17:33:00:759330,1,3,-2,0,-3,1,-3,1
17:33:00:765301,-1,-3,-4,-5,-3,-2,1,1
17:33:00:781045,-1,-2,3,3,-1,0,0,-2
17:33:00:781860,-1,-2,3,3,-1,0,0,-2
17:33:00:787778,-2,2,7,23,-1,-5,0,-1
17:33:00:795402,-1,-3,-4,-10,-2,3,1,0
17:33:00:802925,-1,-3,-4,-10,-2,3,1,0
17:33:00:810350,-1,-5,-3,-15,-3,-4,-1,-1
17:33:00:818639,-1,0,0,1,6,-2,-2,-1
17:33:00:819317,-1,0,0,1,6,-2,-2,-1
17:33:00:825355,-1,2,-3,-6,0,0,-4,-1
17:33:00:841043,0,0,-2,-1,2,0,1,-1
17:33:00:841838,0,0,-2,-1,2,0,1,-1
17:33:00:847892,-2,0,0,1,5,-2,-2,-2
17:33:00:855329,-1,-2,1,2,-3,-5,0,1
17:33:00:862935,-1,-2,1,2,-3,-5,0,1
17:33:00:870404,-1,-2,-4,-8,-2,-1,-2,-1
17:33:00:878602,-1,-1,-1,-3,-2,-4,-1,-1
17:33:00:879375,-1,-1,-1,-3,-2,-4,-1,-1
17:33:00:885298,-1,-3,-4,-13,-2,-2,-3,-1
17:33:00:901071,-1,0,-3,1,2,3,-2,1
17:33:00:901858,-1,0,-3,1,2,3,-2,1
17:33:00:907812,-2,-1,-2,-3,-2,-2,0,-2
17:33:00:915327,-3,-2,0,-1,-1,1,-2,-3
17:33:00:922942,-3,-2,0,-1,-1,1,-2,-3
17:33:00:930317,-2,-2,0,4,-1,1,-1,-1
17:33:00:938503,-1,0,-2,1,1,0,-1,-2
17:33:00:939306,-1,0,-2,1,1,0,-1,-2
17:33:00:945456,0,-2,0,4,1,2,-1,-2
17:33:00:961119,0,1,0,1,-1,-6,-2,-2
17:33:00:961889,0,1,0,1,-1,-6,-2,-2
17:33:00:967920,0,-2,3,-2,-2,-1,2,-1
17:33:00:975339,-2,-1,0,1,0,-3,1,0
17:33:00:982889,-2,-1,0,1,0,-3,1,0
17:33:00:990361,0,2,-2,3,-3,-1,-2,-3
17:33:00:997995,0,-1,-2,0,-3,2,0,0
17:33:01:6042,0,-1,-2,0,-3,2,0,0
17:33:01:6808,-1,1,-1,-3,0,-5,1,-3
17:33:01:21184,-3,-2,-5,-4,0,-4,-3,-2
17:33:01:21805,-3,-2,-5,-4,0,-4,-3,-2
17:33:01:27852,0,-2,0,-1,1,0,-5,-1
17:33:01:35372,-1,0,1,0,2,-6,-3,-2
17:33:01:51131,-1,0,1,0,2,-6,-3,-2
17:33:01:51911,-1,-2,-3,1,1,-2,1,0
17:33:01:57848,-1,1,-4,-2,-4,-4,-1,-3
17:33:01:66194,-1,1,-4,-2,-4,-4,-1,-3
17:33:01:66788,-2,1,1,1,-1,1,-1,-2
17:33:01:81052,-1,-3,0,1,-1,0,0,0
17:33:01:81868,-1,-3,0,1,-1,0,0,0
17:33:01:87822,-1,1,-2,-3,-1,-3,-1,6
17:33:01:95414,-2,4,0,2,-2,7,18,-4
17:33:01:102914,-2,4,0,2,-2,7,18,-4
17:33:01:110391,11,0,-2,-1,-3,8,-2,33
17:33:01:117862,-57,-4,0,1,0,-7,-5,-35
17:33:01:126026,-57,-4,0,1,0,-7,-5,-35
17:33:01:126790,-2,0,1,-3,-1,0,-5,5
17:33:01:141000,13,0,-2,-2,-3,-4,-5,8
17:33:01:141793,13,0,-2,-2,-3,-4,-5,8
17:33:01:147920,-3,1,2,-3,0,-1,1,-5
17:33:01:155351,8,-1,-2,-1,0,-2,-7,-8
17:33:01:162954,8,-1,-2,-1,0,-2,-7,-8
17:33:01:170369,0,-6,-3,0,0,3,12,7
17:33:01:177877,-2,-8,-4,-3,-4,-4,-1,24
17:33:01:186087,-2,-8,-4,-3,-4,-4,-1,24
17:33:01:186914,-18,-4,-3,-3,2,-7,-1,-15
17:33:01:201150,10,-1,1,-1,1,2,3,24
17:33:01:201885,10,-1,1,-1,1,2,3,24
17:33:01:207804,5,-2,0,1,-1,1,0,6
17:33:01:215342,8,3,-1,-3,-1,-5,-21,-14
17:33:01:222910,8,3,-1,-3,-1,-5,-21,-14
17:33:01:230395,14,6,25,5,-4,-3,-18,-16
17:33:01:237781,0,1,9,2,0,-2,9,-4
17:33:01:254636,0,1,9,2,0,-2,9,-4
17:33:01:261739,0,-1,0,0,-1,2,16,-8
17:33:01:262554,-4,-11,-6,-3,-1,-7,-2,4
