Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:32:59:798652,-3297,-10337,3890,-11645,1980,-155,180,188,19,76
17:32:59:799353,-3269,-10341,3875,-11654,1972,-171,159,175,11,65
17:32:59:813503,-3269,-10341,3875,-11654,1972,-171,159,175,11,65
17:32:59:814310,-3269,-10341,3875,-11654,1972,-171,159,175,11,65
17:32:59:828598,-3242,-10345,3861,-11663,1968,-179,157,167,7,59
17:32:59:829347,-3242,-10345,3861,-11663,1968,-179,157,167,7,59
17:32:59:835371,-3242,-10345,3861,-11663,1968,-179,157,167,7,59
17:32:59:843688,-3216,-10350,3847,-11670,1969,-172,150,163,1,55
17:32:59:844340,-3216,-10350,3847,-11670,1969,-172,150,163,1,55
17:32:59:866855,-3216,-10350,3847,-11670,1969,-172,150,163,1,55
17:32:59:867552,-3192,-10355,3834,-11676,1962,-162,159,154,-2,51
17:32:59:868318,-3192,-10355,3834,-11676,1962,-162,159,154,-2,51
17:32:59:872836,-3192,-10355,3834,-11676,1962,-162,159,154,-2,51
17:32:59:880395,-3168,-10361,3819,-11683,1988,-164,158,159,-4,48
17:32:59:887810,-3168,-10361,3819,-11683,1988,-164,158,159,-4,48
17:32:59:895370,-3168,-10361,3819,-11683,1988,-164,158,159,-4,48
17:32:59:903587,-3146,-10367,3801,-11689,2005,-152,179,160,-5,39
17:32:59:904283,-3146,-10367,3801,-11689,2005,-152,179,160,-5,39
17:32:59:918586,-3146,-10367,3801,-11689,2005,-152,179,160,-5,39
17:32:59:919301,-3126,-10373,3785,-11694,2030,-156,164,151,-4,34
17:32:59:925335,-3126,-10373,3785,-11694,2030,-156,164,151,-4,34
17:32:59:932836,-3126,-10373,3785,-11694,2030,-156,164,151,-4,34
17:32:59:940345,-3106,-10379,3770,-11699,2047,-165,154,142,4,32
17:32:59:947881,-3106,-10379,3770,-11699,2047,-165,154,142,4,32
17:32:59:955269,-3106,-10379,3770,-11699,2047,-165,154,142,4,32
17:32:59:963593,-3086,-10384,3754,-11705,2027,-163,154,146,10,34
17:32:59:964317,-3086,-10384,3754,-11705,2027,-163,154,146,10,34
17:32:59:978327,-3086,-10384,3754,-11705,2027,-163,154,146,10,34
17:32:59:986024,-3067,-10388,3740,-11712,2015,-173,152,139,16,32
17:32:59:986808,-3067,-10388,3740,-11712,2015,-173,152,139,16,32
17:32:59:992842,-3067,-10388,3740,-11712,2015,-173,152,139,16,32
17:33:00:430,-3049,-10391,3726,-11718,1991,-179,164,129,13,24
17:33:00:7827,-3049,-10391,3726,-11718,1991,-179,164,129,13,24
