Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
13:53:03:242339,-2,-3,5,-4,-1,-2,0,2
13:53:03:243101,-7,-10,-1,-5,1,2,-4,-5
13:53:03:249163,1,5,-7,-1,-9,1,-1,-4
13:53:03:256789,1,5,-7,-1,-9,1,-1,-4
13:53:03:264091,0,-5,5,-5,1,1,3,-1
13:53:03:271689,2,1,-4,12,-1,1,-2,-2
13:53:03:279809,2,1,-4,12,-1,1,-2,-2
13:53:03:280601,4,11,-8,0,2,2,-4,0
13:53:03:286605,-1,-7,-1,0,0,-1,-5,0
13:53:03:302341,-1,-7,-1,0,0,-1,-5,0
13:53:03:303092,-4,-7,-2,0,-9,-2,4,-1
13:53:03:309166,1,-3,3,4,-1,0,-5,0
13:53:03:316714,1,-3,3,4,-1,0,-5,0
13:53:03:324122,1,-4,-6,-18,-2,0,-1,-1
13:53:03:331591,-2,-9,4,-8,0,-1,-1,-1
13:53:03:339950,-2,-9,4,-8,0,-1,-1,-1
13:53:03:340610,-4,5,-6,2,-4,-7,2,-1
13:53:03:347788,1,2,1,4,4,-2,-3,-1
13:53:03:362301,1,2,1,4,4,-2,-3,-1
13:53:03:363213,0,5,-7,1,-1,1,-4,0
13:53:03:369127,-4,-22,-5,-2,0,-2,2,-4
13:53:03:376659,-4,-22,-5,-2,0,-2,2,-4
13:53:03:384168,-3,1,2,6,0,-1,-5,-1
13:53:03:391669,0,-5,-1,-9,-3,-8,3,7
13:53:03:400002,0,-5,-1,-9,-3,-8,3,7
13:53:03:400638,0,-11,-6,2,3,-1,0,4
13:53:03:406698,4,-3,1,5,-2,2,-3,-7
13:53:03:422458,4,-3,1,5,-2,2,-3,-7
13:53:03:423266,-5,-1,7,-7,3,7,-1,-4
13:53:03:429151,-2,-7,-10,-15,-4,-6,1,2
13:53:03:437446,-2,-7,-10,-15,-4,-6,1,2
13:53:03:438206,0,-11,-4,-1,-5,-2,-3,1
13:53:03:451689,-6,-14,-1,6,-4,-2,1,-4
13:53:03:459895,-6,-14,-1,6,-4,-2,1,-4
13:53:03:460695,4,7,6,4,0,-2,0,-2
13:53:03:466659,4,9,0,1,3,-1,-2,3
13:53:03:482383,4,9,0,1,3,-1,-2,3
13:53:03:483135,-1,5,-3,4,-1,0,-2,-6
13:53:03:489165,1,17,1,-1,0,-1,-7,2
13:53:03:497339,1,17,1,-1,0,-1,-7,2
13:53:03:498192,-3,8,-2,-7,-5,4,1,0
13:53:03:511613,3,5,-4,3,1,1,10,-1
13:53:03:519898,3,5,-4,3,1,1,10,-1
13:53:03:520618,1,-1,-3,1,1,-1,2,1
13:53:03:526624,-2,5,-7,3,-2,0,0,-3
13:53:03:542365,-2,5,-7,3,-2,0,0,-3
13:53:03:543240,4,3,24,6,-2,1,-3,0
13:53:03:549138,-4,9,4,1,-1,-2,1,-5
13:53:03:557401,-4,9,4,1,-1,-2,1,-5
13:53:03:558213,-3,0,3,-1,0,-1,5,2
13:53:03:571638,3,-4,6,-1,1,6,2,1
13:53:03:579796,3,-4,6,-1,1,6,2,1
13:53:03:580630,2,2,-8,-2,-4,-6,-3,-5
13:53:03:586606,2,-2,-20,-4,-1,-7,0,-1
13:53:03:602336,2,-2,-20,-4,-1,-7,0,-1
13:53:03:603096,-3,-9,1,-1,2,-3,-3,2
13:53:03:609118,-5,-3,2,-3,-5,2,-5,-2
13:53:03:617443,-5,-3,2,-3,-5,2,-5,-2
13:53:03:618230,-3,-5,-19,-2,-1,-7,-2,-7
13:53:03:631666,1,11,5,4,-1,1,2,1
13:53:03:639915,1,11,5,4,-1,1,2,1
13:53:03:640642,1,-1,13,-2,-3,3,-1,-4
13:53:03:646623,-1,-3,12,1,0,-2,6,-1
13:53:03:662323,-1,-3,12,1,0,-2,6,-1
13:53:03:663188,-8,-18,-3,-3,-3,-5,-1,-4
13:53:03:669169,0,4,1,0,2,4,-3,1
13:53:03:676704,0,4,1,0,2,4,-3,1
13:53:03:684181,-3,-3,7,4,0,-1,-9,2
13:53:03:691644,-6,-10,-1,-1,0,-3,-11,-1
13:53:03:699882,-6,-10,-1,-1,0,-3,-11,-1
13:53:03:700649,-3,7,-3,1,2,2,-1,2
13:53:03:714147,2,-7,-8,0,-2,2,-6,-7
13:53:03:722385,2,-7,-8,0,-2,2,-6,-7
13:53:03:723137,-1,6,1,-2,0,-2,-6,-4
13:53:03:729083,3,7,2,-2,0,-2,-4,0
13:53:03:736752,3,7,2,-2,0,-2,-4,0
13:53:03:744123,2,-3,-5,1,-1,3,5,0
13:53:03:751656,-6,-10,1,0,-3,-1,0,1
13:53:03:759888,-6,-10,1,0,-3,-1,0,1
13:53:03:760661,2,9,-5,4,4,0,5,3
13:53:03:774108,-3,5,-2,1,1,0,3,0
13:53:03:782345,-3,5,-2,1,1,0,3,0
13:53:03:783203,0,-13,-4,4,5,-3,-4,-5
13:53:03:789221,-2,1,-10,3,0,-3,3,-2
13:53:03:796683,-2,1,-10,3,0,-3,3,-2
13:53:03:804232,-4,0,-11,-8,-1,3,1,2
13:53:03:811613,0,2,-4,-10,-3,5,-3,-1
13:53:03:819870,0,2,-4,-10,-3,5,-3,-1
13:53:03:820553,0,-2,6,6,-3,-2,-7,-2
13:53:03:834197,1,5,6,9,4,0,-3,-1
13:53:03:842384,1,5,6,9,4,0,-3,-1
13:53:03:843233,-6,-9,0,-15,3,3,3,-4
13:53:03:849142,-5,-7,4,-1,-6,-9,-5,-3
13:53:03:856775,-5,-7,4,-1,-6,-9,-5,-3
13:53:03:864147,2,5,3,4,-2,5,-3,-3
13:53:03:871724,1,3,1,-7,1,0,0,3
13:53:03:879816,1,3,1,-7,1,0,0,3
13:53:03:880606,-2,-5,1,3,-3,-11,-3,0
13:53:03:894165,-4,-4,-8,3,-6,-2,2,-2
13:53:03:902327,-4,-4,-8,3,-6,-2,2,-2
13:53:03:903090,-4,2,-5,-22,-9,-2,1,-1
13:53:03:909143,6,-7,2,11,-1,-2,1,-4
13:53:03:916661,6,-7,2,11,-1,-2,1,-4
13:53:03:924178,3,-1,-1,-3,3,3,3,1
13:53:03:931632,-5,-6,0,-12,-3,2,-6,-2
13:53:03:939960,-5,-6,0,-12,-3,2,-6,-2
13:53:03:940624,3,-3,3,4,-2,2,-5,2
13:53:03:954226,-3,2,4,-3,-4,1,3,0
13:53:03:962323,-3,2,4,-3,-4,1,3,0
13:53:03:963106,-2,3,-1,3,0,3,-4,1
13:53:03:969178,-2,-4,2,-8,-1,-5,-1,-6
13:53:03:976709,-2,-4,2,-8,-1,-5,-1,-6
13:53:03:984224,-4,-1,-3,4,-3,-1,-2,-4
13:53:03:991680,0,7,0,1,-1,2,-2,2
