Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
13:54:17:575617,2807,4902,-7062,13662,1322,-1286,1067,61,-180,-9
13:54:17:576382,2807,4902,-7062,13662,1322,-1286,1067,61,-180,-9
13:54:17:582369,2807,4902,-7062,13662,1322,-1286,1067,61,-180,-9
13:54:17:590775,2791,4933,-7059,13655,1315,-1306,1030,24,-235,-34
13:54:17:591411,2791,4933,-7059,13655,1315,-1306,1030,24,-235,-34
13:54:17:597422,2791,4933,-7059,13655,1315,-1306,1030,24,-235,-34
13:54:17:613083,2774,4963,-7046,13655,1294,-1341,981,116,-201,-61
13:54:17:613890,2774,4963,-7046,13655,1294,-1341,981,116,-201,-61
13:54:17:619937,2774,4963,-7046,13655,1294,-1341,981,116,-201,-61
13:54:17:635660,2759,4989,-7018,13662,1267,-1272,897,208,-127,-60
13:54:17:636384,2759,4989,-7018,13662,1267,-1272,897,208,-127,-60
13:54:17:642363,2759,4989,-7018,13662,1267,-1272,897,208,-127,-60
13:54:17:650648,2754,5006,-6999,13667,1220,-1164,829,134,-62,-53
13:54:17:651393,2754,5006,-6999,13667,1220,-1164,829,134,-62,-53
13:54:17:657460,2754,5006,-6999,13667,1220,-1164,829,134,-62,-53
13:54:17:673228,2763,5012,-7007,13659,1183,-1123,784,-54,-19,-58
13:54:17:674136,2763,5012,-7007,13659,1183,-1123,784,-54,-19,-58
13:54:17:679846,2763,5012,-7007,13659,1183,-1123,784,-54,-19,-58
13:54:17:695583,2778,5006,-7029,13647,1163,-1129,773,-143,29,-44
13:54:17:696347,2778,5006,-7029,13647,1163,-1129,773,-143,29,-44
13:54:17:702410,2778,5006,-7029,13647,1163,-1129,773,-143,29,-44
13:54:17:710661,2779,4987,-7049,13643,1153,-1174,782,-104,63,36
13:54:17:711407,2779,4987,-7049,13643,1153,-1174,782,-104,63,36
13:54:17:717398,2779,4987,-7049,13643,1153,-1174,782,-104,63,36
13:54:17:733096,2766,4965,-7062,13648,1223,-1257,805,-12,80,104
13:54:17:733845,2766,4965,-7062,13648,1223,-1257,805,-12,80,104
13:54:17:739969,2766,4965,-7062,13648,1223,-1257,805,-12,80,104
13:54:17:747399,2746,4942,-7062,13659,1269,-1290,884,55,71,129
13:54:17:754969,2746,4942,-7062,13659,1269,-1290,884,55,71,129
13:54:17:762349,2746,4942,-7062,13659,1269,-1290,884,55,71,129
13:54:17:770606,2727,4925,-7074,13663,1308,-1397,974,-22,2,106
13:54:17:771405,2727,4925,-7074,13663,1308,-1397,974,-22,2,106
13:54:17:777417,2727,4925,-7074,13663,1308,-1397,974,-22,2,106
13:54:17:793099,2710,4918,-7088,13662,1380,-1497,1036,-33,-51,59
13:54:17:793896,2710,4918,-7088,13662,1380,-1497,1036,-33,-51,59
13:54:17:799862,2710,4918,-7088,13662,1380,-1497,1036,-33,-51,59
13:54:17:807492,2697,4914,-7086,13667,1388,-1458,1067,29,-39,31
13:54:17:814874,2697,4914,-7086,13667,1388,-1458,1067,29,-39,31
13:54:17:822482,2697,4914,-7086,13667,1388,-1458,1067,29,-39,31
13:54:17:830635,2697,4913,-7085,13668,1342,-1309,1040,-8,-13,7
13:54:17:831414,2697,4913,-7085,13668,1342,-1309,1040,-8,-13,7
13:54:17:837464,2697,4913,-7085,13668,1342,-1309,1040,-8,-13,7
13:54:17:853127,2713,4916,-7095,13658,1278,-1158,959,-143,-29,-46
13:54:17:853869,2713,4916,-7095,13658,1278,-1158,959,-143,-29,-46
13:54:17:859935,2713,4916,-7095,13658,1278,-1158,959,-143,-29,-46
13:54:17:867581,2743,4918,-7125,13636,1281,-1181,907,-263,-15,-95
13:54:17:874933,2743,4918,-7125,13636,1281,-1181,907,-263,-15,-95
13:54:17:882406,2743,4918,-7125,13636,1281,-1181,907,-263,-15,-95
13:54:17:890703,2773,4911,-7149,13620,1293,-1243,876,-208,57,-97
13:54:17:891414,2773,4911,-7149,13620,1293,-1243,876,-208,57,-97
13:54:17:897373,2773,4911,-7149,13620,1293,-1243,876,-208,57,-97
13:54:17:913596,2795,4897,-7154,13618,1290,-1195,819,-70,133,-45
13:54:17:914353,2795,4897,-7154,13618,1290,-1195,819,-70,133,-45
13:54:17:919915,2795,4897,-7154,13618,1290,-1195,819,-70,133,-45
13:54:17:927487,2816,4877,-7159,13618,1300,-1126,772,-71,179,10
13:54:17:934974,2816,4877,-7159,13618,1300,-1126,772,-71,179,10
13:54:17:942444,2816,4877,-7159,13618,1300,-1126,772,-71,179,10
13:54:17:950628,2838,4850,-7182,13611,1306,-1136,715,-160,208,36
13:54:17:951402,2838,4850,-7182,13611,1306,-1136,715,-160,208,36
13:54:17:957470,2838,4850,-7182,13611,1306,-1136,715,-160,208,36
13:54:17:973163,2863,4816,-7215,13601,1320,-1161,697,-212,243,59
13:54:17:973868,2863,4816,-7215,13601,1320,-1161,697,-212,243,59
13:54:17:979870,2863,4816,-7215,13601,1320,-1161,697,-212,243,59
13:54:18:3849,2888,4773,-7250,13592,1327,-1183,730,-239,277,86
13:54:18:4540,2888,4773,-7250,13592,1327,-1183,730,-239,277,86
13:54:18:5390,2888,4773,-7250,13592,1327,-1183,730,-239,277,86
13:54:18:10620,2908,4722,-7293,13582,1309,-1243,782,-280,266,116
13:54:18:11414,2908,4722,-7293,13582,1309,-1243,782,-280,266,116
13:54:18:17548,2908,4722,-7293,13582,1309,-1243,782,-280,266,116
13:54:18:33118,2921,4670,-7343,13570,1288,-1345,913,-332,196,124
13:54:18:33897,2921,4670,-7343,13570,1288,-1345,913,-332,196,124
13:54:18:39981,2921,4670,-7343,13570,1288,-1345,913,-332,196,124
13:54:18:55681,2923,4623,-7393,13559,1252,-1490,1065,-334,87,103
13:54:18:56409,2923,4623,-7393,13559,1252,-1490,1065,-334,87,103
13:54:18:62363,2923,4623,-7393,13559,1252,-1490,1065,-334,87,103
13:54:18:70695,2911,4587,-7420,13559,1191,-1590,1219,-203,-24,71
13:54:18:71394,2911,4587,-7420,13559,1191,-1590,1219,-203,-24,71
13:54:18:77400,2911,4587,-7420,13559,1191,-1590,1219,-203,-24,71
13:54:18:93135,2888,4566,-7415,13574,1130,-1567,1302,-14,-110,37
13:54:18:93920,2888,4566,-7415,13574,1130,-1567,1302,-14,-110,37
13:54:18:99863,2888,4566,-7415,13574,1130,-1567,1302,-14,-110,37
13:54:18:115568,2865,4564,-7387,13595,1110,-1452,1288,104,-164,-14
13:54:18:116335,2865,4564,-7387,13595,1110,-1452,1288,104,-164,-14
13:54:18:122509,2865,4564,-7387,13595,1110,-1452,1288,104,-164,-14
13:54:18:130314,2850,4580,-7351,13612,1112,-1333,1213,138,-191,-69
13:54:18:137448,2850,4580,-7351,13612,1112,-1333,1213,138,-191,-69
13:54:18:144896,2850,4580,-7351,13612,1112,-1333,1213,138,-191,-69
13:54:18:161248,2849,4608,-7323,13618,1165,-1230,1112,80,-195,-109
13:54:18:162059,2849,4608,-7323,13618,1165,-1230,1112,80,-195,-109
13:54:18:162867,2849,4608,-7323,13618,1165,-1230,1112,80,-195,-109
13:54:18:167543,2857,4633,-7313,13613,1185,-1211,1001,-13,-150,-123
13:54:18:174899,2857,4633,-7313,13613,1185,-1211,1001,-13,-150,-123
13:54:18:182344,2857,4633,-7313,13613,1185,-1211,1001,-13,-150,-123
13:54:18:190691,2869,4652,-7316,13602,1210,-1236,911,-67,-105,-107
13:54:18:191422,2869,4652,-7316,13602,1210,-1236,911,-67,-105,-107
13:54:18:205022,2869,4652,-7316,13602,1210,-1236,911,-67,-105,-107
13:54:18:213078,2876,4668,-7325,13591,1227,-1256,831,-54,-72,-70
