Time,FT1,FT2,X,Y,Z
13:55:32:692855,0,0,-0.125,0.465,0.01
13:55:32:697849,0,0,-0.125,0.465037,0.01
13:55:32:702983,0,0,-0.125,0.465042,0.01
13:55:32:707989,0,0,-0.125,0.465048,0.01
13:55:32:713126,0,0,-0.125,0.465053,0.01
13:55:32:718127,0,0,-0.125,0.465059,0.01
13:55:32:723227,0,0,-0.125,0.465059,0.01
13:55:32:728131,0,0,-0.125,0.465059,0.01
13:55:32:733364,0,0,-0.125,0.465059,0.01
13:55:32:738356,0,0,-0.125007,0.465059,0.01
13:55:32:743520,0,0,-0.125007,0.465064,0.01
13:55:32:748505,0,0,-0.125007,0.465064,0.01
13:55:32:753600,0,0,-0.125007,0.465064,0.01
13:55:32:758627,0,0,-0.125007,0.465064,0.01
13:55:32:763739,0,0,-0.125007,0.465064,0.01
13:55:32:768659,0,0,-0.125007,0.465064,0.01
13:55:32:773862,0,0,-0.125007,0.465064,0.01
13:55:32:779002,0,0,-0.125007,0.46507,0.01
13:55:32:783985,0,0,-0.125007,0.46507,0.01
13:55:32:789106,0,0,-0.125007,0.46507,0.01
13:55:32:794470,0,0,-0.125007,0.46507,0.01
13:55:32:798996,0,0,-0.125007,0.465075,0.01
13:55:32:804230,0,0,-0.125007,0.465075,0.01
13:55:32:809345,0,0,-0.125007,0.465075,0.01
13:55:32:814244,0,0,-0.125007,0.465075,0.01
13:55:32:819371,0,0,-0.125007,0.465075,0.01
13:55:32:824484,0,0,-0.125007,0.465075,0.01
13:55:32:829608,0,0,-0.125007,0.465075,0.01
13:55:32:834627,0,0,-0.125007,0.465075,0.01
13:55:32:839735,0,0,-0.125007,0.465076,0.01
13:55:32:844727,0,0,-0.125007,0.465076,0.01
13:55:32:849845,0,0,-0.125007,0.465076,0.01
13:55:32:854875,0,0,-0.125007,0.465076,0.01
13:55:32:860001,0,0,-0.125007,0.465076,0.01
13:55:32:864973,0,0,-0.125007,0.465076,0.01
13:55:32:869982,0,0,-0.125007,0.465076,0.01
13:55:32:875152,0,0,-0.125007,0.465076,0.01
13:55:32:880105,0,0,-0.125007,0.465081,0.01
13:55:32:885228,0,0,-0.125007,0.465081,0.01
13:55:32:890394,0,0,-0.125007,0.465081,0.01
13:55:32:895515,0,0,-0.125007,0.465081,0.01
13:55:32:900366,0,0,-0.125007,0.465081,0.01
13:55:32:905491,0,0,-0.125007,0.465081,0.01
13:55:32:910623,0,0,-0.125007,0.465082,0.01
13:55:32:915605,0,0,-0.125007,0.465082,0.01
13:55:32:920735,0,0,-0.125007,0.465082,0.01
13:55:32:925852,0,0,-0.125007,0.465082,0.01
13:55:32:930875,0,0,-0.125007,0.465082,0.01
13:55:32:935854,0.034,-0.011,-0.125007,0.465083,0.01
13:55:32:940976,0.027,-0.018,-0.125007,0.465083,0.01
13:55:32:945978,0.045,0.016,-0.125007,0.465083,0.01
13:55:32:950984,0.059,0.044,-0.125007,0.465083,0.01
13:55:32:956105,0.05,0.045,-0.125007,0.465083,0.01
13:55:32:961227,0.022,0.02,-0.125007,0.465084,0.01
13:55:32:966229,-0.021,-0.009,-0.125007,0.465084,0.01
13:55:32:971365,-0.041,0,-0.125007,0.465084,0.01
13:55:32:976258,-0.04,0.016,-0.125007,0.465084,0.01
13:55:32:981489,-0.024,0.026,-0.125007,0.465084,0.01
13:55:32:986506,-0.007,0.02,-0.125007,0.465084,0.01
13:55:32:991509,0.013,0.009,-0.125007,0.465084,0.01
13:55:32:996620,0.016,0.005,-0.125007,0.465084,0.01
13:55:33:1641,-0.005,-0.01,-0.125007,0.465084,0.01
