Time,FT1,FT2,X,Y,Z
13:38:53:807718,0,0,-0.125,0.465,0.01
13:38:53:812616,0,0,-0.125,0.465017,0.01
13:38:53:817849,0,0,-0.125,0.465017,0.01
13:38:53:822834,0,0,-0.124993,0.465018,0.01
13:38:53:827966,0,0,-0.124993,0.465023,0.01
13:38:53:833014,0,0,-0.124993,0.465023,0.01
13:38:53:838099,0,0,-0.124993,0.465023,0.01
13:38:53:843097,0,0,-0.124993,0.465029,0.01
13:38:53:848356,0,0,-0.124993,0.465029,0.01
13:38:53:853345,0,0,-0.124993,0.465029,0.01
13:38:53:858340,0,0,-0.124993,0.465034,0.01
13:38:53:863462,0,0,-0.124993,0.465034,0.01
13:38:53:868612,0,0,-0.124993,0.465034,0.01
13:38:53:873618,0,0,-0.124993,0.465034,0.01
13:38:53:878836,0,0,-0.124993,0.465034,0.01
13:38:53:883863,0,0,-0.124993,0.465039,0.01
13:38:53:888841,0,0,-0.124993,0.465039,0.01
13:38:53:893965,0,0,-0.124993,0.465039,0.01
13:38:53:898870,0,0,-0.124993,0.465039,0.01
13:38:53:903963,0,0,-0.124993,0.465039,0.01
13:38:53:909086,0,0,-0.124993,0.465039,0.01
13:38:53:914216,0,0,-0.124993,0.465039,0.01
13:38:53:919213,0,0,-0.124993,0.46504,0.01
13:38:53:924207,0,0,-0.124993,0.46504,0.01
13:38:53:929337,0,0,-0.124993,0.46504,0.01
13:38:53:934521,0,0,-0.124993,0.46504,0.01
13:38:53:939487,0,0,-0.124993,0.46504,0.01
13:38:53:944487,0,0,-0.124993,0.46504,0.01
13:38:53:949585,0,0,-0.124993,0.465045,0.01
13:38:53:954712,0,0,-0.124993,0.465045,0.01
13:38:53:959719,0,0,-0.124993,0.465045,0.01
13:38:53:964858,0,0,-0.124993,0.465045,0.01
13:38:53:969857,0,0,-0.124993,0.465045,0.01
13:38:53:974980,0,0,-0.124993,0.465045,0.01
13:38:53:979980,0,0,-0.124993,0.465045,0.01
13:38:53:985112,0,0,-0.124993,0.465045,0.01
13:38:53:990102,0,0,-0.124993,0.465045,0.01
13:38:53:995214,0,0,-0.124993,0.465045,0.01
13:38:54:207,0,0,-0.124993,0.465045,0.01
13:38:54:5357,0,0,-0.124993,0.465045,0.01
13:38:54:10343,0,0,-0.124993,0.465045,0.01
13:38:54:15518,0,0,-0.124993,0.465045,0.01
13:38:54:20464,0,0,-0.124993,0.46505,0.01
13:38:54:25604,0,0,-0.124993,0.46505,0.01
13:38:54:30713,0,0,-0.124993,0.46505,0.01
13:38:54:35632,0,0,-0.124993,0.46505,0.01
13:38:54:40731,0,0,-0.124993,0.46505,0.01
13:38:54:45840,0,0,-0.124993,0.46505,0.01
13:38:54:50967,0.083,0.009,-0.124993,0.465051,0.01
13:38:54:55963,0.055,-0.006,-0.124993,0.465051,0.01
13:38:54:60977,0.009,-0.024,-0.124993,0.465051,0.01
13:38:54:66092,-0.024,-0.023,-0.124993,0.465051,0.01
13:38:54:71123,-0.006,0.001,-0.124993,0.465051,0.01
13:38:54:76230,0.036,0.037,-0.124993,0.465051,0.01
13:38:54:81347,0.041,0.04,-0.124993,0.465051,0.01
13:38:54:86356,0.017,0.016,-0.124993,0.465051,0.01
13:38:54:91354,0.008,-0.006,-0.124993,0.465051,0.01
13:38:54:96488,0.021,-0.034,-0.124993,0.465051,0.01
13:38:54:101616,0.049,-0.034,-0.124993,0.465051,0.01
13:38:54:106623,0.067,-0.012,-0.124993,0.465051,0.01
13:38:54:111605,0.083,0.021,-0.124993,0.465051,0.01
13:38:54:116730,0.087,0.062,-0.124993,0.465051,0.01
13:38:54:121741,0.058,0.062,-0.124993,0.465051,0.01
13:38:54:126857,0.031,0.044,-0.124993,0.465051,0.01
13:38:54:131983,0.009,0.016,-0.124993,0.465051,0.01
13:38:54:136974,0.015,0.001,-0.124993,0.465051,0.01
13:38:54:141993,0.038,-0.021,-0.124993,0.465051,0.01
13:38:54:147101,0.045,-0.038,-0.124993,0.465051,0.01
13:38:54:152217,0.02,-0.051,-0.124993,0.465051,0.01
13:38:54:157222,-0.015,-0.043,-0.124993,0.465051,0.01
13:38:54:162240,-0.059,-0.004,-0.124993,0.465051,0.01
13:38:54:167363,-0.064,0.025,-0.124993,0.465051,0.01
13:38:54:172356,-0.051,0.048,-0.124993,0.465051,0.01
13:38:54:177464,-0.044,0.041,-0.124993,0.465051,0.01
13:38:54:182473,-0.046,0.018,-0.124993,0.465051,0.01
13:38:54:187597,-0.037,0.011,-0.124993,0.465051,0.01
13:38:54:192593,-0.019,0.014,-0.124993,0.465051,0.01
13:38:54:197725,0.008,0.008,-0.124993,0.465051,0.01
13:38:54:202870,0.01,-0.004,-0.124993,0.465051,0.01
13:38:54:207871,-0.009,-0.004,-0.124993,0.465051,0.01
13:38:54:212839,-0.014,0.027,-0.124993,0.465051,0.01
13:38:54:217961,0.021,0.099,-0.124993,0.465051,0.01
13:38:54:222981,0.059,0.125,-0.124993,0.465051,0.01
13:38:54:228090,0.081,0.095,-0.124993,0.465051,0.01
13:38:54:233260,0.066,0.048,-0.124993,0.465051,0.01
13:38:54:238257,0.041,-0.004,-0.124993,0.465051,0.01
13:38:54:243226,0.04,-0.013,-0.124993,0.465051,0.01
13:38:54:248351,0.038,-0.005,-0.124993,0.465051,0.01
13:38:54:253458,0.02,0.004,-0.124993,0.465051,0.01
13:38:54:258481,-0.016,0.018,-0.124993,0.465051,0.01
13:38:54:263590,-0.029,0.03,-0.124993,0.465051,0.01
13:38:54:268592,-0.022,0.031,-0.124993,0.465051,0.01
13:38:54:273593,0.005,0.025,-0.124993,0.465051,0.01
13:38:54:278878,0.033,0.02,-0.124993,0.465051,0.01
13:38:54:283862,0.065,0.01,-0.124993,0.465051,0.01
13:38:54:288839,0.058,0.004,-0.124993,0.465051,0.01
13:38:54:293962,0.007,0.005,-0.124993,0.465051,0.01
13:38:54:298975,-0.022,0.023,-0.124993,0.465051,0.01
13:38:54:304090,-0.023,0.069,-0.124993,0.465051,0.01
13:38:54:309086,-0.008,0.089,-0.124993,0.465051,0.01
13:38:54:314227,0.003,0.068,-0.124993,0.465051,0.01
13:38:54:319372,0.003,0.035,-0.124993,0.465051,0.01
13:38:54:324216,0.02,0.011,-0.124993,0.465051,0.01
13:38:54:329345,0.047,0.027,-0.124993,0.465051,0.01
13:38:54:334468,0.087,0.061,-0.124993,0.465051,0.01
13:38:54:339470,0.092,0.061,-0.124993,0.465051,0.01
13:38:54:344594,0.051,0.03,-0.124993,0.465051,0.01
13:38:54:349593,-0.024,0.013,-0.124993,0.465051,0.01
13:38:54:354719,-0.052,0.026,-0.124993,0.465051,0.01
13:38:54:359714,-0.017,0.062,-0.124993,0.465051,0.01
13:38:54:364842,0.036,0.073,-0.124993,0.465051,0.01
13:38:54:369837,0.068,0.045,-0.124993,0.465051,0.01
13:38:54:374964,0.028,0.004,-0.124993,0.465051,0.01
13:38:54:379971,-0.058,-0.057,-0.124993,0.465051,0.01
13:38:54:385092,-0.074,-0.075,-0.124993,0.465051,0.01
13:38:54:390092,-0.009,-0.051,-0.124993,0.465051,0.01
13:38:54:395222,0.05,-0.015,-0.124993,0.465051,0.01
13:38:54:400221,0.084,0.024,-0.124993,0.465051,0.01
13:38:54:405336,0.065,0.033,-0.124993,0.465051,0.01
13:38:54:410351,0.014,0.031,-0.124993,0.465051,0.01
13:38:54:415474,-0.015,0.029,-0.124993,0.465051,0.01
13:38:54:420607,-0.046,0.021,-0.124993,0.465051,0.01
13:38:54:425590,-0.058,-0.002,-0.124993,0.465051,0.01
13:38:54:430717,-0.049,-0.019,-0.124993,0.465051,0.01
13:38:54:435862,-0.015,-0.023,-0.124993,0.465051,0.01
13:38:54:440849,0.005,-0.011,-0.124993,0.465051,0.01
13:38:54:445843,0.019,0.014,-0.124993,0.465051,0.01
13:38:54:450976,0.022,0.025,-0.124993,0.465051,0.01
13:38:54:455998,0.027,0.026,-0.124993,0.465051,0.01
13:38:54:461129,0.023,0.016,-0.124993,0.465051,0.01
13:38:54:466223,-0.002,-0.006,-0.124993,0.465051,0.01
13:38:54:471216,-0.016,-0.019,-0.124993,0.465051,0.01
13:38:54:476352,0.001,-0.017,-0.124993,0.465051,0.01
13:38:54:481494,0.026,0,-0.124993,0.465051,0.01
13:38:54:486489,0.02,0.027,-0.124993,0.465051,0.01
13:38:54:491473,-0.019,0.026,-0.124993,0.465051,0.01
13:38:54:496594,-0.074,-0.003,-0.124993,0.465051,0.01
13:38:54:501635,-0.063,-0.024,-0.124993,0.465051,0.01
13:38:54:506594,-0.026,-0.018,-0.124993,0.465051,0.01
13:38:54:511721,0.025,0.001,-0.124993,0.465051,0.01
13:38:54:516864,0.04,0.005,-0.124993,0.465051,0.01
13:38:54:521869,0.036,-0.001,-0.124993,0.465051,0.01
13:38:54:527013,0.028,-0.001,-0.124993,0.465051,0.01
13:38:54:532102,0.028,0.015,-0.124993,0.465051,0.01
13:38:54:537126,0.037,0.03,-0.124993,0.465051,0.01
13:38:54:542006,0.04,0.035,-0.124993,0.465051,0.01
13:38:54:547221,0.023,0.025,-0.124993,0.465051,0.01
13:38:54:552343,-0.023,0.001,-0.124993,0.465051,0.01
13:38:54:557362,-0.045,-0.011,-0.124993,0.465051,0.01
13:38:54:562524,-0.038,-0.026,-0.124993,0.465051,0.01
13:38:54:567463,-0.01,-0.036,-0.124993,0.465051,0.01
13:38:54:572587,0.035,-0.042,-0.124993,0.465051,0.01
13:38:54:577603,0.061,-0.021,-0.124993,0.465051,0.01
13:38:54:582731,0.067,0.005,-0.124993,0.465051,0.01
13:38:54:587736,0.066,0.04,-0.124993,0.465051,0.01
13:38:54:592843,0.06,0.048,-0.124993,0.465051,0.01
13:38:54:597967,0.048,0.043,-0.124993,0.465051,0.01
13:38:54:603003,0.042,0.038,-0.124993,0.465051,0.01
13:38:54:607970,0.029,0.04,-0.124993,0.465051,0.01
13:38:54:613097,0.008,0.045,-0.124993,0.465051,0.01
13:38:54:618256,-0.034,0.052,-0.124993,0.465051,0.01
13:38:54:623242,-0.051,0.05,-0.124993,0.465051,0.01
13:38:54:628224,-0.038,0.03,-0.124993,0.465051,0.01
13:38:54:633342,-0.012,0.004,-0.124993,0.465051,0.01
13:38:54:638361,0.023,-0.033,-0.124993,0.465051,0.01
13:38:54:643487,0.037,-0.035,-0.124993,0.465051,0.01
13:38:54:648591,0.039,0.005,-0.124993,0.465051,0.01
13:38:54:653715,0.016,0.047,-0.124993,0.465051,0.01
13:38:54:658736,-0.002,0.046,-0.124993,0.465051,0.01
13:38:54:663862,-0.004,0.021,-0.124993,0.465051,0.01
13:38:54:668848,0.02,0.02,-0.124993,0.465051,0.01
13:38:54:673845,0.078,0.054,-0.124993,0.465051,0.01
13:38:54:678996,0.106,0.069,-0.124993,0.465051,0.01
13:38:54:684111,0.107,0.044,-0.124993,0.465051,0.01
13:38:54:689090,0.083,0.011,-0.124993,0.465051,0.01
13:38:54:694220,0.039,-0.006,-0.124993,0.465051,0.01
13:38:54:699236,0.021,0.01,-0.124993,0.465051,0.01
13:38:54:704392,0.021,0.047,-0.124993,0.465051,0.01
13:38:54:709340,0.025,0.056,-0.124993,0.465051,0.01
13:38:54:714472,0.008,0.047,-0.124993,0.465051,0.01
13:38:54:719642,-0.02,0.039,-0.124993,0.465051,0.01
13:38:54:724486,-0.019,0.04,-0.124993,0.465051,0.01
13:38:54:729595,0.021,0.046,-0.124993,0.465051,0.01
13:38:54:734720,0.05,0.041,-0.124993,0.465051,0.01
13:38:54:739738,0.054,0.011,-0.124993,0.465051,0.01
13:38:54:744849,0.032,-0.007,-0.124993,0.465051,0.01
13:38:54:749849,-0.002,-0.009,-0.124993,0.465051,0.01
13:38:54:754976,-0.015,0.007,-0.124993,0.465051,0.01
13:38:54:759982,-0.026,0.037,-0.124993,0.465051,0.01
13:38:54:765116,-0.028,0.045,-0.124993,0.465051,0.01
13:38:54:770214,-0.009,0.031,-0.124993,0.465051,0.01
13:38:54:775215,0.018,0.008,-0.124993,0.465051,0.01
13:38:54:780250,0.048,-0.028,-0.124993,0.465051,0.01
13:38:54:785261,0.038,-0.038,-0.124993,0.465051,0.01
13:38:54:790363,-0.012,-0.017,-0.124993,0.465051,0.01
13:38:54:795485,-0.043,0.011,-0.124993,0.465051,0.01
13:38:54:800627,-0.046,0.036,-0.124993,0.465051,0.01
13:38:54:805613,-0.019,0.018,-0.124993,0.465051,0.01
13:38:54:810721,-0.016,0,-0.124993,0.465051,0.01
13:38:54:815761,-0.043,-0.002,-0.124993,0.465051,0.01
13:38:54:820846,-0.065,0.009,-0.124993,0.465051,0.01
13:38:54:825868,-0.069,0.018,-0.124993,0.465051,0.01
13:38:54:830986,-0.056,0.006,-0.124993,0.465051,0.01
13:38:54:836119,-0.042,-0.022,-0.124993,0.465051,0.01
13:38:54:841101,-0.043,-0.028,-0.124993,0.465051,0.01
13:38:54:846115,-0.04,0,-0.124993,0.465051,0.01
13:38:54:851346,-0.028,0.034,-0.124993,0.465051,0.01
13:38:54:856142,-0.014,0.063,-0.124993,0.465051,0.01
13:38:54:861386,-0.018,0.057,-0.124993,0.465051,0.01
