Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
13:39:32:728250,-5,20,17,14,6,1,-1,-4
13:39:32:735692,-5,-2,-9,-9,-9,-4,-3,-3
13:39:32:743921,-5,-2,-9,-9,-9,-4,-3,-3
13:39:32:744658,0,-5,11,-8,7,7,11,-1
13:39:32:758181,-3,5,39,7,5,-4,-6,-1
13:39:32:766475,-3,5,39,7,5,-4,-6,-1
13:39:32:767167,-5,3,12,12,1,16,14,-3
13:39:32:773212,0,0,-2,-2,6,1,-3,-1
13:39:32:780801,0,0,-2,-2,6,1,-3,-1
13:39:32:788149,-4,-1,7,4,-13,-6,-5,1
13:39:32:795684,-1,0,-18,-7,2,-4,1,-1
13:39:32:803897,-1,0,-18,-7,2,-4,1,-1
13:39:32:804731,2,-2,-7,-4,-6,-6,-2,-4
13:39:32:818239,4,-3,-7,2,-5,-3,-6,1
13:39:32:826389,4,-3,-7,2,-5,-3,-6,1
13:39:32:827161,-5,8,7,13,9,0,-5,-3
13:39:32:833206,4,-6,-33,-18,-2,0,3,1
13:39:32:857046,4,-6,-33,-18,-2,0,3,1
13:39:32:857833,7,-1,-14,-35,-2,-6,-1,-1
13:39:32:858627,-2,-7,-2,-1,1,-3,-4,-2
13:39:32:863945,-2,-7,-2,-1,1,-3,-4,-2
13:39:32:864725,-4,7,2,8,2,-5,-4,-1
13:39:32:878187,12,-4,9,6,4,1,-2,-1
13:39:32:886420,12,-4,9,6,4,1,-2,-1
13:39:32:887157,9,5,-9,12,5,2,10,0
13:39:32:893159,-11,0,-8,-3,-6,-5,1,-3
13:39:32:908900,-11,0,-8,-3,-6,-5,1,-3
13:39:32:909672,-8,-1,-6,22,14,9,-1,1
13:39:32:915782,6,-9,-14,-7,-2,4,-1,-2
13:39:32:923971,6,-9,-14,-7,-2,4,-1,-2
13:39:32:924745,-4,-3,4,-5,-5,-3,-5,-3
13:39:32:938182,-8,10,10,13,-2,1,-5,-4
13:39:32:946488,-8,10,10,13,-2,1,-5,-4
