Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
13:41:33:28102,12095,-6956,-5642,6474,369,-1835,824,6,-7,-9
13:41:33:28821,12095,-6956,-5642,6474,369,-1835,824,6,-7,-9
13:41:33:34834,12095,-6956,-5642,6474,369,-1835,824,6,-7,-9
13:41:33:43038,12095,-6956,-5643,6474,367,-1829,824,-4,-8,-4
13:41:33:43833,12095,-6956,-5643,6474,367,-1829,824,-4,-8,-4
13:41:33:57300,12095,-6956,-5643,6474,367,-1829,824,-4,-8,-4
13:41:33:65594,12095,-6956,-5643,6474,367,-1844,827,-8,-10,-1
13:41:33:66302,12095,-6956,-5643,6474,367,-1844,827,-8,-10,-1
13:41:33:72290,12095,-6956,-5643,6474,367,-1844,827,-8,-10,-1
13:41:33:79867,12095,-6956,-5643,6474,362,-1851,833,4,-6,4
13:41:33:87299,12095,-6956,-5643,6474,362,-1851,833,4,-6,4
13:41:33:94891,12095,-6956,-5643,6474,362,-1851,833,4,-6,4
13:41:33:103047,12095,-6955,-5643,6474,363,-1829,830,3,-6,12
13:41:33:103815,12095,-6955,-5643,6474,363,-1829,830,3,-6,12
13:41:33:117464,12095,-6955,-5643,6474,363,-1829,830,3,-6,12
13:41:33:125527,12095,-6955,-5643,6474,367,-1853,809,-13,-4,4
13:41:33:126347,12095,-6955,-5643,6474,367,-1853,809,-13,-4,4
13:41:33:140521,12095,-6955,-5643,6474,367,-1853,809,-13,-4,4
13:41:33:141289,12095,-6955,-5644,6474,368,-1842,817,7,4,7
13:41:33:147276,12095,-6955,-5644,6474,368,-1842,817,7,4,7
13:41:33:154776,12095,-6955,-5644,6474,368,-1842,817,7,4,7
13:41:33:163048,12095,-6955,-5644,6473,373,-1837,812,7,6,2
13:41:33:163858,12095,-6955,-5644,6473,373,-1837,812,7,6,2
13:41:33:177409,12095,-6955,-5644,6473,373,-1837,812,7,6,2
13:41:33:185546,12095,-6955,-5645,6473,381,-1831,817,-8,5,-3
13:41:33:186327,12095,-6955,-5645,6473,381,-1831,817,-8,5,-3
13:41:33:192321,12095,-6955,-5645,6473,381,-1831,817,-8,5,-3
13:41:33:199926,12095,-6955,-5645,6473,365,-1854,825,-10,9,-4
13:41:33:207315,12095,-6955,-5645,6473,365,-1854,825,-10,9,-4
13:41:33:223706,12095,-6955,-5645,6473,365,-1854,825,-10,9,-4
13:41:33:224515,12095,-6955,-5645,6473,362,-1849,812,1,10,-1
13:41:33:225264,12095,-6955,-5645,6473,362,-1849,812,1,10,-1
