Time,FT1,FT2,X,Y,Z
20:56:07:814072,0,0,-0.125,0.465,0.01
20:56:07:819191,0,0,-0.125,0.465042,0.01
20:56:07:824219,0,0,-0.125,0.465047,0.01
20:56:07:829299,0,0,-0.125,0.465052,0.01
20:56:07:834330,0,0,-0.125,0.465052,0.01
20:56:07:839425,0,0,-0.125,0.465053,0.01
20:56:07:844422,0,0,-0.125,0.465058,0.01
20:56:07:849329,0,0,-0.125,0.465058,0.01
20:56:07:854446,0,0,-0.125,0.465058,0.01
20:56:07:859831,0,0,-0.125007,0.465064,0.01
20:56:07:864714,0,0,-0.125007,0.465064,0.01
20:56:07:869811,0,0,-0.125007,0.465064,0.01
20:56:07:874797,0,0,-0.125007,0.465064,0.01
20:56:07:879938,0,0,-0.125007,0.465069,0.01
20:56:07:884922,0,0,-0.125007,0.465069,0.01
20:56:07:889934,0,0,-0.125007,0.465069,0.01
20:56:07:895051,0,0,-0.125007,0.465069,0.01
20:56:07:900053,0,0,-0.125007,0.465069,0.01
20:56:07:905167,0,0,-0.125007,0.465069,0.01
20:56:07:910173,0,0,-0.125007,0.465074,0.01
20:56:07:915298,0,0,-0.125007,0.465074,0.01
20:56:07:920297,0,0,-0.125007,0.465074,0.01
20:56:07:925437,0,0,-0.125007,0.465074,0.01
20:56:07:930427,0,0,-0.125007,0.465074,0.01
20:56:07:935547,0,0,-0.125007,0.465074,0.01
20:56:07:940558,0,0,-0.125007,0.465074,0.01
20:56:07:945698,0,0,-0.125007,0.465074,0.01
20:56:07:950687,0,0,-0.125007,0.465075,0.01
20:56:07:955703,0,0,-0.125007,0.465075,0.01
20:56:07:960814,0,0,-0.125007,0.465075,0.01
20:56:07:965935,0,0,-0.125007,0.465075,0.01
20:56:07:970933,0,0,-0.125007,0.465075,0.01
20:56:07:975813,0,0,-0.125007,0.465075,0.01
20:56:07:981069,0,0,-0.125007,0.465075,0.01
20:56:07:986046,0,0,-0.125007,0.465075,0.01
20:56:07:991171,0,0,-0.125007,0.465075,0.01
20:56:07:996173,0,0,-0.125007,0.465075,0.01
20:56:08:1311,0,0,-0.125007,0.465075,0.01
20:56:08:6297,0,0,-0.125007,0.465075,0.01
20:56:08:11302,0,0,-0.125007,0.465075,0.01
20:56:08:16424,0,0,-0.125007,0.465075,0.01
20:56:08:21550,0,0,-0.125007,0.465075,0.01
20:56:08:26558,0,0,-0.125007,0.465075,0.01
20:56:08:31688,0,0,-0.125007,0.465075,0.01
20:56:08:36671,0,0,-0.125007,0.465075,0.01
20:56:08:41671,0,0,-0.125007,0.465075,0.01
20:56:08:46797,0,0,-0.125007,0.465075,0.01
20:56:08:51938,0,0,-0.125007,0.465075,0.01
20:56:08:56959,0,0,-0.125007,0.465075,0.01
20:56:08:61944,-0.004,-0.01,-0.125007,0.465075,0.01
20:56:08:66964,0.021,0.006,-0.125007,0.465075,0.01
20:56:08:72045,0.043,0.033,-0.125007,0.465081,0.01
20:56:08:77180,0.051,0.072,-0.125007,0.465081,0.01
20:56:08:82301,0.035,0.078,-0.125007,0.465081,0.01
20:56:08:87184,0.003,0.043,-0.125007,0.465081,0.01
20:56:08:92304,-0.002,0.007,-0.125007,0.465081,0.01
20:56:08:97304,0.015,-0.022,-0.125007,0.465081,0.01
20:56:08:102422,0.033,-0.019,-0.125007,0.465081,0.01
20:56:08:107423,0.037,-0.004,-0.125007,0.465081,0.01
20:56:08:112583,0.022,-0.005,-0.125007,0.465081,0.01
20:56:08:117549,0.004,-0.011,-0.125007,0.465081,0.01
20:56:08:122691,0.01,0,-0.125007,0.465081,0.01
20:56:08:127676,0.037,0.047,-0.125007,0.465081,0.01
20:56:08:132830,0.038,0.079,-0.125007,0.465086,0.01
20:56:08:137806,0.022,0.074,-0.125007,0.465086,0.01
20:56:08:142932,0.011,0.048,-0.125007,0.465086,0.01
20:56:08:147960,0.025,0.043,-0.125007,0.465086,0.01
20:56:08:153068,0.047,0.057,-0.125007,0.465086,0.01
20:56:08:158065,0.04,0.059,-0.125007,0.465086,0.01
20:56:08:163174,0.004,0.027,-0.125007,0.465086,0.01
20:56:08:168175,-0.009,0,-0.125007,0.465086,0.01
20:56:08:173304,0.01,-0.005,-0.125007,0.465086,0.01
20:56:08:178300,0.033,0.012,-0.125007,0.465086,0.01
20:56:08:183425,0.036,0.031,-0.125007,0.465086,0.01
20:56:08:188429,0.013,0.017,-0.125007,0.465086,0.01
20:56:08:193420,-0.022,-0.03,-0.125007,0.465086,0.01
20:56:08:198549,-0.027,-0.054,-0.125007,0.465086,0.01
20:56:08:203559,-0.015,-0.051,-0.125007,0.465086,0.01
20:56:08:208673,-0.013,-0.031,-0.125007,0.465086,0.01
20:56:08:213576,-0.028,-0.009,-0.125007,0.465086,0.01
20:56:08:218801,-0.035,-0.019,-0.125007,0.465086,0.01
20:56:08:223814,-0.021,-0.03,-0.125007,0.465081,0.01
20:56:08:228938,0.006,-0.026,-0.125007,0.465081,0.01
20:56:08:233919,0.011,-0.009,-0.125007,0.465081,0.01
20:56:08:239063,-0.011,0.013,-0.125007,0.465081,0.01
20:56:08:244072,-0.033,0.016,-0.125007,0.465081,0.01
20:56:08:249065,-0.05,0.004,-0.125007,0.465081,0.01
20:56:08:254181,-0.046,-0.005,-0.125007,0.465081,0.01
20:56:08:259178,-0.027,-0.011,-0.125007,0.465081,0.01
20:56:08:264308,-0.007,-0.005,-0.125007,0.465081,0.01
20:56:08:269427,0.022,0.013,-0.125007,0.465081,0.01
20:56:08:274433,0.034,0.022,-0.125007,0.465081,0.01
20:56:08:279447,0.034,0.019,-0.125007,0.465081,0.01
20:56:08:284563,0.034,0.018,-0.125007,0.465081,0.01
20:56:08:289552,0.054,0.038,-0.125007,0.465081,0.01
20:56:08:294680,0.068,0.057,-0.125007,0.465081,0.01
20:56:08:299675,0.048,0.054,-0.125013,0.465081,0.01
20:56:08:304806,-0.017,0.009,-0.125013,0.465081,0.01
20:56:08:309806,-0.049,-0.016,-0.125013,0.465081,0.01
20:56:08:314932,-0.034,-0.012,-0.125013,0.465081,0.01
20:56:08:319955,0,0.01,-0.125013,0.465081,0.01
20:56:08:325060,0.03,0.034,-0.125013,0.465081,0.01
20:56:08:330059,0.023,0.031,-0.125013,0.465081,0.01
20:56:08:335175,0.002,0.014,-0.125013,0.465081,0.01
20:56:08:340177,0.002,0.01,-0.125013,0.465081,0.01
20:56:08:345306,0.022,0.018,-0.125013,0.465081,0.01
20:56:08:350318,0.026,0.022,-0.125013,0.465081,0.01
20:56:08:355300,0,0.013,-0.125013,0.465081,0.01
20:56:08:360425,-0.026,0.007,-0.125013,0.465081,0.01
20:56:08:365457,-0.033,0.009,-0.125013,0.465081,0.01
