Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
20:56:39:268651,-1,-1,0,-2,0,-1,-1,-1
20:56:39:276885,-1,-1,0,-2,0,-1,-1,-1
20:56:39:277648,-2,1,0,1,1,0,2,1
20:56:39:283621,-5,-1,-1,0,-1,0,-3,-3
20:56:39:299362,-5,-1,-1,0,-1,0,-3,-3
20:56:39:300148,3,1,2,-2,-2,-3,-2,0
20:56:39:306116,-4,-3,-1,1,-1,0,2,-1
20:56:39:314354,-4,-3,-1,1,-1,0,2,-1
20:56:39:315147,-1,2,-2,-1,-1,-1,0,-2
20:56:39:328616,3,0,0,-1,-1,-2,0,2
20:56:39:336845,3,0,0,-1,-1,-2,0,2
20:56:39:337631,-5,-6,-2,-2,-2,-1,0,-2
20:56:39:343615,-3,0,-3,-1,0,0,0,-1
20:56:39:359356,-3,0,-3,-1,0,0,0,-1
20:56:39:360154,-2,2,-2,-1,-2,-2,-1,0
20:56:39:366111,0,-1,-2,0,-2,-2,0,0
20:56:39:374371,0,-1,-2,0,-2,-2,0,0
20:56:39:375147,1,-2,-2,0,-1,0,-1,0
20:56:39:388690,-1,-1,1,0,-2,-2,-1,0
20:56:39:396850,-1,-1,1,0,-2,-2,-1,0
20:56:39:397637,1,0,0,-1,-1,1,0,0
20:56:39:403640,1,-2,-2,-3,-1,-1,-1,-1
20:56:39:419334,1,-2,-2,-3,-1,-1,-1,-1
20:56:39:420119,-1,-1,0,-1,-2,-2,-1,0
20:56:39:426165,-2,-3,-1,0,1,0,-2,-3
20:56:39:434374,-2,-3,-1,0,1,0,-2,-3
20:56:39:435189,-6,-1,-1,-1,-1,-3,-1,-2
20:56:39:448714,-1,0,0,2,-2,-2,0,-1
20:56:39:456815,-1,0,0,2,-2,-2,0,-1
20:56:39:457629,3,0,1,0,-1,-1,-2,1
20:56:39:471163,-2,1,-1,-2,0,1,-2,-1
20:56:39:479335,-2,1,-1,-2,0,1,-2,-1
20:56:39:480132,0,-2,-1,-2,0,0,-1,0
20:56:39:486179,2,0,0,-1,-1,-2,0,-1
20:56:39:494357,2,0,0,-1,-1,-2,0,-1
20:56:39:495131,0,1,-1,-2,-1,0,0,-1
20:56:39:508666,-2,-1,0,-1,-3,-1,-2,-1
20:56:39:516802,-2,-1,0,-1,-3,-1,-2,-1
